id	values	Buff	level	cost	times	cd	FirstCD	Spine_EFF	SpineAnimation	ActionType	Hurt_EFF_Type	Skill_Type
10321	109002	109002	61	0	1	999000	0			4	0	11,13
10322	109002,102902	109002,102902	61	0	1	999000	0			4	0	11,13
10323	109002,102902,102702	109002,102902,102702	61	0	1	999000	0			4	0	11,13
10331	109003	109003	100	0	-1	0	0			4	0	11
10332	109003,102903	109003,102903	100	0	-1	0	0			4	0	11
10333	109003,102903,102703	109003,102903,102703	100	0	-1	0	0			4	0	11
10401	1,106501,7	106501	1	100	-1	0	0	hit0201	skill_0	1	0	4,5
10402	1.2,106502,9	106502	1	100	-1	0	0	hit0201	skill_0	1	0	4,5
10403	1.4,106503,9	106503	1	100	-1	0	0	hit0201	skill_0	1	0	4,5
10411	0.5	0	21	0	-1	15000	15000		skill_1	2	0	1,8
10412	0.6	0	21	0	-1	13000	13000		skill_1	2	0	1,8
10413	0.8	0	21	0	-1	10000	10000		skill_1	2	0	1,8
10421	0.5,101301,15	101301	61	0	-1	0	0			4	0	1,5
10422	0.6,101302,15	101302	61	0	-1	0	0			4	0	1,5
10423	0.7,101303,15	101303	61	0	-1	0	0			4	0	1,5
10431	102101,0.15,106701,5	102101,106701	100	0	1	999000	0			4	0	14,1,5
10432	102101,0.1,106701,7	102101,106701	100	0	1	999000	0			4	0	14,1,5
10433	102101,0.05,106701,9	102101,106701	100	0	1	999000	0			4	0	14,1,5
10501	1.5,100301,5	100301	1	100	-1	0	0	hit0101	skill_0	1	0	4,5
10502	1.8,100302,8	100302	1	100	-1	0	0	hit0101	skill_0	1	0	4,5
10503	2.1,100303,12	100303	1	100	-1	0	0	hit0101	skill_0	1	0	4,5
10511	209201,4	209201	21	0	-1	8000	8000		skill_1	2	0	2,6
10512	209202,5	209202	21	0	-1	8000	8000		skill_1	2	0	2,6
10513	209203,6	209203	21	0	-1	8000	8000		skill_1	2	0	2,6
10521	0.5,101501,5	101501	61	0	-1	10000	10000			4	0	3,5
10522	0.5,101502,8	101502	61	0	-1	8000	8000			4	0	3,5
10523	0.5,101503,12	101503	61	0	-1	6000	6000			4	0	3,5
10531	0.5,103201,30,1.5	103201	100	0	1	999000	0			4	0	14,1,7
10532	0.5,103202,30,1.8	103202	100	0	1	999000	0			4	0	14,1,7
10533	0.5,103203,30,2.4	103203	100	0	1	999000	0			4	0	14,1,7
10601	1.5,104101,2	104101	1	100	-1	0	0	hit0301	skill_0	1	0	3,5
10602	1.8,104101,2	104101	1	100	-1	0	0	hit0301	skill_0	1	0	3,5
10603	2.1,104101,3	104101	1	100	-1	0	0	hit0301	skill_0	1	0	3,5
10611	1.5,104101,1	104101	21	0	-1	8000	8000	hit0301	skill_1	2	0	1,5
10612	1.8,104101,1	104101	21	0	-1	6000	6000	hit0301	skill_1	2	0	1,5
10613	2.1,104101,2	104101	21	0	-1	4000	4000	hit0301	skill_1	2	0	1,5
10621	1	0	61	0	-1	0	0			4	0	11,7
10622	1.5	0	61	0	-1	0	0			4	0	11,7
10623	2	0	61	0	-1	0	0			4	0	11,7
10631	109301,8	109301	100	0	-1	0	0			4	0	11,5
10632	109302,8	109302	100	0	-1	0	0			4	0	11,5
10633	109303,8	109303	100	0	-1	0	0			4	0	11,5
10701	0.15,100101,6	100101	1	100	-1	0	0		skill_0	1	0	2,5,8
10702	0.2,100102,8	100102	1	100	-1	0	0		skill_0	1	0	2,5,8
10703	0.25,100103,10	100103	1	100	-1	0	0		skill_0	1	0	2,5,8
10711	1,206001,3,210101,3	206001,210101	21	0	-1	10000	10000		skill_1	2	0	1,6
10712	2,206001,4,210101,4	206001,210101	21	0	-1	9000	9000		skill_1	2	0	3,6
10713	3,206001,5,210101,5	206001,210101	21	0	-1	8000	8000		skill_1	2	0	3,6
10721	0.1	0	61	0	-1	10000	10000			4	0	8
10722	0.15	0	61	0	-1	8000	8000			4	0	8
10723	0.2	0	61	0	-1	6000	6000			4	0	8
10731	0.5,111501,15	111501	100	0	-1	0	0			4	0	11,1,5
10732	0.5,111502,20	111502	100	0	-1	0	0			4	0	11,1,5
10733	0.5,111503,30	111503	100	0	-1	0	0			4	0	11,1,5
10801	1.2,1,2	0	1	100	-1	0	0	hit0302	skill_0	1	0	1
10802	1.4,1,3	0	1	100	-1	0	0	hit0302	skill_0	1	0	1
10803	1.6,1,4	0	1	100	-1	0	0	hit0302	skill_0	1	0	1
10811	59,0.6	0	21	0	-1	0	0			4	0	11
10812	59,0.8	0	21	0	-1	0	0			4	0	11
10813	59,1	0	21	0	-1	0	0			4	0	11
10821	0	0	61	0	-1	0	0			3	0	11
10822	0	0	61	0	-1	0	0			3	0	11
10823	0	0	61	0	-1	0	0			3	0	11
10831	0.15	0	100	0	-1	999000	0			4	0	14,2,8
10832	0.25	0	100	0	-1	999000	0			4	0	14,2,8
10833	0.3	0	100	0	-1	999000	0			4	0	14,2,8
10901	3	0	1	100	-1	0	0	heal01_FX1	skill_0	1	0	1,7
10902	4	0	1	100	-1	0	0	heal01_FX1	skill_0	1	0	1,7
10903	5	0	1	100	-1	0	0	heal01_FX1	skill_0	1	0	1,7
10911	205901,8,1	205901	21	0	-1	8000	8000	hit0302	skill_1	2	0	2,6
10912	205901,10,2	205901	21	0	-1	6000	6000	hit0302	skill_1	2	0	2,6
10913	205901,12,3	205901	21	0	-1	4000	4000	hit0302	skill_1	2	0	2,6
10921	103601,111601	103601,111601	61	0	-1	0	0			4	0	11,13
10922	103602,111602	103602,111602	61	0	-1	0	0			4	0	11,13
10923	103603,111603	103603,111603	61	0	-1	0	0			4	0	11,13
10931	205501,5	205501	100	0	-1	0	0			4	0	11,6
10932	205502,6	205502	100	0	-1	0	0			4	0	11,6
10933	205503,7	205503	100	0	-1	0	0			4	0	11,6
11001	2.5,205701,4	205701	1	100	-1	0	0	hit0202	skill_0	1	0	4,10
11002	3,205701,6	205701	1	100	-1	0	0	hit0202	skill_0	1	0	4,10
11003	3.5,205701,8	205701	1	100	-1	0	0	hit0202	skill_0	1	0	4,10
11011	220,120,1.5,205901,8,1	205901	21	0	-1	8000	8000	hit0202	skill_1	2	0	2,6
11012	220,120,1.8,205901,10,2	205901	21	0	-1	7000	7000	hit0202	skill_1	2	0	2,6
11013	220,120,2.2,205901,12,3	205901	21	0	-1	6000	6000	hit0202	skill_1	2	0	2,6
11021	89	0	61	0	-1	0	0			4	0	11
11022	89,54	0	61	0	-1	0	0			4	0	11
11023	89,54,92	0	61	0	-1	0	0			4	0	11
11031	111001	205901	100	0	-1	0	0			4	0	11
11032	111002	205901	100	0	-1	0	0			4	0	11
11033	111003	205901	100	0	-1	0	0			4	0	11
11101	1.2,205201,8,205501,8	205201,205501	1	100	-1	0	0	hit0402	skill_0	1	0	2,6
11102	1.8,205202,10,205502,10	205202,205502	1	100	-1	0	0	hit0402	skill_0	1	0	2,6
11103	2.2,205203,12,205503,12	205203,205503	1	100	-1	0	0	hit0402	skill_0	1	0	2,6
11111	0.5	0	21	0	-1	10000	10000	hit0402	skill_1	2	0	4
11112	0.6	0	21	0	-1	8000	8000	hit0402	skill_1	2	0	4
11113	0.8	0	21	0	-1	6000	6000	hit0402	skill_1	2	0	4
11121	12,209601,8,209701,8	209601,209701	61	0	-1	10000	10000			4	0	1,6
11122	12,209602,10,209702,10	209602,209702	61	0	-1	8000	8000			4	0	1,6
11123	12,209603,12,209703,12	209603,209703	61	0	-1	6000	6000			4	0	1,6
11131	205601,8,209501,8	205601,209501	100	0	-1	0	0			4	0	11,6
11132	205602,10,209502,10	205602,209502	100	0	-1	0	0			4	0	11,6
11133	205603,12,209503,12	205603,209503	100	0	-1	0	0			4	0	11,6
11201	1,1.8,109401,3	109401	1	100	-1	0	0	heal01_FX1	skill_0	1	0	1,7,5
11202	2,2.2,109401,3	109401	1	100	-1	0	0	heal01_FX1	skill_0	1	0	3,7,5
11203	3,2.6,109401,3	109401	1	100	-1	0	0	heal01_FX1	skill_0	1	0	3,7,5
11211	1,200,180,1,0.2	0	21	0	-1	15000	15000	hit0502	skill_1	2	0	3,10
11212	1.2,200,180,2,0.2	0	21	0	-1	12000	12000	hit0502	skill_1	2	0	3,10
11213	1.4,200,180,3,0.2	0	21	0	-1	10000	10000	hit0502	skill_1	2	0	3,10
11221	0	0	61	0	-1	0	0			3	0	11
11222	0	0	61	0	-1	0	0			3	0	11
11223	0	0	61	0	-1	0	0			3	0	11
11231	0.4,0,0,0	0	100	0	-1	0	0			4	0	11
11232	0.4,50,50,0	0	100	0	-1	0	0			4	0	11
11233	0.4,50,50,4	0	100	0	-1	0	0			4	0	11
11301	1.5,209801,8	209801	1	100	-1	0	0	hit0203	skill_0	1	0	2,12
11302	1.8,209802,10	209802	1	100	-1	0	0	hit0203	skill_0	1	0	2,12
11303	2.2,209803,12	209803	1	100	-1	0	0	hit0203	skill_0	1	0	2,12
11311	209901,12	209901	21	0	-1	10000	10000		skill_1	2	0	1,10
11312	209902,12	209902	21	0	-1	8000	8000		skill_1	2	0	1,10
11313	209903,12	209903	21	0	-1	6000	6000		skill_1	2	0	1,10
11321	210001,4	210001	61	0	-1	0	0			4	0	11,6
11322	210002,5	210002	61	0	-1	0	0			4	0	11,6
11323	210003,6	210003	61	0	-1	0	0			4	0	11,6
11331	-0.2	0	100	0	-1	0	0			4	0	11
11332	-0.3	0	100	0	-1	0	0			4	0	11
11333	-0.4	0	100	0	-1	0	0			4	0	11
11401	2.8,10	0	1	100	-1	0	0	hit0403	skill_0	1	0	1,7
11402	3.4,20	0	1	100	-1	0	0	hit0403	skill_0	1	0	1,7
11403	4,30	0	1	100	-1	0	0	hit0403	skill_0	1	0	1,7
11411	3,110201,5	110201	21	0	-1	8000	8000			4	0	1,5
11412	3,110202,5,107002,5	107002,110202	21	0	-1	7000	7000			4	0	1,5
11413	2,110203,5,107003,5	107003,110203	21	0	-1	6000	6000			4	0	1,5
11421	0.35,0.5	0	61	0	-1	0	0			4	0	11
11422	0.45,0.6	0	61	0	-1	0	0			4	0	11
11423	0.55,0.7	0	61	0	-1	0	0			4	0	11
11431	10	0	100	0	-1	0	0			4	0	11
11432	20	0	100	0	-1	0	0			4	0	11
11433	30	0	100	0	-1	0	0			4	0	11
11501	1.2,210101,6	210101	1	100	-1	0	0	hit0303	skill_0	1	0	2,6
11502	1.6,210102,7	210102	1	100	-1	0	0	hit0303	skill_0	1	0	2,6
11503	2,210103,8	210103	1	100	-1	0	0	hit0303	skill_0	1	0	2,6
11511	1,205401,3	205401	21	0	-1	12000	12000	hit0303	skill_1	2	0	2,6
11512	1,205401,4	205401	21	0	-1	10000	10000	hit0303	skill_1	2	0	2,6
11513	1,205401,5	205401	21	0	-1	8000	8000	hit0303	skill_1	2	0	2,6
11521	1,110201,15	110201	61	0	-1	999000	0			4	0	14,1,5
11522	2,110201,15	110201	61	0	-1	999000	0			4	0	14,3,5
11523	3,110201,15	110201	61	0	-1	999000	0			4	0	14,3,5
11531	20	0	100	0	-1	0	0			4	0	11,7
11532	20,110202	110202	100	0	-1	0	0			4	0	11,7
11533	20,110202	110202	100	0	-1	0	0			4	0	11,7
11601	240,150,1.5,110301	110301	1	100	-1	0	0	hit0103	skill_0	1	0	2,5
11602	240,150,1.8,110301	110301	1	100	-1	0	0	hit0103	skill_0	1	0	2,5
11603	240,150,2.3,110301	110301	1	100	-1	0	0	hit0103	skill_0	1	0	2,5
11611	240,150,1	0	21	0	-1	5000	5000	hit0103	skill_1	2	0	2
11612	240,150,1.2	0	21	0	-1	4000	4000	hit0103	skill_1	2	0	2
11613	240,150,1.4	0	21	0	-1	3000	3000	hit0103	skill_1	2	0	2
11621	110401,1	110401	61	0	-1	0	0			4	0	5
11622	110401,2	110401	61	0	-1	0	0			4	0	5
11623	110401,3	110401	61	0	-1	0	0			4	0	5
11631	101901	101901	100	0	-1	0	0			4	0	11,13
11632	101902	101902	100	0	-1	0	0			4	0	11,13
11633	101903	101903	100	0	-1	0	0			4	0	11,13
11701	1,2	0	1	100	-1	0	0	hit0303	skill_0	1	0	2,7
11702	1.2,2.8	0	1	100	-1	0	0	hit0303	skill_0	1	0	2,7
11703	1.4,3.6	0	1	100	-1	0	0	hit0303	skill_0	1	0	2,7
11711	205001,1	205001	21	0	-1	0	0			4	0	11,10
11712	205001,2	205001	21	0	-1	0	0			4	0	11,10
11713	205001,3	205001	21	0	-1	0	0			4	0	11,10
11721	111101	0	61	0	-1	0	0			4	0	11
11722	111102	0	61	0	-1	0	0			4	0	11
11723	111103	0	61	0	-1	0	0			4	0	11
11731	110501	110501	100	0	-1	0	0			4	0	11,13
11732	110502	110502	100	0	-1	0	0			4	0	11,13
11733	110503	110503	100	0	-1	0	0			4	0	11,13
11801	1.3,206401,5	206401	1	100	-1	0	0	hit0303	skill_0	1	0	2,6
11802	1.6,206402,6	206402	1	100	-1	0	0	hit0303	skill_0	1	0	2,6
11803	1.9,206403,7	206403	1	100	-1	0	0	hit0303	skill_0	1	0	2,6
11811	101501,6,111401,6	101501,111401	21	0	-1	12000	12000	heal01_FX1	skill_1	2	0	1,5
11812	101502,6,111402,6	101502,111402	21	0	-1	10000	10000	heal01_FX1	skill_1	2	0	1,5
11813	101503,6,111403,6	101503,111403	21	0	-1	8000	8000	heal01_FX1	skill_1	2	0	1,5
11821	101101	101101	61	0	-1	0	0			4	0	14,1,5
11822	101102	101102	61	0	-1	0	0			4	0	14,1,5
11823	101103	101103	61	0	-1	0	0			4	0	14,1,5
11831	0.2,0,0	0	100	0	-1	0	0			4	0	11,7
11832	0.3,30,0	0	100	0	-1	0	0			4	0	11,7
11833	0.3,30,0.25	0	100	0	-1	0	0			4	0	11,7,8
11901	4,1,207201,5	207201	1	100	-1	0	0	hit0204	skill_0	1	0	3,10
11902	5,1.3,207202,5	207202	1	100	-1	0	0	hit0204	skill_0	1	0	3,10
11903	6,1.6,207203,5	207203	1	100	-1	0	0	hit0204	skill_0	1	0	3,10
11911	107301,6	107301	21	0	-1	14000	14000		skill_1	2	0	1,5
11912	107302,7	107302	21	0	-1	12000	12000		skill_1	2	0	1,5
11913	107303,8	107303	21	0	-1	10000	10000		skill_1	2	0	1,5
11921	0	0	61	0	-1	0	0			3	0	11
11922	0	0	61	0	-1	0	0			3	0	11
11923	0	0	61	0	-1	0	0			3	0	11
11931	207401,207501	207401,207501	100	0	-1	0	0			4	0	11,12
11932	207401,207502	207401,207502	100	0	-1	0	0			4	0	11,12
11933	207401,207503	207401,207503	100	0	-1	0	0			4	0	11,12
12001	3,103401,6	103401	1	100	-1	0	0	hit0204	skill_0	1	0	4,5
12002	4,103402,7	103402	1	100	-1	0	0	hit0204	skill_0	1	0	4,5
12003	5,103403,8	103403	1	100	-1	0	0	hit0204	skill_0	1	0	4,5
12011	111201	0	21	0	-1	12000	12000			4	0	11
12012	111202	0	21	0	-1	10000	10000			4	0	11
12013	111203	0	21	0	-1	8000	8000			4	0	11
12021	107601,4	107601	61	0	-1	10000	10000			4	0	11,3,5
12022	107601,5	107601	61	0	-1	8000	8000			4	0	11,3,5
12023	107601,6	107601	61	0	-1	6000	6000			4	0	11,3,5
12031	107701,4	107701	100	0	-1	10000	10000			4	0	11,3,5
12032	107701,5	107701	100	0	-1	8000	8000			4	0	11,3,5
12033	107701,6	107701	100	0	-1	6000	6000			4	0	11,3,5
12101	2.25,108201,5	108201	1	100	-1	0	0	heal01_FX1	skill_0	1	0	2,7,5
12102	2.85,108202,6	108202	1	100	-1	0	0	heal01_FX1	skill_0	1	0	2,7,5
12103	3.45,108203,7	108203	1	100	-1	0	0	heal01_FX1	skill_0	1	0	2,7,5
12111	208101,4	208101	21	0	-1	0	0			4	0	11,6
12112	208102,4	208102	21	0	-1	0	0			4	0	11,6
12113	208103,4	208103	21	0	-1	0	0			4	0	11,6
12121	1.2,-20	0	61	0	-1	15000	15000	hit0504	skill_1	2	0	3
12122	1.4,-25	0	61	0	-1	13000	13000	hit0504	skill_1	2	0	3
12123	1.6,-30	0	61	0	-1	10000	10000	hit0504	skill_1	2	0	3
12131	110701	110701	100	0	-1	999000	0			4	0	11,13
12132	110702	110702	100	0	-1	999000	0			4	0	11,13
12133	110703	110703	100	0	-1	999000	0			4	0	11,13
12201	3.4,0.5	0	1	100	-1	0	0	hit0205	skill_0	1	0	4,7
12202	4,0.6	0	1	100	-1	0	0	hit0205	skill_0	1	0	4,7
12203	4.6,0.7	0	1	100	-1	0	0	hit0205	skill_0	1	0	4,7
12211	111301	0	21	0	-1	8000	8000			4	0	11
12212	111302	0	21	0	-1	6000	6000			4	0	11
12213	111303	0	21	0	-1	4000	4000			4	0	11
12221	0	0	61	0	-1	0	0			4	0	11,5
12222	0	0	61	0	-1	0	0			4	0	11,5
12223	0	0	61	0	-1	0	0			4	0	11,5
12231	211802,4	211802	100	0	-1	0	0			4	0	11,6
12232	211802,8	211802	100	0	-1	0	0			4	0	11,6
12233	211803,8	211803	100	0	-1	0	0			4	0	11,6
12301	2.5,35	0	1	100	-1	0	0	hit0405	skill_0	1	0	1
12302	3.5,35	0	1	100	-1	0	0	hit0405	skill_0	1	0	1
12303	4.5,35	0	1	100	-1	0	0	hit0405	skill_0	1	0	1
12311	1.2	0	21	0	-1	7000	7000	hit0405	skill_1	2	0	1
12312	1.4	0	21	0	-1	6000	6000	hit0405	skill_1	2	0	1
12313	1.6	0	21	0	-1	5000	5000	hit0405	skill_1	2	0	1
12321	103501	103501	61	0	-1	6000	6000			4	0	11,5
12322	103502	103502	61	0	-1	5000	5000			4	0	11,5
12323	103503	103503	61	0	-1	4000	4000			4	0	11,5
12331	0.5,0.5		100	0	-1	0	0			4	0	11
12332	0.5,1		100	0	-1	0	0			4	0	11
12333	0.5,1.5		100	0	-1	0	0			4	0	11
12401	2,1	0	1	100	-1	0	0	hit0305	skill_0	1	0	2
12402	3,1.5	0	1	100	-1	0	0	hit0305	skill_0	1	0	2
12403	4,2	0	1	100	-1	0	0	hit0305	skill_0	1	0	2
12411	1,20	0	21	0	-1	14000	14000	hit0305	skill_1	2	0	1,7
12412	1,25	0	21	0	-1	12000	12000	hit0305	skill_1	2	0	1,7
12413	1,30	0	21	0	-1	10000	10000	hit0305	skill_1	2	0	1,7
12421	207901,208501	207901,208501	61	0	-1	0	0			4	0	3,6
12422	207901,208502	207901,208502	61	0	-1	0	0			4	0	3,6
12423	207902,208502	207902,208502	61	0	-1	0	0			4	0	3,6
12431	0.3,110901,5	110901	100	0	-1	0	0			4	0	11,7,5
12432	0.4,110902,6	110902	100	0	-1	0	0			4	0	11,7,5
12433	0.5,110903,7	110903	100	0	-1	0	0			4	0	11,7,5
101011	0.12,89,101303,12		1	0	-1	0	0			4	0	
101012	0.18,89,101303,12		1	0	-1	0	0			4	0	
101013	0.24,89,101303,12		1	0	-1	0	0			4	0	
117011	2,1.4		1	0	-1	0	0			4	0	
117012	2,1.6		1	0	-1	0	0			4	0	
117013	2,1.8		1	0	-1	0	0			4	0	
30001	0	0	1	0	-1	0	0			3	0	11
30002	0	0	1	0	-1	0	0			3	0	11
30003	0	0	1	0	-1	0	0			3	0	11
30004	0	0	1	0	-1	0	0			3	0	11
30005	0	0	1	0	-1	0	0			3	0	11
30011	0	0	1	0	-1	0	0			3	0	11
30012	0	0	1	0	-1	0	0			3	0	11
30013	0	0	1	0	-1	0	0			3	0	11
30014	0	0	1	0	-1	0	0			3	0	11
30015	0	0	1	0	-1	0	0			3	0	11
30021	0	0	1	0	-1	0	0			3	0	11
30022	0	0	1	0	-1	0	0			3	0	11
30023	0	0	1	0	-1	0	0			3	0	11
30024	0	0	1	0	-1	0	0			3	0	11
30025	0	0	1	0	-1	0	0			3	0	11
30031	0	0	1	0	-1	0	0			3	0	11
30032	0	0	1	0	-1	0	0			3	0	11
30033	0	0	1	0	-1	0	0			3	0	11
30034	0	0	1	0	-1	0	0			3	0	11
30035	0	0	1	0	-1	0	0			3	0	11
30041	0	0	1	0	-1	0	0			3	0	11
30042	0	0	1	0	-1	0	0			3	0	11
30043	0	0	1	0	-1	0	0			3	0	11
30044	0	0	1	0	-1	0	0			3	0	11
30045	0	0	1	0	-1	0	0			3	0	11
30051	0	0	1	0	-1	0	0			3	0	11
30052	0	0	1	0	-1	0	0			3	0	11
30053	0	0	1	0	-1	0	0			3	0	11
30054	0	0	1	0	-1	0	0			3	0	11
30055	0	0	1	0	-1	0	0			3	0	11
30061	0	0	1	0	-1	0	0			3	0	11
30062	0	0	1	0	-1	0	0			3	0	11
30063	0	0	1	0	-1	0	0			3	0	11
30064	0	0	1	0	-1	0	0			3	0	11
30065	0	0	1	0	-1	0	0			3	0	11
30071	0	0	1	0	-1	0	0			3	0	11
30072	0	0	1	0	-1	0	0			3	0	11
30073	0	0	1	0	-1	0	0			3	0	11
30074	0	0	1	0	-1	0	0			3	0	11
30075	0	0	1	0	-1	0	0			3	0	11
30081	0	0	1	0	-1	0	0			3	0	11
30082	0	0	1	0	-1	0	0			3	0	11
30083	0	0	1	0	-1	0	0			3	0	11
30084	0	0	1	0	-1	0	0			3	0	11
30085	0	0	1	0	-1	0	0			3	0	11
30091	0	0	1	0	-1	0	0			3	0	11
30092	0	0	1	0	-1	0	0			3	0	11
30093	0	0	1	0	-1	0	0			3	0	11
30094	0	0	1	0	-1	0	0			3	0	11
30095	0	0	1	0	-1	0	0			3	0	11
30101	0	0	1	0	-1	0	0			3	0	11
30102	0	0	1	0	-1	0	0			3	0	11
30103	0	0	1	0	-1	0	0			3	0	11
30104	0	0	1	0	-1	0	0			3	0	11
30105	0	0	1	0	-1	0	0			3	0	11
30111	0	0	1	0	-1	0	0			3	0	11
30112	0	0	1	0	-1	0	0			3	0	11
30113	0	0	1	0	-1	0	0			3	0	11
30114	0	0	1	0	-1	0	0			3	0	11
30115	0	0	1	0	-1	0	0			3	0	11
30121	30121,15	0	1	0	-1	0	0			4	0	11
30122	30121,25	0	1	0	-1	0	0			4	0	11
30123	30121,35	0	1	0	-1	0	0			4	0	11
30124	30121,45	0	1	0	-1	0	0			4	0	11
30125	30121,60	0	1	0	-1	0	0			4	0	11
30131	0	0	1	0	-1	0	0			3	0	11
30132	0	0	1	0	-1	0	0			3	0	11
30133	0	0	1	0	-1	0	0			3	0	11
30134	0	0	1	0	-1	0	0			3	0	11
30135	0	0	1	0	-1	0	0			3	0	11
30141	30141,30	0	1	0	-1	0	0			4	0	11
30142	30141,40	0	1	0	-1	0	0			4	0	11
30143	30141,50	0	1	0	-1	0	0			4	0	11
30144	30141,65	0	1	0	-1	0	0			4	0	11
30145	30141,80	0	1	0	-1	0	0			4	0	11
30151	30151,30	0	1	0	-1	0	0			4	0	11
30152	30151,40	0	1	0	-1	0	0			4	0	11
30153	30151,50	0	1	0	-1	0	0			4	0	11
30154	30151,65	0	1	0	-1	0	0			4	0	11
30155	30151,80	0	1	0	-1	0	0			4	0	11
30161	30161,30	0	1	0	-1	0	0			4	0	11
30162	30161,40	0	1	0	-1	0	0			4	0	11
30163	30161,50	0	1	0	-1	0	0			4	0	11
30164	30161,65	0	1	0	-1	0	0			4	0	11
30165	30161,80	0	1	0	-1	0	0			4	0	11
30171	30171,30	0	1	0	-1	0	0			4	0	11
30172	30171,40	0	1	0	-1	0	0			4	0	11
30173	30171,50	0	1	0	-1	0	0			4	0	11
30174	30171,65	0	1	0	-1	0	0			4	0	11
30175	30171,80	0	1	0	-1	0	0			4	0	11
30181	30181,30	0	1	0	-1	0	0			4	0	11
30182	30181,40	0	1	0	-1	0	0			4	0	11
30183	30181,50	0	1	0	-1	0	0			4	0	11
30184	30181,65	0	1	0	-1	0	0			4	0	11
30185	30181,80	0	1	0	-1	0	0			4	0	11
30191	30191,20	0	1	0	-1	0	0			4	0	11
30192	30191,30	0	1	0	-1	0	0			4	0	11
30193	30191,40	0	1	0	-1	0	0			4	0	11
30194	30191,50	0	1	0	-1	0	0			4	0	11
30195	30191,65	0	1	0	-1	0	0			4	0	11
30201	30201,20	0	1	0	-1	0	0			4	0	11
30202	30201,30	0	1	0	-1	0	0			4	0	11
30203	30201,40	0	1	0	-1	0	0			4	0	11
30204	30201,50	0	1	0	-1	0	0			4	0	11
30205	30201,65	0	1	0	-1	0	0			4	0	11
30211	30211,20	0	1	0	-1	0	0			4	0	11
30212	30211,30	0	1	0	-1	0	0			4	0	11
30213	30211,40	0	1	0	-1	0	0			4	0	11
30214	30211,50	0	1	0	-1	0	0			4	0	11
30215	30211,65	0	1	0	-1	0	0			4	0	11
30221	30221,20	0	1	0	-1	0	0			4	0	11
30222	30221,30	0	1	0	-1	0	0			4	0	11
30223	30221,40	0	1	0	-1	0	0			4	0	11
30224	30221,50	0	1	0	-1	0	0			4	0	11
30225	30221,65	0	1	0	-1	0	0			4	0	11
30231	30231,20	0	1	0	-1	0	0			4	0	11
30232	30231,40	0	1	0	-1	0	0			4	0	11
30233	30231,60	0	1	0	-1	0	0			4	0	11
30234	30231,80	0	1	0	-1	0	0			4	0	11
30235	30231,100	0	1	0	-1	0	0			4	0	11
30241	30241,20	0	1	0	-1	0	0			4	0	11
30242	30241,40	0	1	0	-1	0	0			4	0	11
30243	30241,60	0	1	0	-1	0	0			4	0	11
30244	30241,80	0	1	0	-1	0	0			4	0	11
30245	30241,100	0	1	0	-1	0	0			4	0	11
30251	30251,20	0	1	0	-1	0	0			4	0	11
