id	itemId	score	強化照片檔名	avg	reward	cost_reward
45	7	100	intimacy_07_03	00703	70000_7_40	70000_7_60
46	7	150	intimacy_07_04	00704	70000_7_40	70000_7_60
47	7	250	intimacy_07_05	00705	70000_7_40	70000_7_60
48	7	375	intimacy_07_06	00706	70000_7_40	70000_7_60
49	7	500	intimacy_07_07	00707	70000_7_40	70000_7_60
50	8	50	intimacy_08_01	00801	70000_8_40	70000_8_60
51	8	75	intimacy_08_02	00802	70000_8_40	70000_8_60
52	8	100	intimacy_08_03	00803	70000_8_40	70000_8_60
53	8	150	intimacy_08_04	00804	70000_8_40	70000_8_60
54	8	250	intimacy_08_05	00805	70000_8_40	70000_8_60
55	8	375	intimacy_08_06	00806	70000_8_40	70000_8_60
56	8	500	intimacy_08_07	00807	70000_8_40	70000_8_60
57	9	50	intimacy_09_01	00901	70000_9_40	70000_9_60
58	9	75	intimacy_09_02	00902	70000_9_40	70000_9_60
59	9	100	intimacy_09_03	00903	70000_9_40	70000_9_60
60	9	150	intimacy_09_04	00904	70000_9_40	70000_9_60
61	9	250	intimacy_09_05	00905	70000_9_40	70000_9_60
62	9	375	intimacy_09_06	00906	70000_9_40	70000_9_60
63	9	500	intimacy_09_07	00907	70000_9_40	70000_9_60
64	10	50	intimacy_10_01	01001	70000_10_40	70000_10_60
65	10	75	intimacy_10_02	01002	70000_10_40	70000_10_60
66	10	100	intimacy_10_03	01003	70000_10_40	70000_10_60
67	10	150	intimacy_10_04	01004	70000_10_40	70000_10_60
68	10	250	intimacy_10_05	01005	70000_10_40	70000_10_60
69	10	375	intimacy_10_06	01006	70000_10_40	70000_10_60
70	10	500	intimacy_10_07	01007	70000_10_40	70000_10_60
71	11	50	intimacy_11_01	01101	70000_11_40	70000_11_60
72	11	75	intimacy_11_02	01102	70000_11_40	70000_11_60
73	11	100	intimacy_11_03	01103	70000_11_40	70000_11_60
74	11	150	intimacy_11_04	01104	70000_11_40	70000_11_60
75	11	250	intimacy_11_05	01105	70000_11_40	70000_11_60
76	11	375	intimacy_11_06	01106	70000_11_40	70000_11_60
77	11	500	intimacy_11_07	01107	70000_11_40	70000_11_60
78	12	50	intimacy_12_01	01201	70000_12_40	70000_12_60
79	12	75	intimacy_12_02	01202	70000_12_40	70000_12_60
80	12	100	intimacy_12_03	01203	70000_12_40	70000_12_60
81	12	150	intimacy_12_04	01204	70000_12_40	70000_12_60
82	12	250	intimacy_12_05	01205	70000_12_40	70000_12_60
83	12	375	intimacy_12_06	01206	70000_12_40	70000_12_60
84	12	500	intimacy_12_07	01207	70000_12_40	70000_12_60
85	13	50	intimacy_13_01	01301	70000_13_40	70000_13_60
86	13	75	intimacy_13_02	01302	70000_13_40	70000_13_60
87	13	100	intimacy_13_03	01303	70000_13_40	70000_13_60
88	13	150	intimacy_13_04	01304	70000_13_40	70000_13_60
89	13	250	intimacy_13_05	01305	70000_13_40	70000_13_60
90	13	375	intimacy_13_06	01306	70000_13_40	70000_13_60
91	13	500	intimacy_13_07	01307	70000_13_40	70000_13_60
92	14	50	intimacy_14_01	01401	70000_14_40	70000_14_60
93	14	75	intimacy_14_02	01402	70000_14_40	70000_14_60
94	14	100	intimacy_14_03	01403	70000_14_40	70000_14_60
95	14	150	intimacy_14_04	01404	70000_14_40	70000_14_60
96	14	250	intimacy_14_05	01405	70000_14_40	70000_14_60
97	14	375	intimacy_14_06	01406	70000_14_40	70000_14_60
98	14	500	intimacy_14_07	01407	70000_14_40	70000_14_60
99	15	50	intimacy_15_01	01501	70000_15_40	70000_15_60
100	15	75	intimacy_15_02	01502	70000_15_40	70000_15_60
101	15	100	intimacy_15_03	01503	70000_15_40	70000_15_60
102	15	150	intimacy_15_04	01504	70000_15_40	70000_15_60
103	15	250	intimacy_15_05	01505	70000_15_40	70000_15_60
104	15	375	intimacy_15_06	01506	70000_15_40	70000_15_60
105	15	500	intimacy_15_07	01507	70000_15_40	70000_15_60
106	16	50	intimacy_16_01	01601	70000_16_40	70000_16_60
107	16	75	intimacy_16_02	01602	70000_16_40	70000_16_60
108	16	100	intimacy_16_03	01603	70000_16_40	70000_16_60
109	16	150	intimacy_16_04	01604	70000_16_40	70000_16_60
110	16	250	intimacy_16_05	01605	70000_16_40	70000_16_60
111	16	375	intimacy_16_06	01606	70000_16_40	70000_16_60
112	16	500	intimacy_16_07	01607	70000_16_40	70000_16_60
113	17	50	intimacy_17_01	01701	70000_17_40	70000_17_60
114	17	75	intimacy_17_02	01702	70000_17_40	70000_17_60
115	17	100	intimacy_17_03	01703	70000_17_40	70000_17_60
116	17	150	intimacy_17_04	01704	70000_17_40	70000_17_60
117	17	250	intimacy_17_05	01705	70000_17_40	70000_17_60
118	17	375	intimacy_17_06	01706	70000_17_40	70000_17_60
119	17	500	intimacy_17_07	01707	70000_17_40	70000_17_60
120	18	50	intimacy_18_01	01801	70000_18_40	70000_18_60
121	18	75	intimacy_18_02	01802	70000_18_40	70000_18_60
122	18	100	intimacy_18_03	01803	70000_18_40	70000_18_60
123	18	150	intimacy_18_04	01804	70000_18_40	70000_18_60
124	18	250	intimacy_18_05	01805	70000_18_40	70000_18_60
125	18	375	intimacy_18_06	01806	70000_18_40	70000_18_60
126	18	500	intimacy_18_07	01807	70000_18_40	70000_18_60
127	19	50	intimacy_19_01	01901	70000_19_40	70000_19_60
128	19	75	intimacy_19_02	01902	70000_19_40	70000_19_60
129	19	100	intimacy_19_03	01903	70000_19_40	70000_19_60
130	19	150	intimacy_19_04	01904	70000_19_40	70000_19_60
131	19	250	intimacy_19_05	01905	70000_19_40	70000_19_60
132	19	375	intimacy_19_06	01906	70000_19_40	70000_19_60
133	19	500	intimacy_19_07	01907	70000_19_40	70000_19_60
134	20	50	intimacy_20_01	02001	70000_20_40	70000_20_60
135	20	75	intimacy_20_02	02002	70000_20_40	70000_20_60
136	20	100	intimacy_20_03	02003	70000_20_40	70000_20_60
137	20	150	intimacy_20_04	02004	70000_20_40	70000_20_60
138	20	250	intimacy_20_05	02005	70000_20_40	70000_20_60
139	20	375	intimacy_20_06	02006	70000_20_40	70000_20_60
140	20	500	intimacy_20_07	02007	70000_20_40	70000_20_60
141	21	50	intimacy_21_01	02101	70000_21_40	70000_21_60
142	21	75	intimacy_21_02	02102	70000_21_40	70000_21_60
143	21	100	intimacy_21_03	02103	70000_21_40	70000_21_60
144	21	150	intimacy_21_04	02104	70000_21_40	70000_21_60
145	21	250	intimacy_21_05	02105	70000_21_40	70000_21_60
146	21	375	intimacy_21_06	02106	70000_21_40	70000_21_60
147	21	500	intimacy_21_07	02107	70000_21_40	70000_21_60
148	22	50	intimacy_22_01	02201	70000_22_40	70000_22_60
149	22	75	intimacy_22_02	02202	70000_22_40	70000_22_60
150	22	100	intimacy_22_03	02203	70000_22_40	70000_22_60
151	22	150	intimacy_22_04	02204	70000_22_40	70000_22_60
152	22	250	intimacy_22_05	02205	70000_22_40	70000_22_60
153	22	375	intimacy_22_06	02206	70000_22_40	70000_22_60
154	22	500	intimacy_22_07	02207	70000_22_40	70000_22_60
155	23	50	intimacy_23_01	02301	70000_23_40	70000_23_60
156	23	75	intimacy_23_02	02302	70000_23_40	70000_23_60
157	23	100	intimacy_23_03	02303	70000_23_40	70000_23_60
158	23	150	intimacy_23_04	02304	70000_23_40	70000_23_60
159	23	250	intimacy_23_05	02305	70000_23_40	70000_23_60
160	23	375	intimacy_23_06	02306	70000_23_40	70000_23_60
161	23	500	intimacy_23_07	02307	70000_23_40	70000_23_60
162	24	50	intimacy_24_01	02401	70000_24_40	70000_24_60
163	24	75	intimacy_24_02	02402	70000_24_40	70000_24_60
164	24	100	intimacy_24_03	02403	70000_24_40	70000_24_60
165	24	150	intimacy_24_04	02404	70000_24_40	70000_24_60
166	24	250	intimacy_24_05	02405	70000_24_40	70000_24_60
167	24	375	intimacy_24_06	02406	70000_24_40	70000_24_60
168	24	500	intimacy_24_07	02407	70000_24_40	70000_24_60
1001	1	11	upgrade_01_01			
1002	2	11	upgrade_02_01			
1003	3	11	upgrade_03_01			
1004	4	11	upgrade_04_01			
1005	5	11	upgrade_05_01			
1006	6	11	upgrade_06_01			
1007	7	11	upgrade_07_01			
1008	8	11	upgrade_08_01			
1009	9	11	upgrade_09_01			
1010	10	11	upgrade_10_01			
1011	11	11	upgrade_11_01			
1012	12	11	upgrade_12_01			
1013	13	11	upgrade_13_01			
1014	14	11	upgrade_14_01			
1015	15	11	upgrade_15_01			
1016	16	11	upgrade_16_01			
1017	17	11	upgrade_17_01			
1018	18	11	upgrade_18_01			
1019	19	11	upgrade_19_01			
1020	20	11	upgrade_20_01			
1021	21	11	upgrade_21_01			
1022	22	11	upgrade_22_01			
1023	23	11	upgrade_23_01			
1024	24	11	upgrade_24_01			
