id	星脉	等级	消耗	属性
78	2	78	30000_101101_1,10000_1001_10	101_150,113_1,106_1
79	2	79	30000_101101_1,10000_1001_10	101_150,113_1,106_1
80	2	80	30000_101101_1,10000_1001_10	101_150,113_1,106_1
81	2	81	30000_101101_1,10000_1001_10	101_150,113_1,106_1
82	2	82	30000_101101_1,10000_1001_10	101_150,113_1,106_1
83	2	83	30000_101101_1,10000_1001_10	101_150,113_1,106_1
84	2	84	30000_101101_1,10000_1001_10	101_150,113_1,106_1
85	2	85	30000_101101_1,10000_1001_10	101_150,113_1,106_1
86	2	86	30000_101101_1,10000_1001_10	101_150,113_1,106_1
87	2	87	30000_101101_1,10000_1001_10	101_150,113_1,106_1
88	2	88	30000_101101_1,10000_1001_10	101_150,113_1,106_1
89	2	89	30000_101101_1,10000_1001_10	101_150,113_1,106_1
90	2	90	30000_101101_1,10000_1001_10	101_150,113_1,106_1
91	2	91	30000_101101_1,10000_1001_10	101_150,113_1,106_1
92	2	92	30000_101101_1,10000_1001_10	101_150,113_1,106_1
93	2	93	30000_101101_1,10000_1001_10	101_150,113_1,106_1
94	2	94	30000_101101_1,10000_1001_10	101_150,113_1,106_1
95	2	95	30000_101101_1,10000_1001_10	101_150,113_1,106_1
96	2	96	30000_101101_1,10000_1001_10	101_150,113_1,106_1
97	2	97	30000_101101_1,10000_1001_10	101_150,113_1,106_1
98	2	98	30000_101101_1,10000_1001_10	101_150,113_1,106_1
99	2	99	30000_101101_1,10000_1001_10	101_150,113_1,106_1
100	2	100	30000_101101_1,10000_1001_10	101_150,113_1,106_1,2103_50,1010_100
101	3	101	30000_101101_1,10000_1001_10	101_150,113_1,106_1
102	3	102	30000_101101_1,10000_1001_10	101_150,113_1,106_1
103	3	103	30000_101101_1,10000_1001_10	101_150,113_1,106_1
104	3	104	30000_101101_1,10000_1001_10	101_150,113_1,106_1
105	3	105	30000_101101_1,10000_1001_10	101_150,113_1,106_1
106	3	106	30000_101101_1,10000_1001_10	101_150,113_1,106_1
107	3	107	30000_101101_1,10000_1001_10	101_150,113_1,106_1
108	3	108	30000_101101_1,10000_1001_10	101_150,113_1,106_1
109	3	109	30000_101101_1,10000_1001_10	101_150,113_1,106_1
110	3	110	30000_101101_1,10000_1001_10	101_150,113_1,106_1
111	3	111	30000_101101_1,10000_1001_10	101_150,113_1,106_1
112	3	112	30000_101101_1,10000_1001_10	101_150,113_1,106_1
113	3	113	30000_101101_1,10000_1001_10	101_150,113_1,106_1
114	3	114	30000_101101_1,10000_1001_10	101_150,113_1,106_1
115	3	115	30000_101101_1,10000_1001_10	101_150,113_1,106_1
116	3	116	30000_101101_1,10000_1001_10	101_150,113_1,106_1
117	3	117	30000_101101_1,10000_1001_10	101_150,113_1,106_1
118	3	118	30000_101101_1,10000_1001_10	101_150,113_1,106_1
119	3	119	30000_101101_1,10000_1001_10	101_150,113_1,106_1
120	3	120	30000_101101_1,10000_1001_10	101_150,113_1,106_1
121	3	121	30000_101101_1,10000_1001_10	101_150,113_1,106_1
122	3	122	30000_101101_1,10000_1001_10	101_150,113_1,106_1
123	3	123	30000_101101_1,10000_1001_10	101_150,113_1,106_1
124	3	124	30000_101101_1,10000_1001_10	101_150,113_1,106_1
125	3	125	30000_101101_1,10000_1001_10	101_150,113_1,106_1,2103_50,1008_50
126	3	126	30000_101101_1,10000_1001_10	101_150,113_1,106_1
127	3	127	30000_101101_1,10000_1001_10	101_150,113_1,106_1
128	3	128	30000_101101_1,10000_1001_10	101_150,113_1,106_1
129	3	129	30000_101101_1,10000_1001_10	101_150,113_1,106_1
130	3	130	30000_101101_1,10000_1001_10	101_150,113_1,106_1
131	3	131	30000_101101_1,10000_1001_10	101_150,113_1,106_1
132	3	132	30000_101101_1,10000_1001_10	101_150,113_1,106_1
133	3	133	30000_101101_1,10000_1001_10	101_150,113_1,106_1
134	3	134	30000_101101_1,10000_1001_10	101_150,113_1,106_1
135	3	135	30000_101101_1,10000_1001_10	101_150,113_1,106_1
136	3	136	30000_101101_1,10000_1001_10	101_150,113_1,106_1
137	3	137	30000_101101_1,10000_1001_10	101_150,113_1,106_1
138	3	138	30000_101101_1,10000_1001_10	101_150,113_1,106_1
139	3	139	30000_101101_1,10000_1001_10	101_150,113_1,106_1
140	3	140	30000_101101_1,10000_1001_10	101_150,113_1,106_1
141	3	141	30000_101101_1,10000_1001_10	101_150,113_1,106_1
142	3	142	30000_101101_1,10000_1001_10	101_150,113_1,106_1
143	3	143	30000_101101_1,10000_1001_10	101_150,113_1,106_1
144	3	144	30000_101101_1,10000_1001_10	101_150,113_1,106_1
145	3	145	30000_101101_1,10000_1001_10	101_150,113_1,106_1
146	3	146	30000_101101_1,10000_1001_10	101_150,113_1,106_1
147	3	147	30000_101101_1,10000_1001_10	101_150,113_1,106_1
148	3	148	30000_101101_1,10000_1001_10	101_150,113_1,106_1
149	3	149	30000_101101_1,10000_1001_10	101_150,113_1,106_1
150	3	150	30000_101101_1,10000_1001_10	101_150,113_1,106_1,2103_50,1010_100
151	4	151	30000_101101_1,10000_1001_10	101_150,113_1,106_1
152	4	152	30000_101101_1,10000_1001_10	101_150,113_1,106_1
153	4	153	30000_101101_1,10000_1001_10	101_150,113_1,106_1
154	4	154	30000_101101_1,10000_1001_10	101_150,113_1,106_1
155	4	155	30000_101101_1,10000_1001_10	101_150,113_1,106_1
156	4	156	30000_101101_1,10000_1001_10	101_150,113_1,106_1
157	4	157	30000_101101_1,10000_1001_10	101_150,113_1,106_1
158	4	158	30000_101101_1,10000_1001_10	101_150,113_1,106_1
159	4	159	30000_101101_1,10000_1001_10	101_150,113_1,106_1
160	4	160	30000_101101_1,10000_1001_10	101_150,113_1,106_1
161	4	161	30000_101101_1,10000_1001_10	101_150,113_1,106_1
162	4	162	30000_101101_1,10000_1001_10	101_150,113_1,106_1
163	4	163	30000_101101_1,10000_1001_10	101_150,113_1,106_1
164	4	164	30000_101101_1,10000_1001_10	101_150,113_1,106_1
165	4	165	30000_101101_1,10000_1001_10	101_150,113_1,106_1
166	4	166	30000_101101_1,10000_1001_10	101_150,113_1,106_1
167	4	167	30000_101101_1,10000_1001_10	101_150,113_1,106_1
168	4	168	30000_101101_1,10000_1001_10	101_150,113_1,106_1
169	4	169	30000_101101_1,10000_1001_10	101_150,113_1,106_1
170	4	170	30000_101101_1,10000_1001_10	101_150,113_1,106_1
171	4	171	30000_101101_1,10000_1001_10	101_150,113_1,106_1
172	4	172	30000_101101_1,10000_1001_10	101_150,113_1,106_1
173	4	173	30000_101101_1,10000_1001_10	101_150,113_1,106_1
174	4	174	30000_101101_1,10000_1001_10	101_150,113_1,106_1
175	4	175	30000_101101_1,10000_1001_10	101_150,113_1,106_1,2103_50,1008_50
176	4	176	30000_101101_1,10000_1001_10	101_150,113_1,106_1
177	4	177	30000_101101_1,10000_1001_10	101_150,113_1,106_1
178	4	178	30000_101101_1,10000_1001_10	101_150,113_1,106_1
179	4	179	30000_101101_1,10000_1001_10	101_150,113_1,106_1
180	4	180	30000_101101_1,10000_1001_10	101_150,113_1,106_1
181	4	181	30000_101101_1,10000_1001_10	101_150,113_1,106_1
182	4	182	30000_101101_1,10000_1001_10	101_150,113_1,106_1
183	4	183	30000_101101_1,10000_1001_10	101_150,113_1,106_1
184	4	184	30000_101101_1,10000_1001_10	101_150,113_1,106_1
185	4	185	30000_101101_1,10000_1001_10	101_150,113_1,106_1
186	4	186	30000_101101_1,10000_1001_10	101_150,113_1,106_1
187	4	187	30000_101101_1,10000_1001_10	101_150,113_1,106_1
188	4	188	30000_101101_1,10000_1001_10	101_150,113_1,106_1
189	4	189	30000_101101_1,10000_1001_10	101_150,113_1,106_1
190	4	190	30000_101101_1,10000_1001_10	101_150,113_1,106_1
191	4	191	30000_101101_1,10000_1001_10	101_150,113_1,106_1
192	4	192	30000_101101_1,10000_1001_10	101_150,113_1,106_1
193	4	193	30000_101101_1,10000_1001_10	101_150,113_1,106_1
194	4	194	30000_101101_1,10000_1001_10	101_150,113_1,106_1
195	4	195	30000_101101_1,10000_1001_10	101_150,113_1,106_1
196	4	196	30000_101101_1,10000_1001_10	101_150,113_1,106_1
197	4	197	30000_101101_1,10000_1001_10	101_150,113_1,106_1
198	4	198	30000_101101_1,10000_1001_10	101_150,113_1,106_1
199	4	199	30000_101101_1,10000_1001_10	101_150,113_1,106_1
200	4	200	30000_101101_1,10000_1001_10	101_150,113_1,106_1,2103_50,1010_100
201	5	201	30000_101101_1,10000_1001_11	101_150,113_1,106_1
202	5	202	30000_101102_1,10000_1001_10	101_150,113_1,106_1
203	5	203	30000_101102_1,10000_1001_10	101_150,113_1,106_1
204	5	204	30000_101102_1,10000_1001_10	101_150,113_1,106_1
205	5	205	30000_101102_1,10000_1001_10	101_150,113_1,106_1
206	5	206	30000_101102_1,10000_1001_10	101_150,113_1,106_1
207	5	207	30000_101102_1,10000_1001_10	101_150,113_1,106_1
208	5	208	30000_101102_1,10000_1001_10	101_150,113_1,106_1
209	5	209	30000_101102_1,10000_1001_10	101_150,113_1,106_1
210	5	210	30000_101102_1,10000_1001_10	101_150,113_1,106_1
211	5	211	30000_101102_1,10000_1001_10	101_150,113_1,106_1
212	5	212	30000_101102_1,10000_1001_10	101_150,113_1,106_1
213	5	213	30000_101102_1,10000_1001_10	101_150,113_1,106_1
214	5	214	30000_101102_1,10000_1001_10	101_150,113_1,106_1
215	5	215	30000_101102_1,10000_1001_10	101_150,113_1,106_1
216	5	216	30000_101102_1,10000_1001_10	101_150,113_1,106_1
217	5	217	30000_101102_1,10000_1001_10	101_150,113_1,106_1
218	5	218	30000_101102_1,10000_1001_10	101_150,113_1,106_1
219	5	219	30000_101102_1,10000_1001_10	101_150,113_1,106_1
220	5	220	30000_101102_1,10000_1001_10	101_150,113_1,106_1
221	5	221	30000_101102_1,10000_1001_10	101_150,113_1,106_1
222	5	222	30000_101102_1,10000_1001_10	101_150,113_1,106_1
223	5	223	30000_101102_1,10000_1001_10	101_150,113_1,106_1
224	5	224	30000_101102_1,10000_1001_10	101_150,113_1,106_1
225	5	225	30000_101102_1,10000_1001_10	101_150,113_1,106_1,2103_50,1008_50
226	5	226	30000_101102_1,10000_1001_10	101_150,113_1,106_1
227	5	227	30000_101102_1,10000_1001_10	101_150,113_1,106_1
228	5	228	30000_101102_1,10000_1001_10	101_150,113_1,106_1
229	5	229	30000_101102_1,10000_1001_10	101_150,113_1,106_1
230	5	230	30000_101102_1,10000_1001_10	101_150,113_1,106_1
231	5	231	30000_101102_1,10000_1001_10	101_150,113_1,106_1
232	5	232	30000_101102_1,10000_1001_10	101_150,113_1,106_1
233	5	233	30000_101102_1,10000_1001_10	101_150,113_1,106_1
234	5	234	30000_101102_1,10000_1001_10	101_150,113_1,106_1
235	5	235	30000_101102_1,10000_1001_10	101_150,113_1,106_1
236	5	236	30000_101102_1,10000_1001_10	101_150,113_1,106_1
237	5	237	30000_101102_1,10000_1001_10	101_150,113_1,106_1
238	5	238	30000_101102_1,10000_1001_10	101_150,113_1,106_1
239	5	239	30000_101102_1,10000_1001_10	101_150,113_1,106_1
240	5	240	30000_101102_1,10000_1001_10	101_150,113_1,106_1
241	5	241	30000_101102_1,10000_1001_10	101_150,113_1,106_1
242	5	242	30000_101102_1,10000_1001_10	101_150,113_1,106_1
243	5	243	30000_101102_1,10000_1001_10	101_150,113_1,106_1
244	5	244	30000_101102_1,10000_1001_10	101_150,113_1,106_1
245	5	245	30000_101102_1,10000_1001_10	101_150,113_1,106_1
246	5	246	30000_101102_1,10000_1001_10	101_150,113_1,106_1
247	5	247	30000_101102_1,10000_1001_10	101_150,113_1,106_1
248	5	248	30000_101102_1,10000_1001_10	101_150,113_1,106_1
249	5	249	30000_101102_1,10000_1001_10	101_150,113_1,106_1
250	5	250	30000_101102_1,10000_1001_10	101_150,113_1,106_1,2103_50,1010_100
251	5	251	30000_101102_1,10000_1001_10	101_150,113_1,106_1
252	5	252	30000_101102_1,10000_1001_10	101_150,113_1,106_1
253	5	253	30000_101102_1,10000_1001_10	101_150,113_1,106_1
254	5	254	30000_101102_1,10000_1001_10	101_150,113_1,106_1
255	5	255	30000_101102_1,10000_1001_10	101_150,113_1,106_1
256	5	256	30000_101102_1,10000_1001_10	101_150,113_1,106_1
257	5	257	30000_101102_1,10000_1001_10	101_150,113_1,106_1
258	5	258	30000_101102_1,10000_1001_10	101_150,113_1,106_1
259	5	259	30000_101102_1,10000_1001_10	101_150,113_1,106_1
260	5	260	30000_101102_1,10000_1001_10	101_150,113_1,106_1
261	5	261	30000_101102_1,10000_1001_10	101_150,113_1,106_1
262	5	262	30000_101102_1,10000_1001_10	101_150,113_1,106_1
263	5	263	30000_101102_1,10000_1001_10	101_150,113_1,106_1
264	5	264	30000_101102_1,10000_1001_10	101_150,113_1,106_1
265	5	265	30000_101102_1,10000_1001_10	101_150,113_1,106_1
266	5	266	30000_101102_1,10000_1001_10	101_150,113_1,106_1
267	5	267	30000_101102_1,10000_1001_10	101_150,113_1,106_1
268	5	268	30000_101102_1,10000_1001_10	101_150,113_1,106_1
269	5	269	30000_101102_1,10000_1001_10	101_150,113_1,106_1
270	5	270	30000_101102_1,10000_1001_10	101_150,113_1,106_1
271	5	271	30000_101102_1,10000_1001_10	101_150,113_1,106_1
272	5	272	30000_101102_1,10000_1001_10	101_150,113_1,106_1
273	5	273	30000_101102_1,10000_1001_10	101_150,113_1,106_1
274	5	274	30000_101102_1,10000_1001_10	101_150,113_1,106_1
275	5	275	30000_101102_1,10000_1001_10	101_150,113_1,106_1,2103_50,1008_50
276	5	276	30000_101102_1,10000_1001_10	101_150,113_1,106_1
277	5	277	30000_101102_1,10000_1001_10	101_150,113_1,106_1
278	5	278	30000_101102_1,10000_1001_10	101_150,113_1,106_1
279	5	279	30000_101102_1,10000_1001_10	101_150,113_1,106_1
280	5	280	30000_101102_1,10000_1001_10	101_150,113_1,106_1
281	5	281	30000_101102_1,10000_1001_10	101_150,113_1,106_1
282	5	282	30000_101102_1,10000_1001_10	101_150,113_1,106_1
283	5	283	30000_101102_1,10000_1001_10	101_150,113_1,106_1
284	5	284	30000_101102_1,10000_1001_10	101_150,113_1,106_1
285	5	285	30000_101102_1,10000_1001_10	101_150,113_1,106_1
286	5	286	30000_101102_1,10000_1001_10	101_150,113_1,106_1
287	5	287	30000_101102_1,10000_1001_10	101_150,113_1,106_1
288	5	288	30000_101102_1,10000_1001_10	101_150,113_1,106_1
289	5	289	30000_101102_1,10000_1001_10	101_150,113_1,106_1
290	5	290	30000_101102_1,10000_1001_10	101_150,113_1,106_1
291	5	291	30000_101102_1,10000_1001_10	101_150,113_1,106_1
292	5	292	30000_101102_1,10000_1001_10	101_150,113_1,106_1
293	5	293	30000_101102_1,10000_1001_10	101_150,113_1,106_1
294	5	294	30000_101102_1,10000_1001_10	101_150,113_1,106_1
295	5	295	30000_101102_1,10000_1001_10	101_150,113_1,106_1
296	5	296	30000_101102_1,10000_1001_10	101_150,113_1,106_1
297	5	297	30000_101102_1,10000_1001_10	101_150,113_1,106_1
298	5	298	30000_101102_1,10000_1001_10	101_150,113_1,106_1
299	5	299	30000_101102_1,10000_1001_10	101_150,113_1,106_1
300	5	300	30000_101102_1,10000_1001_10	101_150,113_1,106_1,2103_50,1010_100
301	6	301	30000_101102_1,10000_1001_10	101_150,113_1,106_1
302	6	302	30000_101102_1,10000_1001_10	101_150,113_1,106_1
303	6	303	30000_101102_1,10000_1001_10	101_150,113_1,106_1
304	6	304	30000_101102_1,10000_1001_10	101_150,113_1,106_1
305	6	305	30000_101102_1,10000_1001_10	101_150,113_1,106_1
306	6	306	30000_101102_1,10000_1001_10	101_150,113_1,106_1
307	6	307	30000_101102_1,10000_1001_10	101_150,113_1,106_1
308	6	308	30000_101102_1,10000_1001_10	101_150,113_1,106_1
309	6	309	30000_101102_1,10000_1001_10	101_150,113_1,106_1
310	6	310	30000_101102_1,10000_1001_10	101_150,113_1,106_1
311	6	311	30000_101102_1,10000_1001_10	101_150,113_1,106_1
312	6	312	30000_101102_1,10000_1001_10	101_150,113_1,106_1
313	6	313	30000_101102_1,10000_1001_10	101_150,113_1,106_1
314	6	314	30000_101102_1,10000_1001_10	101_150,113_1,106_1
315	6	315	30000_101102_1,10000_1001_10	101_150,113_1,106_1
316	6	316	30000_101102_1,10000_1001_10	101_150,113_1,106_1
317	6	317	30000_101102_1,10000_1001_10	101_150,113_1,106_1
318	6	318	30000_101102_1,10000_1001_10	101_150,113_1,106_1
319	6	319	30000_101102_1,10000_1001_10	101_150,113_1,106_1
320	6	320	30000_101102_1,10000_1001_10	101_150,113_1,106_1
321	6	321	30000_101102_1,10000_1001_10	101_150,113_1,106_1
322	6	322	30000_101102_1,10000_1001_10	101_150,113_1,106_1
323	6	323	30000_101102_1,10000_1001_10	101_150,113_1,106_1
324	6	324	30000_101102_1,10000_1001_10	101_150,113_1,106_1
325	6	325	30000_101102_1,10000_1001_10	101_150,113_1,106_1,2103_50,1008_50
326	6	326	30000_101102_1,10000_1001_10	101_150,113_1,106_1
327	6	327	30000_101102_1,10000_1001_10	101_150,113_1,106_1
328	6	328	30000_101102_1,10000_1001_10	101_150,113_1,106_1
329	6	329	30000_101102_1,10000_1001_10	101_150,113_1,106_1
330	6	330	30000_101102_1,10000_1001_10	101_150,113_1,106_1
331	6	331	30000_101102_1,10000_1001_10	101_150,113_1,106_1
332	6	332	30000_101102_1,10000_1001_10	101_150,113_1,106_1
333	6	333	30000_101102_1,10000_1001_10	101_150,113_1,106_1
334	6	334	30000_101102_1,10000_1001_10	101_150,113_1,106_1
335	6	335	30000_101102_1,10000_1001_10	101_150,113_1,106_1
336	6	336	30000_101102_1,10000_1001_10	101_150,113_1,106_1
337	6	337	30000_101102_1,10000_1001_10	101_150,113_1,106_1
338	6	338	30000_101102_1,10000_1001_10	101_150,113_1,106_1
339	6	339	30000_101102_1,10000_1001_10	101_150,113_1,106_1
340	6	340	30000_101102_1,10000_1001_10	101_150,113_1,106_1
341	6	341	30000_101102_1,10000_1001_10	101_150,113_1,106_1
342	6	342	30000_101102_1,10000_1001_10	101_150,113_1,106_1
343	6	343	30000_101102_1,10000_1001_10	101_150,113_1,106_1
344	6	344	30000_101102_1,10000_1001_10	101_150,113_1,106_1
345	6	345	30000_101102_1,10000_1001_10	101_150,113_1,106_1
346	6	346	30000_101102_1,10000_1001_10	101_150,113_1,106_1
347	6	347	30000_101102_1,10000_1001_10	101_150,113_1,106_1
348	6	348	30000_101102_1,10000_1001_10	101_150,113_1,106_1
349	6	349	30000_101102_1,10000_1001_10	101_150,113_1,106_1
350	6	350	30000_101102_1,10000_1001_10	101_150,113_1,106_1,2103_50,1010_100
351	6	351	30000_101102_1,10000_1001_10	101_150,113_1,106_1
352	6	352	30000_101102_1,10000_1001_10	101_150,113_1,106_1
353	6	353	30000_101102_1,10000_1001_10	101_150,113_1,106_1
354	6	354	30000_101102_1,10000_1001_10	101_150,113_1,106_1
355	6	355	30000_101102_1,10000_1001_10	101_150,113_1,106_1
356	6	356	30000_101102_1,10000_1001_10	101_150,113_1,106_1
357	6	357	30000_101102_1,10000_1001_10	101_150,113_1,106_1
358	6	358	30000_101102_1,10000_1001_10	101_150,113_1,106_1
359	6	359	30000_101102_1,10000_1001_10	101_150,113_1,106_1
360	6	360	30000_101102_1,10000_1001_10	101_150,113_1,106_1
361	6	361	30000_101102_1,10000_1001_10	101_150,113_1,106_1
362	6	362	30000_101102_1,10000_1001_10	101_150,113_1,106_1
363	6	363	30000_101102_1,10000_1001_10	101_150,113_1,106_1
364	6	364	30000_101102_1,10000_1001_10	101_150,113_1,106_1
365	6	365	30000_101102_1,10000_1001_10	101_150,113_1,106_1
366	6	366	30000_101102_1,10000_1001_10	101_150,113_1,106_1
367	6	367	30000_101102_1,10000_1001_10	101_150,113_1,106_1
368	6	368	30000_101102_1,10000_1001_10	101_150,113_1,106_1
369	6	369	30000_101102_1,10000_1001_10	101_150,113_1,106_1
370	6	370	30000_101102_1,10000_1001_10	101_150,113_1,106_1
371	6	371	30000_101102_1,10000_1001_10	101_150,113_1,106_1
372	6	372	30000_101102_1,10000_1001_10	101_150,113_1,106_1
373	6	373	30000_101102_1,10000_1001_10	101_150,113_1,106_1
374	6	374	30000_101102_1,10000_1001_10	101_150,113_1,106_1
375	6	375	30000_101102_1,10000_1001_10	101_150,113_1,106_1,2103_50,1008_50
376	6	376	30000_101102_1,10000_1001_10	101_150,113_1,106_1
377	6	377	30000_101102_1,10000_1001_10	101_150,113_1,106_1
378	6	378	30000_101102_1,10000_1001_10	101_150,113_1,106_1
379	6	379	30000_101102_1,10000_1001_10	101_150,113_1,106_1
380	6	380	30000_101102_1,10000_1001_10	101_150,113_1,106_1
381	6	381	30000_101102_1,10000_1001_10	101_150,113_1,106_1
382	6	382	30000_101102_1,10000_1001_10	101_150,113_1,106_1
383	6	383	30000_101102_1,10000_1001_10	101_150,113_1,106_1
384	6	384	30000_101102_1,10000_1001_10	101_150,113_1,106_1
385	6	385	30000_101102_1,10000_1001_10	101_150,113_1,106_1
386	6	386	30000_101102_1,10000_1001_10	101_150,113_1,106_1
387	6	387	30000_101102_1,10000_1001_10	101_150,113_1,106_1
388	6	388	30000_101102_1,10000_1001_10	101_150,113_1,106_1
389	6	389	30000_101102_1,10000_1001_10	101_150,113_1,106_1
390	6	390	30000_101102_1,10000_1001_10	101_150,113_1,106_1
391	6	391	30000_101102_1,10000_1001_10	101_150,113_1,106_1
392	6	392	30000_101102_1,10000_1001_10	101_150,113_1,106_1
393	6	393	30000_101102_1,10000_1001_10	101_150,113_1,106_1
394	6	394	30000_101102_1,10000_1001_10	101_150,113_1,106_1
395	6	395	30000_101102_1,10000_1001_10	101_150,113_1,106_1
396	6	396	30000_101102_1,10000_1001_10	101_150,113_1,106_1
397	6	397	30000_101102_1,10000_1001_10	101_150,113_1,106_1
398	6	398	30000_101102_1,10000_1001_10	101_150,113_1,106_1
399	6	399	30000_101102_1,10000_1001_10	101_150,113_1,106_1
400	6	400	30000_101102_1,10000_1001_10	101_150,113_1,106_1,2103_50,1010_100
401	7	401	30000_101102_1,10000_1001_10	101_150,113_1,106_1
402	7	402	0	101_150,113_1,106_1
403	7	403	30000_101103_1,10000_1001_10	101_150,113_1,106_1
404	7	404	30000_101103_1,10000_1001_10	101_150,113_1,106_1
405	7	405	30000_101103_1,10000_1001_10	101_150,113_1,106_1
406	7	406	30000_101103_1,10000_1001_10	101_150,113_1,106_1
407	7	407	30000_101103_1,10000_1001_10	101_150,113_1,106_1
408	7	408	30000_101103_1,10000_1001_10	101_150,113_1,106_1
409	7	409	30000_101103_1,10000_1001_10	101_150,113_1,106_1
410	7	410	30000_101103_1,10000_1001_10	101_150,113_1,106_1
411	7	411	30000_101103_1,10000_1001_10	101_150,113_1,106_1
412	7	412	30000_101103_1,10000_1001_10	101_150,113_1,106_1
413	7	413	30000_101103_1,10000_1001_10	101_150,113_1,106_1
414	7	414	30000_101103_1,10000_1001_10	101_150,113_1,106_1
415	7	415	30000_101103_1,10000_1001_10	101_150,113_1,106_1
416	7	416	30000_101103_1,10000_1001_10	101_150,113_1,106_1
417	7	417	30000_101103_1,10000_1001_10	101_150,113_1,106_1
418	7	418	30000_101103_1,10000_1001_10	101_150,113_1,106_1
419	7	419	30000_101103_1,10000_1001_10	101_150,113_1,106_1
420	7	420	30000_101103_1,10000_1001_10	101_150,113_1,106_1
421	7	421	30000_101103_1,10000_1001_10	101_150,113_1,106_1
422	7	422	30000_101103_1,10000_1001_10	101_150,113_1,106_1
423	7	423	30000_101103_1,10000_1001_10	101_150,113_1,106_1
