id	名称(name)	类型(type)	等级限制(levelLimit)	职业限制(profLimit)	出售价格(price)	配对物品(needItem)	包含物品(containItem)	宝石升级消耗(levelUpCost)	宝石升级概率(levelUpRate)	宝石升级目标(levelUpItem)	力量(strenght)	敏捷(agility)	智力(intellect)	耐力(stamina)	物品图标	升级目标最大消耗	物品描述	兑换需要熔炼值	time	品质	页面跳转	魂石经验	技能经验	英雄令任务	宝石类型	可镶嵌部位	宝石属性	新旧宝石功能列	宝石等级	升级宝石消耗	宝石兑换宝石卷	套装碎片卖水晶	图纸等级	部位	道具描述2	背包筛选类型	背包排序ID
19	@RoleSoul_19	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_019.png	0	@RoleSoul_Desc_19	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1019
20	@RoleSoul_20	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_020.png	0	@RoleSoul_Desc_20	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1020
21	@RoleSoul_21	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_021.png	0	@RoleSoul_Desc_21	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1021
22	@RoleSoul_22	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_022.png	0	@RoleSoul_Desc_22	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1022
23	@RoleSoul_23	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_023.png	0	@RoleSoul_Desc_23	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1023
24	@RoleSoul_24	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_024.png	0	@RoleSoul_Desc_24	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1024
501	@RoleSoul_501	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_501.png	0	@RoleSoul_Desc_501	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1025
502	@RoleSoul_502	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_502.png	0	@RoleSoul_Desc_502	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1026
503	@RoleSoul_503	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_503.png	0	@RoleSoul_Desc_503	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1027
504	@RoleSoul_504	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_504.png	0	@RoleSoul_Desc_504	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1028
505	@RoleSoul_505	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_505.png	0	@RoleSoul_Desc_505	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1029
506	@RoleSoul_506	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_506.png	0	@RoleSoul_Desc_506	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1030
507	@RoleSoul_507	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_507.png	0	@RoleSoul_Desc_507	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1031
508	@RoleSoul_508	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_508.png	0	@RoleSoul_Desc_508	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1032
509	@RoleSoul_509	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_509.png	0	@RoleSoul_Desc_509	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1033
510	@RoleSoul_510	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_510.png	0	@RoleSoul_Desc_510	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1034
511	@RoleSoul_511	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_511.png	0	@RoleSoul_Desc_511	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1035
512	@RoleSoul_512	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_512.png	0	@RoleSoul_Desc_512	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1036
1001	@RoleSoul_512	19	0	0	0	0	0	0	0	0	0	0	0	0	Item/Shard_512.png	0	@RoleSoul_Desc_512	0	0	4	0	0	0	0		0	0	0	0	0	0	0	0	0		0	1059
3001	@Item_3001	39	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_3001.png	0	@Item_Desc_3001	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1071
3002	@Item_3002	39	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_3001.png	0	@Item_Desc_3002	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1072
3003	@Item_3003	39	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_3002.png	0	@Item_Desc_3003	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1073
3004	@Item_3004	39	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_3002.png	0	@Item_Desc_3004	0	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1074
3005	@Item_3005	39	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_3003.png	0	@Item_Desc_3005	0	24	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1075
3501	@Item_3501	40	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_3501.png	0	@Item_Desc_3501	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1076
3502	@Item_3502	40	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_3501.png	0	@Item_Desc_3502	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1077
3503	@Item_3503	40	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_3502.png	0	@Item_Desc_3503	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1078
3504	@Item_3504	40	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_3502.png	0	@Item_Desc_3504	0	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1079
3505	@Item_3505	40	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_3503.png	0	@Item_Desc_3505	0	24	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1080
3801	@Item_3801	41	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_3801.png	0	@Item_Desc_3801	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1081
3802	@Item_3802	41	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_3801.png	0	@Item_Desc_3802	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1082
3803	@Item_3803	41	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_3802.png	0	@Item_Desc_3803	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1083
3804	@Item_3804	41	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_3802.png	0	@Item_Desc_3804	0	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1084
3805	@Item_3805	41	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_3803.png	0	@Item_Desc_3805	0	24	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1085
5001	@Item_5001	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_5001.png	0	@Item_Desc_5001	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1039
5002	@Item_5002	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_5002.png	0	@Item_Desc_5002	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1040
5003	@Item_5003	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_5003.png	0	@Item_Desc_5003	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1041
5004	@Item_5004	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_5004.png	0	@Item_Desc_5004	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1042
5005	@Item_5005	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_5005.png	0	@Item_Desc_5005	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1043
5006	@Item_5006	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_5006.png	0	@Item_Desc_5006	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1044
5007	@Item_5007	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_5007.png	0	@Item_Desc_5007	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1045
5008	@Item_5008	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_5008.png	0	@Item_Desc_5008	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1046
5009	@Item_5009	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_5009.png	0	@Item_Desc_5009	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1047
5010	@Item_5010	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_5010.png	0	@Item_Desc_5010	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1064
5011	@Item_5011	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_5011.png	0	@Item_Desc_5011	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1065
5012	@Item_5012	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_5012.png	0	@Item_Desc_5012	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1066
5013	@Item_5013	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_5013.png	0	@Item_Desc_5013	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1067
6000	@Item_6000	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_6000.png	0	@Item_Desc_6000	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1058
6001	@Item_6001	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_6001.png	0	@Item_Desc_6001	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1048
6002	@Item_6002	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_6002.png	0	@Item_Desc_6002	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1049
6003	@Item_6003	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_6003.png	0	@Item_Desc_6003	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1050
6004	@Item_6004	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_6004.png	0	@Item_Desc_6004	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1051
6005	@Item_6005	6	6	0	0	0	0	0	0	0	0	0	0	0	Item/I_6005.png	0	@Item_Desc_6005	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1052
6006	@Item_6006	6	6	0	0	0	0	0	0	0	0	0	0	0	Item/I_6006.png	0	@Item_Desc_6006	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1053
6007	@Item_6007	6	6	0	0	0	0	0	0	0	0	0	0	0	Item/I_6007.png	0	@Item_Desc_6007	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1054
6008	@Item_6008	6	6	0	0	0	0	0	0	0	0	0	0	0	Item/I_6008.png	0	@Item_Desc_6008	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1055
6009	@Item_6009	6	6	0	0	0	0	0	0	0	0	0	0	0	Item/I_6009.png	0	@Item_Desc_6009	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1056
6010	@Item_6010	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_6010.png	0	@Item_Desc_6010	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1057
6011	@Item_6011	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_6011.png	0	@Item_Desc_6011	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1058
6012	@Item_6012	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_6012.png	0	@Item_Desc_6012	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1060
6999	@Item_6999	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_6999.png	0	@Item_Desc_6999	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2002
7000	@Item_7000	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_7000.png	0	@Item_Desc_7000	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2003
7001	@Item_7001	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_7001.png	0	@Item_Desc_7001	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2001
7002	@Item_7002	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_7002.png	0	@Item_Desc_7002	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2002
7003	@Item_7003	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_7003.png	0	@Item_Desc_7003	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2003
7004	@Item_7004	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_7004.png	0	@Item_Desc_7004	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2004
7005	@Item_7005	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_7005.png	0	@Item_Desc_7005	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2005
7006	@Item_7006	12	0	0	0	0	7006_0_1_10000	0	0	0	0	0	0	0	Item/I_7037.png	0	@Item_Desc_7006	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2006
7007	@Item_7007	12	0	0	0	0	7007_0_1_10000	0	0	0	0	0	0	0	Item/I_7038.png	0	@Item_Desc_7007	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2007
7008	@Item_7008	12	0	0	0	0	7008_0_1_10000	0	0	0	0	0	0	0	Item/I_7039.png	0	@Item_Desc_7008	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2008
7009	@Item_7009	12	0	0	0	0	7009_0_1_10000	0	0	0	0	0	0	0	Item/I_7037.png	0	@Item_Desc_7009	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2009
7010	@Item_7010	12	0	0	0	0	7010_0_1_10000	0	0	0	0	0	0	0	Item/I_7038.png	0	@Item_Desc_7010	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2010
7011	@Item_7011	12	0	0	0	0	7011_0_1_10000	0	0	0	0	0	0	0	Item/I_7039.png	0	@Item_Desc_7011	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2011
7012	@Item_7012	12	0	0	0	0	7012_0_1_10000	0	0	0	0	0	0	0	Item/I_7040.png	0	@Item_Desc_7012	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2012
7013	@Item_7013	12	0	0	0	0	7013_0_1_10000	0	0	0	0	0	0	0	Item/I_7037.png	0	@Item_Desc_7013	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2013
7014	@Item_7014	12	0	0	0	0	7014_0_1_10000	0	0	0	0	0	0	0	Item/I_7038.png	0	@Item_Desc_7014	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2014
7015	@Item_7015	12	0	0	0	0	7015_0_1_10000	0	0	0	0	0	0	0	Item/I_7039.png	0	@Item_Desc_7015	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2015
7016	@Item_7016	12	0	0	0	0	7016_0_1_10000	0	0	0	0	0	0	0	Item/I_7040.png	0	@Item_Desc_7016	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2016
7017	@Item_7017	12	0	0	0	0	40000_1006_1_10000,40000_2006_1_10000,40000_3006_1_10000,40000_4006_1_10000	0	0	0	0	0	0	0	Item/I_7041.png	0	@Item_Desc_7017	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2017
7018	@Item_7018	12	0	0	0	0	40000_1007_1_10000,40000_2007_1_10000,40000_3007_1_10000,40000_4007_1_10000	0	0	0	0	0	0	0	Item/I_7042.png	0	@Item_Desc_7018	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2018
7019	@Item_7019	12	0	0	0	0	40000_1008_1_10000,40000_2008_1_10000,40000_3008_1_10000,40000_4008_1_10000	0	0	0	0	0	0	0	Item/I_7043.png	0	@Item_Desc_7019	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2019
7020	@Item_7020	12	0	0	0	0	40000_1009_1_10000,40000_2009_1_10000,40000_3009_1_10000,40000_4009_1_10000	0	0	0	0	0	0	0	Item/I_7041.png	0	@Item_Desc_7020	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2020
7021	@Item_7021	12	0	0	0	0	40000_1010_1_10000,40000_2010_1_10000,40000_3010_1_10000,40000_4010_1_10000	0	0	0	0	0	0	0	Item/I_7042.png	0	@Item_Desc_7021	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2021
7022	@Item_7022	12	0	0	0	0	40000_1011_1_10000,40000_2011_1_10000,40000_3011_1_10000,40000_4011_1_10000	0	0	0	0	0	0	0	Item/I_7043.png	0	@Item_Desc_7022	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2022
7023	@Item_7023	12	0	0	0	0	40000_1012_1_10000,40000_2012_1_10000,40000_3012_1_10000,40000_4012_1_10000	0	0	0	0	0	0	0	Item/I_7044.png	0	@Item_Desc_7023	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2023
7024	@Item_7024	12	0	0	0	0	40000_1013_1_10000,40000_2013_1_10000,40000_3013_1_10000,40000_4013_1_10000	0	0	0	0	0	0	0	Item/I_7041.png	0	@Item_Desc_7024	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2024
7025	@Item_7025	12	0	0	0	0	40000_1014_1_10000,40000_2014_1_10000,40000_3014_1_10000,40000_4014_1_10000	0	0	0	0	0	0	0	Item/I_7042.png	0	@Item_Desc_7025	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2025
7026	@Item_7026	12	0	0	0	0	40000_1015_1_10000,40000_2015_1_10000,40000_3015_1_10000,40000_4015_1_10000	0	0	0	0	0	0	0	Item/I_7043.png	0	@Item_Desc_7026	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2026
7027	@Item_7027	12	0	0	0	0	40000_1016_1_10000,40000_2016_1_10000,40000_3016_1_10000,40000_4016_1_10000	0	0	0	0	0	0	0	Item/I_7044.png	0	@Item_Desc_7027	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2027
7028	@Item_7028	12	0	0	0	0	7028_0_1_10000	0	0	0	0	0	0	0	Item/I_7012.png	0	@Item_Desc_7028	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2028
7029	@Item_7029	12	0	0	0	0	7029_0_1_10000	0	0	0	0	0	0	0	Item/I_7012.png	0	@Item_Desc_7029	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2029
7030	@Item_7030	12	0	0	0	0	7030_0_1_10000	0	0	0	0	0	0	0	Item/I_7012.png	0	@Item_Desc_7030	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2030
7031	@Item_7031	12	0	0	0	0	7031_0_1_10000	0	0	0	0	0	0	0	Item/I_7012.png	0	@Item_Desc_7031	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2031
7032	@Item_7032	12	0	0	0	0	7032_0_1_10000	0	0	0	0	0	0	0	Item/I_7012.png	0	@Item_Desc_7032	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2032
7033	@Item_7033	12	0	0	0	0	7033_0_1_10000	0	0	0	0	0	0	0	Item/I_7012.png	0	@Item_Desc_7033	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2033
7034	@Item_7034	12	0	0	0	0	7034_0_1_10000	0	0	0	0	0	0	0	Item/I_7012.png	0	@Item_Desc_7034	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2034
7035	@Item_7035	12	0	0	0	0	7035_0_1_10000	0	0	0	0	0	0	0	Item/I_7012.png	0	@Item_Desc_7035	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2035
7036	@Item_7036	12	0	0	0	0	7036_0_1_10000	0	0	0	0	0	0	0	Item/I_7012.png	0	@Item_Desc_7036	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2036
7037	@Item_7037	12	0	0	0	0	7037_0_1_10000	0	0	0	0	0	0	0	Item/I_7013.png	0	@Item_Desc_7037	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2037
7038	@Item_7038	12	0	0	0	0	7038_0_1_10000	0	0	0	0	0	0	0	Item/I_7013.png	0	@Item_Desc_7038	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2038
7039	@Item_7039	12	0	0	0	0	7039_0_1_10000	0	0	0	0	0	0	0	Item/I_7013.png	0	@Item_Desc_7039	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2039
7040	@Item_7040	12	0	0	0	0	7040_0_1_10000	0	0	0	0	0	0	0	Item/I_7013.png	0	@Item_Desc_7040	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2040
7041	@Item_7041	12	0	0	0	0	7041_0_1_10000	0	0	0	0	0	0	0	Item/I_7013.png	0	@Item_Desc_7041	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2041
7042	@Item_7042	12	0	0	0	0	7042_0_1_10000	0	0	0	0	0	0	0	Item/I_7013.png	0	@Item_Desc_7042	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2042
7043	@Item_7043	12	0	0	0	0	7043_0_1_10000	0	0	0	0	0	0	0	Item/I_7013.png	0	@Item_Desc_7043	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2043
7044	@Item_7044	12	0	0	0	0	7044_0_1_10000	0	0	0	0	0	0	0	Item/I_7013.png	0	@Item_Desc_7044	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2044
7045	@Item_7045	12	0	0	0	0	7045_0_1_10000	0	0	0	0	0	0	0	Item/I_7013.png	0	@Item_Desc_7045	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2045
7046	@Item_7046	12	0	0	0	0	7046_0_1_10000	0	0	0	0	0	0	0	Item/I_7014.png	0	@Item_Desc_7046	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2046
7047	@Item_7047	12	0	0	0	0	7047_0_1_10000	0	0	0	0	0	0	0	Item/I_7014.png	0	@Item_Desc_7047	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2047
