Level	needItem
130	10000_1002_94736,30000_7001_78453,30000_7181_1700
131	10000_1002_95532,30000_7001_79112
132	10000_1002_96334,30000_7001_79776
133	10000_1002_97143,30000_7001_80446
134	10000_1002_97959,30000_7001_81122
135	10000_1002_98782,30000_7001_81803,30000_7181_1800
136	10000_1002_99612,30000_7001_82491
137	10000_1002_100449,30000_7001_83184
138	10000_1002_101293,30000_7001_83882
139	10000_1002_102143,30000_7001_84587
140	10000_1002_103001,30000_7001_85297,30000_7181_1900
141	10000_1002_103867,30000_7001_86014
142	10000_1002_104739,30000_7001_86736
143	10000_1002_105619,30000_7001_87465
144	10000_1002_106506,30000_7001_88200
145	10000_1002_107401,30000_7001_88941,30000_7181_2000
146	10000_1002_108303,30000_7001_89688
147	10000_1002_109213,30000_7001_90441
148	10000_1002_110130,30000_7001_91201
149	10000_1002_111055,30000_7001_91967
150	10000_1002_111988,30000_7001_92739,30000_7181_2100
151	10000_1002_112929,30000_7001_93518
152	10000_1002_113877,30000_7001_94304
153	10000_1002_114834,30000_7001_95096
154	10000_1002_115799,30000_7001_95895
155	10000_1002_116771,30000_7001_96700,30000_7181_2200
156	10000_1002_117752,30000_7001_97513
157	10000_1002_118741,30000_7001_98332
158	10000_1002_119739,30000_7001_99158
159	10000_1002_120745,30000_7001_99991
160	10000_1002_121759,30000_7001_100831,30000_7181_2300
161	10000_1002_122782,30000_7001_101678
162	10000_1002_123813,30000_7001_102532
163	10000_1002_124853,30000_7001_103393
164	10000_1002_125902,30000_7001_104262
165	10000_1002_126959,30000_7001_105137,30000_7181_2400
166	10000_1002_128026,30000_7001_106020
167	10000_1002_129101,30000_7001_106911
168	10000_1002_130186,30000_7001_107809
169	10000_1002_131279,30000_7001_108715
170	10000_1002_132382,30000_7001_109628,30000_7181_2500
171	10000_1002_133494,30000_7001_110549
172	10000_1002_134615,30000_7001_111477
173	10000_1002_135746,30000_7001_112414
174	10000_1002_136886,30000_7001_113358
175	10000_1002_138036,30000_7001_114310,30000_7181_2600
176	10000_1002_139196,30000_7001_115270
177	10000_1002_140365,30000_7001_116239
178	10000_1002_141544,30000_7001_117215
179	10000_1002_142733,30000_7001_118200
180	10000_1002_143932,30000_7001_119193,30000_7181_2700
181	10000_1002_145141,30000_7001_120194
182	10000_1002_146360,30000_7001_121204
183	10000_1002_147590,30000_7001_122222
184	10000_1002_148829,30000_7001_123248
185	10000_1002_150079,30000_7001_124284,30000_7181_2800
186	10000_1002_151340,30000_7001_125328
187	10000_1002_152611,30000_7001_126380
188	10000_1002_153893,30000_7001_127442
189	10000_1002_155186,30000_7001_128512
190	10000_1002_156490,30000_7001_129592,30000_7181_2900
191	10000_1002_157804,30000_7001_130680
192	10000_1002_159130,30000_7001_131778
193	10000_1002_160466,30000_7001_132885
194	10000_1002_161814,30000_7001_134001
195	10000_1002_163173,30000_7001_135127,30000_7181_3000
196	10000_1002_164544,30000_7001_136262
197	10000_1002_165926,30000_7001_137407
198	10000_1002_167320,30000_7001_138561
199	10000_1002_168726,30000_7001_139725
200	10000_1002_170143,30000_7001_140898,30000_7181_3100
201	10000_1002_172525,30000_7001_142871
202	10000_1002_174940,30000_7001_144871
203	10000_1002_177389,30000_7001_146899
204	10000_1002_179873,30000_7001_148956
205	10000_1002_182391,30000_7001_151041,30000_7181_3200
206	10000_1002_184945,30000_7001_153156
207	10000_1002_187534,30000_7001_155300
208	10000_1002_190159,30000_7001_157474
209	10000_1002_192821,30000_7001_159679
210	10000_1002_195521,30000_7001_161915,30000_7181_3300
211	10000_1002_198258,30000_7001_164181
212	10000_1002_201034,30000_7001_166480
213	10000_1002_203848,30000_7001_168811
214	10000_1002_206702,30000_7001_171174
215	10000_1002_209596,30000_7001_173570,30000_7181_3400
216	10000_1002_212530,30000_7001_176000
217	10000_1002_215506,30000_7001_178464
218	10000_1002_218523,30000_7001_180963
219	10000_1002_221582,30000_7001_183496
220	10000_1002_224684,30000_7001_186065,30000_7181_3500
221	10000_1002_227830,30000_7001_188670
222	10000_1002_231020,30000_7001_191312
223	10000_1002_234254,30000_7001_193990
224	10000_1002_237533,30000_7001_196706
225	10000_1002_240859,30000_7001_199460,30000_7181_3600
226	10000_1002_244231,30000_7001_202252
227	10000_1002_247650,30000_7001_205084
228	10000_1002_251117,30000_7001_207955
229	10000_1002_254633,30000_7001_210866
230	10000_1002_258198,30000_7001_213818,30000_7181_3700
231	10000_1002_261812,30000_7001_216812
232	10000_1002_265478,30000_7001_219847
233	10000_1002_269195,30000_7001_222925
234	10000_1002_272963,30000_7001_226046
235	10000_1002_276785,30000_7001_229211,30000_7181_3800
236	10000_1002_280660,30000_7001_232420
237	10000_1002_284589,30000_7001_235673
238	10000_1002_288573,30000_7001_238973
239	10000_1002_292613,30000_7001_242318
240	10000_1002_296710,30000_7001_245711,30000_7181_3900
241	10000_1002_300864,30000_7001_249151
242	10000_1002_305076,30000_7001_252639
243	10000_1002_309347,30000_7001_256176
244	10000_1002_313678,30000_7001_259762
245	10000_1002_318069,30000_7001_263399,30000_7181_4000
246	10000_1002_322522,30000_7001_267087
247	10000_1002_327038,30000_7001_270826
248	10000_1002_331616,30000_7001_274617
249	10000_1002_336259,30000_7001_278462
250	10000_1002_340966,30000_7001_282361,30000_7181_4100
251	10000_1002_347786,30000_7001_288008
252	10000_1002_354741,30000_7001_293768
253	10000_1002_361836,30000_7001_299643
254	10000_1002_369073,30000_7001_305636
255	10000_1002_376454,30000_7001_311749,30000_7181_4200
256	10000_1002_383983,30000_7001_317984
257	10000_1002_391663,30000_7001_324343
258	10000_1002_399496,30000_7001_330830
259	10000_1002_407486,30000_7001_337447
260	10000_1002_415636,30000_7001_344196,30000_7181_4300
261	10000_1002_423949,30000_7001_351080
262	10000_1002_432428,30000_7001_358101
263	10000_1002_441076,30000_7001_365263
264	10000_1002_449898,30000_7001_372569
265	10000_1002_458896,30000_7001_380020,30000_7181_4400
266	10000_1002_468074,30000_7001_387621
267	10000_1002_477435,30000_7001_395373
268	10000_1002_486984,30000_7001_403280
269	10000_1002_496724,30000_7001_411346
270	10000_1002_506658,30000_7001_419573,30000_7181_4500
271	10000_1002_516791,30000_7001_427964
272	10000_1002_527127,30000_7001_436524
273	10000_1002_537670,30000_7001_445254
274	10000_1002_548423,30000_7001_454159
275	10000_1002_559391,30000_7001_463242,30000_7181_4600
276	10000_1002_570579,30000_7001_472507
277	10000_1002_581991,30000_7001_481957
278	10000_1002_593631,30000_7001_491597
279	10000_1002_605503,30000_7001_501428
280	10000_1002_617613,30000_7001_511457,30000_7181_4700
281	10000_1002_629966,30000_7001_521686
282	10000_1002_642565,30000_7001_532120
283	10000_1002_655416,30000_7001_542762
284	10000_1002_668525,30000_7001_553618
285	10000_1002_681895,30000_7001_564690,30000_7181_4800
286	10000_1002_695533,30000_7001_575984
287	10000_1002_709444,30000_7001_587503
288	10000_1002_723632,30000_7001_599253
289	10000_1002_738105,30000_7001_611238
290	10000_1002_752867,30000_7001_623463,30000_7181_4900
291	10000_1002_767925,30000_7001_635933
292	10000_1002_783283,30000_7001_648651
293	10000_1002_798949,30000_7001_661624
294	10000_1002_814928,30000_7001_674857
295	10000_1002_831226,30000_7001_688354,30000_7181_5000
296	10000_1002_847851,30000_7001_702121
297	10000_1002_864808,30000_7001_716163
298	10000_1002_882104,30000_7001_730487
299	10000_1002_899746,30000_7001_745096
300	10000_1002_917741,30000_7001_759998,30000_7181_5100
301	10000_1002_941602,30000_7001_779758
302	10000_1002_966084,30000_7001_800032
303	10000_1002_991202,30000_7001_820833
304	10000_1002_1016973,30000_7001_842174
305	10000_1002_1043415,30000_7001_864071,30000_7181_5200
306	10000_1002_1070543,30000_7001_886537
307	10000_1002_1098377,30000_7001_909587
308	10000_1002_1126935,30000_7001_933236
309	10000_1002_1156236,30000_7001_957500
310	10000_1002_1186298,30000_7001_982395,30000_7181_5300
311	10000_1002_1217141,30000_7001_1007937
312	10000_1002_1248787,30000_7001_1034144
313	10000_1002_1281256,30000_7001_1061031
314	10000_1002_1314568,30000_7001_1088618
315	10000_1002_1348747,30000_7001_1116922,30000_7181_5400
316	10000_1002_1383814,30000_7001_1145962
317	10000_1002_1419794,30000_7001_1175757
318	10000_1002_1456708,30000_7001_1206327
319	10000_1002_1494583,30000_7001_1237692
320	10000_1002_1533442,30000_7001_1269872,30000_7181_5500
321	10000_1002_1573311,30000_7001_1302888
322	10000_1002_1614217,30000_7001_1336763
323	10000_1002_1656187,30000_7001_1371519
324	10000_1002_1699248,30000_7001_1407179
325	10000_1002_1743428,30000_7001_1443765,30000_7181_5600
326	10000_1002_1788758,30000_7001_1481303
327	10000_1002_1835265,30000_7001_1519817
328	10000_1002_1882982,30000_7001_1559332
329	10000_1002_1931940,30000_7001_1599875
330	10000_1002_1982170,30000_7001_1641472,30000_7181_5700
331	10000_1002_2033706,30000_7001_1684150
332	10000_1002_2086583,30000_7001_1727938
333	10000_1002_2140834,30000_7001_1772864
334	10000_1002_2196496,30000_7001_1818959
335	10000_1002_2253605,30000_7001_1866252,30000_7181_5800
336	10000_1002_2312198,30000_7001_1914774
337	10000_1002_2372315,30000_7001_1964558
338	10000_1002_2433996,30000_7001_2015637
339	10000_1002_2497280,30000_7001_2068043
340	10000_1002_2562209,30000_7001_2121813,30000_7181_5900
341	10000_1002_2628826,30000_7001_2176980
342	10000_1002_2697176,30000_7001_2233581
343	10000_1002_2767302,30000_7001_2291654
344	10000_1002_2839252,30000_7001_2351237
345	10000_1002_2913073,30000_7001_2412369,30000_7181_6000
346	10000_1002_2988813,30000_7001_2475091
347	10000_1002_3066522,30000_7001_2539443
348	10000_1002_3146251,30000_7001_2605469
349	10000_1002_3228054,30000_7001_2673211
350	
