脚本ID	技能名称	技能类型
2231	@Skill_Name_2231	AttactSkill
2232	@Skill_Name_2232	AttactSkill
2241	@Skill_Name_2241	AttactSkill
2242	@Skill_Name_2242	AttactSkill
2251	@Skill_Name_2251	AttactSkill
2252	@Skill_Name_2252	AttactSkill
2261	@Skill_Name_2261	HealSkill
2262	@Skill_Name_2262	AttactSkill
2271	@Skill_Name_2271	AttactSkill
2272	@Skill_Name_2272	AttactSkill
2281	@Skill_Name_2281	AttactSkill
2282	@Skill_Name_2282	AttactSkill
2291	@Skill_Name_2291	AttactSkill
2292	@Skill_Name_2292	AttactSkill
2301	@Skill_Name_2301	AttactSkill
2302	@Skill_Name_2302	AttactSkill
2311	@Skill_Name_2311	AttactSkill
2312	@Skill_Name_2312	AttactSkill
2321	@Skill_Name_2321	AttactSkill
2322	@Skill_Name_2322	AttactSkill
2331	@Skill_Name_2331	AttactSkill
2332	@Skill_Name_2332	AttactSkill
2341	@Skill_Name_2341	AttactSkill
2342	@Skill_Name_2342	AttactSkill
2351	@Skill_Name_2351	AttactSkill
2352	@Skill_Name_2352	AttactSkill
2361	@Skill_Name_2361	AttactSkill
2362	@Skill_Name_2362	AttactSkill
2371	@Skill_Name_2371	AttactSkill
2372	@Skill_Name_2372	AttactSkill
2381	@Skill_Name_2381	AttactSkill
2382	@Skill_Name_2382	AttactSkill
2391	@Skill_Name_2391	AttactSkill
2392	@Skill_Name_2392	AttactSkill
2401	@Skill_Name_2401	AttactSkill
2402	@Skill_Name_2402	AttactSkill
2411	@Skill_Name_2411	AttactSkill
2412	@Skill_Name_2412	AttactSkill
2421	@Skill_Name_2421	AttactSkill
2422	@Skill_Name_2422	AttactSkill
2431	@Skill_Name_2431	HealSkill
2432	@Skill_Name_2432	HealSkill
2441	@Skill_Name_2441	AttactSkill
2442	@Skill_Name_2442	AttactSkill
2451	@Skill_Name_2451	AttactSkill
2452	@Skill_Name_2452	AttactSkill
2461	@Skill_Name_2461	AttactSkill
2462	@Skill_Name_2462	AttactSkill
2471	@Skill_Name_2471	AttactSkill
2472	@Skill_Name_2472	AttactSkill
2481	@Skill_Name_2481	AttactSkill
2482	@Skill_Name_2482	AttactSkill
2491	@Skill_Name_2491	AttactSkill
2492	@Skill_Name_2492	AttactSkill
2501	@Skill_Name_2501	AttactSkill
2502	@Skill_Name_2502	AttactSkill
2511	@Skill_Name_2511	AttactSkill
2512	@Skill_Name_2512	AttactSkill
2521	@Skill_Name_2521	AttactSkill
2522	@Skill_Name_2522	AttactSkill
2531	@Skill_Name_2531	AttactSkill
2532	@Skill_Name_2532	AttactSkill
2541	@Skill_Name_2541	AttactSkill
2542	@Skill_Name_2542	AttactSkill
2551	@Skill_Name_2551	AttactSkill
2552	@Skill_Name_2552	AttactSkill
2561	@Skill_Name_2561	AttactSkill
2562	@Skill_Name_2562	AttactSkill
2571	@Skill_Name_2571	AttactSkill
2572	@Skill_Name_2572	AttactSkill
2581	@Skill_Name_2581	AttactSkill
2582	@Skill_Name_2582	AttactSkill
2591	@Skill_Name_2591	AttactSkill
2592	@Skill_Name_2592	AttactSkill
2601	@Skill_Name_2601	AttactSkill
2602	@Skill_Name_2602	AttactSkill
2611	@Skill_Name_2611	AttactSkill
2612	@Skill_Name_2612	AttactSkill
2621	@Skill_Name_2621	AttactSkill
2622	@Skill_Name_2622	AttactSkill
2631	@Skill_Name_2631	AttactSkill
2632	@Skill_Name_2632	AttactSkill
2651	@Skill_Name_2651	AttactSkill
2652	@Skill_Name_2652	AttactSkill
2661	@Skill_Name_2661	AttactSkill
2662	@Skill_Name_2662	AttactSkill
2671	@Skill_Name_2671	AttactSkill
2672	@Skill_Name_2672	AttactSkill
2681	@Skill_Name_2681	AttactSkill
2682	@Skill_Name_2682	AttactSkill
2691	@Skill_Name_2691	AttactSkill
2692	@Skill_Name_2692	AttactSkill
2701	@Skill_Name_2701	AttactSkill
2702	@Skill_Name_2702	AttactSkill
2711	@Skill_Name_2711	AttactSkill
2712	@Skill_Name_2712	AttactSkill
2721	@Skill_Name_2721	AttactSkill
2722	@Skill_Name_2722	AttactSkill
2731	@Skill_Name_2731	AttactSkill
2732	@Skill_Name_2732	AttactSkill
2741	@Skill_Name_2741	AttactSkill
2742	@Skill_Name_2742	AttactSkill
2751	@Skill_Name_2751	AttactSkill
2752	@Skill_Name_2752	AttactSkill
3011	@Skill_Name_3011	AttactSkill
3021	@Skill_Name_3021	AttactSkill
3031	@Skill_Name_3031	AttactSkill
3041	@Skill_Name_3041	AttactSkill
3051	@Skill_Name_3051	AttactSkill
3061	@Skill_Name_3061	AttactSkill
3071	@Skill_Name_3071	AttactSkill
3081	@Skill_Name_3081	AttactSkill
3091	@Skill_Name_3091	AttactSkill
3101	@Skill_Name_3101	AttactSkill
3111	@Skill_Name_3111	AttactSkill
3121	@Skill_Name_3121	AttactSkill
3131	@Skill_Name_3131	AttactSkill
3141	@Skill_Name_3141	AttactSkill
3151	@Skill_Name_3151	AttactSkill
3161	@Skill_Name_3161	AttactSkill
3171	@Skill_Name_3171	AttactSkill
4011	@Skill_Name_4011	AttactSkill
4021	@Skill_Name_4021	AttactSkill
4031	@Skill_Name_4031	AttactSkill
4041	@Skill_Name_4041	AttactSkill
4051	@Skill_Name_4051	AttactSkill
4061	@Skill_Name_4061	AttactSkill
4071	@Skill_Name_4071	HealSkill
4081	@Skill_Name_4081	HealSkill
4091	@Skill_Name_4091	HealSkill
4101	@Skill_Name_4101	HealSkill
2753	@Skill_Name_2753	AttactSkill
2754	@Skill_Name_2754	AttactSkill
2755	@Skill_Name_2755	AttactSkill
2756	@Skill_Name_2756	AttactSkill
2757	@Skill_Name_2521	AttactSkill
2758	@Skill_Name_2522	AttactSkill
2759	@Skill_Name_2161	AttactSkill
2760	@Skill_Name_2162	AttactSkill
2761	@Skill_Name_2761	AttactSkill
2762	@Skill_Name_2762	AttactSkill
2763	@Skill_Name_2741	AttactSkill
2764	@Skill_Name_2742	AttactSkill
2765	@Skill_Name_2481	AttactSkill
2766	@Skill_Name_2482	AttactSkill
2767	@Skill_Name_2591	AttactSkill
2768	@Skill_Name_2592	AttactSkill
2769	@Skill_Name_2769	AttactSkill
2770	@Skill_Name_2770	AttactSkill
2771	@Skill_Name_2771	AttactSkill
2772	@Skill_Name_2772	AttactSkill
2773	@Skill_Name_2261	AttactSkill
2774	@Skill_Name_2262	AttactSkill
2775	@Skill_Name_2621	AttactSkill
2776	@Skill_Name_2622	AttactSkill
2777	@Skill_Name_2777	AttactSkill
2778	@Skill_Name_2778	AttactSkill
2779	@Skill_Name_2779	AttactSkill
2780	@Skill_Name_2780	AttactSkill
2781	@Skill_Name_2781	AttactSkill
2782	@Skill_Name_2782	AttactSkill
2783	@Skill_Name_2783	AttactSkill
2784	@Skill_Name_2784	AttactSkill
2785	@Skill_Name_2785	AttactSkill
2786	@Skill_Name_2786	AttactSkill
2787	@Skill_Name_2787	AttactSkill
2788	@Skill_Name_2788	AttactSkill
2789	@Skill_Name_2461	AttactSkill
2790	@Skill_Name_2462	AttactSkill
2791	@Skill_Name_2311	AttactSkill
2792	@Skill_Name_2312	AttactSkill
2793	@Skill_Name_2793	AttactSkill
2794	@Skill_Name_2794	AttactSkill
2795	@Skill_Name_2795	AttactSkill
2796	@Skill_Name_2796	AttactSkill
2797	@Skill_Name_2797	AttactSkill
2798	@Skill_Name_2798	AttactSkill
2799	@Skill_Name_2799	AttactSkill
2800	@Skill_Name_2800	AttactSkill
2801	@Skill_Name_2801	AttactSkill
2802	@Skill_Name_2802	AttactSkill
2803	@Skill_Name_2803	AttactSkill
2804	@Skill_Name_2804	AttactSkill
2805	@Skill_Name_2805	AttactSkill
2806	@Skill_Name_2806	AttactSkill
2807	@Skill_Name_2807	AttactSkill
2808	@Skill_Name_2808	AttactSkill
2809	@Skill_Name_2809	AttactSkill
2810	@Skill_Name_2810	AttactSkill
2811	@Skill_Name_2811	AttactSkill
2812	@Skill_Name_2812	AttactSkill
2813	@Skill_Name_2813	AttactSkill
2814	@Skill_Name_2814	AttactSkill
2815	@Skill_Name_2815	AttactSkill
2816	@Skill_Name_2816	AttactSkill
2817	@Skill_Name_2817	AttactSkill
2818	@Skill_Name_2818	AttactSkill
2819	@Skill_Name_2819	AttactSkill
2820	@Skill_Name_2820	AttactSkill
2821	@Skill_Name_2821	AttactSkill
2822	@Skill_Name_2822	AttactSkill
2823	@Skill_Name_2823	AttactSkill
2824	@Skill_Name_2824	AttactSkill
2825	@Skill_Name_2825	AttactSkill
2826	@Skill_Name_2826	AttactSkill
2827	@Skill_Name_2827	AttactSkill
2828	@Skill_Name_2828	AttactSkill
2829	@Skill_Name_2829	AttactSkill
2830	@Skill_Name_2830	AttactSkill
2831	@Skill_Name_2831	AttactSkill
2832	@Skill_Name_2832	AttactSkill
2833	@Skill_Name_2833	AttactSkill
2834	@Skill_Name_2834	AttactSkill
2835	@Skill_Name_2835	AttactSkill
2836	@Skill_Name_2836	AttactSkill
2837	@Skill_Name_2837	AttactSkill
2838	@Skill_Name_2838	AttactSkill
2839	@Skill_Name_2839	AttactSkill
2840	@Skill_Name_2840	AttactSkill
2841	@Skill_Name_2841	AttactSkill
2842	@Skill_Name_2842	AttactSkill
2843	@Skill_Name_2843	AttactSkill
2844	@Skill_Name_2844	AttactSkill
2845	@Skill_Name_2845	AttactSkill
2846	@Skill_Name_2846	AttactSkill
2847	@Skill_Name_2847	AttactSkill
2848	@Skill_Name_2848	AttactSkill
2849	@Skill_Name_2849	AttactSkill
2850	@Skill_Name_2850	AttactSkill
2851	@Skill_Name_2851	AttactSkill
2852	@Skill_Name_2852	AttactSkill
2853	@Skill_Name_2853	AttactSkill
2854	@Skill_Name_2854	AttactSkill
2855	@Skill_Name_2855	AttactSkill
2856	@Skill_Name_2856	AttactSkill
2857	@Skill_Name_2857	AttactSkill
2858	@Skill_Name_2858	AttactSkill
2859	@Skill_Name_2859	AttactSkill
2860	@Skill_Name_2860	AttactSkill
2861	@Skill_Name_2861	AttactSkill
2862	@Skill_Name_2862	AttactSkill
2863	@Skill_Name_2863	AttactSkill
2864	@Skill_Name_2864	AttactSkill
2865	@Skill_Name_2865	AttactSkill
2866	@Skill_Name_2866	AttactSkill
2867	@Skill_Name_2867	AttactSkill
2868	@Skill_Name_2868	AttactSkill
2869	@Skill_Name_2869	AttactSkill
2870	@Skill_Name_2870	AttactSkill
2871	@Skill_Name_2871	AttactSkill
2872	@Skill_Name_2872	AttactSkill
2873	@Skill_Name_2873	AttactSkill
2874	@Skill_Name_2874	AttactSkill
2875	@Skill_Name_2875	AttactSkill
2876	@Skill_Name_2876	AttactSkill
2877	@Skill_Name_2877	AttactSkill
2878	@Skill_Name_2878	AttactSkill
2879	@Skill_Name_2879	AttactSkill
2880	@Skill_Name_2880	AttactSkill
2881	@Skill_Name_2881	AttactSkill
2882	@Skill_Name_2882	AttactSkill
2883	@Skill_Name_2883	AttactSkill
2884	@Skill_Name_2884	AttactSkill
2885	@Skill_Name_2885	AttactSkill
2886	@Skill_Name_2886	AttactSkill
2887	@Skill_Name_2887	AttactSkill
2888	@Skill_Name_2888	AttactSkill
2889	@Skill_Name_2889	AttactSkill
2890	@Skill_Name_2890	AttactSkill
2891	@Skill_Name_2891	AttactSkill
2892	@Skill_Name_2892	AttactSkill
2893	@Skill_Name_2893	AttactSkill
2894	@Skill_Name_2894	AttactSkill
9999	@Skill_Name_2811	AttactSkill
9998	@Skill_Name_2793	HealSkill
9997	@Skill_Name_2823	AttactSkill
9996	@Skill_Name_2822	AttactSkill
9995	@Skill_Name_2819	AttactSkill
9994	@Skill_Name_2864	AttactSkill
9993	@Skill_Name_2662	AttactSkill
