id	星脉	等级	消耗	属性
61	1	61	30000_5001_161	101_4514
62	1	62	30000_5001_163	101_4588
63	1	63	30000_5001_165	101_4662
64	1	64	30000_5001_167	101_4736
65	1	65	30000_5001_169	101_4810
66	1	66	30000_5001_171	101_4884
67	1	67	30000_5001_173	101_4958
68	1	68	30000_5001_175	101_5032
69	1	69	30000_5001_177	101_5106
70	1	70	30000_5001_179	101_5180
71	1	71	30000_5001_181	101_5254
72	1	72	30000_5001_183	101_5328
73	1	73	30000_5001_185	101_5402
74	1	74	30000_5001_187	101_5476
75	1	75	30000_5001_189	101_5550
76	1	76	30000_5001_191	101_5624
77	1	77	30000_5001_193	101_5698
78	1	78	30000_5001_195	101_5772
79	1	79	30000_5001_197	101_5846
80	1	80	30000_5001_199	101_5920
81	1	81	30000_5001_201	101_5994
82	1	82	30000_5001_202	101_6068
83	1	83	30000_5001_202	101_6142
84	1	84	30000_5001_203	101_6216
85	1	85	30000_5001_203	101_6290
86	1	86	30000_5001_204	101_6364
87	1	87	30000_5001_204	101_6438
88	1	88	30000_5001_205	101_6512
89	1	89	30000_5001_205	101_6586
90	1	90	30000_5001_206	101_6660
91	1	91	30000_5001_206	101_6734
92	1	92	30000_5001_207	101_6808
93	1	93	30000_5001_207	101_6882
94	1	94	30000_5001_208	101_6956
95	1	95	30000_5001_208	101_7030
96	1	96	30000_5001_209	101_7104
97	1	97	30000_5001_209	101_7178
98	1	98	30000_5001_210	101_7252
99	1	99	30000_5001_210	101_7326
100	1	100	30000_5001_211	101_7400
101	2	101	30000_5001_211	101_7474
102	2	102	30000_5001_212	101_7548
103	2	103	30000_5001_212	101_7622
104	2	104	30000_5001_213	101_7696
105	2	105	30000_5001_213	101_7770
106	2	106	30000_5001_214	101_7844
107	2	107	30000_5001_214	101_7918
108	2	108	30000_5001_215	101_7992
109	2	109	30000_5001_215	101_8066
110	2	110	30000_5001_216	101_8140
111	2	111	30000_5001_216	101_8214
112	2	112	30000_5001_217	101_8288
113	2	113	30000_5001_217	101_8362
114	2	114	30000_5001_218	101_8436
115	2	115	30000_5001_218	101_8510
116	2	116	30000_5001_219	101_8584
117	2	117	30000_5001_219	101_8658
118	2	118	30000_5001_220	101_8732
119	2	119	30000_5001_220	101_8806
120	2	120	30000_5001_221	101_8880
121	2	121	30000_5001_221	101_8954
122	2	122	30000_5001_222	101_9028
123	2	123	30000_5001_222	101_9102
124	2	124	30000_5001_223	101_9176
125	2	125	30000_5001_223	101_9250
126	2	126	30000_5001_224	101_9324
127	2	127	30000_5001_224	101_9398
128	2	128	30000_5001_225	101_9472
129	2	129	30000_5001_225	101_9546
130	2	130	30000_5001_226	101_9620
131	2	131	30000_5001_226	101_9694
132	2	132	30000_5001_227	101_9768
133	2	133	30000_5001_227	101_9842
134	2	134	30000_5001_228	101_9916
135	2	135	30000_5001_228	101_9990
136	2	136	30000_5001_229	101_10064
137	2	137	30000_5001_229	101_10138
138	2	138	30000_5001_230	101_10212
139	2	139	30000_5001_230	101_10286
140	2	140	30000_5001_231	101_10360
141	2	141	30000_5001_231	101_10434
142	2	142	30000_5001_232	101_10508
143	2	143	30000_5001_232	101_10582
144	2	144	30000_5001_233	101_10656
145	2	145	30000_5001_233	101_10730
146	2	146	30000_5001_234	101_10804
147	2	147	30000_5001_234	101_10878
148	2	148	30000_5001_235	101_10952
149	2	149	30000_5001_235	101_11026
150	2	150	30000_5001_236	101_11100
151	2	151	30000_5001_236	101_11174
152	2	152	30000_5001_237	101_11248
153	2	153	30000_5001_237	101_11322
154	2	154	30000_5001_238	101_11396
155	2	155	30000_5001_238	101_11470
156	2	156	30000_5001_239	101_11544
157	2	157	30000_5001_239	101_11618
158	2	158	30000_5001_240	101_11692
159	2	159	30000_5001_240	101_11766
160	2	160	30000_5001_241	101_11840
161	2	161	30000_5001_241	101_11914
162	2	162	30000_5001_242	101_11988
163	2	163	30000_5001_242	101_12062
164	2	164	30000_5001_243	101_12136
165	2	165	30000_5001_243	101_12210
166	2	166	30000_5001_244	101_12284
167	2	167	30000_5001_244	101_12358
168	2	168	30000_5001_245	101_12432
169	2	169	30000_5001_245	101_12506
170	2	170	30000_5001_246	101_12580
171	2	171	30000_5001_246	101_12654
172	2	172	30000_5001_247	101_12728
173	2	173	30000_5001_247	101_12802
174	2	174	30000_5001_248	101_12876
175	2	175	30000_5001_248	101_12950
176	2	176	30000_5001_249	101_13024
177	2	177	30000_5001_249	101_13098
178	2	178	30000_5001_250	101_13172
179	2	179	30000_5001_250	101_13246
180	2	180	30000_5001_251	101_13320
181	2	181	30000_5001_251	101_13394
182	2	182	30000_5001_252	101_13468
183	2	183	30000_5001_252	101_13542
184	2	184	30000_5001_253	101_13616
185	2	185	30000_5001_253	101_13690
186	2	186	30000_5001_254	101_13764
187	2	187	30000_5001_254	101_13838
188	2	188	30000_5001_255	101_13912
189	2	189	30000_5001_255	101_13986
190	2	190	30000_5001_256	101_14060
191	2	191	30000_5001_256	101_14134
192	2	192	30000_5001_257	101_14208
193	2	193	30000_5001_257	101_14282
194	2	194	30000_5001_258	101_14356
195	2	195	30000_5001_258	101_14430
196	2	196	30000_5001_259	101_14504
197	2	197	30000_5001_259	101_14578
198	2	198	30000_5001_260	101_14652
199	2	199	30000_5001_260	101_14726
200	2	200	30000_5001_261	101_14868
