ID	Hero	Star	Cost	Skills	Level	Awards
55	5	3	30000_5_120	10501,10511,10521	100	
56	5	4	30000_5_150	10501,10511,10521	100	
57	5	5	30000_5_180	10501,10511,10521	100	
58	5	6	30000_5_120	10502,10511,10521	100	
59	5	7	30000_5_240	10502,10512,10521	120	
60	5	8	30000_5_360	10502,10512,10522	160	
61	5	9	30000_5_600	10502,10512,10522	200	
62	5	10	30000_5_720	10503,10512,10522	240	
63	5	11	30000_5_900	10503,10513,10522	280	
64	5	12	30000_5_1200	10503,10513,10523	320	
65	5	13		10503,10513,10523	350	
66	6	1	30000_6_60	10601,10611,10621	100	
67	6	2	30000_6_90	10601,10611,10621	100	
68	6	3	30000_6_120	10601,10611,10621	100	
69	6	4	30000_6_150	10601,10611,10621	100	
70	6	5	30000_6_180	10601,10611,10621	100	
71	6	6	30000_6_300	10602,10611,10621	100	
72	6	7	30000_6_450	10602,10612,10621	120	
73	6	8	30000_6_600	10602,10612,10622	160	
74	6	9	30000_6_750	10602,10612,10622	200	
75	6	10	30000_6_900	10603,10612,10622	240	
76	6	11	30000_6_1500	10603,10613,10622	280	
77	6	12	30000_6_1800	10603,10613,10623	320	
78	6	13		10603,10613,10623	350	
79	7	1	30000_7_60	10701,10711,10721	100	
80	7	2	30000_7_90	10701,10711,10721	100	
81	7	3	30000_7_120	10701,10711,10721	100	
82	7	4	30000_7_150	10701,10711,10721	100	
83	7	5	30000_7_180	10701,10711,10721	100	
84	7	6	30000_7_120	10702,10711,10721	100	
85	7	7	30000_7_240	10702,10712,10721	120	
86	7	8	30000_7_360	10702,10712,10722	160	
87	7	9	30000_7_600	10702,10712,10722	200	
88	7	10	30000_7_720	10703,10712,10722	240	
89	7	11	30000_7_900	10703,10713,10722	280	
90	7	12	30000_7_1200	10703,10713,10723	320	
91	7	13		10703,10713,10723	350	
92	8	1	30000_8_60	10801,10811,10821	100	
93	8	2	30000_8_90	10801,10811,10821	100	
94	8	3	30000_8_120	10801,10811,10821	100	
95	8	4	30000_8_150	10801,10811,10821	100	
96	8	5	30000_8_180	10801,10811,10821	100	
97	8	6	30000_8_120	10802,10811,10821	100	
98	8	7	30000_8_240	10802,10812,10821	120	
99	8	8	30000_8_360	10802,10812,10822	160	
100	8	9	30000_8_600	10802,10812,10822	200	
101	8	10	30000_8_720	10803,10812,10822	240	
102	8	11	30000_8_900	10803,10813,10822	280	
103	8	12	30000_8_1200	10803,10813,10823	320	
104	8	13		10803,10813,10823	350	
105	9	1	30000_9_60	10901,10911,10921	100	
106	9	2	30000_9_90	10901,10911,10921	100	
107	9	3	30000_9_120	10901,10911,10921	100	
108	9	4	30000_9_150	10901,10911,10921	100	
109	9	5	30000_9_180	10901,10911,10921	100	
110	9	6	30000_9_120	10902,10911,10921	100	
111	9	7	30000_9_240	10902,10912,10921	120	
112	9	8	30000_9_360	10902,10912,10922	160	
113	9	9	30000_9_600	10902,10912,10922	200	
114	9	10	30000_9_720	10903,10912,10922	240	
115	9	11	30000_9_900	10903,10913,10922	280	
116	9	12	30000_9_1200	10903,10913,10923	320	
117	9	13		10903,10913,10923	350	
118	10	1	30000_10_60	11001,11011,11021	100	
119	10	2	30000_10_90	11001,11011,11021	100	
120	10	3	30000_10_120	11001,11011,11021	100	
121	10	4	30000_10_150	11001,11011,11021	100	
122	10	5	30000_10_180	11001,11011,11021	100	
123	10	6	30000_10_300	11002,11011,11021	100	
124	10	7	30000_10_450	11002,11012,11021	120	
125	10	8	30000_10_600	11002,11012,11022	160	
126	10	9	30000_10_750	11002,11012,11022	200	
127	10	10	30000_10_900	11003,11012,11022	240	
128	10	11	30000_10_1500	11003,11013,11022	280	
129	10	12	30000_10_1800	11003,11013,11023	320	
130	10	13		11003,11013,11023	350	
131	11	1	30000_11_60	11101,11111,11121	100	
132	11	2	30000_11_90	11101,11111,11121	100	
133	11	3	30000_11_120	11101,11111,11121	100	
134	11	4	30000_11_150	11101,11111,11121	100	
135	11	5	30000_11_180	11101,11111,11121	100	
136	11	6	30000_11_300	11102,11111,11121	100	
137	11	7	30000_11_450	11102,11112,11121	120	
138	11	8	30000_11_600	11102,11112,11122	160	
139	11	9	30000_11_750	11102,11112,11122	200	
140	11	10	30000_11_900	11103,11112,11122	240	
141	11	11	30000_11_1500	11103,11113,11122	280	
142	11	12	30000_11_1800	11103,11113,11123	320	
143	11	13		11103,11113,11123	350	
144	12	1	30000_12_60	11201,11211,11221	100	
145	12	2	30000_12_90	11201,11211,11221	100	
146	12	3	30000_12_120	11201,11211,11221	100	
147	12	4	30000_12_150	11201,11211,11221	100	
148	12	5	30000_12_180	11201,11211,11221	100	
149	12	6	30000_12_300	11202,11211,11221	100	
150	12	7	30000_12_450	11202,11212,11221	120	
151	12	8	30000_12_600	11202,11212,11222	160	
152	12	9	30000_12_750	11202,11212,11222	200	
153	12	10	30000_12_900	11203,11212,11222	240	
154	12	11	30000_12_1500	11203,11213,11222	280	
155	12	12	30000_12_1800	11203,11213,11223	320	
156	12	13		11203,11213,11223	350	
157	13	1	30000_13_60	11301,11311,11321	100	
158	13	2	30000_13_90	11301,11311,11321	100	
159	13	3	30000_13_120	11301,11311,11321	100	
160	13	4	30000_13_150	11301,11311,11321	100	
161	13	5	30000_13_180	11301,11311,11321	100	
162	13	6	30000_13_300	11302,11311,11321	100	
163	13	7	30000_13_450	11302,11312,11321	120	
164	13	8	30000_13_600	11302,11312,11322	160	
165	13	9	30000_13_750	11302,11312,11322	200	
166	13	10	30000_13_900	11303,11312,11322	240	
167	13	11	30000_13_1500	11303,11313,11322	280	
168	13	12	30000_13_1800	11303,11313,11323	320	
169	13	13		11303,11313,11323	350	
170	14	1	30000_14_60	11401,11411,11421	100	
171	14	2	30000_14_90	11401,11411,11421	100	
172	14	3	30000_14_120	11401,11411,11421	100	
173	14	4	30000_14_150	11401,11411,11421	100	
174	14	5	30000_14_180	11401,11411,11421	100	
175	14	6	30000_14_120	11402,11411,11421	100	
176	14	7	30000_14_240	11402,11412,11421	120	
177	14	8	30000_14_360	11402,11412,11422	160	
178	14	9	30000_14_600	11402,11412,11422	200	
179	14	10	30000_14_720	11403,11412,11422	240	
180	14	11	30000_14_900	11403,11413,11422	280	
181	14	12	30000_14_1200	11403,11413,11423	320	
182	14	13		11403,11413,11423	350	
183	15	1	30000_15_60	11501,11511,11521	100	
184	15	2	30000_15_90	11501,11511,11521	100	
185	15	3	30000_15_120	11501,11511,11521	100	
186	15	4	30000_15_150	11501,11511,11521	100	
187	15	5	30000_15_180	11501,11511,11521	100	
188	15	6	30000_15_120	11502,11511,11521	100	
189	15	7	30000_15_240	11502,11512,11521	120	
190	15	8	30000_15_360	11502,11512,11522	160	
191	15	9	30000_15_600	11502,11512,11522	200	
192	15	10	30000_15_720	11503,11512,11522	240	
193	15	11	30000_15_900	11503,11513,11522	280	
194	15	12	30000_15_1200	11503,11513,11523	320	
195	15	13		11503,11513,11523	350	
196	16	1	30000_16_60	11601,11611,11621	100	
197	16	2	30000_16_90	11601,11611,11621	100	
198	16	3	30000_16_120	11601,11611,11621	100	
199	16	4	30000_16_150	11601,11611,11621	100	
200	16	5	30000_16_180	11601,11611,11621	100	
201	16	6	30000_16_300	11602,11611,11621	100	
202	16	7	30000_16_450	11602,11612,11621	120	
203	16	8	30000_16_600	11602,11612,11622	160	
204	16	9	30000_16_750	11602,11612,11622	200	
205	16	10	30000_16_900	11603,11612,11622	240	
206	16	11	30000_16_1500	11603,11613,11622	280	
207	16	12	30000_16_1800	11603,11613,11623	320	
208	16	13		11603,11613,11623	350	
209	17	1	30000_17_60	11701,11711,11721	100	
210	17	2	30000_17_90	11701,11711,11721	100	
211	17	3	30000_17_120	11701,11711,11721	100	
212	17	4	30000_17_150	11701,11711,11721	100	
213	17	5	30000_17_180	11701,11711,11721	100	
214	17	6	30000_17_300	11702,11711,11721	100	
215	17	7	30000_17_450	11702,11712,11721	120	
216	17	8	30000_17_600	11702,11712,11722	160	
217	17	9	30000_17_750	11702,11712,11722	200	
218	17	10	30000_17_900	11703,11712,11722	240	
219	17	11	30000_17_1500	11703,11713,11722	280	
220	17	12	30000_17_1800	11703,11713,11723	320	
221	17	13		11703,11713,11723	350	
222	18	1	30000_18_60	11801,11811,11821	100	
223	18	2	30000_18_90	11801,11811,11821	100	
224	18	3	30000_18_120	11801,11811,11821	100	
225	18	4	30000_18_150	11801,11811,11821	100	
226	18	5	30000_18_180	11801,11811,11821	100	
227	18	6	30000_18_120	11802,11811,11821	100	
228	18	7	30000_18_240	11802,11812,11821	120	
229	18	8	30000_18_360	11802,11812,11822	160	
230	18	9	30000_18_600	11802,11812,11822	200	
231	18	10	30000_18_720	11803,11812,11822	240	
232	18	11	30000_18_900	11803,11813,11822	280	
233	18	12	30000_18_1200	11803,11813,11823	320	
234	18	13		11803,11813,11823	350	
235	19	1	30000_19_60	11901,11911,11921	100	
236	19	2	30000_19_90	11901,11911,11921	100	
237	19	3	30000_19_120	11901,11911,11921	100	
238	19	4	30000_19_150	11901,11911,11921	100	
239	19	5	30000_19_180	11901,11911,11921	100	
240	19	6	30000_19_120	11902,11911,11921	100	
241	19	7	30000_19_240	11902,11912,11921	120	
242	19	8	30000_19_360	11902,11912,11922	160	
243	19	9	30000_19_600	11902,11912,11922	200	
244	19	10	30000_19_720	11903,11912,11922	240	
245	19	11	30000_19_900	11903,11913,11922	280	
246	19	12	30000_19_1200	11903,11913,11923	320	
247	19	13		11903,11913,11923	350	
248	20	1	30000_20_60	12001,12011,12021	100	
249	20	2	30000_20_90	12001,12011,12021	100	
250	20	3	30000_20_120	12001,12011,12021	100	
251	20	4	30000_20_150	12001,12011,12021	100	
252	20	5	30000_20_180	12001,12011,12021	100	
253	20	6	30000_20_120	12002,12011,12021	100	
254	20	7	30000_20_240	12002,12012,12021	120	
255	20	8	30000_20_360	12002,12012,12022	160	
256	20	9	30000_20_600	12002,12012,12022	200	
257	20	10	30000_20_720	12003,12012,12022	240	
258	20	11	30000_20_900	12003,12013,12022	280	
259	20	12	30000_20_1200	12003,12013,12023	320	
260	20	13		12003,12013,12023	350	
261	21	1	30000_21_60	12101,12111,12121	100	
262	21	2	30000_21_90	12101,12111,12121	100	
263	21	3	30000_21_120	12101,12111,12121	100	
264	21	4	30000_21_150	12101,12111,12121	100	
265	21	5	30000_21_180	12101,12111,12121	100	
266	21	6	30000_21_120	12102,12111,12121	100	
267	21	7	30000_21_240	12102,12112,12121	120	
268	21	8	30000_21_360	12102,12112,12122	160	
269	21	9	30000_21_600	12102,12112,12122	200	
270	21	10	30000_21_720	12103,12112,12122	240	
271	21	11	30000_21_900	12103,12113,12122	280	
272	21	12	30000_21_1200	12103,12113,12123	320	
273	21	13		12103,12113,12123	350	
274	22	1	30000_22_60	12201,12211,12221	100	
275	22	2	30000_22_90	12201,12211,12221	100	
276	22	3	30000_22_120	12201,12211,12221	100	
277	22	4	30000_22_150	12201,12211,12221	100	
278	22	5	30000_22_180	12201,12211,12221	100	
279	22	6	30000_22_120	12202,12211,12221	100	
280	22	7	30000_22_240	12202,12212,12221	120	
281	22	8	30000_22_360	12202,12212,12222	160	
282	22	9	30000_22_600	12202,12212,12222	200	
283	22	10	30000_22_720	12203,12212,12222	240	
284	22	11	30000_22_900	12203,12213,12222	280	
285	22	12	30000_22_1200	12203,12213,12223	320	
286	22	13		12203,12213,12223	350	
287	23	1	30000_23_60	12301,12311,12321	100	
288	23	2	30000_23_90	12301,12311,12321	100	
289	23	3	30000_23_120	12301,12311,12321	100	
290	23	4	30000_23_150	12301,12311,12321	100	
291	23	5	30000_23_180	12301,12311,12321	100	
292	23	6	30000_23_120	12302,12311,12321	100	
293	23	7	30000_23_240	12302,12312,12321	120	
294	23	8	30000_23_360	12302,12312,12322	160	
295	23	9	30000_23_600	12302,12312,12322	200	
296	23	10	30000_23_720	12303,12312,12322	240	
297	23	11	30000_23_900	12303,12313,12322	280	
298	23	12	30000_23_1200	12303,12313,12323	320	
299	23	13		12303,12313,12323	350	
300	24	1	30000_24_60	12401,12411,12421	100	
301	24	2	30000_24_90	12401,12411,12421	100	
302	24	3	30000_24_120	12401,12411,12421	100	
303	24	4	30000_24_150	12401,12411,12421	100	
304	24	5	30000_24_180	12401,12411,12421	100	
305	24	6	30000_24_120	12402,12411,12421	100	
306	24	7	30000_24_240	12402,12412,12421	120	
307	24	8	30000_24_360	12402,12412,12422	160	
308	24	9	30000_24_600	12402,12412,12422	200	
309	24	10	30000_24_720	12403,12412,12422	240	
310	24	11	30000_24_900	12403,12413,12422	280	
311	24	12	30000_24_1200	12403,12413,12423	320	
312	24	13		12403,12413,12423	350	
313	501	1	30000_501_50	50101	1	
314	501	2	30000_501_100	50102	1	
315	501	3	30000_501_160	50103	1	
316	501	4	30000_501_230	50104	1	
317	501	5		50105	1	
318	502	1	30000_502_50	50201	1	
319	502	2	30000_502_100	50202	1	
320	502	3	30000_502_160	50203	1	
321	502	4	30000_502_230	50204	1	
322	502	5		50205	1	
323	503	1	30000_503_50	50301	1	
324	503	2	30000_503_100	50302	1	
325	503	3	30000_503_160	50303	1	
326	503	4	30000_503_230	50304	1	
327	503	5		50305	1	
328	504	1	30000_504_50	50401	1	
329	504	2	30000_504_100	50402	1	
330	504	3	30000_504_160	50403	1	
331	504	4	30000_504_230	50404	1	
332	504	5		50405	1	
333	505	1	30000_505_50	50501	1	
334	505	2	30000_505_100	50502	1	
335	505	3	30000_505_160	50503	1	
336	505	4	30000_505_230	50504	1	
337	505	5		50505	1	
338	506	1	30000_506_50	50601	1	
339	506	2	30000_506_100	50602	1	
340	506	3	30000_506_160	50603	1	
341	506	4	30000_506_230	50604	1	
342	506	5		50605	1	
343	507	1	30000_507_50	50701	1	
344	507	2	30000_507_100	50702	1	
345	507	3	30000_507_160	50703	1	
346	507	4	30000_507_230	50704	1	
347	507	5		50705	1	
348	508	1	30000_508_50	50801	1	
349	508	2	30000_508_100	50802	1	
350	508	3	30000_508_160	50803	1	
351	508	4	30000_508_230	50804	1	
352	508	5		50805	1	
353	509	1	30000_509_50	50901	1	
354	509	2	30000_509_100	50902	1	
355	509	3	30000_509_160	50903	1	
356	509	4	30000_509_230	50904	1	
357	509	5		50905	1	
358	510	1	30000_510_50	51001	1	
359	510	2	30000_510_100	51002	1	
360	510	3	30000_510_160	51003	1	
361	510	4	30000_510_230	51004	1	
362	510	5		51005	1	
363	511	1	30000_511_50	51101	1	
364	511	2	30000_511_100	51102	1	
365	511	3	30000_511_160	51103	1	
366	511	4	30000_511_230	51104	1	
367	511	5		51105	1	
368	512	1	30000_512_50	51201	1	
369	512	2	30000_512_100	51202	1	
370	512	3	30000_512_160	51203	1	
371	512	4	30000_512_230	51204	1	
372	512	5		51205	1	
