id	阶数	品质	显示等级	冰攻击消耗点数	冰攻击消耗累计	冰攻击点数	冰攻击点数累计	冰防御消耗点数	冰防御消耗累计	冰防御点数	冰防御点数累计	火攻击消耗点数	火攻击消耗累计	火攻击点数	火攻击点数累计	火防御消耗点数	火防御消耗累计	火防御点数	火防御点数累计	雷攻击消耗点数	雷攻击消耗累计	雷攻击点数	雷攻击点数累计	雷防御消耗点数	雷防御消耗累计	雷防御点数	雷防御点数累计
29	1	3	29	485	10005	40	766	485	10005	60	1149	485	10005	40	766	485	10005	60	1149	485	10005	40	766	485	10005	60	1149
30	1	3	30	495	10500	44	810	495	10500	66	1215	495	10500	44	810	495	10500	66	1215	495	10500	44	810	495	10500	66	1215
31	1	4	31	505	11005	26	836	505	11005	39	1254	505	11005	26	836	505	11005	39	1254	505	11005	26	836	505	11005	39	1254
32	1	4	32	515	11520	26	862	515	11520	39	1293	515	11520	26	862	515	11520	39	1293	515	11520	26	862	515	11520	39	1293
33	1	4	33	525	12045	26	888	525	12045	39	1332	525	12045	26	888	525	12045	39	1332	525	12045	26	888	525	12045	39	1332
34	1	4	34	535	12580	26	914	535	12580	39	1371	535	12580	26	914	535	12580	39	1371	535	12580	26	914	535	12580	39	1371
35	1	4	35	545	13125	26	940	545	13125	39	1410	545	13125	26	940	545	13125	39	1410	545	13125	26	940	545	13125	39	1410
36	1	4	36	555	13680	26	966	555	13680	39	1449	555	13680	26	966	555	13680	39	1449	555	13680	26	966	555	13680	39	1449
37	1	4	37	565	14245	30	996	565	14245	45	1494	565	14245	30	996	565	14245	45	1494	565	14245	30	996	565	14245	45	1494
38	1	4	38	575	14820	36	1032	575	14820	54	1548	575	14820	36	1032	575	14820	54	1548	575	14820	36	1032	575	14820	54	1548
39	1	4	39	585	15405	42	1074	585	15405	63	1611	585	15405	42	1074	585	15405	63	1611	585	15405	42	1074	585	15405	63	1611
40	1	4	40	595	16000	46	1120	595	16000	69	1680	595	16000	46	1120	595	16000	69	1680	595	16000	46	1120	595	16000	69	1680
41	1	5	41	605	16605	28	1148	605	16605	42	1722	605	16605	28	1148	605	16605	42	1722	605	16605	28	1148	605	16605	42	1722
42	1	5	42	615	17220	28	1176	615	17220	42	1764	615	17220	28	1176	615	17220	42	1764	615	17220	28	1176	615	17220	42	1764
43	1	5	43	625	17845	28	1204	625	17845	42	1806	625	17845	28	1204	625	17845	42	1806	625	17845	28	1204	625	17845	42	1806
44	1	5	44	635	18480	28	1232	635	18480	42	1848	635	18480	28	1232	635	18480	42	1848	635	18480	28	1232	635	18480	42	1848
45	1	5	45	645	19125	28	1260	645	19125	42	1890	645	19125	28	1260	645	19125	42	1890	645	19125	28	1260	645	19125	42	1890
46	1	5	46	655	19780	28	1288	655	19780	42	1932	655	19780	28	1288	655	19780	42	1932	655	19780	28	1288	655	19780	42	1932
47	1	5	47	665	20445	32	1320	665	20445	48	1980	665	20445	32	1320	665	20445	48	1980	665	20445	32	1320	665	20445	48	1980
48	1	5	48	675	21120	38	1358	675	21120	57	2037	675	21120	38	1358	675	21120	57	2037	675	21120	38	1358	675	21120	57	2037
49	1	5	49	685	21805	44	1402	685	21805	66	2103	685	21805	44	1402	685	21805	66	2103	685	21805	44	1402	685	21805	66	2103
50	1	5	50	695	22500	48	1450	695	22500	72	2175	695	22500	48	1450	695	22500	72	2175	695	22500	48	1450	695	22500	72	2175
51	2	1	1	705	23205	30	1480	705	23205	45	2220	705	23205	30	1480	705	23205	45	2220	705	23205	30	1480	705	23205	45	2220
52	2	1	2	715	23920	30	1510	715	23920	45	2265	715	23920	30	1510	715	23920	45	2265	715	23920	30	1510	715	23920	45	2265
53	2	1	3	725	24645	30	1540	725	24645	45	2310	725	24645	30	1540	725	24645	45	2310	725	24645	30	1540	725	24645	45	2310
54	2	1	4	735	25380	30	1570	735	25380	45	2355	735	25380	30	1570	735	25380	45	2355	735	25380	30	1570	735	25380	45	2355
55	2	1	5	745	26125	30	1600	745	26125	45	2400	745	26125	30	1600	745	26125	45	2400	745	26125	30	1600	745	26125	45	2400
56	2	1	6	755	26880	30	1630	755	26880	45	2445	755	26880	30	1630	755	26880	45	2445	755	26880	30	1630	755	26880	45	2445
57	2	1	7	765	27645	34	1664	765	27645	51	2496	765	27645	34	1664	765	27645	51	2496	765	27645	34	1664	765	27645	51	2496
58	2	1	8	775	28420	40	1704	775	28420	60	2556	775	28420	40	1704	775	28420	60	2556	775	28420	40	1704	775	28420	60	2556
59	2	1	9	785	29205	46	1750	785	29205	69	2625	785	29205	46	1750	785	29205	69	2625	785	29205	46	1750	785	29205	69	2625
60	2	1	10	795	30000	50	1800	795	30000	75	2700	795	30000	50	1800	795	30000	75	2700	795	30000	50	1800	795	30000	75	2700
61	2	2	11	805	30805	32	1832	805	30805	48	2748	805	30805	32	1832	805	30805	48	2748	805	30805	32	1832	805	30805	48	2748
62	2	2	12	815	31620	32	1864	815	31620	48	2796	815	31620	32	1864	815	31620	48	2796	815	31620	32	1864	815	31620	48	2796
63	2	2	13	825	32445	32	1896	825	32445	48	2844	825	32445	32	1896	825	32445	48	2844	825	32445	32	1896	825	32445	48	2844
64	2	2	14	835	33280	32	1928	835	33280	48	2892	835	33280	32	1928	835	33280	48	2892	835	33280	32	1928	835	33280	48	2892
65	2	2	15	845	34125	32	1960	845	34125	48	2940	845	34125	32	1960	845	34125	48	2940	845	34125	32	1960	845	34125	48	2940
66	2	2	16	855	34980	32	1992	855	34980	48	2988	855	34980	32	1992	855	34980	48	2988	855	34980	32	1992	855	34980	48	2988
67	2	2	17	865	35845	36	2028	865	35845	54	3042	865	35845	36	2028	865	35845	54	3042	865	35845	36	2028	865	35845	54	3042
68	2	2	18	875	36720	42	2070	875	36720	63	3105	875	36720	42	2070	875	36720	63	3105	875	36720	42	2070	875	36720	63	3105
69	2	2	19	885	37605	48	2118	885	37605	72	3177	885	37605	48	2118	885	37605	72	3177	885	37605	48	2118	885	37605	72	3177
70	2	2	20	895	38500	52	2170	895	38500	78	3255	895	38500	52	2170	895	38500	78	3255	895	38500	52	2170	895	38500	78	3255
71	2	3	21	905	39405	34	2204	905	39405	51	3306	905	39405	34	2204	905	39405	51	3306	905	39405	34	2204	905	39405	51	3306
72	2	3	22	915	40320	34	2238	915	40320	51	3357	915	40320	34	2238	915	40320	51	3357	915	40320	34	2238	915	40320	51	3357
73	2	3	23	925	41245	34	2272	925	41245	51	3408	925	41245	34	2272	925	41245	51	3408	925	41245	34	2272	925	41245	51	3408
74	2	3	24	935	42180	34	2306	935	42180	51	3459	935	42180	34	2306	935	42180	51	3459	935	42180	34	2306	935	42180	51	3459
75	2	3	25	945	43125	34	2340	945	43125	51	3510	945	43125	34	2340	945	43125	51	3510	945	43125	34	2340	945	43125	51	3510
76	2	3	26	955	44080	34	2374	955	44080	51	3561	955	44080	34	2374	955	44080	51	3561	955	44080	34	2374	955	44080	51	3561
77	2	3	27	965	45045	38	2412	965	45045	57	3618	965	45045	38	2412	965	45045	57	3618	965	45045	38	2412	965	45045	57	3618
78	2	3	28	975	46020	44	2456	975	46020	66	3684	975	46020	44	2456	975	46020	66	3684	975	46020	44	2456	975	46020	66	3684
79	2	3	29	985	47005	50	2506	985	47005	75	3759	985	47005	50	2506	985	47005	75	3759	985	47005	50	2506	985	47005	75	3759
80	2	3	30	995	48000	54	2560	995	48000	81	3840	995	48000	54	2560	995	48000	81	3840	995	48000	54	2560	995	48000	81	3840
81	2	4	31	1005	49005	36	2596	1005	49005	54	3894	1005	49005	36	2596	1005	49005	54	3894	1005	49005	36	2596	1005	49005	54	3894
82	2	4	32	1015	50020	36	2632	1015	50020	54	3948	1015	50020	36	2632	1015	50020	54	3948	1015	50020	36	2632	1015	50020	54	3948
83	2	4	33	1025	51045	36	2668	1025	51045	54	4002	1025	51045	36	2668	1025	51045	54	4002	1025	51045	36	2668	1025	51045	54	4002
84	2	4	34	1035	52080	36	2704	1035	52080	54	4056	1035	52080	36	2704	1035	52080	54	4056	1035	52080	36	2704	1035	52080	54	4056
85	2	4	35	1045	53125	36	2740	1045	53125	54	4110	1045	53125	36	2740	1045	53125	54	4110	1045	53125	36	2740	1045	53125	54	4110
86	2	4	36	1055	54180	36	2776	1055	54180	54	4164	1055	54180	36	2776	1055	54180	54	4164	1055	54180	36	2776	1055	54180	54	4164
87	2	4	37	1065	55245	40	2816	1065	55245	60	4224	1065	55245	40	2816	1065	55245	60	4224	1065	55245	40	2816	1065	55245	60	4224
88	2	4	38	1075	56320	46	2862	1075	56320	69	4293	1075	56320	46	2862	1075	56320	69	4293	1075	56320	46	2862	1075	56320	69	4293
89	2	4	39	1085	57405	52	2914	1085	57405	78	4371	1085	57405	52	2914	1085	57405	78	4371	1085	57405	52	2914	1085	57405	78	4371
90	2	4	40	1095	58500	56	2970	1095	58500	84	4455	1095	58500	56	2970	1095	58500	84	4455	1095	58500	56	2970	1095	58500	84	4455
91	2	5	41	1105	59605	38	3008	1105	59605	57	4512	1105	59605	38	3008	1105	59605	57	4512	1105	59605	38	3008	1105	59605	57	4512
92	2	5	42	1115	60720	38	3046	1115	60720	57	4569	1115	60720	38	3046	1115	60720	57	4569	1115	60720	38	3046	1115	60720	57	4569
93	2	5	43	1125	61845	38	3084	1125	61845	57	4626	1125	61845	38	3084	1125	61845	57	4626	1125	61845	38	3084	1125	61845	57	4626
94	2	5	44	1135	62980	38	3122	1135	62980	57	4683	1135	62980	38	3122	1135	62980	57	4683	1135	62980	38	3122	1135	62980	57	4683
95	2	5	45	1145	64125	38	3160	1145	64125	57	4740	1145	64125	38	3160	1145	64125	57	4740	1145	64125	38	3160	1145	64125	57	4740
96	2	5	46	1155	65280	38	3198	1155	65280	57	4797	1155	65280	38	3198	1155	65280	57	4797	1155	65280	38	3198	1155	65280	57	4797
97	2	5	47	1165	66445	42	3240	1165	66445	63	4860	1165	66445	42	3240	1165	66445	63	4860	1165	66445	42	3240	1165	66445	63	4860
98	2	5	48	1175	67620	48	3288	1175	67620	72	4932	1175	67620	48	3288	1175	67620	72	4932	1175	67620	48	3288	1175	67620	72	4932
99	2	5	49	1185	68805	54	3342	1185	68805	81	5013	1185	68805	54	3342	1185	68805	81	5013	1185	68805	54	3342	1185	68805	81	5013
100	2	5	50	1195	70000	58	3400	1195	70000	87	5100	1195	70000	58	3400	1195	70000	87	5100	1195	70000	58	3400	1195	70000	87	5100
