level	冰伤害	火伤害	雷伤害	冰抗性	火抗性	雷抗性	冰伤害百分比	火伤害百分比	雷伤害百分比	冰抗性百分比	火抗性百分比	雷抗性百分比	力量	敏捷	智力	耐力
60	7.01	7.01	7.01	7.01	7.01	7.01	1	1	1	1	1	1	7.01	7.01	7.01	7.01
61	7.14	7.14	7.14	7.14	7.14	7.14	1	1	1	1	1	1	7.14	7.14	7.14	7.14
62	7.27	7.27	7.27	7.27	7.27	7.27	1	1	1	1	1	1	7.27	7.27	7.27	7.27
63	7.4	7.4	7.4	7.4	7.4	7.4	1	1	1	1	1	1	7.4	7.4	7.4	7.4
64	7.52	7.52	7.52	7.52	7.52	7.52	1	1	1	1	1	1	7.52	7.52	7.52	7.52
65	7.65	7.65	7.65	7.65	7.65	7.65	1	1	1	1	1	1	7.65	7.65	7.65	7.65
66	7.78	7.78	7.78	7.78	7.78	7.78	1	1	1	1	1	1	7.78	7.78	7.78	7.78
67	7.91	7.91	7.91	7.91	7.91	7.91	1	1	1	1	1	1	7.91	7.91	7.91	7.91
68	8.04	8.04	8.04	8.04	8.04	8.04	1	1	1	1	1	1	8.04	8.04	8.04	8.04
69	8.17	8.17	8.17	8.17	8.17	8.17	1	1	1	1	1	1	8.17	8.17	8.17	8.17
70	8.3	8.3	8.3	8.3	8.3	8.3	1	1	1	1	1	1	8.3	8.3	8.3	8.3
71	8.43	8.43	8.43	8.43	8.43	8.43	1	1	1	1	1	1	8.43	8.43	8.43	8.43
72	8.57	8.57	8.57	8.57	8.57	8.57	1	1	1	1	1	1	8.57	8.57	8.57	8.57
73	8.7	8.7	8.7	8.7	8.7	8.7	1	1	1	1	1	1	8.7	8.7	8.7	8.7
74	8.84	8.84	8.84	8.84	8.84	8.84	1	1	1	1	1	1	8.84	8.84	8.84	8.84
75	8.97	8.97	8.97	8.97	8.97	8.97	1	1	1	1	1	1	8.97	8.97	8.97	8.97
76	9.11	9.11	9.11	9.11	9.11	9.11	1	1	1	1	1	1	9.11	9.11	9.11	9.11
77	9.25	9.25	9.25	9.25	9.25	9.25	1	1	1	1	1	1	9.25	9.25	9.25	9.25
78	9.38	9.38	9.38	9.38	9.38	9.38	1	1	1	1	1	1	9.38	9.38	9.38	9.38
79	9.52	9.52	9.52	9.52	9.52	9.52	1	1	1	1	1	1	9.52	9.52	9.52	9.52
80	9.66	9.66	9.66	9.66	9.66	9.66	1	1	1	1	1	1	9.66	9.66	9.66	9.66
81	9.8	9.8	9.8	9.8	9.8	9.8	1	1	1	1	1	1	9.8	9.8	9.8	9.8
82	9.94	9.94	9.94	9.94	9.94	9.94	1	1	1	1	1	1	9.94	9.94	9.94	9.94
83	10.08	10.08	10.08	10.08	10.08	10.08	1	1	1	1	1	1	10.08	10.08	10.08	10.08
84	10.21	10.21	10.21	10.21	10.21	10.21	1	1	1	1	1	1	10.21	10.21	10.21	10.21
85	10.36	10.36	10.36	10.36	10.36	10.36	1	1	1	1	1	1	10.36	10.36	10.36	10.36
86	10.5	10.5	10.5	10.5	10.5	10.5	1	1	1	1	1	1	10.5	10.5	10.5	10.5
87	10.64	10.64	10.64	10.64	10.64	10.64	1	1	1	1	1	1	10.64	10.64	10.64	10.64
88	10.78	10.78	10.78	10.78	10.78	10.78	1	1	1	1	1	1	10.78	10.78	10.78	10.78
89	10.92	10.92	10.92	10.92	10.92	10.92	1	1	1	1	1	1	10.92	10.92	10.92	10.92
90	11.07	11.07	11.07	11.07	11.07	11.07	1	1	1	1	1	1	11.07	11.07	11.07	11.07
91	11.21	11.21	11.21	11.21	11.21	11.21	1	1	1	1	1	1	11.21	11.21	11.21	11.21
92	11.36	11.36	11.36	11.36	11.36	11.36	1	1	1	1	1	1	11.36	11.36	11.36	11.36
93	11.5	11.5	11.5	11.5	11.5	11.5	1	1	1	1	1	1	11.5	11.5	11.5	11.5
94	11.65	11.65	11.65	11.65	11.65	11.65	1	1	1	1	1	1	11.65	11.65	11.65	11.65
95	11.8	11.8	11.8	11.8	11.8	11.8	1	1	1	1	1	1	11.8	11.8	11.8	11.8
96	11.94	11.94	11.94	11.94	11.94	11.94	1	1	1	1	1	1	11.94	11.94	11.94	11.94
97	12.09	12.09	12.09	12.09	12.09	12.09	1	1	1	1	1	1	12.09	12.09	12.09	12.09
98	12.24	12.24	12.24	12.24	12.24	12.24	1	1	1	1	1	1	12.24	12.24	12.24	12.24
99	12.39	12.39	12.39	12.39	12.39	12.39	1	1	1	1	1	1	12.39	12.39	12.39	12.39
100	12.53	12.53	12.53	12.53	12.53	12.53	1	1	1	1	1	1	12.53	12.53	12.53	12.53
