id	name	content	questType	team	needCount	排序ID	任务奖励数量	任务图标	是否跳转	跳转地址	显示类型	图标颜色	targetType
1001030	@QuestName_063	@QuestContent_063	2	14	30	30	20	Item/2.png	0	NULL	0	2	24
1001031	@QuestName_063	@QuestContent_063	2	14	50	31	20	Item/2.png	0	NULL	0	5	24
1001032	@QuestName_063	@QuestContent_063	2	14	70	32	50	Item/2.png	0	NULL	0	2	24
1001033	@QuestName_063	@QuestContent_063	2	14	90	33	60	Item/2.png	0	NULL	0	4	24
1001034	@QuestName_063	@QuestContent_063	2	14	110	34	70	Item/2.png	0	NULL	0	6	24
1001035	@QuestName_063	@QuestContent_063	2	14	130	35	80	Item/2.png	0	NULL	0	6	24
1001036	@QuestName_063	@QuestContent_063	2	14	150	36	90	Item/2.png	0	NULL	0	6	24
1001037	@QuestName_063	@QuestContent_063	2	14	170	37	100	Item/2.png	0	NULL	0	6	24
1001038	@QuestName_063	@QuestContent_063	2	14	200	38	110	Item/2.png	0	NULL	0	6	24
1001039	@QuestName_036	@QuestContent_036	2	9	3	39	20	Item/2.png	1	24	0	6	44
1001040	@QuestName_036	@QuestContent_036	2	9	5	40	20	Item/2.png	1	24	0	5	44
1001041	@QuestName_036	@QuestContent_036	2	9	7	41	20	Item/2.png	1	24	0	6	44
1001042	@QuestName_036	@QuestContent_036	2	9	9	42	20	Item/2.png	1	24	0	3	44
1001043	@QuestName_036	@QuestContent_036	2	9	10	43	1	Item/I_6003.png	1	24	0	5	44
1001044	@QuestName_036	@QuestContent_036	2	9	11	44	1	Item/I_6003.png	1	24	0	2	44
1001045	@QuestName_036	@QuestContent_036	2	9	12	45	1	Item/I_6003.png	1	24	0	2	44
1001046	@QuestName_036	@QuestContent_036	2	9	13	46	3	Item/I_6003.png	1	24	0	5	44
1001047	@QuestName_036	@QuestContent_036	2	9	14	47	3	Item/I_6003.png	1	24	0	5	44
1001048	@QuestName_036	@QuestContent_036	2	9	15	48	5	Item/I_6003.png	1	24	0	5	44
1001049	@QuestName_065	@QuestContent_065_0	2	12	6	49	20	Item/2.png	1	21	0	5	9
1001050	@QuestName_065	@QuestContent_065_1	2	12	10	50	20	Item/2.png	1	21	0	5	9
1001051	@QuestName_065	@QuestContent_065_2	2	12	50	51	5	Item/I_7049.png	1	21	0	5	9
1001052	@QuestName_065	@QuestContent_065_3	2	12	100	52	5	Item/I_7049.png	1	21	0	5	9
1001053	@QuestName_065	@QuestContent_065_4	2	12	200	1	5	Item/I_7050.png	1	21	0	5	9
1001054	@QuestName_065	@QuestContent_065_5	2	12	300	2	5	Item/I_7051.png	1	21	0	5	9
1001055	@QuestName_065	@QuestContent_065_6	2	12	400	3	80	Item/2.png	1	21	0	5	9
1001056	@QuestName_065	@QuestContent_065_7	2	12	500	4	90	Item/2.png	1	21	0	5	9
1001057	@QuestName_065	@QuestContent_065_8	2	12	600	5	100	Item/2.png	1	21	0	5	9
1001058	@QuestName_065	@QuestContent_065_9	2	12	700	6	110	Item/2.png	1	21	0	5	9
1001059	@QuestName_065	@QuestContent_065_10	2	12	800	7	120	Item/2.png	1	21	0	5	9
1001060	@QuestName_065	@QuestContent_065_11	2	12	900	8	130	Item/2.png	1	21	0	5	9
1001061	@QuestName_065	@QuestContent_065_12	2	12	1000	9	140	Item/2.png	1	21	0	5	9
1001062	@QuestName_006	@QuestContent_006_1	2	5	10	10	50	Item/2.png	1	1	0	5	18
1001063	@QuestName_006	@QuestContent_006_2	2	5	20	11	60	Item/2.png	1	1	0	5	18
1001064	@QuestName_006	@QuestContent_006_3	2	5	30	12	70	Item/2.png	1	1	0	5	18
1001065	@QuestName_006	@QuestContent_006_4	2	5	50	13	80	Item/2.png	1	1	0	5	18
1001066	@QuestName_006	@QuestContent_006_5	2	5	70	14	90	Item/2.png	1	1	0	5	18
1001067	@QuestName_006	@QuestContent_006_6	2	5	100	15	100	Item/2.png	1	1	0	5	18
1001069	@QuestName_043	@QuestContent_043	2	15	5	17	20	Item/2.png	1	9	0	5	30
1001070	@QuestName_043	@QuestContent_043	2	15	10	18	20	Item/2.png	1	9	0	5	30
1001071	@QuestName_043	@QuestContent_043	2	15	30	19	5	Item/I_7049.png	1	9	0	5	30
1001072	@QuestName_043	@QuestContent_043	2	15	50	20	5	Item/I_7049.png	1	9	0	5	30
1001073	@QuestName_043	@QuestContent_043	2	15	70	21	5	Item/I_7050.png	1	9	0	5	30
1001074	@QuestName_043	@QuestContent_043	2	15	100	22	5	Item/I_7051.png	1	9	0	5	30
1001075	@QuestName_043	@QuestContent_043	2	15	150	23	80	Item/2.png	1	9	0	5	30
1001076	@QuestName_043	@QuestContent_043	2	15	200	24	90	Item/2.png	1	9	0	5	30
1001077	@QuestName_043	@QuestContent_043	2	15	500	25	300	Item/2.png	1	9	0	5	30
1001078	@QuestName_043	@QuestContent_043	2	15	1000	26	500	Item/2.png	1	9	0	5	30
1001079	@QuestName_034	@QuestContent_034	2	19	5	27	20	Item/2.png	1	7	0	5	5
1001080	@QuestName_034	@QuestContent_034	2	19	10	28	20	Item/2.png	1	7	0	5	5
1001081	@QuestName_034	@QuestContent_034	2	19	30	29	20	Item/2.png	1	7	0	5	5
1001082	@QuestName_034	@QuestContent_034	2	19	50	30	5	Item/I_7049.png	1	7	0	5	5
1001083	@QuestName_034	@QuestContent_034	2	19	70	31	5	Item/I_7049.png	1	7	0	5	5
1001084	@QuestName_034	@QuestContent_034	2	19	100	32	5	Item/I_7050.png	1	7	0	5	5
1001085	@QuestName_034	@QuestContent_034	2	19	150	33	5	Item/I_7051.png	1	7	0	5	5
1001086	@QuestName_034	@QuestContent_034	2	19	200	34	70	Item/2.png	1	7	0	5	5
1001087	@QuestName_034	@QuestContent_034	2	19	500	35	300	Item/2.png	1	7	0	5	5
1001088	@QuestName_034	@QuestContent_034	2	19	1000	36	500	Item/2.png	1	7	0	5	5
1001089	@QuestName_059	@QuestContent_059_1	2	51	5	37	20	Item/2.png	1	30	0	5	27
1001090	@QuestName_059	@QuestContent_059_2	2	51	8	38	5	Item/I_6004.png	1	30	0	5	27
1001091	@QuestName_059	@QuestContent_059_3	2	51	13	39	20	Item/2.png	1	30	0	5	27
1001092	@QuestName_059	@QuestContent_059_4	2	51	18	40	20	Item/2.png	1	30	0	5	27
1001093	@QuestName_059	@QuestContent_059_5	2	51	28	41	20	Item/2.png	1	30	0	5	27
1001094	@QuestName_059	@QuestContent_059_6	2	51	38	42	5	Item/I_6004.png	1	30	0	5	27
1001095	@QuestName_059	@QuestContent_059_7	2	51	59	43	60	Item/Shard_013.png	1	30	0	5	27
1001096	@QuestName_059	@QuestContent_059_8	2	51	65	44	60	Item/Shard_013.png	1	30	0	5	27
1001097	@QuestName_059	@QuestContent_059_9	2	51	67	45	20	Item/2.png	1	30	0	5	27
1001098	@QuestName_059	@QuestContent_059_10	2	51	70	46	20	Item/2.png	1	30	0	5	27
1001099	@QuestName_059	@QuestContent_059_11	2	51	75	47	5	Item/I_6004.png	1	30	0	5	27
1001100	@QuestName_059	@QuestContent_059_12	2	51	80	48	20	Item/2.png	1	30	0	5	27
1001101	@QuestName_059	@QuestContent_059_13	2	51	85	49	20	Item/2.png	1	30	0	5	27
1001102	@QuestName_059	@QuestContent_059_14	2	51	90	50	20	Item/2.png	1	30	0	5	27
1001103	@QuestName_059	@QuestContent_059_15	2	51	100	51	20	Item/2.png	1	30	0	5	27
1001104	@QuestName_059	@QuestContent_059_16	2	51	120	52	5	Item/I_6004.png	1	30	0	5	27
1001105	@QuestName_059	@QuestContent_059_17	2	51	140	53	20	Item/2.png	1	30	0	5	27
1001106	@QuestName_059	@QuestContent_059_18	2	51	160	54	5	Item/I_6004.png	1	30	0	5	27
1001107	@QuestName_059	@QuestContent_059_19	2	51	180	55	20	Item/2.png	1	30	0	5	27
1001108	@QuestName_059	@QuestContent_059_20	2	51	200	56	5	Item/I_6004.png	1	30	0	5	27
1001109	@QuestName_059	@QuestContent_059_21	2	51	250	57	20	Item/2.png	1	30	0	5	27
1001110	@QuestName_059	@QuestContent_059_22	2	51	300	58	5	Item/I_6004.png	1	30	0	5	27
1001111	@QuestName_059	@QuestContent_059_23	2	51	350	59	20	Item/2.png	1	30	0	5	27
1001112	@QuestName_059	@QuestContent_059_24	2	51	400	60	5	Item/I_6004.png	1	30	0	5	27
1001117	@QuestName_202	@QuestContent_079_1	3	22	2	65	10	Item/I_6004.png	0	NULL	0	5	25
1001118	@QuestName_202	@QuestContent_079_2	3	23	3	66	20	Item/I_6004.png	0	NULL	0	5	25
1001119	@QuestName_202	@QuestContent_079_3	3	24	4	67	25	Item/I_6004.png	0	NULL	0	5	25
1001120	@QuestName_204	@QuestContent_204	3	25	3	68	30	Item/I_6004.png	0	NULL	0	5	62
