id	兑换物品	兑换奖励	兑换最大次数	是否为专武(填佣兵ID)	排序ID
	30000_7021_20	30000_7008_1	0	0	0
	30000_7021_20	30000_103104_1	0	0	0
	30000_7021_5	90000_109030_1	0	0	0
	30000_7021_3	90000_109020_1	0	0	0
	30000_7021_5	30000_103003_1	0	0	0
	30000_7022_40	30000_395041_10	0	0	0
	30000_7022_30	30000_7008_1	0	0	0
	30000_7022_30	30000_103103_1	0	0	0
	30000_7022_3	30000_7021_1	0	0	0
	30000_7022_5	30000_7020_1	0	0	0
	30000_7022_3	30000_5003_10	0	0	0
	30000_7022_3	30000_5004_10	0	0	0
	30000_7022_3	30000_5005_10	0	0	0
	30000_7022_3	30000_5006_10	0	0	0
	30000_7022_3	30000_5007_10	0	0	0
	30000_7022_3	30000_5008_10	0	0	0
	30000_111311_1	70000_109_120	0	0	0
	30000_111311_1	70000_116_120	0	0	0
	30000_111311_1	70000_135_120	0	0	0
	30000_111311_1	70000_138_120	0	0	0
	30000_111311_1	70000_143_120	0	0	0
	30000_111311_1	70000_148_120	0	0	0
	30000_111311_1	70000_152_120	0	0	0
	30000_111311_1	70000_161_120	0	0	0
	30000_111311_1	70000_166_120	0	0	0
	30000_111311_1	70000_169_120	0	0	0
	30000_111311_1	70000_180_120	0	0	0
	30000_111311_1	70000_194_120	0	0	0
	30000_250009_100	30000_7008_1	0	0	0
	30000_250009_50	30000_250008_1	0	0	0
	30000_250009_50	30000_103105_1	0	0	0
	30000_250009_30	30000_104203_1	0	0	0
	30000_250009_20	30000_104004_1	0	0	0
	30000_250009_10	30000_104101_1	0	0	0
	30000_250009_10	30000_102103_1	0	0	0
	30000_250009_5	30000_102102_1	0	0	0
	30000_250011_100	30000_250012_1	0	0	0
	30000_250011_300	10000_1001_300	0	0	0
	30000_250011_70	30000_103105_1	0	0	0
	30000_250011_50	30000_104203_1	0	0	0
	30000_250011_10	30000_104101_1	0	0	0
	30000_250011_10	30000_102103_1	0	0	0
	30000_250011_5	30000_102102_1	0	0	0
	30000_250011_20	30000_104004_1	0	0	0
	30000_250013_50	70000_127_120	0	0	0
	30000_250013_888	30000_211155_1	0	0	0
	30000_250013_150	30000_111305_1	0	0	0
	30000_250013_150	30000_111306_1	0	0	0
	30000_250013_50	30000_202003_1	0	0	0
	30000_250013_30	30000_202002_1	0	0	0
	30000_250013_100	30000_7002_1	0	0	0
	30000_250013_30	30000_7001_1	0	0	0
	30000_7026_20	30000_395061_10	0	0	0
	30000_7026_10	30000_7008_1	0	0	0
	30000_7026_20	30000_7025_1	0	0	0
	30000_7026_15	30000_103105_1	0	0	0
	30000_7026_10	30000_7029_1	0	0	0
	30000_7026_10	30000_7030_1	0	0	0
	30000_7026_5	30000_104004_1	0	0	0
	30000_7026_3	30000_104101_1	0	0	0
	30000_7027_30	30000_395061_10	0	0	0
	30000_7027_20	30000_7008_1	0	0	0
	30000_7027_20	30000_103104_1	0	0	0
	30000_7027_5	90000_110030_1	0	0	0
	30000_7027_3	90000_110020_1	0	0	0
	30000_7027_5	30000_103003_1	0	0	0
	30000_7028_40	30000_395061_10	0	0	0
	30000_7028_30	30000_7008_1	0	0	0
	30000_7028_30	30000_103103_1	0	0	0
	30000_7028_3	30000_7027_1	0	0	0
	30000_7028_5	30000_7026_1	0	0	0
	30000_7028_3	30000_106001_1	0	0	0
	30000_299965_10	70000_163_120	0	0	0
	30000_299965_1	30000_299993_1	0	0	0
	30000_299965_5	30000_501010_1	0	0	0
	30000_299965_5	30000_502010_1	0	0	0
	30000_299965_5	30000_503010_1	0	0	0
	30000_299965_5	30000_504010_1	0	0	0
	30000_299964_15	30000_104203_1	0	0	0
	30000_299964_20	90000_101050_1	0	0	0
	30000_299964_20	90000_102050_1	0	0	0
	30000_299964_20	90000_103050_1	0	0	0
	30000_299964_20	90000_104050_1	0	0	0
	30000_299964_20	90000_105050_1	0	0	0
	30000_299964_20	90000_106050_1	0	0	0
	30000_299963_30	30000_102101_1	0	0	0
	30000_299963_10	30000_102102_1	0	0	0
	30000_299963_10	30000_203002_1	0	0	0
	30000_299963_10	30000_101002_1	0	0	0
208	30000_7034_20	30000_395071_10	6	0	401
209	30000_7034_10	30000_7008_1	40	0	402
210	30000_7034_20	30000_7037_1	5	0	403
211	30000_7034_20	30000_7002_1	5	0	404
212	30000_7034_3	30000_104101_1	10	0	405
213	30000_7035_30	30000_395071_10	12	0	501
214	30000_7035_20	30000_7008_1	30	0	502
215	30000_7035_5	90000_111030_1	100	0	503
216	30000_7035_3	90000_111020_1	250	0	504
217	30000_7035_5	30000_103003_1	30	0	505
218	30000_7035_1	30000_101002_1	30	0	506
219	30000_7036_40	30000_395071_10	23	0	601
220	30000_7036_30	30000_7008_1	30	0	602
221	30000_7036_3	30000_101001_1	50	0	603
222	30000_7036_3	30000_7035_1	300	0	604
223	30000_7036_5	30000_7034_1	150	0	605
224	30000_7036_3	30000_5003_10	10	0	606
225	30000_7036_3	30000_5004_10	10	0	607
226	30000_7036_3	30000_5005_10	10	0	608
227	30000_7036_3	30000_5006_10	10	0	609
228	30000_7036_3	30000_5007_10	10	0	610
229	30000_7036_3	30000_5008_10	10	0	611
