id	spine	spine_anime	關卡	type	BGM	Voice Lines	EFF	對白數
9000210	NG_900_02_HCG	B10_one60_a3	0	0		900021001_0_NGVODRR2040.mp3		1
9000211	NG_900_02_HCG	B11_loop30_a3	0	1		900021101_0_NGVODRR2041.mp3,900021102_0_NGVODRR2042.mp3		2
9000212	NG_900_02_HCG	B12_loop20_a4	0	1		900021201_0_NGVODRR2043.mp3,900021202_0_NGVODRR2044.mp3		2
9000213	NG_900_02_HCG	B15_loop20_a4	0	1		900021301_0_NGVODRR2046.mp3		1
9000214	NG_900_02_HCG	B12_loop20_a4	0	1		900021401_0_NGVODRR2047.mp3,900021402_0_NGVODRR2049.mp3		2
9000215	NG_900_02_HCG	B13_one40_a4	0	0		900021501_0_NGVODRR2081.mp3		1
9000216	NG_900_02_HCG	B14_loop20_a4	0	1		900021601_0_NGVODRR2056.mp3		1
9000217	NG_900_02_HCG	B15_loop20_a4	0	1		900021701_0_NGVODRR2057.mp3		1
9000218	NG_900_02_HCG	B14_loop20_a4	0	1		900021801_0_NGVODRR2060.mp3		1
9000219	NG_900_02_HCG	B15_loop20_a4	0	1		900021901_0_NGVODRR2061.mp3,900021902_0_NGVODRR2062.mp3		2
9000220	NG_900_02_HCG	B17_loop13_a5	0	1		900022001_0_NGVODRR2064.mp3		1
9000221	NG_900_02_HCG	B16_loop13_a5	0	1		900022101_0_NGVODRR2065.mp3		1
9000222	NG_900_02_HCG	B17_loop13_a5	0	1		900022201_0_NGVODRR2066.mp3,900022202_0_NGVODRR2067.mp3		2
9000223	NG_900_02_HCG	B16_loop13_a5	0	1		900022301_0_NGVODRR2069.mp3,900022302_0_NGVODRR2072.mp3,900022303_0_NGVODRR2073.mp3		3
9000224	NG_900_02_HCG	B17_loop13_a5	0	1		900022401_0_NGVODRR2074.mp3,900022402_0_NGVODRR2077.mp3		2
9000225	NG_900_02_HCG	B18_one100_a5	0	0		900022501_0_NGVODRR2078.mp3		1
9000226	NG_900_02_HCG	B21_loop1_a	0	1		900022601_0_NGVODRR2079.mp3		1
9000227	NG_900_02_HCG	B21_loop1_a	0	0				1
9000301	NG_900_03_HCG	B00_LOOP_a	0	0	DRR_S01_BGM.mp3			1
9000302	NG_900_03_HCG	B01_ONE_a	0	0		900030201_0_NGVODRR3004.mp3		1
9000303	NG_900_03_HCG	B02_LOOP_a	0	1		900030301_0_NGVODRR3002.mp3,900030302_0_NGVODRR3003.mp3		2
9000304	NG_900_03_HCG	B03_ONE_a	0	0		900030401_0_NGVODRR3097.mp3		1
9000305	NG_900_03_HCG	B04_LOOP_a	0	1		900030501_0_NGVODRR3006.mp3,900030502_0_NGVODRR3007.mp3		2
9000306	NG_900_03_HCG	B05_LOOP_a2	0	1		900030601_0_NGVODRR3011.mp3,900030602_0_NGVODRR3012.mp3		2
9000307	NG_900_03_HCG	B06_LOOP_a2	0	1		900030701_0_NGVODRR3015.mp3,900030702_0_NGVODRR3016.mp3		2
9000308	NG_900_03_HCG	B07_ONE_a3	0	0		900030801_0_NGVODRR3019.mp3		1
9000309	NG_900_03_HCG	B08_LOOP_a3	0	1		900030901_0_NGVODRR3020v2.mp3,900030902_0_NGVODRR3021v2.mp3,900030903_0_NGVODRR3022v2.mp3	0_Tentacle01.mp3	3
9000310	NG_900_03_HCG	B09_LOOP_a3	0	1		900031001_0_NGVODRR3024v2.mp3	0_Tentacle01.mp3	1
9000311	NG_900_03_HCG	B10_1_LOOP_a3	0	1		900031101_0_NGVODRR3029v2.mp3,900031102_0_NGVODRR3030v2.mp3	0_Tentacle01.mp3	2
9000312	NG_900_03_HCG	B10_2_ONE_a3	0	0		900031201_0_NGVODRR3098.mp3		1
9000313	NG_900_03_HCG	B11_LOOP_a3	0	1		900031301_0_NGVODRR3031v2.mp3,900031302_0_NGVODRR3032v2.mp3	0_Tentacle01.mp3	2
9000314	NG_900_03_HCG	B11_LOOP_a3	0	1		900031401_0_NGVODRR3036v2.mp3,900031402_0_NGVODRR3037v2.mp3,900031403_0_NGVODRR3038v2.mp3	0_Tentacle02.mp3	3
9000315	NG_900_03_HCG	B12_ONE_a3	0	0		900031501_0_NGVODRR3039.mp3		1
9000316	NG_900_03_HCG	B13_LOOP_a3	0	1		900031601_0_NGVODRR3040v2.mp3,900031602_0_NGVODRR3042v2.mp3	0_Tentacle02.mp3	2
9000317	NG_900_03_HCG	B11_LOOP_a3	0	1		900031701_0_NGVODRR3045v2.mp3,900031702_0_NGVODRR3046v2.mp3,900031703_0_NGVODRR3047v2.mp3	0_Tentacle02.mp3	3
9000318	NG_900_03_HCG	B14_LOOP_a4	0	1		900031801_0_NGVODRR3050v2.mp3	0_Tentacle03.mp3	1
9000319	NG_900_03_HCG	B15_LOOP_a4	0	1		900031901_0_NGVODRR3051v2.mp3	0_Tentacle03.mp3	1
9000320	NG_900_03_HCG	B14_LOOP_a4	0	1		900032001_0_NGVODRR3054v2.mp3,900032002_0_NGVODRR3057v2.mp3	0_Tentacle03.mp3	2
9000321	NG_900_03_HCG	B16_LOOP_a4	0	1		900032101_0_NGVODRR3059v2.mp3	0_Tentacle03.mp3	1
9000322	NG_900_03_HCG	B14_LOOP_a4	0	1		900032201_0_NGVODRR3064v2.mp3,900032202_0_NGVODRR3066v2.mp3,900032203_0_NGVODRR3069v2.mp3	0_Tentacle03.mp3	3
9000323	NG_900_03_HCG	B17_LOOP_a5	0	1		900032301_0_NGVODRR3070v2.mp3,900032302_0_NGVODRR3071v2.mp3,900032303_0_NGVODRR3073v2.mp3	0_Tentacle04.mp3	3
9000324	NG_900_03_HCG	B15_LOOP_a4	0	1		900032401_0_NGVODRR3075v2.mp3,900032402_0_NGVODRR3079v2.mp3	0_Tentacle04.mp3	2
9000325	NG_900_03_HCG	B16_LOOP_a4	0	1		900032501_0_NGVODRR3081v2.mp3	0_Tentacle03.mp3	1
9000326	NG_900_03_HCG	B15_LOOP_a4	0	1		900032601_0_NGVODRR3083v2.mp3,900032602_0_NGVODRR3084v2.mp3	0_Tentacle03.mp3	2
9000327	NG_900_03_HCG	B17_LOOP_a5	0	1		900032701_0_NGVODRR3086v2.mp3,900032702_0_NGVODRR3087v2.mp3,900032703_0_NGVODRR3088v2.mp3	0_Tentacle04.mp3	3
9000328	NG_900_03_HCG	B18_ONE_a5	0	0		900032801_0_NGVODRR3099.mp3		1
9000329	NG_900_03_HCG	B19_LOOP_a5	0	1		900032901_0_NGVODRR3090.mp3		1
9000330	NG_900_03_HCG	B20_ONE_a5	0	0		900033001_0_NGVODRR3091.mp3		1
9000331	NG_900_03_HCG	B22_LOOP_a	0	1		900033101_0_NGVODRR3093.mp3		1
9000332	NG_900_03_HCG	B22_LOOP_a	0	0				1
9000401	NG_900_04_2_HCG	B00_LOOP	0	0	DRR_S01_BGM.mp3			1
9000402	NG_900_04_2_HCG	B01_ONE	0	0				1
9000403	NG_900_04_2_HCG	B02_LOOP	0	1		900040301_0_NGVODRR4001.mp3,900040302_0_NGVODRR4002.mp3		2
9000404	NG_900_04_2_HCG	B03_ONE	0	0		900040401_0_NGVODRR4003.mp3		1
9000405	NG_900_04_2_HCG	B04_LOOP	0	1		900040501_0_NGVODRR4004.mp3,900040502_0_NGVODRR4005.mp3,900040503_0_NGVODRR4006.mp3		3
9000406	NG_900_04_2_HCG	B05_LOOP	0	1		900040601_0_NGVODRR4007.mp3		1
9000407	NG_900_04_2_HCG	B06_ONE	0	0		900040701_0_NGVODRR4008.mp3		1
9000408	NG_900_04_2_HCG	B07_LOOP	0	1		900040801_0_NGVODRR4009.mp3,900040802_0_NGVODRR4010.mp3,900040803_0_NGVODRR4011.mp3,900040804_0_NGVODRR4012.mp3,900040805_0_NGVODRR4013.mp3,900040806_0_NGVODRR4014.mp3,900040807_0_NGVODRR4015.mp3,900040808_0_NGVODRR4016.mp3		8
9000409	NG_900_04_2_HCG	B08_LOOP	0	1		900040901_0_NGVODRR4017.mp3,900040902_0_NGVODRR4018.mp3,900040903_0_NGVODRR4019.mp3,900040904_0_NGVODRR4020.mp3,900040905_0_NGVODRR4021.mp3		5
9000410	NG_900_04_2_HCG	B09_ONE	0	0		900041001_0_NGVODRR4022.mp3		1
9000411	NG_900_04_2_HCG	B10_LOOP	0	1		900041101_0_NGVODRR4023.mp3,900041102_0_NGVODRR4024.mp3		2
9000412	NG_900_04_2_HCG	B12_LOOP	0	1		900041201_0_NGVODRR4025.mp3		1
9000413	NG_900_04_2_HCG	B13_ONE	0	0		900041301_0_NGVODRR4026.mp3		1
9000414	NG_900_04_2_HCG	B14_LOOP_1	0	1		900041401_0_NGVODRR4027.mp3,900041402_0_NGVODRR4028.mp3		2
9000415	NG_900_04_2_HCG	B14_LOOP_2	0	1		900041501_0_NGVODRR4029.mp3,900041502_0_NGVODRR4030.mp3,900041503_0_NGVODRR4031.mp3		3
9000416	NG_900_04_2_HCG	B15_ONE	0	0		900041601_0_NGVODRR4032.mp3		1
9000417	NG_900_04_2_HCG	B16_LOOP_1	0	1		900041701_0_NGVODRR4033.mp3,900041702_0_NGVODRR4034.mp3,900041703_0_NGVODRR4035.mp3,900041704_0_NGVODRR4036.mp3		4
9000418	NG_900_04_2_HCG	B16_LOOP_2	0	1		900041801_0_NGVODRR4037.mp3,900041802_0_NGVODRR4038.mp3,900041803_0_NGVODRR4039.mp3,900041804_0_NGVODRR4040.mp3		4
9000419	NG_900_04_2_HCG	B16_LOOP_3	0	1		900041901_0_NGVODRR4041.mp3,900041902_0_NGVODRR4042.mp3,900041903_0_NGVODRR4043.mp3,900041904_0_NGVODRR4044.mp3,900041905_0_NGVODRR4045.mp3,900041906_0_NGVODRR4046.mp3,900041907_0_NGVODRR4047.mp3		7
9000420	NG_900_04_2_HCG	B17_ONE	0	0		900042001_0_NGVODRR4048.mp3		1
9000421	NG_900_04_2_HCG	B17_ONE_2	0	0		900042101_0_NGVODRR4049.mp3		1
9000422	NG_900_04_2_HCG	B18_LOOP	0	1		900042201_0_NGVODRR4050.mp3		1
9000423	NG_900_04_2_HCG	B19_ONE	0	0		900042301_0_NGVODRR4051.mp3		1
