光环ID	佣兵	星级	光环消耗	名称	效果	图片路径	条件	参数1	参数2
10142	114	3	2000	@Skill_Name_10142	@Skill_Desc_10142	skill/S_B_10042.png	@MercenaryOpenLevelTxt	120	120
10151	115	1	2000	@Skill_Name_10271	@Skill_Desc_10271	skill/S_B_10031.png	@MercenaryOpenLevelTxt	15%	0
10152	115	3	2000	@Skill_Name_10272	@Skill_Desc_10272	skill/S_B_10092.png	@MercenaryOpenLevelTxt	32%	160
10161	116	1	2000	@Skill_Name_10391	@Skill_Desc_10391	skill/S_B_10071.png	@MercenaryOpenLevelTxt	38%	220
10162	116	3	2000	@Skill_Name_10392	@Skill_Desc_10392	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	12%
10171	117	1	2000	@Skill_Name_10341	@Skill_Desc_10341	skill/S_B_10071.png	@MercenaryOpenLevelTxt	18%	110
10172	117	3	2000	@Skill_Name_10342	@Skill_Desc_10342	skill/S_B_10072.png	@MercenaryOpenLevelTxt	100	20%
10181	118	1	2000	@Skill_Name_10121	@Skill_Desc_10121	skill/S_B_10031.png	@MercenaryOpenLevelTxt	15%	30%
10182	118	3	2000	@Skill_Name_10122	@Skill_Desc_10122	skill/S_B_10071.png	@MercenaryOpenLevelTxt	26%	60
10191	119	1	2000	@Skill_Name_10061	@Skill_Desc_10061	skill/S_B_10061.png	@MercenaryOpenLevelTxt	30%	0
10192	119	3	2000	@Skill_Name_10062	@Skill_Desc_10062	skill/S_B_10031.png	@MercenaryOpenLevelTxt	20%	0
10201	120	1	2000	@Skill_Name_10201	@Skill_Desc_10201	skill/S_B_10072.png	@MercenaryOpenLevelTxt	45%	60
10202	120	3	2000	@Skill_Name_10202	@Skill_Desc_10202	skill/S_B_10071.png	@MercenaryOpenLevelTxt	24%	65
10211	121	1	2000	@Skill_Name_10111	@Skill_Desc_10111	skill/S_B_10071.png	@MercenaryOpenLevelTxt	100	60
10212	121	3	2000	@Skill_Name_10112	@Skill_Desc_10112	skill/S_B_10042.png	@MercenaryOpenLevelTxt	200	200
10221	122	1	2000	@Skill_Name_10431	@Skill_Desc_10431	skill/S_B_10071.png	@MercenaryOpenLevelTxt	24%	0
10222	122	3	2000	@Skill_Name_10432	@Skill_Desc_10432	skill/S_B_10031.png	@MercenaryOpenLevelTxt	22%	80
10231	123	1	2000	@Skill_Name_10231	@Skill_Desc_10231	skill/S_B_10091.png	@MercenaryOpenLevelTxt	50%	25%
10232	123	3	2000	@Skill_Name_10232	@Skill_Desc_10232	skill/S_B_10061.png	@MercenaryOpenLevelTxt	50%	30%
10241	124	1	2000	@Skill_Name_10241	@Skill_Desc_10241	skill/S_B_10091.png	@MercenaryOpenLevelTxt	20%	15%
10242	124	3	2000	@Skill_Name_10242	@Skill_Desc_10242	skill/S_B_10031.png	@MercenaryOpenLevelTxt	30%	100%
10251	125	1	2000	@Skill_Name_10491	@Skill_Desc_10491	skill/S_B_10071.png	@MercenaryOpenLevelTxt	44%	240
10252	125	3	2000	@Skill_Name_10476	@Skill_Desc_10476	skill/S_B_10072.png	@MercenaryOpenLevelTxt	45%	240
10261	126	1	2000	@Skill_Name_10301	@Skill_Desc_10301	skill/S_B_10071.png	@MercenaryOpenLevelTxt	24%	100
10262	126	3	2000	@Skill_Name_10302	@Skill_Desc_10302	skill/S_B_10052.png	@MercenaryOpenLevelTxt	180	180
10271	127	1	2000	@Skill_Name_10272	@Skill_Desc_10272	skill/S_B_10031.png	@MercenaryOpenLevelTxt	24%	100
10272	127	3	2000	@Skill_Name_10212	@Skill_Desc_10212	skill/S_B_10071.png	@MercenaryOpenLevelTxt	24%	100
10281	128	1	2000	@Skill_Name_10855	@Skill_Desc_10855	skill/S_B_10071.png	@MercenaryOpenLevelTxt	40%	240
10282	128	3	2000	@Skill_Name_10856	@Skill_Desc_10856	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	700
10291	129	1	2000	@Skill_Name_10753	@Skill_Desc_10753	skill/S_B_10071.png	@MercenaryOpenLevelTxt	44%	240
10292	129	3	2000	@Skill_Name_10754	@Skill_Desc_10754	skill/S_B_10072.png	@MercenaryOpenLevelTxt	60%	260
10301	130	1	2000	@Skill_Name_10511	@Skill_Desc_10511	skill/S_B_10091.png	@MercenaryOpenLevelTxt	42%	12%
10302	130	3	2000	@Skill_Name_10562	@Skill_Desc_10562	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	80%
10311	131	1	2000	@Skill_Name_10221	@Skill_Desc_10221	skill/S_B_10031.png	@MercenaryOpenLevelTxt	24%	0
10312	131	3	2000	@Skill_Name_10222	@Skill_Desc_10222	skill/S_B_10042.png	@MercenaryOpenLevelTxt	20%	0
10321	132	1	2000	@Skill_Name_10191	@Skill_Desc_10191	skill/S_B_10031.png	@MercenaryOpenLevelTxt	24%	0
10322	132	3	2000	@Skill_Name_10192	@Skill_Desc_10192	skill/S_B_10061.png	@MercenaryOpenLevelTxt	40%	0
10331	133	1	2000	@Skill_Name_10331	@Skill_Desc_10331	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	220
10332	133	3	2000	@Skill_Name_10623	@Skill_Desc_10623	skill/S_B_10091.png	@MercenaryOpenLevelTxt	45%	15%
10341	134	1	2000	@Skill_Name_10171	@Skill_Desc_10171	skill/S_B_10071.png	@MercenaryOpenLevelTxt	18%	40
10342	134	3	2000	@Skill_Name_10172	@Skill_Desc_10172	skill/S_B_10072.png	@MercenaryOpenLevelTxt	50%	0
10351	135	1	2000	@Skill_Name_10893	@Skill_Desc_10893	skill/S_B_10071.png	@MercenaryOpenLevelTxt	42%	220
10352	135	3	2000	@Skill_Name_10894	@Skill_Desc_10894	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	12%
10361	136	1	2000	@Skill_Name_10181	@Skill_Desc_10181	skill/S_B_10031.png	@MercenaryOpenLevelTxt	12%	12%
10362	136	3	2000	@Skill_Name_10182	@Skill_Desc_10182	skill/S_B_10071.png	@MercenaryOpenLevelTxt	50%	12%
10371	137	1	2000	@Skill_Name_10381	@Skill_Desc_10381	skill/S_B_10031.png	@MercenaryOpenLevelTxt	22%	200
10372	137	3	2000	@Skill_Name_10382	@Skill_Desc_10382	skill/S_B_10091.png	@MercenaryOpenLevelTxt	26%	12%
10381	138	1	2000	@Skill_Name_10561	@Skill_Desc_10561	skill/S_B_10071.png	@MercenaryOpenLevelTxt	38%	180
10382	138	3	2000	@Skill_Name_10732	@Skill_Desc_10732	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	600
10391	139	1	2000	@Skill_Name_10619	@Skill_Desc_10619	skill/S_B_10071.png	@MercenaryOpenLevelTxt	42%	180
10392	139	3	2000	@Skill_Name_10620	@Skill_Desc_10620	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	240
10401	140	1	2000	@Skill_Name_10617	@Skill_Desc_10617	skill/S_B_10092.png	@MercenaryOpenLevelTxt	45%	250
10402	140	3	2000	@Skill_Name_10618	@Skill_Desc_10618	skill/S_B_10031.png	@MercenaryOpenLevelTxt	40%	200
10411	141	1	2000	@Skill_Name_10701	@Skill_Desc_10701	skill/S_B_10071.png	@MercenaryOpenLevelTxt	24%	130
10412	141	3	2000	@Skill_Name_10702	@Skill_Desc_10702	skill/S_B_10031.png	@MercenaryOpenLevelTxt	24%	10%
10421	142	1	2000	@Skill_Name_10441	@Skill_Desc_10441	skill/S_B_10071.png	@MercenaryOpenLevelTxt	32%	200
10422	142	3	2000	@Skill_Name_10442	@Skill_Desc_10442	skill/S_B_10031.png	@MercenaryOpenLevelTxt	34%	12%
10431	143	1	2000	@Skill_Name_10761	@Skill_Desc_10761	skill/S_B_10071.png	@MercenaryOpenLevelTxt	38%	180
10432	143	3	2000	@Skill_Name_11215	@Skill_Desc_11215	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	200
10441	144	1	2000	@Skill_Name_10111	@Skill_Desc_10111	skill/S_B_10071.png	@MercenaryOpenLevelTxt	100	60
10442	144	3	2000	@Skill_Name_10112	@Skill_Desc_10112	skill/S_B_10042.png	@MercenaryOpenLevelTxt	200	200
10451	145	1	2000	@Skill_Name_10761	@Skill_Desc_10761	skill/S_B_10071.png	@MercenaryOpenLevelTxt	42%	220
10452	145	3	2000	@Skill_Name_11215	@Skill_Desc_11215	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	300
10461	146	1	2000	@Skill_Name_10421	@Skill_Desc_10421	skill/S_B_10031.png	@MercenaryOpenLevelTxt	26%	150
10462	146	3	2000	@Skill_Name_10422	@Skill_Desc_10422	skill/S_B_10071.png	@MercenaryOpenLevelTxt	24%	120
10471	147	1	2000	@Skill_Name_10732	@Skill_Desc_10732	skill/S_B_10031.png	@MercenaryOpenLevelTxt	50%	500
10472	147	3	2000	@Skill_Name_10652	@Skill_Desc_10652	skill/S_B_10042.png	@MercenaryOpenLevelTxt	40%	15%
10481	148	1	2000	@Skill_Name_10615	@Skill_Desc_10615	skill/S_B_10061.png	@MercenaryOpenLevelTxt	40%	240
10482	148	3	2000	@Skill_Name_10232	@Skill_Desc_10232	skill/S_B_10071.png	@MercenaryOpenLevelTxt	45%	30%
10491	149	1	2000	@Skill_Name_10491	@Skill_Desc_10491	skill/S_B_10071.png	@MercenaryOpenLevelTxt	42%	200
10492	149	3	2000	@Skill_Name_10492	@Skill_Desc_10492	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	200
10501	150	1	2000	@Skill_Name_10371	@Skill_Desc_10371	skill/S_B_10071.png	@MercenaryOpenLevelTxt	18%	30%
10502	150	3	2000	@Skill_Name_10372	@Skill_Desc_10372	skill/S_B_10031.png	@MercenaryOpenLevelTxt	22%	6%
10511	151	1	2000	@Skill_Name_10761	@Skill_Desc_10761	skill/S_B_10031.png	@MercenaryOpenLevelTxt	40%	180
10512	151	3	2000	@Skill_Name_10752	@Skill_Desc_10752	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	15%
10521	152	1	2000	@Skill_Name_10451	@Skill_Desc_10451	skill/S_B_10071.png	@MercenaryOpenLevelTxt	30%	200
10522	152	3	2000	@Skill_Name_10452	@Skill_Desc_10452	skill/S_B_10031.png	@MercenaryOpenLevelTxt	30%	180
10531	153	1	2000	@Skill_Name_10131	@Skill_Desc_10131	skill/S_B_10031.png	@MercenaryOpenLevelTxt	80	0
10532	153	3	2000	@Skill_Name_10132	@Skill_Desc_10132	skill/S_B_10042.png	@MercenaryOpenLevelTxt	120	100
10541	154	1	2000	@Skill_Name_10431	@Skill_Desc_10431	skill/S_B_10071.png	@MercenaryOpenLevelTxt	24%	0
10542	154	3	2000	@Skill_Name_10432	@Skill_Desc_10432	skill/S_B_10031.png	@MercenaryOpenLevelTxt	24%	80
10551	155	1	2000	@Skill_Name_10151	@Skill_Desc_10151	skill/S_B_10071.png	@MercenaryOpenLevelTxt	22%	70
10552	155	3	2000	@Skill_Name_10152	@Skill_Desc_10152	skill/S_B_10072.png	@MercenaryOpenLevelTxt	50%	50
10561	156	1	2000	@Skill_Name_10561	@Skill_Desc_10561	skill/S_B_10071.png	@MercenaryOpenLevelTxt	30%	180
10562	156	3	2000	@Skill_Name_10562	@Skill_Desc_10562	skill/S_B_10031.png	@MercenaryOpenLevelTxt	35%	100%
10571	157	1	2000	@Skill_Name_10473	@Skill_Desc_10473	skill/S_B_10071.png	@MercenaryOpenLevelTxt	50%	16%
10572	157	3	2000	@Skill_Name_10474	@Skill_Desc_10474	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	200
10581	158	1	2000	@Skill_Name_10291	@Skill_Desc_10291	skill/S_B_10071.png	@MercenaryOpenLevelTxt	24%	100
10582	158	3	2000	@Skill_Name_10292	@Skill_Desc_10292	skill/S_B_10072.png	@MercenaryOpenLevelTxt	80%	0
10591	159	1	2000	@Skill_Name_10331	@Skill_Desc_10331	skill/S_B_10031.png	@MercenaryOpenLevelTxt	33%	150
10592	159	3	2000	@Skill_Name_10332	@Skill_Desc_10332	skill/S_B_10091.png	@MercenaryOpenLevelTxt	30%	10%
10601	160	1	2000	@Skill_Name_10601	@Skill_Desc_10601	skill/S_B_10071.png	@MercenaryOpenLevelTxt	38%	240
10602	160	3	2000	@Skill_Name_11211	@Skill_Desc_11211	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	240
10611	161	1	2000	@Skill_Name_10613	@Skill_Desc_10613	skill/S_B_10071.png	@MercenaryOpenLevelTxt	42%	30%
10612	161	3	2000	@Skill_Name_10614	@Skill_Desc_10614	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	35%
10621	162	1	2000	@Skill_Name_10401	@Skill_Desc_10401	skill/S_B_10071.png	@MercenaryOpenLevelTxt	20%	220
10622	162	3	2000	@Skill_Name_10402	@Skill_Desc_10402	skill/S_B_10072.png	@MercenaryOpenLevelTxt	80%	0
10631	163	1	2000	@Skill_Name_10631	@Skill_Desc_10631	skill/S_B_10071.png	@MercenaryOpenLevelTxt	28%	500
10632	163	3	2000	@Skill_Name_10632	@Skill_Desc_10632	skill/S_B_10031.png	@MercenaryOpenLevelTxt	24%	12%
10651	165	1	2000	@Skill_Name_10561	@Skill_Desc_10903	skill/S_B_10071.png	@MercenaryOpenLevelTxt	30%	250
10652	165	3	2000	@Skill_Name_10562	@Skill_Desc_10904	skill/S_B_10031.png	@MercenaryOpenLevelTxt	30%	40%
10661	166	1	2000	@Skill_Name_10721	@Skill_Desc_10721	skill/S_B_10071.png	@MercenaryOpenLevelTxt	42%	220
10662	166	3	2000	@Skill_Name_10722	@Skill_Desc_10722	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	250
10671	167	1	2000	@Skill_Name_10401	@Skill_Desc_10401	skill/S_B_10071.png	@MercenaryOpenLevelTxt	20%	220
10672	167	3	2000	@Skill_Name_10502	@Skill_Desc_10502	skill/S_B_10031.png	@MercenaryOpenLevelTxt	25%	160
10681	168	1	2000	@Skill_Name_10471	@Skill_Desc_10471	skill/S_B_10071.png	@MercenaryOpenLevelTxt	46%	18%
10682	168	3	2000	@Skill_Name_10472	@Skill_Desc_10472	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	240
10691	169	1	2000	@Skill_Name_10091	@Skill_Desc_10091	skill/S_B_10092.png	@MercenaryOpenLevelTxt	30%	80
10692	169	3	2000	@Skill_Name_10092	@Skill_Desc_10092	skill/S_B_10071.png	@MercenaryOpenLevelTxt	30%	60%
10701	170	1	2000	@Skill_Name_10731	@Skill_Desc_10731	skill/S_B_10071.png	@MercenaryOpenLevelTxt	28%	160
10702	170	3	2000	@Skill_Name_10732	@Skill_Desc_10732	skill/S_B_10031.png	@MercenaryOpenLevelTxt	22%	400
10711	171	1	2000	@Skill_Name_10853	@Skill_Desc_10853	skill/S_B_10071.png	@MercenaryOpenLevelTxt	42%	60%
10712	171	3	2000	@Skill_Name_10854	@Skill_Desc_10854	skill/S_B_10071.png	@MercenaryOpenLevelTxt	45%	16%
10721	172	1	2000	@Skill_Name_10431	@Skill_Desc_10431	skill/S_B_10071.png	@MercenaryOpenLevelTxt	36%	0
10722	172	3	2000	@Skill_Name_10432	@Skill_Desc_10432	skill/S_B_10031.png	@MercenaryOpenLevelTxt	34%	130
10731	173	1	2000	@Skill_Name_10761	@Skill_Desc_10761	skill/S_B_10031.png	@MercenaryOpenLevelTxt	30%	160
10732	173	3	2000	@Skill_Name_10732	@Skill_Desc_10732	skill/S_B_10031.png	@MercenaryOpenLevelTxt	34%	600
10741	174	1	2000	@Skill_Name_10321	@Skill_Desc_10571	skill/S_B_10031.png	@MercenaryOpenLevelTxt	28%	22%
10742	174	3	2000	@Skill_Name_10322	@Skill_Desc_10322	skill/S_B_10071.png	@MercenaryOpenLevelTxt	26%	100
10751	175	1	2000	@Skill_Name_10761	@Skill_Desc_10761	skill/S_B_10071.png	@MercenaryOpenLevelTxt	42%	220
10752	175	3	2000	@Skill_Name_10762	@Skill_Desc_10762	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	260
10761	176	1	2000	@Skill_Name_10231	@Skill_Desc_10231	skill/S_B_10091.png	@MercenaryOpenLevelTxt	42%	15%
10762	176	3	2000	@Skill_Name_10232	@Skill_Desc_10232	skill/S_B_10061.png	@MercenaryOpenLevelTxt	45%	40%
10771	177	1	2000	@Skill_Name_10411	@Skill_Desc_10411	skill/S_B_10071.png	@MercenaryOpenLevelTxt	24%	120
10772	177	3	2000	@Skill_Name_10412	@Skill_Desc_10412	skill/S_B_10031.png	@MercenaryOpenLevelTxt	26%	120
10781	178	1	2000	@Skill_Name_10561	@Skill_Desc_10561	skill/S_B_10071.png	@MercenaryOpenLevelTxt	42%	220
10782	178	3	2000	@Skill_Name_10562	@Skill_Desc_10562	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	100%
10791	179	1	2000	@Skill_Name_10791	@Skill_Desc_10791	skill/S_B_10031.png	@MercenaryOpenLevelTxt	42%	220
10792	179	3	2000	@Skill_Name_11214	@Skill_Desc_11214	skill/S_B_10091.png	@MercenaryOpenLevelTxt	45%	700
10801	180	1	2000	@Skill_Name_10511	@Skill_Desc_10511	skill/S_B_10091.png	@MercenaryOpenLevelTxt	40%	18%
10802	180	3	2000	@Skill_Name_10512	@Skill_Desc_10512	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	180
10811	181	1	2000	@Skill_Name_10681	@Skill_Desc_10681	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	16%
10812	181	3	2000	@Skill_Name_10682	@Skill_Desc_10682	skill/S_B_10042.png	@MercenaryOpenLevelTxt	42%	800
10821	182	1	2000	@Skill_Name_10251	@Skill_Desc_10251	skill/S_B_10071.png	@MercenaryOpenLevelTxt	22%	70
10822	182	3	2000	@Skill_Name_10502	@Skill_Desc_10502	skill/S_B_10031.png	@MercenaryOpenLevelTxt	25%	160
10831	183	1	2000	@Skill_Name_10831	@Skill_Desc_10831	skill/S_B_10071.png	@MercenaryOpenLevelTxt	42%	220
10832	183	3	2000	@Skill_Name_10832	@Skill_Desc_10832	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	200
10841	184	1	2000	@Skill_Name_10071	@Skill_Desc_10071	skill/S_B_10071.png	@MercenaryOpenLevelTxt	28%	65
10842	184	3	2000	@Skill_Name_10072	@Skill_Desc_10072	skill/S_B_10072.png	@MercenaryOpenLevelTxt	80%	0
10851	185	1	2000	@Skill_Name_10851	@Skill_Desc_10851	skill/S_B_10092.png	@MercenaryOpenLevelTxt	45%	260
10852	185	3	2000	@Skill_Name_10852	@Skill_Desc_10852	skill/S_B_10071.png	@MercenaryOpenLevelTxt	42%	60%
10861	186	1	2000	@Skill_Name_10861	@Skill_Desc_10861	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	200
10862	186	3	2000	@Skill_Name_10862	@Skill_Desc_10862	skill/S_B_10091.png	@MercenaryOpenLevelTxt	42%	16%
10871	187	1	2000	@Skill_Name_10081	@Skill_Desc_10081	skill/S_B_10031.png	@MercenaryOpenLevelTxt	18%	28%
10872	187	3	2000	@Skill_Name_10082	@Skill_Desc_10082	skill/S_B_10091.png	@MercenaryOpenLevelTxt	28%	4%
10881	188	1	2000	@Skill_Name_10881	@Skill_Desc_10881	skill/S_B_10071.png	@MercenaryOpenLevelTxt	42%	220
10882	188	3	2000	@Skill_Name_10882	@Skill_Desc_10882	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	200
10891	189	1	2000	@Skill_Name_10891	@Skill_Desc_10891	skill/S_B_10042.png	@MercenaryOpenLevelTxt	42%	10
10892	189	3	2000	@Skill_Name_10892	@Skill_Desc_10892	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	240
10901	190	1	2000	@Skill_Name_11092	@Skill_Desc_11092	skill/S_B_10071.png	@MercenaryOpenLevelTxt	45%	20%
10902	190	3	2000	@Skill_Name_10902	@Skill_Desc_10902	skill/S_B_10031.png	@MercenaryOpenLevelTxt	40%	500
10911	191	1	2000	@Skill_Name_10911	@Skill_Desc_10911	skill/S_B_10071.png	@MercenaryOpenLevelTxt	38%	160
10912	191	3	2000	@Skill_Name_10912	@Skill_Desc_10912	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	200
10921	192	1	2000	@Skill_Name_10921	@Skill_Desc_10921	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	220
10922	192	3	2000	@Skill_Name_10922	@Skill_Desc_10922	skill/S_B_10061.png	@MercenaryOpenLevelTxt	42%	35%
10931	193	1	2000	@Skill_Name_10321	@Skill_Desc_10321	skill/S_B_10031.png	@MercenaryOpenLevelTxt	28%	120
10932	193	3	2000	@Skill_Name_10382	@Skill_Desc_10382	skill/S_B_10091.png	@MercenaryOpenLevelTxt	26%	12%
10941	194	1	2000	@Skill_Name_10681	@Skill_Desc_10681	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	16%
10942	194	3	2000	@Skill_Name_10572	@Skill_Desc_10572	skill/S_B_10071.png	@MercenaryOpenLevelTxt	38%	240
10951	195	1	2000	@Skill_Name_10471	@Skill_Desc_10471	skill/S_B_10071.png	@MercenaryOpenLevelTxt	36%	12%
10952	195	3	2000	@Skill_Name_10952	@Skill_Desc_10952	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	180
10961	196	1	2000	@Skill_Name_10391	@Skill_Desc_10391	skill/S_B_10071.png	@MercenaryOpenLevelTxt	38%	240
10962	196	3	2000	@Skill_Name_10392	@Skill_Desc_10392	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	14%
10971	197	1	2000	@Skill_Name_10501	@Skill_Desc_10501	skill/S_B_10091.png	@MercenaryOpenLevelTxt	24%	10%
10972	197	3	2000	@Skill_Name_10242	@Skill_Desc_10242	skill/S_B_10031.png	@MercenaryOpenLevelTxt	30%	100%
10981	198	1	2000	@Skill_Name_10471	@Skill_Desc_10471	skill/S_B_10071.png	@MercenaryOpenLevelTxt	42%	18%
10982	198	3	2000	@Skill_Name_10472	@Skill_Desc_10472	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	220
10991	199	1	2000	@Skill_Name_10991	@Skill_Desc_10991	skill/S_B_10071.png	@MercenaryOpenLevelTxt	42%	220
10992	199	3	2000	@Skill_Name_10992	@Skill_Desc_10992	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	14%
11001	200	1	2000	@Skill_Name_10542	@Skill_Desc_10542	skill/S_B_10071.png	@MercenaryOpenLevelTxt	45%	40%
11002	200	3	2000	@Skill_Name_10682	@Skill_Desc_10682	skill/S_B_10042.png	@MercenaryOpenLevelTxt	42%	800
11011	201	1	2000	@Skill_Name_10431	@Skill_Desc_10431	skill/S_B_10071.png	@MercenaryOpenLevelTxt	45%	250
11012	201	3	2000	@Skill_Name_10432	@Skill_Desc_10432	skill/S_B_10031.png	@MercenaryOpenLevelTxt	40%	150
11021	202	1	2000	@Skill_Name_10731	@Skill_Desc_10731	skill/S_B_10071.png	@MercenaryOpenLevelTxt	45%	300
11022	202	3	2000	@Skill_Name_10732	@Skill_Desc_10732	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	300
11031	203	1	2000	@Skill_Name_10041	@Skill_Desc_10041	skill/S_B_10052.png	@MercenaryOpenLevelTxt	50	0
11032	203	3	2000	@Skill_Name_10042	@Skill_Desc_10042	skill/S_B_10042.png	@MercenaryOpenLevelTxt	20%	0
11041	204	0	2000	@Skill_Name_10022	@Skill_Desc_10022	skill/S_B_10041.png	@MercenaryOpenLevelTxt	15%	0
11042	204	1	2000	@Skill_Name_10052	@Skill_Desc_10052	skill/S_B_10052.png	@MercenaryOpenLevelTxt	85	0
11051	205	1	2000	@Skill_Name_10381	@Skill_Desc_10381	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	240
11052	205	3	2000	@Skill_Name_11052	@Skill_Desc_11052	skill/S_B_10071.png	@MercenaryOpenLevelTxt	42%	240
11061	206	1	2000	@Skill_Name_10611	@Skill_Desc_10611	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	260
11062	206	3	2000	@Skill_Name_10612	@Skill_Desc_10612	skill/S_B_10042.png	@MercenaryOpenLevelTxt	42%	16%
11071	207	1	2000	@Skill_Name_10541	@Skill_Desc_10541	skill/S_B_10072.png	@MercenaryOpenLevelTxt	42%	240
11072	207	3	2000	@Skill_Name_10542	@Skill_Desc_10542	skill/S_B_10071.png	@MercenaryOpenLevelTxt	45%	120%
11081	208	1	2000	@Skill_Name_10692	@Skill_Desc_10692	skill/S_B_10071.png	@MercenaryOpenLevelTxt	50%	260
11082	208	3	2000	@Skill_Name_10691	@Skill_Desc_10691	skill/S_B_10072.png	@MercenaryOpenLevelTxt	42%	200
11091	209	1	2000	@Skill_Name_10331	@Skill_Desc_10331	skill/S_B_10031.png	@MercenaryOpenLevelTxt	45%	220
