英雄等级	护甲修正参数	物抗修正参数	魔抗修正参数	暴击修正参数	韧性修正参数	命中修正参数	闪避修正参数	护甲修正参数	物抗修正参数	魔抗修正参数
169	20150	44100	42700	83520	87322	70887	70887	1900	4560	4560
170	20200	44375	43000	84085	87898	71325	71325	1910	4600	4600
171	20250	44650	43300	84650	88474	71763	71763	1920	4640	4640
172	20300	44925	43600	85215	89050	72201	72201	1930	4680	4680
173	20350	45200	43900	85780	89626	72639	72639	1940	4720	4720
174	20400	45475	44200	86345	90202	73077	73077	1950	4760	4760
175	20450	45750	44500	86910	90778	73515	73515	1960	4800	4800
176	20500	46025	44800	87475	91354	73953	73953	1970	4840	4840
177	20550	46300	45100	88040	91930	74391	74391	1980	4880	4880
178	20600	46575	45400	88605	92506	74829	74829	1990	4920	4920
179	20650	46850	45700	89170	93082	75267	75267	2000	4960	4960
180	20700	47125	46000	89735	93658	75705	75705	2010	5000	5000
181	20750	47400	46300	90300	94234	76143	76143	2020	5040	5040
182	20800	47675	46600	90865	94810	76581	76581	2030	5080	5080
183	20850	47950	46900	91430	95386	77019	77019	2040	5120	5120
184	20900	48225	47200	91995	95962	77457	77457	2050	5160	5160
185	20950	48500	47500	92560	96538	77895	77895	2060	5200	5200
186	21000	48775	47800	93125	97114	78333	78333	2070	5240	5240
187	21050	49050	48100	93690	97690	78771	78771	2080	5280	5280
188	21100	49325	48400	94255	98266	79209	79209	2090	5320	5320
189	21150	49600	48700	94820	98842	79647	79647	2100	5360	5360
190	21200	49875	49000	95385	99418	80085	80085	2110	5400	5400
191	21250	50150	49300	95950	99994	80523	80523	2120	5440	5440
192	21300	50425	49600	96515	100570	80961	80961	2130	5480	5480
193	21350	50700	49900	97080	101146	81399	81399	2140	5520	5520
194	21400	50975	50200	97645	101722	81837	81837	2150	5560	5560
195	21450	51250	50500	98210	102298	82275	82275	2160	5600	5600
196	21500	51525	50800	98775	102874	82713	82713	2170	5640	5640
197	21550	51800	51100	99340	103450	83151	83151	2180	5680	5680
198	21600	52075	51400	99905	104026	83589	83589	2190	5720	5720
199	21650	52350	51700	100470	104602	84027	84027	2200	5760	5760
200	21700	52625	52000	101035	105178	84465	84465	2210	5800	5800
