rechargeid	count	ImageBG	ImageTitle	ImagePage	title	Pagetext	awards	rank
3241	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3241_info	@popsale_3241_title	70000_24_120,10000_1002_80000,30000_7001_50000,30000_7181_500	3241
3242	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3242_info	@popsale_3242_title	70000_24_400,30000_3001_24,30000_3501_24,30000_3801_24	3242
3243	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3243_info	@popsale_3243_title	70000_24_560,30000_3001_72,30000_3501_72,30000_3801_72	3243
3221	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3221_info	@popsale_3221_title	70000_22_120,10000_1002_80000,30000_7001_50000,30000_7181_500	3221
3222	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3222_info	@popsale_3222_title	70000_22_400,30000_3001_24,30000_3501_24,30000_3801_24	3222
3223	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3223_info	@popsale_3223_title	70000_22_560,30000_3001_72,30000_3501_72,30000_3801_72	3223
3181	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3181_info	@popsale_3181_title	70000_18_120,10000_1002_80000,30000_7001_50000,30000_7181_500	3181
3182	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3182_info	@popsale_3182_title	70000_18_400,30000_3001_24,30000_3501_24,30000_3801_24	3182
3183	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3183_info	@popsale_3183_title	70000_18_560,30000_3001_72,30000_3501_72,30000_3801_72	3183
5001	1	PopUpSale_bg.png	popsale_151_img.png	PopUpSale_151_icon	@popsale_5001_info	@popsale_5001_title	30000_10101_70,30000_7182_500	5001
5002	1	PopUpSale_bg.png	popsale_151_img.png	PopUpSale_151_icon	@popsale_5002_info	@popsale_5002_title	30000_10201_70,30000_7182_500	5002
5013	1	PopUpSale_bg.png	popsale_151_img.png	PopUpSale_151_icon	@popsale_5013_info	@popsale_5013_title	30000_11301_70,30000_7182_500	5013
5006	1	PopUpSale_bg.png	popsale_151_img.png	PopUpSale_151_icon	@popsale_5006_info	@popsale_5006_title	30000_10601_70,30000_7182_500	5006
5010	1	PopUpSale_bg.png	popsale_151_img.png	PopUpSale_151_icon	@popsale_5010_info	@popsale_5010_title	30000_11001_70,30000_7182_500	5010
5011	1	PopUpSale_bg.png	popsale_151_img.png	PopUpSale_151_icon	@popsale_5011_info	@popsale_5011_title	30000_11101_70,30000_7182_500	5011
5012	1	PopUpSale_bg.png	popsale_151_img.png	PopUpSale_151_icon	@popsale_5012_info	@popsale_5012_title	30000_11201_70,30000_7182_500	5012
5016	1	PopUpSale_bg.png	popsale_151_img.png	PopUpSale_151_icon	@popsale_5016_info	@popsale_5016_title	30000_11601_70,30000_7182_500	5016
5017	1	PopUpSale_bg.png	popsale_151_img.png	PopUpSale_151_icon	@popsale_5017_info	@popsale_5017_title	30000_11701_70,30000_7182_500	5017
6001	1	popsale_AncientWeaponSystem_bg.png	PopUpSale_img_02.png	PopUpSale_151_icon	@popsale_6001_info	@popsale_6001_title	10000_1001_980,30000_6005_10	6001
6002	1	popsale_AncientWeaponSystem_bg.png	PopUpSale_img_02.png	PopUpSale_151_icon	@popsale_6002_info	@popsale_6002_title	10000_1001_1980,30000_6005_20,70000_23_30	6002
6003	1	popsale_AncientWeaponSystem_bg.png	PopUpSale_img_02.png	PopUpSale_151_icon	@popsale_6003_info	@popsale_6003_title	10000_1001_3280,30000_6005_50,70000_23_60	6003
6004	9999	popsale_AncientWeaponSystem_bg.png	PopUpSale_img_02.png	PopUpSale_151_icon	@popsale_6004_info	@popsale_6004_title	10000_1001_680,30000_6005_10	6004
6005	1	popsale_AncientWeaponSystem_bg.png	PopUpSale_img_02.png	PopUpSale_151_icon	@popsale_6005_info	@popsale_6005_title	10000_1001_980,30000_6005_10	6005
6006	1	popsale_AncientWeaponSystem_bg.png	PopUpSale_img_02.png	PopUpSale_151_icon	@popsale_6006_info	@popsale_6006_title	10000_1001_1980,30000_6005_20,70000_18_30	6006
6007	1	popsale_AncientWeaponSystem_bg.png	PopUpSale_img_02.png	PopUpSale_151_icon	@popsale_6007_info	@popsale_6007_title	10000_1001_3280,30000_6005_50,70000_18_60	6007
6008	9999	popsale_AncientWeaponSystem_bg.png	PopUpSale_img_02.png	PopUpSale_151_icon	@popsale_6008_info	@popsale_6008_title	10000_1001_680,30000_6005_10	6008
7231	1	PopUpSale_bg.png	PopUpSale_img_02.png	PopUpSale_151_icon	@popsale_7231_info	@popsale_7231_title	10000_1001_980,30000_6012_15	7231
7232	3	PopUpSale_bg.png	PopUpSale_img_02.png	PopUpSale_151_icon	@popsale_7232_info	@popsale_7232_title	10000_1001_1980,30000_6012_20,30000_7224_1	7232
7233	3	PopUpSale_bg.png	PopUpSale_img_02.png	PopUpSale_151_icon	@popsale_7233_info	@popsale_7233_title	10000_1001_3280,30000_6012_30,30000_7224_1	7233
7234	2	PopUpSale_bg.png	PopUpSale_img_02.png	PopUpSale_151_icon	@popsale_7234_info	@popsale_7234_title	10000_1001_680,30000_3001_60,10000_1002_400000	7234
7235	2	PopUpSale_bg.png	PopUpSale_img_02.png	PopUpSale_151_icon	@popsale_7235_info	@popsale_7235_title	10000_1001_680,30000_3501_60,30000_7001_300000	7235
7236	2	PopUpSale_bg.png	PopUpSale_img_02.png	PopUpSale_151_icon	@popsale_7236_info	@popsale_7236_title	10000_1001_680,30000_3801_24,30000_7222_500	7236
7237	2	PopUpSale_bg.png	PopUpSale_img_02.png	PopUpSale_151_icon	@popsale_7237_info	@popsale_7237_title	10000_1001_680,30000_7188_4	7237
7181	1	PopUpSale_bg.png	PopUpSale_img_02.png	PopUpSale_151_icon	@popsale_7181_info	@popsale_7181_title	10000_1001_980,30000_6012_15	7181
7182	3	PopUpSale_bg.png	PopUpSale_img_02.png	PopUpSale_151_icon	@popsale_7182_info	@popsale_7182_title	10000_1001_1980,30000_6012_20,30000_7224_1	7182
7183	3	PopUpSale_bg.png	PopUpSale_img_02.png	PopUpSale_151_icon	@popsale_7183_info	@popsale_7183_title	10000_1001_3280,30000_6012_30,30000_7224_1	7183
7184	2	PopUpSale_bg.png	PopUpSale_img_02.png	PopUpSale_151_icon	@popsale_7184_info	@popsale_7184_title	10000_1001_680,30000_3001_60,10000_1002_400000	7184
7185	2	PopUpSale_bg.png	PopUpSale_img_02.png	PopUpSale_151_icon	@popsale_7185_info	@popsale_7185_title	10000_1001_680,30000_3501_60,30000_7001_300000	7185
7186	2	PopUpSale_bg.png	PopUpSale_img_02.png	PopUpSale_151_icon	@popsale_7186_info	@popsale_7186_title	10000_1001_680,30000_3801_24,30000_7222_500	7186
7187	2	PopUpSale_bg.png	PopUpSale_img_02.png	PopUpSale_151_icon	@popsale_7187_info	@popsale_7187_title	10000_1001_680,30000_7188_4	7187
