id	rank	rare	starrare	afterid	名字	图片	基础属性	隨機属性	是否有技能	slots	skillpool	unlocksp	refinecost	lockcost	spcost
126	1	1	1	226	@Rune_1	Rune_1_2.png	114_820,109_212	109_212	0	0	0	0	10,20,40,80,160	1,2,4,8	1
127	1	1	1	227	@Rune_1	Rune_1_2.png	114_820,110_171	110_171	0	0	0	0	10,20,40,80,160	1,2,4,8	1
210	2	1	2	311	@Rune_2	Rune_2_1.png	113_983	101_10038_143,106_625_143,107_625_143,111_115_143,108_164_143,109_255_143,110_205_142	1	1	1	0	10,20,40,80,160	1,2,4,8	1
211	2	1	2	311	@Rune_2	Rune_2_1.png	113_983,101_10038	101_10038	1	1	1	0	10,20,40,80,160	1,2,4,8	1
212	2	1	2	312	@Rune_2	Rune_2_1.png	113_983,106_625	106_625	1	1	1	0	10,20,40,80,160	1,2,4,8	1
213	2	1	2	313	@Rune_2	Rune_2_1.png	113_983,107_625	107_625	1	1	1	0	10,20,40,80,160	1,2,4,8	1
214	2	1	2	314	@Rune_2	Rune_2_1.png	113_983,111_115	111_115	1	1	1	0	10,20,40,80,160	1,2,4,8	1
215	2	1	2	315	@Rune_2	Rune_2_1.png	113_983,108_164	108_164	1	1	1	0	10,20,40,80,160	1,2,4,8	1
216	2	1	2	316	@Rune_2	Rune_2_1.png	113_983,109_255	109_255	1	1	1	0	10,20,40,80,160	1,2,4,8	1
217	2	1	2	317	@Rune_2	Rune_2_1.png	113_983,110_205	110_205	1	1	1	0	10,20,40,80,160	1,2,4,8	1
220	2	1	2	321	@Rune_2	Rune_2_2.png	114_983	101_10038_143,106_625_143,107_625_143,111_115_143,108_164_143,109_255_143,110_205_142	1	1	1	0	10,20,40,80,160	1,2,4,8	1
221	2	1	2	321	@Rune_2	Rune_2_2.png	114_983,101_10038	101_10038	1	1	1	0	10,20,40,80,160	1,2,4,8	1
222	2	1	2	322	@Rune_2	Rune_2_2.png	114_983,106_625	106_625	1	1	1	0	10,20,40,80,160	1,2,4,8	1
223	2	1	2	323	@Rune_2	Rune_2_2.png	114_983,107_625	107_625	1	1	1	0	10,20,40,80,160	1,2,4,8	1
224	2	1	2	324	@Rune_2	Rune_2_2.png	114_983,111_115	111_115	1	1	1	0	10,20,40,80,160	1,2,4,8	1
225	2	1	2	325	@Rune_2	Rune_2_2.png	114_983,108_164	108_164	1	1	1	0	10,20,40,80,160	1,2,4,8	1
226	2	1	2	326	@Rune_2	Rune_2_2.png	114_983,109_255	109_255	1	1	1	0	10,20,40,80,160	1,2,4,8	1
227	2	1	2	327	@Rune_2	Rune_2_2.png	114_983,110_205	110_205	1	1	1	0	10,20,40,80,160	1,2,4,8	1
310	3	2	1	411	@Rune_3	Rune_3_1.png	113_1180	101_12046_143,106_750_143,107_750_143,111_138_143,108_197_143,109_306_143,110_246_142	1	2	2	1	10,20,40,80,160	1,2,4,8	1
311	3	2	1	411	@Rune_3	Rune_3_1.png	113_1180,106_750	106_750	1	2	2	1	10,20,40,80,160	1,2,4,8	1
312	3	2	1	412	@Rune_3	Rune_3_1.png	113_1180,107_750	107_750	1	2	2	1	10,20,40,80,160	1,2,4,8	1
313	3	2	1	413	@Rune_3	Rune_3_1.png	113_1180,111_138	111_138	1	2	2	1	10,20,40,80,160	1,2,4,8	1
314	3	2	1	414	@Rune_3	Rune_3_1.png	113_1180,108_197	108_197	1	2	2	1	10,20,40,80,160	1,2,4,8	1
315	3	2	1	415	@Rune_3	Rune_3_1.png	113_1180,109_306	109_306	1	2	2	1	10,20,40,80,160	1,2,4,8	1
316	3	2	1	416	@Rune_3	Rune_3_1.png	113_1180,110_246	110_246	1	2	2	1	10,20,40,80,160	1,2,4,8	1
317	3	2	1	417	@Rune_3	Rune_3_1.png	113_2360,110_492	110_492	1	2	2	1	10,20,40,80,160	1,2,4,8	1
320	3	2	1	421	@Rune_3	Rune_3_2.png	114_1180	101_12046_143,106_750_143,107_750_143,111_138_143,108_197_143,109_306_143,110_246_142	1	2	2	1	10,20,40,80,160	1,2,4,8	1
321	3	2	1	421	@Rune_3	Rune_3_2.png	114_1180,101_12046	101_12046	1	2	2	1	10,20,40,80,160	1,2,4,8	1
322	3	2	1	422	@Rune_3	Rune_3_2.png	114_1180,106_750	106_750	1	2	2	1	10,20,40,80,160	1,2,4,8	1
323	3	2	1	423	@Rune_3	Rune_3_2.png	114_1180,107_750	107_750	1	2	2	1	10,20,40,80,160	1,2,4,8	1
324	3	2	1	424	@Rune_3	Rune_3_2.png	114_1180,111_138	111_138	1	2	2	1	10,20,40,80,160	1,2,4,8	1
325	3	2	1	425	@Rune_3	Rune_3_2.png	114_1180,108_197	108_197	1	2	2	1	10,20,40,80,160	1,2,4,8	1
326	3	2	1	426	@Rune_3	Rune_3_2.png	114_1180,109_306	109_306	1	2	2	1	10,20,40,80,160	1,2,4,8	1
327	3	2	1	427	@Rune_3	Rune_3_2.png	114_1180,110_246	110_246	1	2	2	1	10,20,40,80,160	1,2,4,8	1
410	4	2	2	511	@Rune_4	Rune_4_1.png	113_1416	101_14455_143,106_900_143,107_900_143,111_165_143,108_236_143,109_367_143,110_296_142	1	3	3	1	10,20,40,80,160	1,2,4,8	1
411	4	2	2	511	@Rune_4	Rune_4_1.png	113_1416,101_14455	101_14455	1	3	3	1	10,20,40,80,160	1,2,4,8	1
412	4	2	2	512	@Rune_4	Rune_4_1.png	113_1416,106_900	106_900	1	3	3	1	10,20,40,80,160	1,2,4,8	1
413	4	2	2	513	@Rune_4	Rune_4_1.png	113_1416,107_900	107_900	1	3	3	1	10,20,40,80,160	1,2,4,8	1
414	4	2	2	514	@Rune_4	Rune_4_1.png	113_1416,111_165	111_165	1	3	3	1	10,20,40,80,160	1,2,4,8	1
415	4	2	2	515	@Rune_4	Rune_4_1.png	113_1416,108_236	108_236	1	3	3	1	10,20,40,80,160	1,2,4,8	1
416	4	2	2	516	@Rune_4	Rune_4_1.png	113_1416,109_367	109_367	1	3	3	1	10,20,40,80,160	1,2,4,8	1
417	4	2	2	517	@Rune_4	Rune_4_1.png	113_1416,110_296	110_296	1	3	3	1	10,20,40,80,160	1,2,4,8	1
420	4	2	2	521	@Rune_4	Rune_4_2.png	114_1416	101_14455_143,106_900_143,107_900_143,111_165_143,108_236_143,109_367_143,110_296_142	1	3	3	1	10,20,40,80,160	1,2,4,8	1
421	4	2	2	521	@Rune_4	Rune_4_2.png	114_1416,101_14455	101_14455	1	3	3	1	10,20,40,80,160	1,2,4,8	1
422	4	2	2	522	@Rune_4	Rune_4_2.png	114_1416,106_900	106_900	1	3	3	1	10,20,40,80,160	1,2,4,8	1
423	4	2	2	523	@Rune_4	Rune_4_2.png	114_1416,107_900	107_900	1	3	3	1	10,20,40,80,160	1,2,4,8	1
424	4	2	2	524	@Rune_4	Rune_4_2.png	114_1416,111_165	111_165	1	3	3	1	10,20,40,80,160	1,2,4,8	1
425	4	2	2	525	@Rune_4	Rune_4_2.png	114_1416,108_236	108_236	1	3	3	1	10,20,40,80,160	1,2,4,8	1
426	4	2	2	526	@Rune_4	Rune_4_2.png	114_1416,109_367	109_367	1	3	3	1	10,20,40,80,160	1,2,4,8	1
427	4	2	2	527	@Rune_4	Rune_4_2.png	114_1416,110_296	110_296	1	3	3	1	10,20,40,80,160	1,2,4,8	1
510	5	3	1	511	@Rune_5	Rune_5_1.png	113_1700	101_17346_143,106_1080_143,107_1080_143,111_198_143,108_283_143,109_440_143,110_355_142	1	5	4	1	10,20,40,80,160	1,2,4,8	1
511	5	3	1	511	@Rune_5	Rune_5_1.png	113_1700,101_17346	101_17346	1	5	4	1	10,20,40,80,160	1,2,4,8	1
512	5	3	1	512	@Rune_5	Rune_5_1.png	113_1700,106_1080	106_1080	1	5	4	1	10,20,40,80,160	1,2,4,8	1
513	5	3	1	513	@Rune_5	Rune_5_1.png	113_1700,107_1080	107_1080	1	5	4	1	10,20,40,80,160	1,2,4,8	1
514	5	3	1	514	@Rune_5	Rune_5_1.png	113_1700,111_198	111_198	1	5	4	1	10,20,40,80,160	1,2,4,8	1
515	5	3	1	515	@Rune_5	Rune_5_1.png	113_1700,108_283	108_283	1	5	4	1	10,20,40,80,160	1,2,4,8	1
516	5	3	1	516	@Rune_5	Rune_5_1.png	113_1700,109_440	109_440	1	5	4	1	10,20,40,80,160	1,2,4,8	1
517	5	3	1	517	@Rune_5	Rune_5_1.png	113_1700,110_355	110_355	1	5	4	1	10,20,40,80,160	1,2,4,8	1
520	5	3	1	521	@Rune_5	Rune_5_2.png	114_1700	101_17346_143,106_1080_143,107_1080_143,111_198_143,108_283_143,109_440_143,110_355_142	1	5	4	1	10,20,40,80,160	1,2,4,8	1
521	5	3	1	521	@Rune_5	Rune_5_2.png	114_1700,101_17346	101_17346	1	5	4	1	10,20,40,80,160	1,2,4,8	1
522	5	3	1	522	@Rune_5	Rune_5_2.png	114_1700,106_1080	106_1080	1	5	4	1	10,20,40,80,160	1,2,4,8	1
523	5	3	1	523	@Rune_5	Rune_5_2.png	114_1700,107_1080	107_1080	1	5	4	1	10,20,40,80,160	1,2,4,8	1
524	5	3	1	524	@Rune_5	Rune_5_2.png	114_1700,111_198	111_198	1	5	4	1	10,20,40,80,160	1,2,4,8	1
525	5	3	1	525	@Rune_5	Rune_5_2.png	114_1700,108_283	108_283	1	5	4	1	10,20,40,80,160	1,2,4,8	1
526	5	3	1	526	@Rune_5	Rune_5_2.png	114_1700,109_440	109_440	1	5	4	1	10,20,40,80,160	1,2,4,8	1
527	5	3	1	527	@Rune_5	Rune_5_2.png	114_1700,110_355	110_355	1	5	4	1	10,20,40,80,160	1,2,4,8	1
