id	day	tagNum	tagName	task	taskTarget	reward	类型	价格	跳转备注
306	3	4	@MissionDay7_tagname_4	@MissionDay7_target_4	3	70000_1_20	0	0	36
307	3	5	@MissionDay7_tagname_18	@MissionDay7_target_23_01	1	30000_9002_12	0	0	36
308	3	5	@MissionDay7_tagname_18	@MissionDay7_target_23_03	3	30000_9002_13	0	0	36
401	4	1	@MissionDay7_tagname_9	@MissionDay7_target_13	1	10000_1002_20000	0	0	0
402	4	2	@MissionDay7_tagname_18	@MissionDay7_target_23_02	2	30000_9001_25	0	0	30
403	4	2	@MissionDay7_tagname_18	@MissionDay7_target_23_03	3	70000_1_20	0	0	30
404	4	3	@MissionDay7_tagname_8	@MissionDay7_target_12	1	30000_7197_1	0	0	30
405	4	3	@MissionDay7_tagname_8	@MissionDay7_target_12	2	10000_1001_75	0	0	1
406	4	4	@MissionDay7_tagname_5	@MissionDay7_target_5	1	70000_2_20	0	0	1
407	4	4	@MissionDay7_tagname_5	@MissionDay7_target_5	2	30000_9001_25	0	0	1
408	4	5	@MissionDay7_tagname_7	@MissionDay7_target_7_10	84	10000_1001_75	0	0	1
501	5	1	@MissionDay7_tagname_9	@MissionDay7_target_13	1	10000_1001_75	0	0	0
502	5	2	@MissionDay7_tagname_6	@MissionDay7_tagname_6	1	10000_1001_75	0	0	35
503	5	2	@MissionDay7_tagname_6	@MissionDay7_tagname_6	2	30000_7197_1	0	0	35
504	5	2	@MissionDay7_tagname_8	@MissionDay7_target_12	1	30000_7001_10000	0	0	35
505	5	2	@MissionDay7_tagname_8	@MissionDay7_target_12	2	30000_7197_1	0	0	35
506	5	2	@MissionDay7_tagname_5	@MissionDay7_target_5	1	30000_7185_3	0	0	9
507	5	2	@MissionDay7_tagname_5	@MissionDay7_target_5	2	30000_9003_50	0	0	9
508	5	2	@MissionDay7_tagname_4	@MissionDay7_target_4	2	10000_1001_75	0	0	9
509	5	2	@MissionDay7_tagname_7	@MissionDay7_target_7_11	91	10000_1001_75	0	0	9
601	6	1	@MissionDay7_tagname_9	@MissionDay7_target_13	1	30000_3001_1	0	0	0
602	6	2	@MissionDay7_tagname_15	@MissionDay7_target_20	1	30000_3501_1	0	0	7
603	6	2	@MissionDay7_tagname_15	@MissionDay7_target_20	2	70000_19_10	0	0	7
604	6	2	@MissionDay7_tagname_8	@MissionDay7_target_12	1	30000_7197_1	0	0	7
605	6	2	@MissionDay7_tagname_8	@MissionDay7_target_12	2	70000_19_10	0	0	7
606	6	1	@MissionDay7_tagname_4	@MissionDay7_target_4	2	10000_1001_100	0	0	30
607	6	1	@MissionDay7_tagname_4	@MissionDay7_target_4	3	70000_19_10	0	0	30
608	6	1	@MissionDay7_tagname_5	@MissionDay7_target_5	1	30000_9002_50	0	0	30
609	6	2	@MissionDay7_tagname_5	@MissionDay7_target_5	2	10000_1001_100	0	0	30
701	7	1	@MissionDay7_tagname_9	@MissionDay7_target_13	1	70000_19_10	0	0	0
702	7	1	@MissionDay7_tagname_8	@MissionDay7_target_12	1	30000_3001_2	0	0	21
703	7	1	@MissionDay7_tagname_8	@MissionDay7_target_12	2	30000_3501_2	0	0	21
704	7	1	@MissionDay7_tagname_8	@MissionDay7_target_12	3	70000_19_10	0	0	21
705	7	1	@MissionDay7_tagname_4	@MissionDay7_target_4	3	10000_1001_125	0	0	21
706	7	1	@MissionDay7_tagname_5	@MissionDay7_target_5	1	30000_9001_50	0	0	30
707	7	2	@MissionDay7_tagname_5	@MissionDay7_target_5	2	70000_19_10	0	0	30
708	7	2	@MissionDay7_tagname_7	@MissionDay7_target_7_12	108	10000_1001_125	0	0	30
