id	group	type	stack	priority	values	gain	visible	dispel	position	eff_spine
103204	32	1	1	4	1,0.08	1	1	1	2	
103301	33	1	1	1	10	1	0	0	1,1,1	
103401	34	1	1	1	0.5,0.3,0.3,0.3	1	1	0	2,2	Buff_34_FX2
103402	34	1	1	2	1,0.6,0.3,0.3	1	1	0	2,2	Buff_34_FX2
103403	34	1	1	3	1.5,0.9,0.3,0.3	1	1	0	2,2	Buff_34_FX2
103501	35	1	1	1	0.2	1	1	1	2	
103502	35	1	1	2	0.4	1	1	1	2	
103503	35	1	1	3	0.6	1	1	1	2	
103601	36	4	1	1	103701	1	0	0	1	
103701	37	2	1	1	0.1	1	1	0	2,1	
103602	36	4	1	2	103702	1	0	0	1	
103702	37	2	1	2	0.2	1	1	0	2,1	
103603	36	4	1	3	103703	1	0	0	1	
103703	37	2	1	3	0.3	1	1	0	2,1	
103801	38	1	1	1		1	1	1	2	
103802	38	1	1	2	0.2	1	1	1	2	Buff_38
103901	39	1	1	1		1	1	1	2	
104001	40	1	3	1	1	1	1	0	2,2	
104002	40	1	3	2	1.5,205701,1	1	1	0	2,2	
104101	41	1	3	1	0.4	1	1	1	2	
104102	41	1	3	2	0.8	1	1	1	2	
104103	41	1	3	3	1.2	1	1	1	2	
104201	42	4	1	1	104301	1	0	0	1	
104301	43	2	1	1	0.05	1	1	0	1	
104202	42	4	1	2	104302	1	0	0	1	
104302	43	2	1	2	0.07	1	1	0	1	
104203	42	4	1	3	104303	1	0	0	1	
104303	43	2	1	3	0.1	1	1	0	1	
204401	44	1	1	1	2,-0.05	0	1	1	2	
204402	44	1	1	2	2,-0.07	0	1	1	2	
204501	45	1	1	1	-0.2	0	1	1	2,2	Buff_45_FX1
204502	45	1	1	2	-0.4	0	1	1	2,2	Buff_45_FX1
204503	45	1	1	3	-0.6	0	1	1	2	
204601	46	3	1	1	0.1	0	1	0	2	Buff_46_FX1
204602	46	3	1	2	0.2	0	1	0	2	Buff_46_FX1
204603	46	3	1	3	0.3	0	1	0	2	Buff_46_FX1
204701	47	1	1	1	0.6	0	1	1	2	Buff_47_FX1
204801	48	3	1	1	0.05	0	1	0	2	Buff_48_FX1
204802	48	3	1	2	0.1	0	1	0	2	Buff_48_FX1
204803	48	3	1	3	0.15	0	1	0	2	Buff_48_FX1
204804	48	3	1	4	0.2	0	1	0	2	Buff_48_FX1
204901	49	1	1	1	-0.1,0.04,3010	0	1	0	2	Buff_49_FX1
204902	49	1	1	2	-0.15,0.06,3010	0	1	0	2	Buff_49_FX1
204903	49	1	1	3	-0.2,0.08,3010	0	1	0	2	Buff_49_FX1
204904	49	1	1	4	-0.25,0.1,3010	0	1	0	2	Buff_49_FX1
205001	50	1	6	1	0.5	0	1	1	3	Buff_50_FX1
205101	51	1	1	1	0,0.3	0	1	1	1	Buff_51_FX1
205201	52	1	1	1	-0.1	0	1	1	2,2	Buff_52_FX1
205202	52	1	1	2	-0.2	0	1	1	2,2	Buff_52_FX1
205203	52	1	1	3	-0.3	0	1	1	2,2	Buff_52_FX1
205301	53	1	1	1	-0.1	0	1	0	2	
205302	53	1	1	2	-0.15	0	1	0	2	
205303	53	1	1	3	-0.2	0	1	0	2	
205304	53	1	1	4	-0.25	0	1	0	2	
205401	54	1	1	1		0	1	1	3	Buff_54_FX1
205501	55	1	1	1	-0.1	0	1	1	3	Buff_55_FX1
205502	55	1	1	2	-0.2	0	1	1	3	Buff_55_FX1
205503	55	1	1	3	-0.3	0	1	1	3	Buff_55_FX1
205601	56	1	1	1	-0.1	0	1	1	1,1	Buff_56_FX1,Buff_56_FX3
205602	56	1	1	2	-0.2	0	1	1	1,1	Buff_56_FX1,Buff_56_FX3
205603	56	1	1	2	-0.3	0	1	1	1,1	Buff_56_FX1,Buff_56_FX3
205701	57	1	1	1		0	1	1	3	Buff_57_FX1
205801	58	1	1	1	2,-0.05	0	1	1	1	
205901	59	1	10	1	0.05,-0.05	0	1	1	1	
205902	59	1	10	2	0.1,-0.1	0	1	1	1	
206001	60	1	1	1		0	1	1	3	Buff_60_FX1
206101	61	1	3	1	10,2	0	1	1	1	
206201	62	1	1	1	1.8,5	0	1	1	1	Buff_62_FX1
206202	62	1	1	1	2.1,5	0	1	1	1	Buff_62_FX1
206203	62	1	1	1	2.4,5	0	1	1	1	Buff_62_FX1
206204	62	1	1	1	2.7,5	0	1	1	1	Buff_62_FX1
206205	62	1	1	1	3,5	0	1	1	1	Buff_62_FX1
206301	63	1	1	1		0	1	0	1	
206401	64	1	1	1	1,-0.02	0	1	1	2	Buff_64_FX1
206402	64	1	1	2	1,-0.04	0	1	1	2	Buff_64_FX1
206403	64	1	1	3	1,-0.06	0	1	1	2	Buff_64_FX1
106501	65	1	1	1	0.02,0.01	1	1	0	1,1	Buff_65_FX1,Buff_65_FX2
106502	65	1	1	2	0.02,0.02	1	1	0	1,1	Buff_65_FX1,Buff_65_FX2
106503	65	1	1	3	0.02,0.03	1	1	0	1,1	Buff_65_FX1,Buff_65_FX2
206601	66	1	1	1	0.1	0	1	1	2	Buff_66
206602	66	1	1	2	0.2	0	1	1	2	Buff_66
106701	67	1	1	1	1	1	1	0	2	Buff_67_FX1
106801	68	1	1	1	0.2,0.25	1	1	1	2,2	Buff_68_FX1,Buff_68_FX2
106802	68	1	1	2	0.2,0.25,0.5	1	1	1	2,2	Buff_68_FX1,Buff_68_FX2
106901	69	1	1	1	1,0.01	1	1	0	1	
106902	69	1	1	2	1,0.03	1	1	0	1	
106903	69	1	1	3	1,0.05	1	1	0	1	
107001	70	1	1	1	0.25	1	1	1	2,2	Buff_70_FX1
107002	70	1	1	2	0.5	1	1	1	2,2	Buff_70_FX1
107003	70	1	1	3	0.75	1	1	1	2,2	Buff_70_FX1
207101	71	1	6	1	1173	0	1	1	3	Buff_71_FX1
207201	72	1	1	1	0.2,205701,2	0	1	1	2	Buff_72_FX1
207202	72	1	1	2	0.4,205701,2	0	1	1	2	Buff_72_FX1
207203	72	1	1	3	0.6,205701,2	0	1	1	2	Buff_72_FX1
107301	73	1	1	1	180,120,1,0.2,2	1	1	0	2	Buff_73_FX1
107302	73	1	1	2	180,120,1,0.4,2	1	1	0	2	Buff_73_FX1
107303	73	1	1	3	180,120,1,0.6,2	1	1	0	2	Buff_73_FX1
207401	74	1	5	1	1193	0	1	0	1	
207501	75	1	1	1	0.3	0	1	0	2,2	Buff_75_FX1,Buff_75_FX2
207502	75	1	1	2	0.5	0	1	0	2,2	Buff_75_FX1,Buff_75_FX2
207503	75	1	1	3	0.7,0.5	0	1	0	2,2	Buff_75_FX1,Buff_75_FX2
107601	76	1	1	1	0.2,0.1	1	1	0	3	Buff_76_FX1
107602	76	1	1	2	0.2,0.1	1	1	0	3	Buff_76_FX1
107701	77	1	1	1	0.15,0.2,0.2	1	1	0	3	Buff_77_FX1
107702	77	1	1	2	0.15,0.2,0.2	1	1	0	3	Buff_77_FX1
107801	78	1	1	1	0.2	1	1	0	3	Buff_78_FX1
107802	78	1	1	2	0.2,0.3	1	1	0	3	Buff_78_FX1
207901	79	1	1	1	-0.2	0	1	0	2	Buff_66
207902	79	1	1	2	-0.4	0	1	0	2	Buff_66
207903	79	1	1	3	-0.6	0	1	0	2	Buff_66
108001	80	1	1	1		1	1	0	1	
108002	80	1	1	2	0.2,0.15	1	1	0	1	
208101	81	1	5	1	-0.3	0	1	0	2	Buff_66
208102	81	1	5	2	-0.6	0	1	0	2	Buff_66
208103	81	1	5	3	-0.9	0	1	0	2	Buff_66
108201	82	1	1	1	0.1	1	1	1	1	Buff_82_FX1
108202	82	1	1	2	0.2	1	1	1	1	Buff_82_FX1
108203	82	1	1	2	0.3	1	1	1	1	Buff_82_FX1
108301	83	1	1	1	1,24	1	1	0	1	
208401	84	1	1	1	1,0.05,0.1	0	1	0	3	Buff_84_FX1
208402	84	1	1	2	1,0.03,0.1	0	1	0	3	Buff_84_FX1
208501	85	1	1	1	1,-0.04,0.03	0	1	0	3	Buff_84_FX1
208502	85	1	1	2	1,-0.02,0.03	0	1	0	3	Buff_84_FX1
108601	86	1	1	1		1	1	1	1	
208701	87	1	1	1		0	1	0	2	Buff_87_FX2
108801	88	1	1	1		1	0	0	2	Buff_88_FX1
208901	89	1	12	1	2,-0.1	0	1	1	2	Buff_89
109001	90	4	1	1	109101	1	0	0	1	
109101	91	2	1	1	0.1	1	1	0	1	
109002	90	4	1	2	109102	1	0	0	1	
109102	91	2	1	2	0.2	1	1	0	1	
109003	90	4	1	3	109103	1	0	0	1	
109103	91	2	1	3	0.3	1	1	0	1	
209201	92	1	1	1	-0.15	0	1	1	3	Buff_92_FX1
209202	92	1	1	2	-0.3	0	1	1	3	Buff_92_FX1
209203	92	1	1	3	-0.45	0	1	1	3	Buff_92_FX1
109301	93	1	1	1	0.25,0.2	1	1	1	2	
109302	93	1	1	2	0.5,0.4	1	1	1	2	
109303	93	1	1	3	0.75,0.6	1	1	1	2	
109401	94	1	999	1	1,0.5	1	1	1	2,2	
209501	95	1	1	1	-0.1	0	1	1	1	Buff_95_FX1
209502	95	1	1	2	-0.2	0	1	1	1	Buff_95_FX1
209503	95	1	1	3	-0.3	0	1	1	1	Buff_95_FX1
209601	96	1	1	1	-0.1	0	1	1	2	Buff_96_FX1
209602	96	1	1	2	-0.2	0	1	1	2	Buff_96_FX1
209603	96	1	1	3	-0.3	0	1	1	2	Buff_96_FX1
209701	97	1	1	1	-0.1	0	1	1	2	Buff_97_FX1
209702	97	1	1	2	-0.2	0	1	1	2	Buff_97_FX1
209703	97	1	1	3	-0.3	0	1	1	2	Buff_97_FX1
209801	98	1	1	1	2,-0.03	0	1	1	2	Buff_98_FX1
209802	98	1	1	2	2,-0.06	0	1	1	2	Buff_98_FX1
209803	98	1	1	3	2,-0.09	0	1	1	2	Buff_98_FX1
209901	99	1	1	1	2,-0.03	0	1	1	2	Buff_99
209902	99	1	1	2	2,-0.06	0	1	1	2	Buff_99
209903	99	1	1	3	2,-0.09	0	1	1	2	Buff_99
210001	100	1	1	1	-0.3,-0.15	0	1	1	3	Buff_100_FX1
210002	100	1	1	2	-0.6,-0.3	0	1	1	3	Buff_100_FX1
210003	100	1	1	3	-0.9,-0.45	0	1	1	3	Buff_100_FX1
210101	101	1	1	1	-0.1,-0.15	0	1	1	2,2	Buff_101_FX1,Buff_101_FX2
210102	101	1	1	2	-0.2,-0.3	0	1	1	2,2	Buff_101_FX1,Buff_101_FX2
210103	101	1	1	3	-0.3,-0.45	0	1	1	2,2	Buff_101_FX1,Buff_101_FX2
110201	102	1	1	1	0.1,0.15	1	1	1	2,2	
110202	102	1	1	2	0.2,0.3	1	1	1	2,2	
110203	102	1	1	3	0.3,0.45	1	1	1	2,2	
110301	103	1	3	1		1	1	1	3	
110401	104	1	999	1	0.15	1	1	1	3	
110501	105	4	1	1	110601	1	0	0	1	
110601	106	2	1	1	0.15	1	1	0	1	
110502	105	4	1	2	110602	1	0	0	1	
110602	106	2	1	2	0.3	1	1	0	1	
110503	105	4	1	3	110603	1	0	0	1	
110603	106	2	1	3	0.45	1	1	0	1	
110701	107	4	1	1	110801	1	0	0	1	
110801	108	2	1	1	1,0.01,0.1	1	1	0	1	
110702	107	4	1	2	110802	1	0	0	1	
110802	108	2	1	2	1,0.01,0.2	1	1	0	1	
110703	107	4	1	3	110803	1	0	0	1	
110803	108	2	1	3	1,0.01,0.3	1	1	0	1	
110901	109	1	1	1	0.1,0.1,0.15	1	1	1	3,1	
110902	109	1	1	2	0.2,0.2,0.3	1	1	1	3,1	
110903	109	1	1	3	0.3,0.3,0.45	1	1	1	3,1	
111001	110	1	4	1	1.5,205901,8,1	1	0	0	3	
111002	110	1	3	2	1.5,205901,10,1	1	0	0	3	
111003	110	1	2	3	1.5,205901,12,1	1	0	0	3	
111101	111	1	1	1	0.8,0.25	1	0	0	3	
111102	111	1	1	2	0.6,0.3	1	0	0	3	
111103	111	1	1	3	0.4,0.35	1	0	0	3	
111201	112	1	1	1	1	1	0	0	2	
111202	112	1	1	2	1.5	1	0	0	2	
111203	112	1	1	3	2	1	0	0	2	
111301	113	1	1	1	0.5,0.15	1	0	0	2	
111302	113	1	1	2	0.6,0.25	1	0	0	2	
111303	113	1	1	3	0.7,0.35	1	0	0	2	
111401	114	1	1	1	0.15	1	1	1	2	
111402	114	1	1	2	0.3	1	1	1	2	
111403	114	1	1	3	0.45	1	1	1	2	
111501	115	1	1	1	0.1	1	1	1	1	
111502	115	1	1	2	0.2	1	1	1	1	
111503	115	1	1	3	0.3	1	1	1	1	
111601	116	4	1	1	111701	1	0	0	1	
111701	117	2	1	1	0.1	1	1	0	1	
111602	116	4	1	2	111702	1	0	0	1	
111702	117	2	1	2	0.2	1	1	0	1	
111603	116	4	1	3	111703	1	0	0	1	
111703	117	2	1	3	0.3	1	1	0	1	
211801	118	1	1	1	-0.2	0	1	1	1	Buff_118_FX1
211802	118	1	1	2	-0.4	0	1	1	1	Buff_118_FX1
211803	118	1	1	3	-0.6	0	1	1	1	Buff_118_FX1
30121	3012	1	240	1	1	1	0	0	1	
30141	3014	1	320	1	0.001,1	1	0	0	1	
30151	3015	1	320	1	0.001,2	1	0	0	1	
30161	3016	1	320	1	0.001,3	1	0	0	1	
30171	3017	1	320	1	0.001,4	1	0	0	1	
30181	3018	1	320	1	0.001,5	1	0	0	1	
30191	3019	1	260	1	0.001,1,2	1	0	0	1	
30201	3020	1	260	1	0.001,2,3	1	0	0	1	
30211	3021	1	260	1	0.001,1,3	1	0	0	1	
30221	3022	1	260	1	0.001,4,5	1	0	0	1	
30231	3023	1	400	1	-0.001,1	1	0	0	1	
30241	3024	1	400	1	-0.001,2	1	0	0	1	
30251	3025	1	400	1	-0.001,3	1	0	0	1	
30261	3026	1	400	1	-0.001,4	1	0	0	1	
30271	3027	1	400	1	-0.001,5	1	0	0	1	
30281	3028	1	200	1	-0.001,1,2	1	0	0	1	
30291	3029	1	200	1	-0.001,2,3	1	0	0	1	
30301	3030	1	200	1	-0.001,1,3	1	0	0	1	
30311	3031	1	200	1	-0.001,4,5	1	0	0	1	
30321	3032	1	120	1	0.001	1	0	0	1	
30331	3033	1	120	1	0.001	1	0	0	1	
