战斗id	本服淘汰赛参与奖励	本服胜者组16强奖励	本服胜者组8强奖励	本服胜者组4强奖励	本服胜者组2强奖励	本服胜者组1强奖励	本服败者组16强奖励	本服败者组8强奖励	本服败者组4强奖励	本服败者组2强奖励	本服败者组1强奖励	跨服淘汰赛参与奖励	跨服胜者组16强奖励	跨服胜者组8强奖励	跨服胜者组4强奖励	跨服胜者组2强奖励	跨服胜者组1强奖励	跨服败者组16强奖励	跨服败者组8强奖励	跨服败者组4强奖励	跨服败者组2强奖励	跨服败者组1强奖励	跨服冠军服奖励
11	10000_1013_150,30000_60001_30,10000_1002_300000	10000_1013_400,30000_60001_80,10000_1002_1000000	10000_1013_600,30000_60001_120,10000_1002_1500000	10000_1013_1000,30000_60001_180,10000_1002_2000000	10000_1013_1500,30000_60001_240,10000_1002_3500000	10000_1013_2000,30000_60001_300,10000_1002_5000000	10000_1013_200,30000_60001_40,10000_1002_600000	10000_1013_300,30000_60001_60,10000_1002_750000	10000_1013_500,30000_60001_90,10000_1002_1200000	10000_1013_750,30000_60001_120,10000_1002_1800000	10000_1013_1000,30000_60001_150,10000_1002_2500000	10000_1013_1000,30000_90009_1,10000_1002_1500000	10000_1013_6000,30000_90009_8,10000_1002_10000000	10000_1013_8000,30000_90009_12,10000_1002_15000000	10000_1013_12000,30000_90009_18,10000_1002_15000000,30000_1400001_4	10000_1013_16000,30000_90009_24,10000_1002_30000000,30000_1400001_6	10000_1013_20000,30000_90009_30,10000_1002_50000000,30000_1400001_9	10000_1013_3000,30000_90009_4,10000_1002_5000000	10000_1013_4000,30000_90009_6,10000_1002_7500000	10000_1013_6000,30000_90009_9,10000_1002_7500000	10000_1013_8000,30000_90009_12,10000_1002_15000000	10000_1013_10000,30000_90009_15,10000_1002_25000000,30000_1400001_3	10000_1001_300
12	10000_1013_150,30000_60001_30,10000_1002_300000	10000_1013_400,30000_60001_80,10000_1002_1000000	10000_1013_600,30000_60001_120,10000_1002_1500000	10000_1013_1000,30000_60001_180,10000_1002_2000000	10000_1013_1500,30000_60001_240,10000_1002_3500000	10000_1013_2000,30000_60001_300,10000_1002_5000000	10000_1013_200,30000_60001_40,10000_1002_600000	10000_1013_300,30000_60001_60,10000_1002_750000	10000_1013_500,30000_60001_90,10000_1002_1200000	10000_1013_750,30000_60001_120,10000_1002_1800000	10000_1013_1000,30000_60001_150,10000_1002_2500000	10000_1013_1000,30000_90009_1,10000_1002_1500000	10000_1013_6000,30000_90009_8,10000_1002_10000000	10000_1013_8000,30000_90009_12,10000_1002_15000000	10000_1013_12000,30000_90009_18,10000_1002_15000000,30000_1400001_4	10000_1013_16000,30000_90009_24,10000_1002_30000000,30000_1400001_6	10000_1013_20000,30000_90009_30,10000_1002_50000000,30000_1400001_9	10000_1013_3000,30000_90009_4,10000_1002_5000000	10000_1013_4000,30000_90009_6,10000_1002_7500000	10000_1013_6000,30000_90009_9,10000_1002_7500000	10000_1013_8000,30000_90009_12,10000_1002_15000000	10000_1013_10000,30000_90009_15,10000_1002_25000000,30000_1400001_3	10000_1001_300
13	10000_1013_150,30000_60001_30,10000_1002_300000	10000_1013_400,30000_60001_80,10000_1002_1000000	10000_1013_600,30000_60001_120,10000_1002_1500000	10000_1013_1000,30000_60001_180,10000_1002_2000000	10000_1013_1500,30000_60001_240,10000_1002_3500000	10000_1013_2000,30000_60001_300,10000_1002_5000000	10000_1013_200,30000_60001_40,10000_1002_600000	10000_1013_300,30000_60001_60,10000_1002_750000	10000_1013_500,30000_60001_90,10000_1002_1200000	10000_1013_750,30000_60001_120,10000_1002_1800000	10000_1013_1000,30000_60001_150,10000_1002_2500000	10000_1013_1000,30000_90009_1,10000_1002_1500000	10000_1013_6000,30000_90009_8,10000_1002_10000000	10000_1013_8000,30000_90009_12,10000_1002_15000000	10000_1013_12000,30000_90009_18,10000_1002_15000000,30000_1400001_4	10000_1013_16000,30000_90009_24,10000_1002_30000000,30000_1400001_6	10000_1013_20000,30000_90009_30,10000_1002_50000000,30000_1400001_9	10000_1013_3000,30000_90009_4,10000_1002_5000000	10000_1013_4000,30000_90009_6,10000_1002_7500000	10000_1013_6000,30000_90009_9,10000_1002_7500000	10000_1013_8000,30000_90009_12,10000_1002_15000000	10000_1013_10000,30000_90009_15,10000_1002_25000000,30000_1400001_3	10000_1001_300
14	10000_1013_150,30000_60001_30,10000_1002_300000	10000_1013_400,30000_60001_80,10000_1002_1000000	10000_1013_600,30000_60001_120,10000_1002_1500000	10000_1013_1000,30000_60001_180,10000_1002_2000000	10000_1013_1500,30000_60001_240,10000_1002_3500000	10000_1013_2000,30000_60001_300,10000_1002_5000000	10000_1013_200,30000_60001_40,10000_1002_600000	10000_1013_300,30000_60001_60,10000_1002_750000	10000_1013_500,30000_60001_90,10000_1002_1200000	10000_1013_750,30000_60001_120,10000_1002_1800000	10000_1013_1000,30000_60001_150,10000_1002_2500000	10000_1013_1000,30000_90009_1,10000_1002_1500000	10000_1013_6000,30000_90009_8,10000_1002_10000000	10000_1013_8000,30000_90009_12,10000_1002_15000000	10000_1013_12000,30000_90009_18,10000_1002_15000000,30000_1400001_4	10000_1013_16000,30000_90009_24,10000_1002_30000000,30000_1400001_6	10000_1013_20000,30000_90009_30,10000_1002_50000000,30000_1400001_9	10000_1013_3000,30000_90009_4,10000_1002_5000000	10000_1013_4000,30000_90009_6,10000_1002_7500000	10000_1013_6000,30000_90009_9,10000_1002_7500000	10000_1013_8000,30000_90009_12,10000_1002_15000000	10000_1013_10000,30000_90009_15,10000_1002_25000000,30000_1400001_3	10000_1001_300
15	10000_1013_150,30000_60001_30,10000_1002_300000	10000_1013_400,30000_60001_80,10000_1002_1000000	10000_1013_600,30000_60001_120,10000_1002_1500000	10000_1013_1000,30000_60001_180,10000_1002_2000000	10000_1013_1500,30000_60001_240,10000_1002_3500000	10000_1013_2000,30000_60001_300,10000_1002_5000000	10000_1013_200,30000_60001_40,10000_1002_600000	10000_1013_300,30000_60001_60,10000_1002_750000	10000_1013_500,30000_60001_90,10000_1002_1200000	10000_1013_750,30000_60001_120,10000_1002_1800000	10000_1013_1000,30000_60001_150,10000_1002_2500000	10000_1013_1000,30000_90009_1,10000_1002_1500000	10000_1013_6000,30000_90009_8,10000_1002_10000000	10000_1013_8000,30000_90009_12,10000_1002_15000000	10000_1013_12000,30000_90009_18,10000_1002_15000000,30000_1400001_4	10000_1013_16000,30000_90009_24,10000_1002_30000000,30000_1400001_6	10000_1013_20000,30000_90009_30,10000_1002_50000000,30000_1400001_9	10000_1013_3000,30000_90009_4,10000_1002_5000000	10000_1013_4000,30000_90009_6,10000_1002_7500000	10000_1013_6000,30000_90009_9,10000_1002_7500000	10000_1013_8000,30000_90009_12,10000_1002_15000000	10000_1013_10000,30000_90009_15,10000_1002_25000000,30000_1400001_3	10000_1001_300
16	10000_1013_150,30000_60001_30,10000_1002_300000	10000_1013_400,30000_60001_80,10000_1002_1000000	10000_1013_600,30000_60001_120,10000_1002_1500000	10000_1013_1000,30000_60001_180,10000_1002_2000000	10000_1013_1500,30000_60001_240,10000_1002_3500000	10000_1013_2000,30000_60001_300,10000_1002_5000000	10000_1013_200,30000_60001_40,10000_1002_600000	10000_1013_300,30000_60001_60,10000_1002_750000	10000_1013_500,30000_60001_90,10000_1002_1200000	10000_1013_750,30000_60001_120,10000_1002_1800000	10000_1013_1000,30000_60001_150,10000_1002_2500000	10000_1013_1000,30000_90009_1,10000_1002_1500000	10000_1013_6000,30000_90009_8,10000_1002_10000000	10000_1013_8000,30000_90009_12,10000_1002_15000000	10000_1013_12000,30000_90009_18,10000_1002_15000000,30000_1400001_4	10000_1013_16000,30000_90009_24,10000_1002_30000000,30000_1400001_6	10000_1013_20000,30000_90009_30,10000_1002_50000000,30000_1400001_9	10000_1013_3000,30000_90009_4,10000_1002_5000000	10000_1013_4000,30000_90009_6,10000_1002_7500000	10000_1013_6000,30000_90009_9,10000_1002_7500000	10000_1013_8000,30000_90009_12,10000_1002_15000000	10000_1013_10000,30000_90009_15,10000_1002_25000000,30000_1400001_3	10000_1001_300
17	10000_1013_150,30000_60001_30,10000_1002_300000	10000_1013_400,30000_60001_80,10000_1002_1000000	10000_1013_600,30000_60001_120,10000_1002_1500000	10000_1013_1000,30000_60001_180,10000_1002_2000000	10000_1013_1500,30000_60001_240,10000_1002_3500000	10000_1013_2000,30000_60001_300,10000_1002_5000000	10000_1013_200,30000_60001_40,10000_1002_600000	10000_1013_300,30000_60001_60,10000_1002_750000	10000_1013_500,30000_60001_90,10000_1002_1200000	10000_1013_750,30000_60001_120,10000_1002_1800000	10000_1013_1000,30000_60001_150,10000_1002_2500000	10000_1013_1000,30000_90009_1,10000_1002_1500000	10000_1013_6000,30000_90009_8,10000_1002_10000000	10000_1013_8000,30000_90009_12,10000_1002_15000000	10000_1013_12000,30000_90009_18,10000_1002_15000000,30000_1400001_4	10000_1013_16000,30000_90009_24,10000_1002_30000000,30000_1400001_6	10000_1013_20000,30000_90009_30,10000_1002_50000000,30000_1400001_9	10000_1013_3000,30000_90009_4,10000_1002_5000000	10000_1013_4000,30000_90009_6,10000_1002_7500000	10000_1013_6000,30000_90009_9,10000_1002_7500000	10000_1013_8000,30000_90009_12,10000_1002_15000000	10000_1013_10000,30000_90009_15,10000_1002_25000000,30000_1400001_3	10000_1001_300
18	10000_1013_150,30000_60001_30,10000_1002_300000	10000_1013_400,30000_60001_80,10000_1002_1000000	10000_1013_600,30000_60001_120,10000_1002_1500000	10000_1013_1000,30000_60001_180,10000_1002_2000000	10000_1013_1500,30000_60001_240,10000_1002_3500000	10000_1013_2000,30000_60001_300,10000_1002_5000000	10000_1013_200,30000_60001_40,10000_1002_600000	10000_1013_300,30000_60001_60,10000_1002_750000	10000_1013_500,30000_60001_90,10000_1002_1200000	10000_1013_750,30000_60001_120,10000_1002_1800000	10000_1013_1000,30000_60001_150,10000_1002_2500000	10000_1013_1000,30000_90009_1,10000_1002_1500000	10000_1013_6000,30000_90009_8,10000_1002_10000000	10000_1013_8000,30000_90009_12,10000_1002_15000000	10000_1013_12000,30000_90009_18,10000_1002_15000000,30000_1400001_4	10000_1013_16000,30000_90009_24,10000_1002_30000000,30000_1400001_6	10000_1013_20000,30000_90009_30,10000_1002_50000000,30000_1400001_9	10000_1013_3000,30000_90009_4,10000_1002_5000000	10000_1013_4000,30000_90009_6,10000_1002_7500000	10000_1013_6000,30000_90009_9,10000_1002_7500000	10000_1013_8000,30000_90009_12,10000_1002_15000000	10000_1013_10000,30000_90009_15,10000_1002_25000000,30000_1400001_3	10000_1001_300
19	10000_1013_150,30000_60001_30,10000_1002_300000	10000_1013_400,30000_60001_80,10000_1002_1000000	10000_1013_600,30000_60001_120,10000_1002_1500000	10000_1013_1000,30000_60001_180,10000_1002_2000000	10000_1013_1500,30000_60001_240,10000_1002_3500000	10000_1013_2000,30000_60001_300,10000_1002_5000000	10000_1013_200,30000_60001_40,10000_1002_600000	10000_1013_300,30000_60001_60,10000_1002_750000	10000_1013_500,30000_60001_90,10000_1002_1200000	10000_1013_750,30000_60001_120,10000_1002_1800000	10000_1013_1000,30000_60001_150,10000_1002_2500000	10000_1013_1000,30000_90009_1,10000_1002_1500000	10000_1013_6000,30000_90009_8,10000_1002_10000000	10000_1013_8000,30000_90009_12,10000_1002_15000000	10000_1013_12000,30000_90009_18,10000_1002_15000000,30000_1400001_4	10000_1013_16000,30000_90009_24,10000_1002_30000000,30000_1400001_6	10000_1013_20000,30000_90009_30,10000_1002_50000000,30000_1400001_9	10000_1013_3000,30000_90009_4,10000_1002_5000000	10000_1013_4000,30000_90009_6,10000_1002_7500000	10000_1013_6000,30000_90009_9,10000_1002_7500000	10000_1013_8000,30000_90009_12,10000_1002_15000000	10000_1013_10000,30000_90009_15,10000_1002_25000000,30000_1400001_3	10000_1001_300
20	10000_1013_150,30000_60001_30,10000_1002_300000	10000_1013_400,30000_60001_80,10000_1002_1000000	10000_1013_600,30000_60001_120,10000_1002_1500000	10000_1013_1000,30000_60001_180,10000_1002_2000000	10000_1013_1500,30000_60001_240,10000_1002_3500000	10000_1013_2000,30000_60001_300,10000_1002_5000000	10000_1013_200,30000_60001_40,10000_1002_600000	10000_1013_300,30000_60001_60,10000_1002_750000	10000_1013_500,30000_60001_90,10000_1002_1200000	10000_1013_750,30000_60001_120,10000_1002_1800000	10000_1013_1000,30000_60001_150,10000_1002_2500000	10000_1013_1000,30000_90009_1,10000_1002_1500000	10000_1013_6000,30000_90009_8,10000_1002_10000000	10000_1013_8000,30000_90009_12,10000_1002_15000000	10000_1013_12000,30000_90009_18,10000_1002_15000000,30000_1400001_4	10000_1013_16000,30000_90009_24,10000_1002_30000000,30000_1400001_6	10000_1013_20000,30000_90009_30,10000_1002_50000000,30000_1400001_9	10000_1013_3000,30000_90009_4,10000_1002_5000000	10000_1013_4000,30000_90009_6,10000_1002_7500000	10000_1013_6000,30000_90009_9,10000_1002_7500000	10000_1013_8000,30000_90009_12,10000_1002_15000000	10000_1013_10000,30000_90009_15,10000_1002_25000000,30000_1400001_3	10000_1001_300
