mapId	group	levelIndex	levelLimit	nextMapId	dependMap	rewardItem	monsterId(headPic)	name	monsterLevel	isBoss	quality	stageName	exp	coin	怪物1	怪物2	怪物3	怪物4	怪物5	首次掉落
103509	1	2	35	104001	103508	30000_101002_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1035091	@Map_Activite_Jingying_103509	39	1	5	@Map_103501	8100	8100	1035091	1035092	1035093	0	0	0
104001	1	3	40	104002	103509	30000_101002_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1040011	@Map_Activite_Jingying_104001	40	0	1	@Map_104001	8400	8400	1040011	1040012	0	0	0	0
104002	1	3	40	104003	104001	30000_101002_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1040021	@Map_Activite_Jingying_104002	40	0	1	@Map_104001	8700	8700	1040021	1040022	0	0	0	0
104003	1	3	40	104004	104002	30000_101002_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1040031	@Map_Activite_Jingying_104003	41	1	5	@Map_104001	9000	9000	1040031	1040032	1040033	0	0	0
104004	1	3	40	104005	104003	30000_101002_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1040041	@Map_Activite_Jingying_104004	41	0	1	@Map_104001	9300	9300	1040041	1040042	0	0	0	0
104005	1	3	40	104006	104004	30000_101002_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1040051	@Map_Activite_Jingying_104005	41	0	1	@Map_104001	9600	9600	1040051	1040052	0	0	0	0
104006	1	3	40	104007	104005	30000_101002_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1040061	@Map_Activite_Jingying_104006	42	1	5	@Map_104001	9900	9900	1040061	1040062	1040063	0	0	0
104007	1	3	40	104008	104006	30000_101002_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1040071	@Map_Activite_Jingying_104007	42	0	1	@Map_104001	10200	10200	1040071	1040072	0	0	0	0
104008	1	3	40	104009	104007	30000_101002_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1040081	@Map_Activite_Jingying_104008	43	0	1	@Map_104001	10500	10500	1040081	1040082	0	0	0	0
104009	1	3	40	104501	104008	30000_101002_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1040091	@Map_Activite_Jingying_104009	44	1	5	@Map_104001	10800	10800	1040091	1040092	1040093	0	0	0
104501	1	4	45	104502	104009	30000_101002_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1045011	@Map_Activite_Jingying_104501	45	0	1	@Map_104501	11100	11100	1045011	1045012	0	0	0	0
104502	1	4	45	104503	104501	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1045021	@Map_Activite_Jingying_104502	45	0	1	@Map_104501	11400	11400	1045021	1045022	0	0	0	0
104503	1	4	45	104504	104502	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1045031	@Map_Activite_Jingying_104503	46	1	5	@Map_104501	11700	11700	1045031	1045032	1045033	0	0	0
104504	1	4	45	104505	104503	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1045041	@Map_Activite_Jingying_104504	46	0	1	@Map_104501	12000	12000	1045041	1045042	0	0	0	0
104505	1	4	45	104506	104504	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1045051	@Map_Activite_Jingying_104505	46	0	1	@Map_104501	12300	12300	1045051	1045052	0	0	0	0
104506	1	4	45	104507	104505	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1045061	@Map_Activite_Jingying_104506	47	1	5	@Map_104501	12600	12600	1045061	1045062	1045063	0	0	0
104507	1	4	45	104508	104506	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1045071	@Map_Activite_Jingying_104507	47	0	1	@Map_104501	12900	12900	1045071	1045072	0	0	0	0
104508	1	4	45	104509	104507	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1045081	@Map_Activite_Jingying_104508	48	0	1	@Map_104501	13200	13200	1045081	1045082	0	0	0	0
104509	1	4	45	105001	104508	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1045091	@Map_Activite_Jingying_104509	49	1	5	@Map_104501	13500	13500	1045091	1045092	1045093	0	0	0
105001	1	5	50	105002	104509	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1050011	@Map_Activite_Jingying_105001	50	0	1	@Map_105001	13800	13800	1050011	1050012	0	0	0	0
105002	1	5	50	105003	105001	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1050021	@Map_Activite_Jingying_105002	50	0	1	@Map_105001	14100	14100	1050021	1050022	0	0	0	0
105003	1	5	50	105004	105002	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1050031	@Map_Activite_Jingying_105003	51	1	5	@Map_105001	14400	14400	1050031	1050032	1050033	0	0	0
105004	1	5	50	105005	105003	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1050041	@Map_Activite_Jingying_105004	51	0	1	@Map_105001	14700	14700	1050041	1050042	0	0	0	0
105005	1	5	50	105006	105004	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1050051	@Map_Activite_Jingying_105005	51	0	1	@Map_105001	15000	15000	1050051	1050052	0	0	0	0
105006	1	5	50	105007	105005	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1050061	@Map_Activite_Jingying_105006	52	1	5	@Map_105001	15300	15300	1050061	1050062	1050063	0	0	0
105007	1	5	50	105008	105006	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1050071	@Map_Activite_Jingying_105007	52	0	1	@Map_105001	15600	15600	1050071	1050072	0	0	0	0
105008	1	5	50	105009	105007	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1050081	@Map_Activite_Jingying_105008	53	0	1	@Map_105001	15900	15900	1050081	1050082	0	0	0	0
105009	1	5	50	105501	105008	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1050091	@Map_Activite_Jingying_105009	54	1	5	@Map_105001	16200	16200	1050091	1050092	1050093	0	0	0
105501	1	6	55	105502	105009	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1055011	@Map_Activite_Jingying_105501	55	0	1	@Map_105501	16500	16500	1055011	1055012	0	0	0	0
105502	1	6	55	105503	105501	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1055021	@Map_Activite_Jingying_105502	55	0	1	@Map_105501	16800	16800	1055021	1055022	0	0	0	0
105503	1	6	55	105504	105502	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1055031	@Map_Activite_Jingying_105503	56	1	5	@Map_105501	17100	17100	1055031	1055032	1055033	0	0	0
105504	1	6	55	105505	105503	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1055041	@Map_Activite_Jingying_105504	56	0	1	@Map_105501	17400	17400	1055041	1055042	0	0	0	0
105505	1	6	55	105506	105504	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1055051	@Map_Activite_Jingying_105505	56	0	1	@Map_105501	17700	17700	1055051	1055052	0	0	0	0
105506	1	6	55	105507	105505	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1055061	@Map_Activite_Jingying_105506	57	1	5	@Map_105501	18000	18000	1055061	1055062	1055063	0	0	0
105507	1	6	55	105508	105506	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1055071	@Map_Activite_Jingying_105507	57	0	1	@Map_105501	18300	18300	1055071	1055072	0	0	0	0
105508	1	6	55	105509	105507	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1055081	@Map_Activite_Jingying_105508	58	0	1	@Map_105501	18600	18600	1055081	1055082	0	0	0	0
105509	1	6	55	106001	105508	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1055091	@Map_Activite_Jingying_105509	59	1	5	@Map_105501	18900	18900	1055091	1055092	1055093	0	0	0
106001	1	7	60	106002	105509	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1060011	@Map_Activite_Jingying_106001	60	0	1	@Map_106001	19200	19200	1060011	1060012	0	0	0	0
106002	1	7	60	106003	106001	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1060021	@Map_Activite_Jingying_106002	60	0	1	@Map_106001	19500	19500	1060021	1060022	0	0	0	0
106003	1	7	60	106004	106002	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1060031	@Map_Activite_Jingying_106003	61	1	5	@Map_106001	19800	19800	1060031	1060032	1060033	0	0	0
106004	1	7	60	106005	106003	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1060041	@Map_Activite_Jingying_106004	61	0	1	@Map_106001	20100	20100	1060041	1060042	0	0	0	0
106005	1	7	60	106006	106004	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1060051	@Map_Activite_Jingying_106005	61	0	1	@Map_106001	20400	20400	1060051	1060052	0	0	0	0
106006	1	7	60	106007	106005	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1060061	@Map_Activite_Jingying_106006	62	1	5	@Map_106001	20700	20700	1060061	1060062	1060063	0	0	0
106007	1	7	60	106008	106006	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1060071	@Map_Activite_Jingying_106007	62	0	1	@Map_106001	21000	21000	1060071	1060072	0	0	0	0
106008	1	7	60	106009	106007	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1060081	@Map_Activite_Jingying_106008	63	0	1	@Map_106001	21300	21300	1060081	1060082	0	0	0	0
106009	1	7	60	106501	106008	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1060091	@Map_Activite_Jingying_106009	64	1	5	@Map_106001	21600	21600	1060091	1060092	1060093	0	0	0
106501	1	8	65	106502	106009	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1065011	@Map_Activite_Jingying_106501	65	0	1	@Map_106501	21900	21900	1065011	1065012	0	0	0	0
106502	1	8	65	106503	106501	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1065021	@Map_Activite_Jingying_106502	65	0	1	@Map_106501	22200	22200	1065021	1065022	0	0	0	0
106503	1	8	65	106504	106502	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1065031	@Map_Activite_Jingying_106503	66	1	5	@Map_106501	22500	22500	1065031	1065032	1065033	0	0	0
106504	1	8	65	106505	106503	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1065041	@Map_Activite_Jingying_106504	66	0	1	@Map_106501	22800	22800	1065041	1065042	0	0	0	0
106505	1	8	65	106506	106504	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1065051	@Map_Activite_Jingying_106505	66	0	1	@Map_106501	23100	23100	1065051	1065052	0	0	0	0
106506	1	8	65	106507	106505	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1065061	@Map_Activite_Jingying_106506	67	1	5	@Map_106501	23400	23400	1065061	1065062	1065063	0	0	0
106507	1	8	65	106508	106506	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1065071	@Map_Activite_Jingying_106507	67	0	1	@Map_106501	23700	23700	1065071	1065072	0	0	0	0
106508	1	8	65	106509	106507	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1065081	@Map_Activite_Jingying_106508	68	0	1	@Map_106501	24000	24000	1065081	1065082	0	0	0	0
106509	1	8	65	107001	106508	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1065091	@Map_Activite_Jingying_106509	69	1	5	@Map_106501	24300	24300	1065091	1065092	1065093	0	0	0
107001	1	9	70	107002	106509	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1070011	@Map_Activite_Jingying_107001	70	0	1	@Map_107001	24600	24600	1070011	1070012	0	0	0	0
107002	1	9	70	107003	107001	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1070021	@Map_Activite_Jingying_107002	70	0	1	@Map_107001	24900	24900	1070021	1070022	0	0	0	0
107003	1	9	70	107004	107002	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1070031	@Map_Activite_Jingying_107003	71	1	5	@Map_107001	25200	25200	1070031	1070032	1070033	0	0	0
107004	1	9	70	107005	107003	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1070041	@Map_Activite_Jingying_107004	71	0	1	@Map_107001	25500	25500	1070041	1070042	0	0	0	0
107005	1	9	70	107006	107004	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1070051	@Map_Activite_Jingying_107005	71	0	1	@Map_107001	25800	25800	1070051	1070052	0	0	0	0
107006	1	9	70	107007	107005	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1070061	@Map_Activite_Jingying_107006	72	1	5	@Map_107001	26100	26100	1070061	1070062	1070063	0	0	0
107007	1	9	70	107008	107006	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1070071	@Map_Activite_Jingying_107007	72	0	1	@Map_107001	26400	26400	1070071	1070072	0	0	0	0
107008	1	9	70	107009	107007	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1070081	@Map_Activite_Jingying_107008	73	0	1	@Map_107001	26700	26700	1070081	1070082	0	0	0	0
107009	1	9	70	107501	107008	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1070091	@Map_Activite_Jingying_107009	74	1	5	@Map_107001	27000	27000	1070091	1070092	1070093	0	0	0
107501	1	10	75	107502	107009	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1075011	@Map_Activite_Jingying_107501	75	0	1	@Map_107501	27300	27300	1075011	1075012	0	0	0	0
107502	1	10	75	107503	107501	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1075021	@Map_Activite_Jingying_107502	75	0	1	@Map_107501	27600	27600	1075021	1075022	0	0	0	0
107503	1	10	75	107504	107502	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1075031	@Map_Activite_Jingying_107503	76	1	5	@Map_107501	27900	27900	1075031	1075032	1075033	0	0	0
107504	1	10	75	107505	107503	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1075041	@Map_Activite_Jingying_107504	76	0	1	@Map_107501	28200	28200	1075041	1075042	0	0	0	0
107505	1	10	75	107506	107504	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1075051	@Map_Activite_Jingying_107505	76	0	1	@Map_107501	28500	28500	1075051	1075052	0	0	0	0
107506	1	10	75	107507	107505	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1075061	@Map_Activite_Jingying_107506	77	1	5	@Map_107501	28800	28800	1075061	1075062	1075063	0	0	0
107507	1	10	75	107508	107506	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1075071	@Map_Activite_Jingying_107507	77	0	1	@Map_107501	29100	29100	1075071	1075072	0	0	0	0
107508	1	10	75	107509	107507	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1075081	@Map_Activite_Jingying_107508	78	0	1	@Map_107501	29400	29400	1075081	1075082	0	0	0	0
107509	1	10	75	108001	107508	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1075091	@Map_Activite_Jingying_107509	79	1	5	@Map_107501	29700	29700	1075091	1075092	1075093	0	0	0
108001	1	11	80	108002	107509	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1080011	@Map_Activite_Jingying_108001	80	0	1	@Map_108001	30000	30000	1080011	1080012	0	0	0	0
108002	1	11	80	108003	108001	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1080021	@Map_Activite_Jingying_108002	80	0	1	@Map_108001	30300	30300	1080021	1080022	0	0	0	0
108003	1	11	80	108004	108002	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1080031	@Map_Activite_Jingying_108003	81	1	5	@Map_108001	30600	30600	1080031	1080032	1080033	0	0	0
108004	1	11	80	108005	108003	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1080041	@Map_Activite_Jingying_108004	81	0	1	@Map_108001	30900	30900	1080041	1080042	0	0	0	0
108005	1	11	80	108006	108004	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1080051	@Map_Activite_Jingying_108005	81	0	1	@Map_108001	31200	31200	1080051	1080052	0	0	0	0
108006	1	11	80	108007	108005	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1080061	@Map_Activite_Jingying_108006	82	1	5	@Map_108001	31500	31500	1080061	1080062	1080063	0	0	0
108007	1	11	80	108008	108006	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1080071	@Map_Activite_Jingying_108007	82	0	1	@Map_108001	31800	31800	1080071	1080072	0	0	0	0
108008	1	11	80	108009	108007	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1080081	@Map_Activite_Jingying_108008	83	0	1	@Map_108001	32100	32100	1080081	1080082	0	0	0	0
108009	1	11	80	108501	108008	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1080091	@Map_Activite_Jingying_108009	84	1	5	@Map_108001	32400	32400	1080091	1080092	1080093	0	0	0
108501	1	12	85	108502	108009	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1085011	@Map_Activite_Jingying_108501	85	0	1	@Map_108501	32700	32700	1085011	1085012	0	0	0	0
108502	1	12	85	108503	108501	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1085021	@Map_Activite_Jingying_108502	85	0	1	@Map_108501	33000	33000	1085021	1085022	0	0	0	0
108503	1	12	85	108504	108502	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1085031	@Map_Activite_Jingying_108503	86	1	5	@Map_108501	33300	33300	1085031	1085032	1085033	0	0	0
108504	1	12	85	108505	108503	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1085041	@Map_Activite_Jingying_108504	86	0	1	@Map_108501	33600	33600	1085041	1085042	0	0	0	0
108505	1	12	85	108506	108504	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1085051	@Map_Activite_Jingying_108505	86	0	1	@Map_108501	33900	33900	1085051	1085052	0	0	0	0
108506	1	12	85	108507	108505	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1085061	@Map_Activite_Jingying_108506	87	1	5	@Map_108501	34200	34200	1085061	1085062	1085063	0	0	0
108507	1	12	85	108508	108506	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1085071	@Map_Activite_Jingying_108507	87	0	1	@Map_108501	34500	34500	1085071	1085072	0	0	0	0
108508	1	12	85	108509	108507	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1085081	@Map_Activite_Jingying_108508	88	0	1	@Map_108501	34800	34800	1085081	1085082	0	0	0	0
108509	1	12	85	109001	108508	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1085091	@Map_Activite_Jingying_108509	89	1	5	@Map_108501	35100	35100	1085091	1085092	1085093	0	0	0
109001	1	13	90	109002	108509	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1090011	@Map_Activite_Jingying_109001	90	0	1	@Map_109001	35400	35400	1090011	1090012	0	0	0	0
109002	1	13	90	109003	109001	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1090021	@Map_Activite_Jingying_109002	90	0	1	@Map_109002	35700	35700	1090021	1090022	0	0	0	0
109003	1	13	90	109004	109002	30000_101002_1,30000_104004_1,30000_104003_1,30000_104002_1,30000_104001_1,30000_202022_1,30000_202021_1	1090031	@Map_Activite_Jingying_109003	91	1	5	@Map_109003	36000	36000	1090031	1090032	1090033	0	0	0
