id	type	content	mission	award
110	2	@rankServerContent_02	140	10000_1001_10
111	2	@rankServerContent_02	150	10000_1001_10
112	2	@rankServerContent_02	160	10000_1001_10
113	2	@rankServerContent_02	170	10000_1001_10
114	2	@rankServerContent_02	180	10000_1001_10
115	2	@rankServerContent_02	190	10000_1001_10
116	2	@rankServerContent_02	200	10000_1001_10
201	3	@rankServerContent_03	58	10000_1001_10
202	3	@rankServerContent_03	78	10000_1001_10
203	3	@rankServerContent_03	98	10000_1001_10
204	3	@rankServerContent_03	118	10000_1001_10
205	3	@rankServerContent_03	138	10000_1001_10
206	3	@rankServerContent_03	158	10000_1001_10
207	3	@rankServerContent_03	178	10000_1001_10
208	3	@rankServerContent_03	198	10000_1001_10
209	3	@rankServerContent_03	218	10000_1001_10
210	3	@rankServerContent_03	238	10000_1001_10
211	3	@rankServerContent_03	258	10000_1001_10
212	3	@rankServerContent_03	273	10000_1001_10
213	3	@rankServerContent_03	288	10000_1001_10
214	3	@rankServerContent_03	303	10000_1001_10
215	3	@rankServerContent_03	318	10000_1001_10
216	3	@rankServerContent_03	333	10000_1001_10
217	3	@rankServerContent_03	348	10000_1001_10
218	3	@rankServerContent_03	363	10000_1001_10
219	3	@rankServerContent_03	378	10000_1001_10
220	3	@rankServerContent_03	393	10000_1001_10
221	3	@rankServerContent_03	408	10000_1001_10
222	3	@rankServerContent_03	423	10000_1001_10
223	3	@rankServerContent_03	438	10000_1001_10
224	3	@rankServerContent_03	453	10000_1001_10
225	3	@rankServerContent_03	468	10000_1001_10
226	3	@rankServerContent_03	483	10000_1001_10
227	3	@rankServerContent_03	498	10000_1001_10
228	3	@rankServerContent_03	513	10000_1001_10
229	3	@rankServerContent_03	528	10000_1001_10
230	3	@rankServerContent_03	543	10000_1001_10
231	3	@rankServerContent_03	558	10000_1001_10
232	3	@rankServerContent_03	573	10000_1001_10
233	3	@rankServerContent_03	588	10000_1001_10
301	4	@rankServerContent_04	12500	10000_1001_10
302	4	@rankServerContent_04	18750	10000_1001_10
303	4	@rankServerContent_04	25000	10000_1001_10
304	4	@rankServerContent_04	31250	10000_1001_10
305	4	@rankServerContent_04	37500	10000_1001_10
306	4	@rankServerContent_04	43750	10000_1001_10
307	4	@rankServerContent_04	50000	10000_1001_10
308	4	@rankServerContent_04	56250	10000_1001_10
309	4	@rankServerContent_04	62500	10000_1001_10
310	4	@rankServerContent_04	68750	10000_1001_10
311	4	@rankServerContent_04	75000	10000_1001_10
312	4	@rankServerContent_04	81250	10000_1001_10
313	4	@rankServerContent_04	87500	10000_1001_10
314	4	@rankServerContent_04	93750	10000_1001_10
315	4	@rankServerContent_04	100000	10000_1001_10
316	4	@rankServerContent_04	106250	10000_1001_10
317	4	@rankServerContent_04	112500	10000_1001_10
318	4	@rankServerContent_04	118750	10000_1001_10
319	4	@rankServerContent_04	125000	10000_1001_10
320	4	@rankServerContent_04	137500	10000_1001_10
321	4	@rankServerContent_04	150000	10000_1001_10
322	4	@rankServerContent_04	162500	10000_1001_10
323	4	@rankServerContent_04	175000	10000_1001_10
324	4	@rankServerContent_04	187500	10000_1001_10
325	4	@rankServerContent_04	200000	10000_1001_10
326	4	@rankServerContent_04	212500	10000_1001_10
327	4	@rankServerContent_04	225000	10000_1001_10
328	4	@rankServerContent_04	237500	10000_1001_10
329	4	@rankServerContent_04	250000	10000_1001_10
330	4	@rankServerContent_04	281250	10000_1001_10
331	4	@rankServerContent_04	312500	10000_1001_10
332	4	@rankServerContent_04	343750	10000_1001_10
333	4	@rankServerContent_04	375000	10000_1001_10
334	4	@rankServerContent_04	406250	10000_1001_10
335	4	@rankServerContent_04	437500	10000_1001_10
336	4	@rankServerContent_04	468750	10000_1001_10
337	4	@rankServerContent_04	500000	10000_1001_10
338	4	@rankServerContent_04	531250	10000_1001_10
339	4	@rankServerContent_04	562500	10000_1001_10
340	4	@rankServerContent_04	593750	10000_1001_10
341	4	@rankServerContent_04	625000	10000_1001_10
342	4	@rankServerContent_04	687500	10000_1001_10
343	4	@rankServerContent_04	750000	10000_1001_10
344	4	@rankServerContent_04	812500	10000_1001_10
345	4	@rankServerContent_04	875000	10000_1001_10
346	4	@rankServerContent_04	937500	10000_1001_10
347	4	@rankServerContent_04	1000000	10000_1001_10
348	4	@rankServerContent_04	1062500	10000_1001_10
349	4	@rankServerContent_04	1125000	10000_1001_10
350	4	@rankServerContent_04	1187500	10000_1001_10
351	4	@rankServerContent_04	1250000	10000_1001_10
401	5	@rankServerContent_05	25000	10000_1001_10
402	5	@rankServerContent_05	37500	10000_1001_10
403	5	@rankServerContent_05	50000	10000_1001_10
404	5	@rankServerContent_05	62500	10000_1001_10
405	5	@rankServerContent_05	75000	10000_1001_10
406	5	@rankServerContent_05	87500	10000_1001_10
407	5	@rankServerContent_05	100000	10000_1001_10
408	5	@rankServerContent_05	112500	10000_1001_10
409	5	@rankServerContent_05	125000	10000_1001_10
410	5	@rankServerContent_05	137500	10000_1001_10
411	5	@rankServerContent_05	150000	10000_1001_10
412	5	@rankServerContent_05	162500	10000_1001_10
413	5	@rankServerContent_05	175000	10000_1001_10
414	5	@rankServerContent_05	187500	10000_1001_10
415	5	@rankServerContent_05	200000	10000_1001_10
416	5	@rankServerContent_05	212500	10000_1001_10
417	5	@rankServerContent_05	225000	10000_1001_10
418	5	@rankServerContent_05	237500	10000_1001_10
419	5	@rankServerContent_05	250000	10000_1001_10
420	5	@rankServerContent_05	275000	10000_1001_10
421	5	@rankServerContent_05	300000	10000_1001_10
422	5	@rankServerContent_05	325000	10000_1001_10
423	5	@rankServerContent_05	350000	10000_1001_10
424	5	@rankServerContent_05	375000	10000_1001_10
425	5	@rankServerContent_05	400000	10000_1001_10
426	5	@rankServerContent_05	425000	10000_1001_10
427	5	@rankServerContent_05	450000	10000_1001_10
428	5	@rankServerContent_05	475000	10000_1001_10
429	5	@rankServerContent_05	500000	10000_1001_10
430	5	@rankServerContent_05	562500	10000_1001_10
431	5	@rankServerContent_05	625000	10000_1001_10
432	5	@rankServerContent_05	687500	10000_1001_10
433	5	@rankServerContent_05	750000	10000_1001_10
434	5	@rankServerContent_05	812500	10000_1001_10
435	5	@rankServerContent_05	875000	10000_1001_10
436	5	@rankServerContent_05	937500	10000_1001_10
437	5	@rankServerContent_05	1000000	10000_1001_10
438	5	@rankServerContent_05	1062500	10000_1001_10
439	5	@rankServerContent_05	1125000	10000_1001_10
440	5	@rankServerContent_05	1187500	10000_1001_10
441	5	@rankServerContent_05	1250000	10000_1001_10
442	5	@rankServerContent_05	1375000	10000_1001_10
443	5	@rankServerContent_05	1500000	10000_1001_10
444	5	@rankServerContent_05	1625000	10000_1001_10
445	5	@rankServerContent_05	1750000	10000_1001_10
446	5	@rankServerContent_05	1875000	10000_1001_10
447	5	@rankServerContent_05	2000000	10000_1001_10
448	5	@rankServerContent_05	2125000	10000_1001_10
449	5	@rankServerContent_05	2250000	10000_1001_10
450	5	@rankServerContent_05	2375000	10000_1001_10
451	5	@rankServerContent_05	2500000	10000_1001_10
501	6	@rankServerContent_06	25000	10000_1001_10
502	6	@rankServerContent_06	37500	10000_1001_10
503	6	@rankServerContent_06	50000	10000_1001_10
504	6	@rankServerContent_06	62500	10000_1001_10
505	6	@rankServerContent_06	75000	10000_1001_10
506	6	@rankServerContent_06	87500	10000_1001_10
507	6	@rankServerContent_06	100000	10000_1001_10
508	6	@rankServerContent_06	112500	10000_1001_10
509	6	@rankServerContent_06	125000	10000_1001_10
510	6	@rankServerContent_06	137500	10000_1001_10
511	6	@rankServerContent_06	150000	10000_1001_10
512	6	@rankServerContent_06	162500	10000_1001_10
513	6	@rankServerContent_06	175000	10000_1001_10
514	6	@rankServerContent_06	187500	10000_1001_10
515	6	@rankServerContent_06	200000	10000_1001_10
516	6	@rankServerContent_06	212500	10000_1001_10
517	6	@rankServerContent_06	225000	10000_1001_10
518	6	@rankServerContent_06	237500	10000_1001_10
519	6	@rankServerContent_06	250000	10000_1001_10
520	6	@rankServerContent_06	275000	10000_1001_10
521	6	@rankServerContent_06	300000	10000_1001_10
522	6	@rankServerContent_06	325000	10000_1001_10
523	6	@rankServerContent_06	350000	10000_1001_10
524	6	@rankServerContent_06	375000	10000_1001_10
525	6	@rankServerContent_06	400000	10000_1001_10
526	6	@rankServerContent_06	425000	10000_1001_10
527	6	@rankServerContent_06	450000	10000_1001_10
528	6	@rankServerContent_06	475000	10000_1001_10
529	6	@rankServerContent_06	500000	10000_1001_10
530	6	@rankServerContent_06	562500	10000_1001_10
531	6	@rankServerContent_06	625000	10000_1001_10
532	6	@rankServerContent_06	687500	10000_1001_10
533	6	@rankServerContent_06	750000	10000_1001_10
534	6	@rankServerContent_06	812500	10000_1001_10
535	6	@rankServerContent_06	875000	10000_1001_10
536	6	@rankServerContent_06	937500	10000_1001_10
537	6	@rankServerContent_06	1000000	10000_1001_10
538	6	@rankServerContent_06	1062500	10000_1001_10
539	6	@rankServerContent_06	1125000	10000_1001_10
540	6	@rankServerContent_06	1187500	10000_1001_10
541	6	@rankServerContent_06	1250000	10000_1001_10
542	6	@rankServerContent_06	1375000	10000_1001_10
543	6	@rankServerContent_06	1500000	10000_1001_10
544	6	@rankServerContent_06	1625000	10000_1001_10
545	6	@rankServerContent_06	1750000	10000_1001_10
546	6	@rankServerContent_06	1875000	10000_1001_10
547	6	@rankServerContent_06	2000000	10000_1001_10
548	6	@rankServerContent_06	2125000	10000_1001_10
549	6	@rankServerContent_06	2250000	10000_1001_10
550	6	@rankServerContent_06	2375000	10000_1001_10
551	6	@rankServerContent_06	2500000	10000_1001_10
601	7	@rankServerContent_07	25000	10000_1001_10
602	7	@rankServerContent_07	37500	10000_1001_10
603	7	@rankServerContent_07	50000	10000_1001_10
604	7	@rankServerContent_07	62500	10000_1001_10
605	7	@rankServerContent_07	75000	10000_1001_10
606	7	@rankServerContent_07	87500	10000_1001_10
607	7	@rankServerContent_07	100000	10000_1001_10
608	7	@rankServerContent_07	112500	10000_1001_10
609	7	@rankServerContent_07	125000	10000_1001_10
610	7	@rankServerContent_07	137500	10000_1001_10
611	7	@rankServerContent_07	150000	10000_1001_10
612	7	@rankServerContent_07	162500	10000_1001_10
613	7	@rankServerContent_07	175000	10000_1001_10
614	7	@rankServerContent_07	187500	10000_1001_10
615	7	@rankServerContent_07	200000	10000_1001_10
616	7	@rankServerContent_07	212500	10000_1001_10
617	7	@rankServerContent_07	225000	10000_1001_10
618	7	@rankServerContent_07	237500	10000_1001_10
619	7	@rankServerContent_07	250000	10000_1001_10
620	7	@rankServerContent_07	275000	10000_1001_10
621	7	@rankServerContent_07	300000	10000_1001_10
622	7	@rankServerContent_07	325000	10000_1001_10
623	7	@rankServerContent_07	350000	10000_1001_10
624	7	@rankServerContent_07	375000	10000_1001_10
625	7	@rankServerContent_07	400000	10000_1001_10
626	7	@rankServerContent_07	425000	10000_1001_10
627	7	@rankServerContent_07	450000	10000_1001_10
628	7	@rankServerContent_07	475000	10000_1001_10
629	7	@rankServerContent_07	500000	10000_1001_10
630	7	@rankServerContent_07	562500	10000_1001_10
631	7	@rankServerContent_07	625000	10000_1001_10
632	7	@rankServerContent_07	687500	10000_1001_10
633	7	@rankServerContent_07	750000	10000_1001_10
634	7	@rankServerContent_07	812500	10000_1001_10
635	7	@rankServerContent_07	875000	10000_1001_10
636	7	@rankServerContent_07	937500	10000_1001_10
637	7	@rankServerContent_07	1000000	10000_1001_10
638	7	@rankServerContent_07	1062500	10000_1001_10
639	7	@rankServerContent_07	1125000	10000_1001_10
640	7	@rankServerContent_07	1187500	10000_1001_10
641	7	@rankServerContent_07	1250000	10000_1001_10
642	7	@rankServerContent_07	1375000	10000_1001_10
643	7	@rankServerContent_07	1500000	10000_1001_10
644	7	@rankServerContent_07	1625000	10000_1001_10
645	7	@rankServerContent_07	1750000	10000_1001_10
646	7	@rankServerContent_07	1875000	10000_1001_10
647	7	@rankServerContent_07	2000000	10000_1001_10
648	7	@rankServerContent_07	2125000	10000_1001_10
649	7	@rankServerContent_07	2250000	10000_1001_10
650	7	@rankServerContent_07	2375000	10000_1001_10
651	7	@rankServerContent_07	2500000	10000_1001_10
701	8	@rankServerContent_08	25000	10000_1001_10
702	8	@rankServerContent_08	37500	10000_1001_10
703	8	@rankServerContent_08	50000	10000_1001_10
704	8	@rankServerContent_08	62500	10000_1001_10
705	8	@rankServerContent_08	75000	10000_1001_10
706	8	@rankServerContent_08	87500	10000_1001_10
707	8	@rankServerContent_08	100000	10000_1001_10
708	8	@rankServerContent_08	112500	10000_1001_10
709	8	@rankServerContent_08	125000	10000_1001_10
710	8	@rankServerContent_08	137500	10000_1001_10
711	8	@rankServerContent_08	150000	10000_1001_10
712	8	@rankServerContent_08	162500	10000_1001_10
713	8	@rankServerContent_08	175000	10000_1001_10
714	8	@rankServerContent_08	187500	10000_1001_10
715	8	@rankServerContent_08	200000	10000_1001_10
716	8	@rankServerContent_08	212500	10000_1001_10
717	8	@rankServerContent_08	225000	10000_1001_10
718	8	@rankServerContent_08	237500	10000_1001_10
719	8	@rankServerContent_08	250000	10000_1001_10
720	8	@rankServerContent_08	275000	10000_1001_10
721	8	@rankServerContent_08	300000	10000_1001_10
722	8	@rankServerContent_08	325000	10000_1001_10
723	8	@rankServerContent_08	350000	10000_1001_10
724	8	@rankServerContent_08	375000	10000_1001_10
725	8	@rankServerContent_08	400000	10000_1001_10
726	8	@rankServerContent_08	425000	10000_1001_10
727	8	@rankServerContent_08	450000	10000_1001_10
728	8	@rankServerContent_08	475000	10000_1001_10
729	8	@rankServerContent_08	500000	10000_1001_10
730	8	@rankServerContent_08	562500	10000_1001_10
731	8	@rankServerContent_08	625000	10000_1001_10
732	8	@rankServerContent_08	687500	10000_1001_10
733	8	@rankServerContent_08	750000	10000_1001_10
734	8	@rankServerContent_08	812500	10000_1001_10
735	8	@rankServerContent_08	875000	10000_1001_10
736	8	@rankServerContent_08	937500	10000_1001_10
737	8	@rankServerContent_08	1000000	10000_1001_10
738	8	@rankServerContent_08	1062500	10000_1001_10
739	8	@rankServerContent_08	1125000	10000_1001_10
740	8	@rankServerContent_08	1187500	10000_1001_10
741	8	@rankServerContent_08	1250000	10000_1001_10
742	8	@rankServerContent_08	1375000	10000_1001_10
743	8	@rankServerContent_08	1500000	10000_1001_10
744	8	@rankServerContent_08	1625000	10000_1001_10
745	8	@rankServerContent_08	1750000	10000_1001_10
746	8	@rankServerContent_08	1875000	10000_1001_10
747	8	@rankServerContent_08	2000000	10000_1001_10
748	8	@rankServerContent_08	2125000	10000_1001_10
749	8	@rankServerContent_08	2250000	10000_1001_10
750	8	@rankServerContent_08	2375000	10000_1001_10
751	8	@rankServerContent_08	2500000	10000_1001_10
