翅膀类型	翅膀等级	限制职业	升级所需物品	属性
13602	36	2	30000_80001_400,10000_1001_50	101_139972,103_33537,104_33537,2103_36,2104_36,4001_11027,4003_11027,4005_11027
13702	37	2	30000_80001_420,10000_1001_50	101_146502,103_35124,104_35124,2103_38,2104_38,4001_11976,4003_11976,4005_11976
13802	38	2	30000_80001_440,10000_1001_50	101_153336,103_36786,104_36786,2103_39,2104_39,4001_13007,4003_13007,4005_13007
13902	39	2	30000_80001_460,10000_1001_50	101_160488,103_38526,104_38526,2103_41,2104_41,4001_14126,4003_14126,4005_14126
14002	40	2	30000_80001_5000,10000_1001_5000	101_167976,103_40349,104_40349,2103_42,2104_42,4001_15342,4003_15342,4005_15342
14102	41	2	30000_80001_700,10000_1001_200	101_178306,103_42454,104_42454,2103_45,2104_45,4001_16207,4003_16207,4005_16207
14202	42	2	30000_80001_800,10000_1001_200	101_189272,103_44668,104_44668,2103_48,2104_48,4001_17120,4003_17120,4005_17120
14302	43	2	30000_80001_900,10000_1001_200	101_200912,103_46997,104_46997,2103_50,2104_50,4001_18084,4003_18084,4005_18084
14402	44	2	30000_80001_1000,10000_1001_200	101_213268,103_49448,104_49448,2103_53,2104_53,4001_19103,4003_19103,4005_19103
14502	45	2	30000_80001_1100,10000_1001_200	101_226384,103_52027,104_52027,2103_56,2104_56,4001_20179,4003_20179,4005_20179
14602	46	2	30000_80001_1200,10000_1001_200	101_240306,103_54741,104_54741,2103_59,2104_59,4001_21316,4003_21316,4005_21316
14702	47	2	30000_80001_1300,10000_1001_200	101_255085,103_57595,104_57595,2103_62,2104_62,4001_22517,4003_22517,4005_22517
14802	48	2	30000_80001_1400,10000_1001_200	101_270773,103_60599,104_60599,2103_64,2104_64,4001_23785,4003_23785,4005_23785
14902	49	2	30000_80001_1500,10000_1001_200	101_287425,103_63759,104_63759,2103_67,2104_67,4001_25125,4003_25125,4005_25125
15002	50	2	30000_80001_1600,10000_1001_200	101_305101,103_67085,104_67085,2103_70,2104_70,4001_26541,4003_26541,4005_26541
10003	0	3	30000_80001_5	0
10103	1	3	30000_80001_10,10000_1002_200000	101_800,103_316,104_316
10203	2	3	30000_80001_15,10000_1002_200000	101_1086,103_435,104_435
10303	3	3	30000_80001_20,10000_1002_200000	101_1474,103_599,104_599
10403	4	3	30000_80001_25,10000_1002_200000	101_2002,103_826,104_826
10503	5	3	30000_80001_30,10000_1002_200000	101_2717,103_1138,104_1138
10603	6	3	30000_80001_35,10000_1002_200000	101_3688,103_1568,104_1568
10703	7	3	30000_80001_40,10000_1002_200000	101_5007,103_2160,104_2160
10803	8	3	30000_80001_45,10000_1002_200000	101_6796,103_2976,104_2976
10903	9	3	30000_80001_50,10000_1002_200000	101_9226,103_4100,104_4100
11003	10	3	30000_80001_100,10000_1001_100	101_12521,103_5649,104_5649
11103	11	3	30000_80001_60,10000_1001_5	101_14084,103_6107,104_6107,2104_2
11203	12	3	30000_80001_70,10000_1001_5	101_15841,103_6601,104_6601,2104_4
11303	13	3	30000_80001_80,10000_1001_5	101_17818,103_7135,104_7135,2104_6
11403	14	3	30000_80001_90,10000_1001_5	101_20042,103_7713,104_7713,2104_8
11503	15	3	30000_80001_100,10000_1001_5	101_22543,103_8337,104_8337,2104_10
11603	16	3	30000_80001_110,10000_1001_5	101_25356,103_9012,104_9012,2104_12
11703	17	3	30000_80001_120,10000_1001_5	101_28520,103_9741,104_9741,2104_14
11803	18	3	30000_80001_130,10000_1001_5	101_32080,103_10529,104_10529,2104_16
11903	19	3	30000_80001_140,10000_1001_5	101_36083,103_11382,104_11382,2104_18
12003	20	3	30000_80001_500,10000_1001_500	101_40585,103_12303,104_12303,2104_20
12103	21	3	30000_80001_140,10000_1001_10	101_44694,103_13229,104_13229,2104_22,4001_667,4003_667,4005_667
12203	22	3	30000_80001_155,10000_1001_10	101_49220,103_14224,104_14224,2104_24,4001_1333,4003_1333,4005_1333
12303	23	3	30000_80001_170,10000_1001_10	101_54204,103_15294,104_15294,2104_26,4001_2000,4003_2000,4005_2000
12403	24	3	30000_80001_185,10000_1001_10	101_59692,103_16445,104_16445,2104_28,4001_2667,4003_2667,4005_2667
12503	25	3	30000_80001_200,10000_1001_10	101_65736,103_17682,104_17682,2104_30,4001_3333,4003_3333,4005_3333
12603	26	3	30000_80001_215,10000_1001_10	101_72392,103_19013,104_19013,2104_32,4001_4000,4003_4000,4005_4000
12703	27	3	30000_80001_230,10000_1001_10	101_79722,103_20443,104_20443,2104_34,4001_4667,4003_4667,4005_4667
12803	28	3	30000_80001_245,10000_1001_10	101_87794,103_21981,104_21981,2104_36,4001_5333,4003_5333,4005_5333
12903	29	3	30000_80001_260,10000_1001_10	101_96683,103_23635,104_23635,2104_38,4001_6000,4003_6000,4005_6000
13003	30	3	30000_80001_1500,10000_1001_1500	101_106472,103_25412,104_25412,2104_40,4001_6719,4003_6719,4005_6719
13103	31	3	30000_80001_300,10000_1001_50	101_111439,103_26615,104_26615,2104_42,4001_7297,4003_7297,4005_7297
13203	32	3	30000_80001_320,10000_1001_50	101_116637,103_27874,104_27874,2104_44,4001_7925,4003_7925,4005_7925
13303	33	3	30000_80001_340,10000_1001_50	101_122078,103_29193,104_29193,2104_46,4001_8607,4003_8607,4005_8607
13403	34	3	30000_80001_360,10000_1001_50	101_127773,103_30575,104_30575,2104_48,4001_9348,4003_9348,4005_9348
13503	35	3	30000_80001_380,10000_1001_50	101_133734,103_32022,104_32022,2104_50,4001_10153,4003_10153,4005_10153
13603	36	3	30000_80001_400,10000_1001_50	101_139972,103_33537,104_33537,2104_52,4001_11027,4003_11027,4005_11027
13703	37	3	30000_80001_420,10000_1001_50	101_146502,103_35124,104_35124,2104_54,4001_11976,4003_11976,4005_11976
13803	38	3	30000_80001_440,10000_1001_50	101_153336,103_36786,104_36786,2104_56,4001_13007,4003_13007,4005_13007
13903	39	3	30000_80001_460,10000_1001_50	101_160488,103_38526,104_38526,2104_58,4001_14126,4003_14126,4005_14126
14003	40	3	30000_80001_5000,10000_1001_5000	101_167976,103_40349,104_40349,2104_60,4001_15342,4003_15342,4005_15342
14103	41	3	30000_80001_700,10000_1001_200	101_178306,103_42454,104_42454,2104_64,4001_16207,4003_16207,4005_16207
14203	42	3	30000_80001_800,10000_1001_200	101_189272,103_44668,104_44668,2104_68,4001_17120,4003_17120,4005_17120
14303	43	3	30000_80001_900,10000_1001_200	101_200912,103_46997,104_46997,2104_72,4001_18084,4003_18084,4005_18084
14403	44	3	30000_80001_1000,10000_1001_200	101_213268,103_49448,104_49448,2104_76,4001_19103,4003_19103,4005_19103
14503	45	3	30000_80001_1100,10000_1001_200	101_226384,103_52027,104_52027,2104_80,4001_20179,4003_20179,4005_20179
14603	46	3	30000_80001_1200,10000_1001_200	101_240306,103_54741,104_54741,2104_84,4001_21316,4003_21316,4005_21316
14703	47	3	30000_80001_1300,10000_1001_200	101_255085,103_57595,104_57595,2104_88,4001_22517,4003_22517,4005_22517
14803	48	3	30000_80001_1400,10000_1001_200	101_270773,103_60599,104_60599,2104_92,4001_23785,4003_23785,4005_23785
14903	49	3	30000_80001_1500,10000_1001_200	101_287425,103_63759,104_63759,2104_96,4001_25125,4003_25125,4005_25125
15003	50	3	30000_80001_1600,10000_1001_200	101_305101,103_67085,104_67085,2104_100,4001_26541,4003_26541,4005_26541
