ID	group	rate	rare	type	skill
2068	2	30	2	23	30222
2069	2	20	3	23	30223
2070	2	50	1	24	30231
2071	2	30	2	24	30232
2072	2	20	3	24	30233
2073	2	50	1	25	30241
2074	2	30	2	25	30242
2075	2	20	3	25	30243
2076	2	50	1	26	30251
2077	2	30	2	26	30252
2078	2	20	3	26	30253
2079	2	50	1	27	30261
2080	2	30	2	27	30262
2081	2	20	3	27	30263
2082	2	50	1	28	30271
2083	2	30	2	28	30272
2084	2	20	3	28	30273
2085	2	50	1	29	30281
2086	2	30	2	29	30282
2087	2	20	3	29	30283
2088	2	50	1	30	30291
2089	2	30	2	30	30292
2090	2	20	3	30	30293
2091	2	50	1	31	30301
2092	2	30	2	31	30302
2093	2	20	3	31	30303
2094	2	50	1	32	30311
2095	2	30	2	32	30312
2096	2	20	3	32	30313
2097	2	50	1	33	30321
2098	2	30	2	33	30322
2099	2	20	3	33	30323
2100	2	50	1	34	30331
2101	2	30	2	34	30332
2102	2	20	3	34	30333
2103	2	50	1	35	30341
2104	2	30	2	35	30342
2105	2	20	3	35	30343
3001	3	40	1	1	30001
3002	3	30	2	1	30002
3003	3	20	3	1	30003
3004	3	10	4	1	30004
3005	3	40	1	2	30011
3006	3	30	2	2	30012
3007	3	20	3	2	30013
3008	3	10	4	2	30014
3009	3	40	1	3	30021
3010	3	30	2	3	30022
3011	3	20	3	3	30023
3012	3	10	4	3	30024
3013	3	40	1	4	30031
3014	3	30	2	4	30032
3015	3	20	3	4	30033
3016	3	10	4	4	30034
3017	3	40	1	5	30041
3018	3	30	2	5	30042
3019	3	20	3	5	30043
3020	3	10	4	5	30044
3021	3	40	1	6	30051
3022	3	30	2	6	30052
3023	3	20	3	6	30053
3024	3	10	4	6	30054
3025	3	40	1	7	30061
3026	3	30	2	7	30062
3027	3	20	3	7	30063
3028	3	10	4	7	30064
3029	3	40	1	8	30071
3030	3	30	2	8	30072
3031	3	20	3	8	30073
3032	3	10	4	8	30074
3033	3	40	1	9	30081
3034	3	30	2	9	30082
3035	3	20	3	9	30083
3036	3	10	4	9	30084
3037	3	40	1	10	30091
3038	3	30	2	10	30092
3039	3	20	3	10	30093
3040	3	10	4	10	30094
3041	3	40	1	11	30101
3042	3	30	2	11	30102
3043	3	20	3	11	30103
3044	3	10	4	11	30104
3045	3	40	1	12	30111
3046	3	30	2	12	30112
3047	3	20	3	12	30113
3048	3	10	4	12	30114
3049	3	40	1	13	30121
3050	3	30	2	13	30122
3051	3	20	3	13	30123
3052	3	10	4	13	30124
3053	3	40	1	14	30131
3054	3	30	2	14	30132
3055	3	20	3	14	30133
3056	3	10	4	14	30134
3057	3	40	1	15	30141
3058	3	30	2	15	30142
3059	3	20	3	15	30143
3060	3	10	4	15	30144
3061	3	40	1	16	30151
3062	3	30	2	16	30152
3063	3	20	3	16	30153
3064	3	10	4	16	30154
3065	3	40	1	17	30161
3066	3	30	2	17	30162
3067	3	20	3	17	30163
3068	3	10	4	17	30164
3069	3	40	1	18	30171
3070	3	30	2	18	30172
3071	3	20	3	18	30173
3072	3	10	4	18	30174
3073	3	40	1	19	30181
3074	3	30	2	19	30182
3075	3	20	3	19	30183
3076	3	10	4	19	30184
3077	3	40	1	20	30191
3078	3	30	2	20	30192
3079	3	20	3	20	30193
3080	3	10	4	20	30194
3081	3	40	1	21	30201
3082	3	30	2	21	30202
3083	3	20	3	21	30203
3084	3	10	4	21	30204
3085	3	40	1	22	30211
3086	3	30	2	22	30212
3087	3	20	3	22	30213
3088	3	10	4	22	30214
3089	3	40	1	23	30221
3090	3	30	2	23	30222
3091	3	20	3	23	30223
3092	3	10	4	23	30224
3093	3	40	1	24	30231
3094	3	30	2	24	30232
3095	3	20	3	24	30233
3096	3	10	4	24	30234
3097	3	40	1	25	30241
3098	3	30	2	25	30242
3099	3	20	3	25	30243
3100	3	10	4	25	30244
3101	3	40	1	26	30251
3102	3	30	2	26	30252
3103	3	20	3	26	30253
3104	3	10	4	26	30254
3105	3	40	1	27	30261
3106	3	30	2	27	30262
3107	3	20	3	27	30263
3108	3	10	4	27	30264
3109	3	40	1	28	30271
3110	3	30	2	28	30272
3111	3	20	3	28	30273
3112	3	10	4	28	30274
3113	3	40	1	29	30281
3114	3	30	2	29	30282
3115	3	20	3	29	30283
3116	3	10	4	29	30284
3117	3	40	1	30	30291
3118	3	30	2	30	30292
3119	3	20	3	30	30293
3120	3	10	4	30	30294
3121	3	40	1	31	30301
3122	3	30	2	31	30302
3123	3	20	3	31	30303
3124	3	10	4	31	30304
3125	3	40	1	32	30311
3126	3	30	2	32	30312
3127	3	20	3	32	30313
3128	3	10	4	32	30314
3129	3	40	1	33	30321
3130	3	30	2	33	30322
3131	3	20	3	33	30323
3132	3	10	4	33	30324
3133	3	40	1	34	30331
3134	3	30	2	34	30332
3135	3	20	3	34	30333
3136	3	10	4	34	30334
3137	3	40	1	35	30341
3138	3	30	2	35	30342
3139	3	20	3	35	30343
3140	3	10	4	35	30344
4001	4	35	1	1	30001
4002	4	30	2	1	30002
4003	4	20	3	1	30003
4004	4	10	4	1	30004
4005	4	5	5	1	30005
4006	4	35	1	2	30011
4007	4	30	2	2	30012
4008	4	20	3	2	30013
4009	4	10	4	2	30014
4010	4	5	5	2	30015
4011	4	35	1	3	30021
4012	4	30	2	3	30022
4013	4	20	3	3	30023
4014	4	10	4	3	30024
4015	4	5	5	3	30025
4016	4	35	1	4	30031
4017	4	30	2	4	30032
4018	4	20	3	4	30033
4019	4	10	4	4	30034
4020	4	5	5	4	30035
4021	4	35	1	5	30041
4022	4	30	2	5	30042
4023	4	20	3	5	30043
4024	4	10	4	5	30044
4025	4	5	5	5	30045
4026	4	35	1	6	30051
4027	4	30	2	6	30052
4028	4	20	3	6	30053
4029	4	10	4	6	30054
4030	4	5	5	6	30055
4031	4	35	1	7	30061
4032	4	30	2	7	30062
4033	4	20	3	7	30063
4034	4	10	4	7	30064
4035	4	5	5	7	30065
4036	4	35	1	8	30071
4037	4	30	2	8	30072
4038	4	20	3	8	30073
4039	4	10	4	8	30074
4040	4	5	5	8	30075
4041	4	35	1	9	30081
4042	4	30	2	9	30082
4043	4	20	3	9	30083
4044	4	10	4	9	30084
4045	4	5	5	9	30085
4046	4	35	1	10	30091
4047	4	30	2	10	30092
4048	4	20	3	10	30093
4049	4	10	4	10	30094
4050	4	5	5	10	30095
4051	4	35	1	11	30101
4052	4	30	2	11	30102
4053	4	20	3	11	30103
4054	4	10	4	11	30104
4055	4	5	5	11	30105
4056	4	35	1	12	30111
4057	4	30	2	12	30112
4058	4	20	3	12	30113
4059	4	10	4	12	30114
4060	4	5	5	12	30115
4061	4	35	1	13	30121
4062	4	30	2	13	30122
4063	4	20	3	13	30123
4064	4	10	4	13	30124
4065	4	5	5	13	30125
4066	4	35	1	14	30131
4067	4	30	2	14	30132
4068	4	20	3	14	30133
4069	4	10	4	14	30134
4070	4	5	5	14	30135
4071	4	35	1	15	30141
4072	4	30	2	15	30142
4073	4	20	3	15	30143
4074	4	10	4	15	30144
4075	4	5	5	15	30145
4076	4	35	1	16	30151
4077	4	30	2	16	30152
4078	4	20	3	16	30153
4079	4	10	4	16	30154
4080	4	5	5	16	30155
4081	4	35	1	17	30161
4082	4	30	2	17	30162
4083	4	20	3	17	30163
4084	4	10	4	17	30164
4085	4	5	5	17	30165
4086	4	35	1	18	30171
4087	4	30	2	18	30172
4088	4	20	3	18	30173
4089	4	10	4	18	30174
4090	4	5	5	18	30175
4091	4	35	1	19	30181
4092	4	30	2	19	30182
4093	4	20	3	19	30183
4094	4	10	4	19	30184
4095	4	5	5	19	30185
4096	4	35	1	20	30191
4097	4	30	2	20	30192
4098	4	20	3	20	30193
4099	4	10	4	20	30194
4100	4	5	5	20	30195
4101	4	35	1	21	30201
4102	4	30	2	21	30202
4103	4	20	3	21	30203
4104	4	10	4	21	30204
4105	4	5	5	21	30205
4106	4	35	1	22	30211
4107	4	30	2	22	30212
4108	4	20	3	22	30213
4109	4	10	4	22	30214
4110	4	5	5	22	30215
4111	4	35	1	23	30221
4112	4	30	2	23	30222
4113	4	20	3	23	30223
4114	4	10	4	23	30224
4115	4	5	5	23	30225
4116	4	35	1	24	30231
4117	4	30	2	24	30232
4118	4	20	3	24	30233
4119	4	10	4	24	30234
4120	4	5	5	24	30235
4121	4	35	1	25	30241
4122	4	30	2	25	30242
4123	4	20	3	25	30243
4124	4	10	4	25	30244
4125	4	5	5	25	30245
4126	4	35	1	26	30251
4127	4	30	2	26	30252
4128	4	20	3	26	30253
4129	4	10	4	26	30254
4130	4	5	5	26	30255
4131	4	35	1	27	30261
4132	4	30	2	27	30262
4133	4	20	3	27	30263
4134	4	10	4	27	30264
4135	4	5	5	27	30265
4136	4	35	1	28	30271
4137	4	30	2	28	30272
4138	4	20	3	28	30273
4139	4	10	4	28	30274
4140	4	5	5	28	30275
4141	4	35	1	29	30281
4142	4	30	2	29	30282
4143	4	20	3	29	30283
4144	4	10	4	29	30284
4145	4	5	5	29	30285
4146	4	35	1	30	30291
4147	4	30	2	30	30292
4148	4	20	3	30	30293
4149	4	10	4	30	30294
4150	4	5	5	30	30295
4151	4	35	1	31	30301
4152	4	30	2	31	30302
4153	4	20	3	31	30303
4154	4	10	4	31	30304
4155	4	5	5	31	30305
4156	4	35	1	32	30311
4157	4	30	2	32	30312
4158	4	20	3	32	30313
4159	4	10	4	32	30314
4160	4	5	5	32	30315
4161	4	35	1	33	30321
4162	4	30	2	33	30322
4163	4	20	3	33	30323
4164	4	10	4	33	30324
4165	4	5	5	33	30325
4166	4	35	1	34	30331
4167	4	30	2	34	30332
4168	4	20	3	34	30333
4169	4	10	4	34	30334
4170	4	5	5	34	30335
4171	4	35	1	35	30341
4172	4	30	2	35	30342
4173	4	20	3	35	30343
4174	4	10	4	35	30344
4175	4	5	5	35	30345
