id	技能ID	技能等级	技能名称	替换确认	技能职业	人物等级	专精等级	经验值	图片路径	技能描述	消耗MP	限制物品	参数1	参数2
50003	5	3	@Skill_Name_5	0	1	50	16	140	skill/S_5.png	@Skill_Desc_5	300	30000_104202,30000_104203	32%	102%
50004	5	4	@Skill_Name_5	0	1	60	24	200	skill/S_5.png	@Skill_Desc_5	350	30000_104202,30000_104203	33%	108%
50005	5	5	@Skill_Name_5	0	1	65	32	280	skill/S_5.png	@Skill_Desc_5	400	30000_104203	34%	114%
50006	5	6	@Skill_Name_5	0	1	70	40	400	skill/S_5.png	@Skill_Desc_5	450	30000_104203	35%	120%
50007	5	7	@Skill_Name_5	0	1	80	48	600	skill/S_5.png	@Skill_Desc_5	500	30000_104203	36%	126%
50008	5	8	@Skill_Name_5	0	1	90	56	900	skill/S_5.png	@Skill_Desc_5	550	30000_104203	37%	132%
50009	5	9	@Skill_Name_5	0	1	100	64	1500	skill/S_5.png	@Skill_Desc_5	600	30000_104203	38%	138%
50010	5	10	@Skill_Name_5	0	1	110	72	2500	skill/S_5.png	@Skill_Desc_5	650	30000_104203	39%	144%
50011	5	11	@Skill_Name_5	0	1	120	80	4000	skill/S_5.png	@Skill_Desc_5	700	30000_104203	40%	150%
50012	5	12	@Skill_Name_5	0	1	130	87	8000	skill/S_5.png	@Skill_Desc_5	750	30000_104203	42%	156%
60001	6	1	@Skill_Name_6	0	1	35	0	70	skill/S_6.png	@Skill_Desc_6	200	30000_104201,30000_104202,30000_104203	180%	0
60002	6	2	@Skill_Name_6	0	1	35	1	70	skill/S_6.png	@Skill_Desc_6	250	30000_104201,30000_104202,30000_104203	200%	0
60003	6	3	@Skill_Name_6	0	1	40	6	140	skill/S_6.png	@Skill_Desc_6	300	30000_104201,30000_104202,30000_104203	220%	0
60004	6	4	@Skill_Name_6	0	1	45	14	200	skill/S_6.png	@Skill_Desc_6	350	30000_104201,30000_104202,30000_104203	240%	0
60005	6	5	@Skill_Name_6	0	1	50	20	280	skill/S_6.png	@Skill_Desc_6	400	30000_104201,30000_104202,30000_104203	260%	0
60006	6	6	@Skill_Name_6	0	1	55	27	400	skill/S_6.png	@Skill_Desc_6	450	30000_104202,30000_104203	290%	0
60007	6	7	@Skill_Name_6	0	1	60	35	600	skill/S_6.png	@Skill_Desc_6	500	30000_104202,30000_104203	320%	0
60008	6	8	@Skill_Name_6	0	1	65	41	900	skill/S_6.png	@Skill_Desc_6	550	30000_104203	350%	0
60009	6	9	@Skill_Name_6	0	1	70	49	1500	skill/S_6.png	@Skill_Desc_6	600	30000_104203	380%	0
60010	6	10	@Skill_Name_6	0	1	80	57	2500	skill/S_6.png	@Skill_Desc_6	650	30000_104203	420%	0
60011	6	11	@Skill_Name_6	0	1	90	65	4000	skill/S_6.png	@Skill_Desc_6	700	30000_104203	460%	0
60012	6	12	@Skill_Name_6	0	1	100	73	8000	skill/S_6.png	@Skill_Desc_6	750	30000_104203	500%	0
80001	8	1	@Skill_Name_8	0	1	35	0	70	skill/S_8.png	@Skill_Desc_8	300	30000_104201,30000_104202,30000_104203	210%	0
80002	8	2	@Skill_Name_8	0	1	35	1	70	skill/S_8.png	@Skill_Desc_8	350	30000_104201,30000_104202,30000_104203	235%	0
80003	8	3	@Skill_Name_8	0	1	40	6	140	skill/S_8.png	@Skill_Desc_8	400	30000_104201,30000_104202,30000_104203	260%	0
80004	8	4	@Skill_Name_8	0	1	45	14	200	skill/S_8.png	@Skill_Desc_8	450	30000_104201,30000_104202,30000_104203	285%	0
80005	8	5	@Skill_Name_8	0	1	50	22	280	skill/S_8.png	@Skill_Desc_8	500	30000_104201,30000_104202,30000_104203	310%	0
80006	8	6	@Skill_Name_8	0	1	55	30	400	skill/S_8.png	@Skill_Desc_8	550	30000_104202,30000_104203	340%	0
80007	8	7	@Skill_Name_8	0	1	60	40	600	skill/S_8.png	@Skill_Desc_8	600	30000_104202,30000_104203	370%	0
80008	8	8	@Skill_Name_8	0	1	65	48	900	skill/S_8.png	@Skill_Desc_8	650	30000_104203	400%	0
80009	8	9	@Skill_Name_8	0	1	70	56	1500	skill/S_8.png	@Skill_Desc_8	700	30000_104203	440%	0
80010	8	10	@Skill_Name_8	0	1	80	64	2500	skill/S_8.png	@Skill_Desc_8	750	30000_104203	480%	0
80011	8	11	@Skill_Name_8	0	1	90	72	4000	skill/S_8.png	@Skill_Desc_8	800	30000_104203	520%	0
80012	8	12	@Skill_Name_8	0	1	100	80	8000	skill/S_8.png	@Skill_Desc_8	850	30000_104203	560%	0
100001	10	1	@Skill_Name_10	0	1	35	0	70	skill/S_10.png	@Skill_Desc_10	300	30000_104201,30000_104202,30000_104203	0	0
100002	10	2	@Skill_Name_10	0	1	38	1	70	skill/S_10.png	@SkillListDesc_10	320	30000_104201,30000_104202,30000_104203	7%	0
100003	10	3	@Skill_Name_10	0	1	41	6	140	skill/S_10.png	@SkillListDesc_10	340	30000_104201,30000_104202,30000_104203	14%	0
100004	10	4	@Skill_Name_10	0	1	45	14	200	skill/S_10.png	@SkillListDesc_10	360	30000_104202,30000_104203	21%	0
100005	10	5	@Skill_Name_10	0	1	50	22	280	skill/S_10.png	@SkillListDesc_10	380	30000_104202,30000_104203	28%	0
100006	10	6	@Skill_Name_10	0	1	55	30	400	skill/S_10.png	@SkillListDesc_10	400	30000_104203	35%	0
100007	10	7	@Skill_Name_10	0	1	60	40	600	skill/S_10.png	@SkillListDesc_10	420	30000_104203	42%	0
100008	10	8	@Skill_Name_10	0	1	70	48	900	skill/S_10.png	@SkillListDesc_10	440	30000_104203	50%	0
100009	10	9	@Skill_Name_10	0	1	80	56	1500	skill/S_10.png	@SkillListDesc_10	460	30000_104203	58%	0
100010	10	10	@Skill_Name_10	0	1	90	64	2500	skill/S_10.png	@SkillListDesc_10	480	30000_104203	66%	0
100011	10	11	@Skill_Name_10	0	1	100	72	4000	skill/S_10.png	@SkillListDesc_10	500	30000_104203	74%	0
100012	10	12	@Skill_Name_10	0	1	110	80	8000	skill/S_10.png	@SkillListDesc_10	520	30000_104203	82%	0
120001	12	1	@Skill_Name_12	0	2	35	0	70	skill/S_12.png	@SkillListDesc_12	100	30000_104201,30000_104202,30000_104203	160%	0
120002	12	2	@Skill_Name_12	0	2	35	1	70	skill/S_12.png	@SkillListDesc_12	150	30000_104201,30000_104202,30000_104203	180%	0
120003	12	3	@Skill_Name_12	0	2	39	6	140	skill/S_12.png	@SkillListDesc_12	200	30000_104201,30000_104202,30000_104203	200%	0
120004	12	4	@Skill_Name_12	0	2	42	10	200	skill/S_12.png	@SkillListDesc_12	250	30000_104201,30000_104202,30000_104203	220%	0
120005	12	5	@Skill_Name_12	0	2	45	12	280	skill/S_12.png	@SkillListDesc_12	300	30000_104201,30000_104202,30000_104203	240%	0
120006	12	6	@Skill_Name_12	0	2	50	20	400	skill/S_12.png	@SkillListDesc_12	350	30000_104202,30000_104203	270%	0
120007	12	7	@Skill_Name_12	0	2	55	27	600	skill/S_12.png	@SkillListDesc_12	400	30000_104202,30000_104203	300%	0
120008	12	8	@Skill_Name_12	0	2	60	35	900	skill/S_12.png	@SkillListDesc_12	450	30000_104203	330%	0
120009	12	9	@Skill_Name_12	0	2	65	41	1500	skill/S_12.png	@SkillListDesc_12	500	30000_104203	360%	0
120010	12	10	@Skill_Name_12	0	2	70	49	2500	skill/S_12.png	@SkillListDesc_12	550	30000_104203	390%	0
120011	12	11	@Skill_Name_12	0	2	80	57	4000	skill/S_12.png	@SkillListDesc_12	600	30000_104203	420%	0
120012	12	12	@Skill_Name_12	0	2	90	65	8000	skill/S_12.png	@SkillListDesc_12	650	30000_104203	450%	0
120013	12	13	@Skill_Name_12	0	2	100	73	0	skill/S_12.png	@SkillListDesc_12	700	30000_104203	480%	0
120014	12	14	@Skill_Name_12	0	2	110	81	0	skill/S_12.png	@SkillListDesc_12	750	30000_104203	510%	0
120015	12	15	@Skill_Name_12	0	2	120	89	0	skill/S_12.png	@SkillListDesc_12	800	30000_104203	540%	0
140001	14	1	@Skill_Name_14	0	2	35	0	70	skill/S_14.png	@Skill_Desc_14	200	30000_104201,30000_104202,30000_104203	150%	0
140002	14	2	@Skill_Name_14	0	2	35	1	70	skill/S_14.png	@Skill_Desc_14	240	30000_104201,30000_104202,30000_104203	170%	0
140003	14	3	@Skill_Name_14	0	2	40	6	140	skill/S_14.png	@Skill_Desc_14	280	30000_104201,30000_104202,30000_104203	190%	0
140004	14	4	@Skill_Name_14	0	2	45	14	200	skill/S_14.png	@Skill_Desc_14	320	30000_104201,30000_104202,30000_104203	210%	0
140005	14	5	@Skill_Name_14	0	2	50	20	280	skill/S_14.png	@Skill_Desc_14	360	30000_104201,30000_104202,30000_104203	230%	0
140006	14	6	@Skill_Name_14	0	2	55	27	400	skill/S_14.png	@Skill_Desc_14	400	30000_104202,30000_104203	250%	0
140007	14	7	@Skill_Name_14	0	2	60	35	600	skill/S_14.png	@Skill_Desc_14	440	30000_104202,30000_104203	280%	0
140008	14	8	@Skill_Name_14	0	2	65	41	900	skill/S_14.png	@Skill_Desc_14	480	30000_104203	310%	0
140009	14	9	@Skill_Name_14	0	2	70	49	1500	skill/S_14.png	@Skill_Desc_14	520	30000_104203	340%	0
140010	14	10	@Skill_Name_14	0	2	80	57	2500	skill/S_14.png	@Skill_Desc_14	560	30000_104203	370%	0
140011	14	11	@Skill_Name_14	0	2	90	65	4000	skill/S_14.png	@Skill_Desc_14	600	30000_104203	400%	0
140012	14	12	@Skill_Name_14	0	2	100	73	8000	skill/S_14.png	@Skill_Desc_14	640	30000_104203	430%	0
140013	14	13	@Skill_Name_14	0	2	110	81	0	skill/S_14.png	@Skill_Desc_14	680	30000_104203	460%	0
140014	14	14	@Skill_Name_14	0	2	120	89	0	skill/S_14.png	@Skill_Desc_14	720	30000_104203	490%	0
140015	14	15	@Skill_Name_14	0	2	130	96	0	skill/S_14.png	@Skill_Desc_14	760	30000_104203	520%	0
170001	17	1	@Skill_Name_17	0	2	40	0	70	skill/S_17.png	@Skill_Desc_17	400	30000_104201,30000_104202,30000_104203	65%	0
170002	17	2	@Skill_Name_17	0	2	45	8	70	skill/S_17.png	@SkillListDesc_17	440	30000_104201,30000_104202,30000_104203	68%	3%
170003	17	3	@Skill_Name_17	0	2	50	16	140	skill/S_17.png	@SkillListDesc_17	480	30000_104202,30000_104203	71%	4%
170004	17	4	@Skill_Name_17	0	2	60	24	200	skill/S_17.png	@SkillListDesc_17	520	30000_104202,30000_104203	74%	5%
170005	17	5	@Skill_Name_17	0	2	65	32	280	skill/S_17.png	@SkillListDesc_17	560	30000_104203	77%	6%
170006	17	6	@Skill_Name_17	0	2	70	40	400	skill/S_17.png	@SkillListDesc_17	600	30000_104203	80%	7%
170007	17	7	@Skill_Name_17	0	2	80	48	600	skill/S_17.png	@SkillListDesc_17	640	30000_104203	83%	8%
170008	17	8	@Skill_Name_17	0	2	90	56	900	skill/S_17.png	@SkillListDesc_17	680	30000_104203	86%	9%
170009	17	9	@Skill_Name_17	0	2	100	64	1500	skill/S_17.png	@SkillListDesc_17	720	30000_104203	89%	10%
170010	17	10	@Skill_Name_17	0	2	110	72	2500	skill/S_17.png	@SkillListDesc_17	760	30000_104203	92%	11%
170011	17	11	@Skill_Name_17	0	2	120	80	4000	skill/S_17.png	@SkillListDesc_17	800	30000_104203	96%	12%
170012	17	12	@Skill_Name_17	0	2	130	87	8000	skill/S_17.png	@SkillListDesc_17	840	30000_104203	100%	13%
190001	19	1	@Skill_Name_19	0	2	35	0	70	skill/S_19.png	@SkillListDesc_19	200	30000_104201,30000_104202,30000_104203	180%	50%
190002	19	2	@Skill_Name_19	0	2	35	1	70	skill/S_19.png	@SkillListDesc_19	250	30000_104201,30000_104202,30000_104203	200%	53%
190003	19	3	@Skill_Name_19	0	2	40	6	140	skill/S_19.png	@SkillListDesc_19	300	30000_104201,30000_104202,30000_104203	220%	56%
190004	19	4	@Skill_Name_19	0	2	45	14	200	skill/S_19.png	@SkillListDesc_19	350	30000_104201,30000_104202,30000_104203	240%	59%
190005	19	5	@Skill_Name_19	0	2	50	22	280	skill/S_19.png	@SkillListDesc_19	400	30000_104202,30000_104203	260%	62%
190006	19	6	@Skill_Name_19	0	2	55	30	400	skill/S_19.png	@SkillListDesc_19	450	30000_104202,30000_104203	280%	65%
190007	19	7	@Skill_Name_19	0	2	60	40	600	skill/S_19.png	@SkillListDesc_19	500	30000_104203	310%	68%
190008	19	8	@Skill_Name_19	0	2	65	48	900	skill/S_19.png	@SkillListDesc_19	550	30000_104203	340%	71%
190009	19	9	@Skill_Name_19	0	2	70	56	1500	skill/S_19.png	@SkillListDesc_19	600	30000_104203	370%	74%
190010	19	10	@Skill_Name_19	0	2	80	64	2500	skill/S_19.png	@SkillListDesc_19	650	30000_104203	400%	77%
190011	19	11	@Skill_Name_19	0	2	90	72	4000	skill/S_19.png	@SkillListDesc_19	700	30000_104203	430%	80%
190012	19	12	@Skill_Name_19	0	2	100	80	8000	skill/S_19.png	@SkillListDesc_19	750	30000_104203	460%	83%
200001	20	1	@Skill_Name_20	0	2	35	0	70	skill/S_20.png	@Skill_Desc_20	250	30000_104201,30000_104202,30000_104203	0	0
200002	20	2	@Skill_Name_20	0	2	38	1	70	skill/S_20.png	@SkillListDesc_20	300	30000_104201,30000_104202,30000_104203	5%	0
200003	20	3	@Skill_Name_20	0	2	41	6	140	skill/S_20.png	@SkillListDesc_20	350	30000_104201,30000_104202,30000_104203	10%	0
200004	20	4	@Skill_Name_20	0	2	45	14	200	skill/S_20.png	@SkillListDesc_20	400	30000_104202,30000_104203	15%	0
200005	20	5	@Skill_Name_20	0	2	50	22	280	skill/S_20.png	@SkillListDesc_20	450	30000_104202,30000_104203	20%	0
200006	20	6	@Skill_Name_20	0	2	55	30	400	skill/S_20.png	@SkillListDesc_20	500	30000_104203	25%	0
200007	20	7	@Skill_Name_20	0	2	60	40	600	skill/S_20.png	@SkillListDesc_20	550	30000_104203	30%	0
200008	20	8	@Skill_Name_20	0	2	70	48	900	skill/S_20.png	@SkillListDesc_20	600	30000_104203	35%	0
200009	20	9	@Skill_Name_20	0	2	80	56	1500	skill/S_20.png	@SkillListDesc_20	650	30000_104203	40%	0
200010	20	10	@Skill_Name_20	0	2	90	64	2500	skill/S_20.png	@SkillListDesc_20	700	30000_104203	45%	0
200011	20	11	@Skill_Name_20	0	2	100	72	4000	skill/S_20.png	@SkillListDesc_20	750	30000_104203	50%	0
200012	20	12	@Skill_Name_20	0	2	110	80	8000	skill/S_20.png	@SkillListDesc_20	800	30000_104203	55%	0
210001	21	1	@Skill_Name_21	0	3	35	0	70	skill/S_21.png	@SkillListDesc_21	200	30000_104201,30000_104202,30000_104203	110%	0
210002	21	2	@Skill_Name_21	0	3	35	1	70	skill/S_21.png	@SkillListDesc_21	280	30000_104201,30000_104202,30000_104203	120%	0
210003	21	3	@Skill_Name_21	0	3	40	6	140	skill/S_21.png	@SkillListDesc_21	350	30000_104201,30000_104202,30000_104203	130%	0
210004	21	4	@Skill_Name_21	0	3	45	14	200	skill/S_21.png	@SkillListDesc_21	450	30000_104201,30000_104202,30000_104203	140%	0
210005	21	5	@Skill_Name_21	0	3	50	20	280	skill/S_21.png	@SkillListDesc_21	550	30000_104201,30000_104202,30000_104203	150%	0
210006	21	6	@Skill_Name_21	0	3	55	27	400	skill/S_21.png	@SkillListDesc_21	650	30000_104202,30000_104203	160%	0
210007	21	7	@Skill_Name_21	0	3	60	35	600	skill/S_21.png	@SkillListDesc_21	750	30000_104202,30000_104203	170%	0
210008	21	8	@Skill_Name_21	0	3	65	41	900	skill/S_21.png	@SkillListDesc_21	850	30000_104203	190%	0
210009	21	9	@Skill_Name_21	0	3	70	49	1500	skill/S_21.png	@SkillListDesc_21	950	30000_104203	205%	0
210010	21	10	@Skill_Name_21	0	3	80	57	2500	skill/S_21.png	@SkillListDesc_21	1000	30000_104203	220%	0
210011	21	11	@Skill_Name_21	0	3	90	65	4000	skill/S_21.png	@SkillListDesc_21	1100	30000_104203	235%	0
210012	21	12	@Skill_Name_21	0	3	100	73	8000	skill/S_21.png	@SkillListDesc_21	1200	30000_104203	250%	0
210013	21	13	@Skill_Name_21	0	3	110	81	0	skill/S_21.png	@SkillListDesc_21	1300	30000_104203	265%	0
210014	21	14	@Skill_Name_21	0	3	120	89	0	skill/S_21.png	@SkillListDesc_21	1400	30000_104203	280%	0
210015	21	15	@Skill_Name_21	0	3	130	96	0	skill/S_21.png	@SkillListDesc_21	1500	30000_104203	295%	0
230001	23	1	@Skill_Name_23	0	3	35	0	70	skill/S_23.png	@SkillListDesc_23	200	30000_104201,30000_104202,30000_104203	20%	60%
230002	23	2	@Skill_Name_23	0	3	38	1	70	skill/S_23.png	@SkillListDesc_23	250	30000_104201,30000_104202,30000_104203	26%	62%
230003	23	3	@Skill_Name_23	0	3	41	6	140	skill/S_23.png	@SkillListDesc_23	300	30000_104201,30000_104202,30000_104203	32%	64%
230004	23	4	@Skill_Name_23	0	3	45	14	200	skill/S_23.png	@SkillListDesc_23	350	30000_104202,30000_104203	38%	66%
230005	23	5	@Skill_Name_23	0	3	50	22	280	skill/S_23.png	@SkillListDesc_23	400	30000_104202,30000_104203	44%	68%
230006	23	6	@Skill_Name_23	0	3	55	30	400	skill/S_23.png	@SkillListDesc_23	450	30000_104203	50%	70%
230007	23	7	@Skill_Name_23	0	3	60	40	600	skill/S_23.png	@SkillListDesc_23	500	30000_104203	56%	72%
230008	23	8	@Skill_Name_23	0	3	70	48	900	skill/S_23.png	@SkillListDesc_23	550	30000_104203	62%	74%
230009	23	9	@Skill_Name_23	0	3	80	56	1500	skill/S_23.png	@SkillListDesc_23	600	30000_104203	68%	76%
230010	23	10	@Skill_Name_23	0	3	90	64	2500	skill/S_23.png	@SkillListDesc_23	650	30000_104203	74%	78%
230011	23	11	@Skill_Name_23	0	3	100	72	4000	skill/S_23.png	@SkillListDesc_23	700	30000_104203	80%	80%
230012	23	12	@Skill_Name_23	0	3	110	80	8000	skill/S_23.png	@SkillListDesc_23	750	30000_104203	86%	82%
260001	26	1	@Skill_Name_26	0	3	35	0	70	skill/S_26.png	@SkillListDesc_26	250	30000_104201,30000_104202,30000_104203	130%	40%
260002	26	2	@Skill_Name_26	0	3	35	1	70	skill/S_26.png	@SkillListDesc_26	350	30000_104201,30000_104202,30000_104203	145%	43%
260003	26	3	@Skill_Name_26	0	3	40	6	140	skill/S_26.png	@SkillListDesc_26	450	30000_104201,30000_104202,30000_104203	160%	46%
260004	26	4	@Skill_Name_26	0	3	45	14	200	skill/S_26.png	@SkillListDesc_26	550	30000_104201,30000_104202,30000_104203	175%	49%
260005	26	5	@Skill_Name_26	0	3	50	22	280	skill/S_26.png	@SkillListDesc_26	650	30000_104201,30000_104202,30000_104203	190%	52%
260006	26	6	@Skill_Name_26	0	3	55	30	400	skill/S_26.png	@SkillListDesc_26	750	30000_104202,30000_104203	210%	55%
260007	26	7	@Skill_Name_26	0	3	60	40	600	skill/S_26.png	@SkillListDesc_26	900	30000_104202,30000_104203	230%	58%
260008	26	8	@Skill_Name_26	0	3	65	48	900	skill/S_26.png	@SkillListDesc_26	1050	30000_104203	250%	61%
260009	26	9	@Skill_Name_26	0	3	70	56	1500	skill/S_26.png	@SkillListDesc_26	1200	30000_104203	270%	64.5%
260010	26	10	@Skill_Name_26	0	3	80	64	2500	skill/S_26.png	@SkillListDesc_26	1350	30000_104203	290%	68%
260011	26	11	@Skill_Name_26	0	3	90	72	4000	skill/S_26.png	@SkillListDesc_26	1500	30000_104203	310%	69%
260012	26	12	@Skill_Name_26	0	3	100	80	8000	skill/S_26.png	@SkillListDesc_26	1650	30000_104203	330%	70%
270001	27	1	@Skill_Name_27	0	3	35	0	70	skill/S_27.png	@SkillListDesc_27	100	30000_104201,30000_104202,30000_104203	170%	100%
270002	27	2	@Skill_Name_27	0	3	35	1	70	skill/S_27.png	@SkillListDesc_27	200	30000_104201,30000_104202,30000_104203	180%	110%
270003	27	3	@Skill_Name_27	0	3	40	6	140	skill/S_27.png	@SkillListDesc_27	300	30000_104201,30000_104202,30000_104203	190%	120%
270004	27	4	@Skill_Name_27	0	3	45	14	200	skill/S_27.png	@SkillListDesc_27	400	30000_104201,30000_104202,30000_104203	200%	130%
270005	27	5	@Skill_Name_27	0	3	50	22	280	skill/S_27.png	@SkillListDesc_27	500	30000_104202,30000_104203	210%	140%
270006	27	6	@Skill_Name_27	0	3	55	30	400	skill/S_27.png	@SkillListDesc_27	600	30000_104202,30000_104203	220%	150%
270007	27	7	@Skill_Name_27	0	3	60	40	600	skill/S_27.png	@SkillListDesc_27	700	30000_104203	230%	160%
270008	27	8	@Skill_Name_27	0	3	65	48	900	skill/S_27.png	@SkillListDesc_27	800	30000_104203	240%	170%
270009	27	9	@Skill_Name_27	0	3	70	56	1500	skill/S_27.png	@SkillListDesc_27	1000	30000_104203	250%	180%
270010	27	10	@Skill_Name_27	0	3	80	64	2500	skill/S_27.png	@SkillListDesc_27	1200	30000_104203	260%	190%
270011	27	11	@Skill_Name_27	0	3	90	72	4000	skill/S_27.png	@SkillListDesc_27	1400	30000_104203	270%	200%
270012	27	12	@Skill_Name_27	0	3	100	80	8000	skill/S_27.png	@SkillListDesc_27	1600	30000_104203	280%	210%
280001	28	1	@Skill_Name_28	0	3	50	0	70	skill/S_28.png	@SkillListDesc_28	350	30000_104201,30000_104202,30000_104203	190%	20%
280002	28	2	@Skill_Name_28	0	3	55	8	70	skill/S_28.png	@SkillListDesc_28	450	30000_104201,30000_104202,30000_104203	210%	24%
280003	28	3	@Skill_Name_28	0	3	60	16	140	skill/S_28.png	@SkillListDesc_28	550	30000_104202,30000_104203	230%	28%
280004	28	4	@Skill_Name_28	0	3	65	24	200	skill/S_28.png	@SkillListDesc_28	650	30000_104202,30000_104203	250%	32%
280005	28	5	@Skill_Name_28	0	3	70	32	280	skill/S_28.png	@SkillListDesc_28	750	30000_104203	275%	36%
280006	28	6	@Skill_Name_28	0	3	80	40	400	skill/S_28.png	@SkillListDesc_28	850	30000_104203	300%	40%
280007	28	7	@Skill_Name_28	0	3	90	48	600	skill/S_28.png	@SkillListDesc_28	900	30000_104203	325%	41%
