id	Spine	EffName	BulletName	Icon	Name	Info	Skin	Reflect	Class	Element	Level	Skills	IsMagic	Strenght	Intellect	Agility	Stamina	HP	Attack	Magic	PhyPenetrate	MagPenetrate	PhyDef	MagDef	RecoverHP	CriDamage	CriResist	Critical	Hit	Dodge	Immunity	ATKRange	ATKSpeed	WSpeed	RSpeed	AttackEFF	Hurt_EFF_X	Hurt_EFF_Y	Hurt_EFF_Head	ATKMP	DEFMP	SKMP	ClassCorrection
22	Spine/CharacterSpine,Enemy05	Enemy05	Enemy05	monster/Monster_2.png	300022	350022	2	0	4	2	5	500101	1	75	300	50	225	1125	88	313	0	0	135	203	0	0.5	45	25	90	60	0	180	2500	1.2	1.8	hit0303	45	90	180	6	9	6	1
23	Spine/CharacterSpine,Enemy09			monster/Monster_9_4.png	300023	350023	4	0	3	3	2	500101	1	50	80	10	120	600	53	83	0	0	75	84	0	0.5	24	5	29	17	0	180	2500	1.2	1.8	hit0304	45	90	180	8	7	8	1
24	Spine/CharacterSpine,Enemy05	Enemy05	Enemy05	monster/Monster_4.png	300024	350024	4	0	4	4	4	500101	1	60	240	40	180	900	70	250	0	0	108	162	0	0.5	36	20	72	48	0	180	2500	1.2	1.8	hit0304	45	90	180	6	9	6	1
25	Spine/CharacterSpine,Enemy05	Enemy05	Enemy05	monster/Monster_5.png	300025	350025	5	0	4	5	5	500101	1	75	300	50	225	1125	88	313	0	0	135	203	0	0.5	45	25	90	60	0	180	2500	1.2	1.8	hit0305	45	90	180	6	9	6	1
26	Spine/CharacterSpine,Enemy10			monster/Monster_10_1.png	300026	350026	1	0	3	1	6	500101	1	150	240	30	360	1800	158	248	0	0	225	252	0	0.5	72	15	87	50	0	0	2500	1.6	2.4	hit0101	45	90	180	8	7	8	1
27	Spine/CharacterSpine,Enemy06	Enemy06	Enemy06	monster/Monster_2.png	300027	350027	2	0	3	2	5	500101	1	125	200	25	300	1500	131	206	0	0	188	210	0	0.5	60	13	73	41	0	180	2500	0.8	1.2	hit0303	45	90	180	8	7	8	1
28	Spine/CharacterSpine,Enemy09			monster/Monster_9_5.png	300028	350028	5	0	4	3	1	500101	1	15	60	10	45	225	18	63	0	0	27	41	0	0.5	9	5	18	12	0	180	2500	1.2	1.8	hit0303	45	90	180	6	9	6	1
29	Spine/CharacterSpine,Enemy06	Enemy06	Enemy06	monster/Monster_4.png	300029	350029	4	0	3	4	2	500101	1	50	80	10	120	600	53	83	0	0	75	84	0	0.5	24	5	29	17	0	180	2500	0.8	1.2	hit0304	45	90	180	8	7	8	1
30	Spine/CharacterSpine,Enemy06	Enemy06	Enemy06	monster/Monster_5.png	300030	350030	5	0	3	5	5	500101	1	125	200	25	300	1500	131	206	0	0	188	210	0	0.5	60	13	73	41	0	180	2500	0.8	1.2	hit0305	45	90	180	8	7	8	1
31	Spine/CharacterSpine,Enemy07	Enemy07	Enemy07	monster/Monster_1.png	300031	350031	1	0	3	1	4	500101	1	100	160	20	240	1200	105	165	0	0	150	168	0	0.5	48	10	58	33	0	180	2500	0.8	1.2	hit0301	45	90	180	8	7	8	1
32	Spine/CharacterSpine,Enemy07	Enemy07	Enemy07	monster/Monster_2.png	300032	350032	2	0	4	2	1	500101	1	15	60	10	45	225	18	63	0	0	27	41	0	0.5	9	5	18	12	0	180	2500	0.8	1.2	hit0303	45	90	180	6	9	6	1
33	Spine/CharacterSpine,Enemy07	Enemy07	Enemy07	monster/Monster_3.png	300033	350033	3	0	4	3	3	500101	1	45	180	30	135	675	53	188	0	0	81	122	0	0.5	27	15	54	36	0	180	2500	0.8	1.2	hit0302	45	90	180	6	9	6	1
34	Spine/CharacterSpine,Enemy07	Enemy07	Enemy07	monster/Monster_4.png	300034	350034	4	0	3	4	2	500101	1	50	80	10	120	600	53	83	0	0	75	84	0	0.5	24	5	29	17	0	180	2500	0.8	1.2	hit0304	45	90	180	8	7	8	1
35	Spine/CharacterSpine,Enemy07	Enemy07	Enemy07	monster/Monster_5.png	300035	350035	5	0	4	5	5	500101	1	75	300	50	225	1125	88	313	0	0	135	203	0	0.5	45	25	90	60	0	180	2500	0.8	1.2	hit0305	45	90	180	6	9	6	1
36	Spine/CharacterSpine,Enemy08	Enemy08	Enemy08	monster/Monster_1.png	300036	350036	1	0	4	1	1	500101	1	15	60	10	45	225	18	63	0	0	27	41	0	0.5	9	5	18	0	0	180	2500	1.2	1.8	hit0501	45	90	180	6	9	6	1
37	Spine/CharacterSpine,Enemy08	Enemy08	Enemy08	monster/Monster_2.png	300037	350037	2	0	4	2	15	500101	1	225	900	150	675	3375	263	938	0	0	405	608	0	0.5	135	75	270	180	0	180	2500	1.2	1.8	hit0503	45	90	180	6	9	6	1
38	Spine/CharacterSpine,Enemy08	Enemy08	Enemy08	monster/Monster_3.png	300038	350038	3	0	3	3	16	500101	1	400	640	80	960	4800	420	660	0	0	600	672	0	0.5	192	40	232	132	0	180	2500	1.2	1.8	hit0502	45	90	180	8	7	8	1
39	Spine/CharacterSpine,Enemy08	Enemy08	Enemy08	monster/Monster_4.png	300039	350039	4	0	4	4	15	500101	1	225	900	150	675	3375	263	938	0	0	405	608	0	0.5	135	75	270	180	0	180	2500	1.2	1.8	hit0504	45	90	180	6	9	6	1
40	Spine/CharacterSpine,Enemy08	Enemy08	Enemy08	monster/Monster_5.png	300040	350040	5	0	3	5	15	500101	1	375	600	75	900	4500	394	619	0	0	563	630	0	0.5	180	38	218	124	0	180	2500	1.2	1.8	hit0505	45	90	180	8	7	8	1
41	Spine/CharacterSpine,Enemy10			monster/Monster_10_2.png	300001	350001	2	0	1	1	21	500101	0	630	420	210	1575	15750	683	473	0	0	977	914	0	0.5	315	105	273	142	0	0	2500	1.6	2.4	hit0102	45	90	180	8	7	8	1
42	Spine/CharacterSpine,Enemy01	Enemy01	Enemy01	monster/Monster_2.png	300002	350002	2	0	1	2	20	500101	0	600	400	200	1500	15000	650	450	0	0	930	870	0	0.5	300	100	260	135	0	10	2500	1.6	2.4	hit0103	45	90	180	8	7	8	1
43	Spine/CharacterSpine,Enemy01	Enemy01	Enemy01	monster/Monster_3.png	300003	350003	3	0	2	3	19	500101	0	1140	570	190	1140	11400	1188	618	0	0	912	741	0	0.5	228	95	399	257	0	10	2500	1.6	2.4	hit0102	45	90	180	10	5	10	1
44	Spine/CharacterSpine,Enemy01	Enemy01	Enemy01	monster/Monster_4.png	300004	350004	4	0	2	4	20	500101	0	1200	600	200	1200	12000	1250	650	0	0	960	780	0	0.5	240	100	420	270	0	10	2500	1.6	2.4	hit0104	45	90	180	10	5	10	1
45	Spine/CharacterSpine,Enemy01	Enemy01	Enemy01	monster/Monster_5.png	300005	350005	5	0	1	5	21	500101	0	630	420	210	1575	15750	683	473	0	0	977	914	0	0.5	315	105	273	142	0	0	2500	1.6	2.4	hit0105	45	90	180	8	7	8	1
46	Spine/CharacterSpine,Enemy02	Enemy02	Enemy02	monster/Monster_1.png	300006	350006	1	0	2	1	18	500101	0	1080	540	180	1080	10800	1125	585	0	0	864	702	0	0.5	216	90	378	243	0	30	2500	2	3	hit0201	45	90	180	10	5	10	1
47	Spine/CharacterSpine,Enemy02	Enemy02	Enemy02	monster/Monster_2.png	300007	350007	2	0	2	2	21	500101	0	1260	630	210	1260	12600	1313	683	0	0	1008	819	0	0.5	252	105	441	284	0	30	2500	2	3	hit0203	45	90	180	10	5	10	1
48	Spine/CharacterSpine,Enemy02	Enemy02	Enemy02	monster/Monster_3.png	300008	350008	3	0	1	3	21	500101	0	630	420	210	1575	15750	683	473	0	0	977	914	0	0.5	315	105	273	142	0	30	2500	2	3	hit0202	45	90	180	8	7	8	1
49	Spine/CharacterSpine,Enemy02	Enemy02	Enemy02	monster/Monster_4.png	300009	350009	4	0	2	4	21	500101	0	1260	630	210	1260	12600	1313	683	0	0	1008	819	0	0.5	252	105	441	284	0	30	2500	2	3	hit0204	45	90	180	10	5	10	1
50	Spine/CharacterSpine,Enemy02	Enemy02	Enemy02	monster/Monster_5.png	300010	350010	5	0	2	5	21	500101	0	1260	630	210	1260	12600	1313	683	0	0	1008	819	0	0.5	252	105	441	284	0	0	2500	2	3	hit0205	45	90	180	10	5	10	1
51	Spine/CharacterSpine,Enemy03	Enemy03	Enemy03	monster/Monster_1.png	300011	350011	1	0	2	1	18	500101	0	1080	540	180	1080	10800	1125	585	0	0	864	702	0	0.5	216	90	378	243	0	30	2500	2	3	hit0201	45	90	180	10	5	10	1
52	Spine/CharacterSpine,Enemy03	Enemy03	Enemy03	monster/Monster_2.png	300012	350012	2	0	1	2	20	500101	0	600	400	200	1500	15000	650	450	0	0	930	870	0	0.5	300	100	260	135	0	30	2500	2	3	hit0203	45	90	180	8	7	8	1
53	Spine/CharacterSpine,Enemy03	Enemy03	Enemy03	monster/Monster_3.png	300013	350013	3	0	1	3	18	500101	0	540	360	180	1350	13500	585	405	0	0	837	783	0	0.5	270	90	234	122	0	30	2500	2	3	hit0202	45	90	180	8	7	8	1
54	Spine/CharacterSpine,Enemy03	Enemy03	Enemy03	monster/Monster_4.png	300014	350014	4	0	2	4	19	500101	0	1140	570	190	1140	11400	1188	618	0	0	912	741	0	0.5	228	95	399	257	0	30	2500	2	3	hit0204	45	90	180	10	5	10	1
55	Spine/CharacterSpine,Enemy03	Enemy03	Enemy03	monster/Monster_5.png	300015	350015	5	0	1	5	20	500101	0	600	400	200	1500	15000	650	450	0	0	930	870	0	0.5	300	100	260	135	0	0	2500	2	3	hit0205	45	90	180	8	7	8	1
56	Spine/CharacterSpine,Enemy04	Enemy04	Enemy04	monster/Monster_1.png	300016	350016	1	0	1	1	19	500101	0	570	380	190	1425	14250	618	428	0	0	884	827	0	0.5	285	95	247	128	0	0	2500	1.6	2.4	hit0401	45	90	180	8	7	8	1
57	Spine/CharacterSpine,Enemy04	Enemy04	Enemy04	monster/Monster_2.png	300017	350017	2	0	2	2	19	500101	0	1140	570	190	1140	11400	1188	618	0	0	912	741	0	0.5	228	95	399	257	0	0	2500	1.6	2.4	hit0403	45	90	180	10	5	10	1
58	Spine/CharacterSpine,Enemy04	Enemy04	Enemy04	monster/Monster_3.png	300018	350018	3	0	2	3	18	500101	0	1080	540	180	1080	10800	1125	585	0	0	864	702	0	0.5	216	90	378	243	0	0	2500	1.6	2.4	hit0402	45	90	180	10	5	10	1
59	Spine/CharacterSpine,Enemy04	Enemy04	Enemy04	monster/Monster_4.png	300019	350019	4	0	1	4	18	500101	0	540	360	180	1350	13500	585	405	0	0	837	783	0	0.5	270	90	234	122	0	0	2500	1.6	2.4	hit0404	45	90	180	8	7	8	1
60	Spine/CharacterSpine,Enemy04	Enemy04	Enemy04	monster/Monster_5.png	300020	350020	5	0	2	5	19	500101	0	1140	570	190	1140	11400	1188	618	0	0	912	741	0	0.5	228	95	399	257	0	0	2500	1.6	2.4	hit0405	45	90	180	10	5	10	1
61	Spine/CharacterSpine,Enemy05	Enemy05	Enemy05	monster/Monster_1.png	300021	350021	1	0	4	1	21	500101	1	315	1260	210	945	9450	368	1313	0	0	567	851	0	0.5	189	105	378	252	0	180	2500	1.2	1.8	hit0301	45	90	180	6	9	6	1
62	Spine/CharacterSpine,Enemy05	Enemy05	Enemy05	monster/Monster_2.png	300022	350022	2	0	4	2	18	500101	1	270	1080	180	810	8100	315	1125	0	0	486	729	0	0.5	162	90	324	216	0	180	2500	1.2	1.8	hit0303	45	90	180	6	9	6	1
63	Spine/CharacterSpine,Enemy05	Enemy05	Enemy05	monster/Monster_3.png	300023	350023	3	0	3	3	21	500101	1	525	840	105	1260	12600	551	866	0	0	788	882	0	0.5	252	53	305	173	0	180	2500	1.2	1.8	hit0302	45	90	180	8	7	8	1
64	Spine/CharacterSpine,Enemy05	Enemy05	Enemy05	monster/Monster_4.png	300024	350024	4	0	4	4	21	500101	1	315	1260	210	945	9450	368	1313	0	0	567	851	0	0.5	189	105	378	252	0	180	2500	1.2	1.8	hit0304	45	90	180	6	9	6	1
65	Spine/CharacterSpine,Enemy05	Enemy05	Enemy05	monster/Monster_5.png	300025	350025	5	0	4	5	20	500101	1	300	1200	200	900	9000	350	1250	0	0	540	810	0	0.5	180	100	360	240	0	180	2500	1.2	1.8	hit0305	45	90	180	6	9	6	1
66	Spine/CharacterSpine,Enemy06	Enemy06	Enemy06	monster/Monster_1.png	300026	350026	1	0	3	1	21	500101	1	525	840	105	1260	12600	551	866	0	0	788	882	0	0.5	252	53	305	173	0	180	2500	0.8	1.2	hit0301	45	90	180	8	7	8	1
67	Spine/CharacterSpine,Enemy06	Enemy06	Enemy06	monster/Monster_2.png	300027	350027	2	0	3	2	19	500101	1	475	760	95	1140	11400	499	784	0	0	713	798	0	0.5	228	48	276	157	0	180	2500	0.8	1.2	hit0303	45	90	180	8	7	8	1
68	Spine/CharacterSpine,Enemy06	Enemy06	Enemy06	monster/Monster_3.png	300028	350028	3	0	4	3	20	500101	1	300	1200	200	900	9000	350	1250	0	0	540	810	0	0.5	180	100	360	240	0	180	2500	0.8	1.2	hit0302	45	90	180	6	9	6	1
69	Spine/CharacterSpine,Enemy06	Enemy06	Enemy06	monster/Monster_4.png	300029	350029	4	0	3	4	19	500101	1	475	760	95	1140	11400	499	784	0	0	713	798	0	0.5	228	48	276	157	0	180	2500	0.8	1.2	hit0304	45	90	180	8	7	8	1
70	Spine/CharacterSpine,Enemy06	Enemy06	Enemy06	monster/Monster_5.png	300030	350030	5	0	3	5	21	500101	1	525	840	105	1260	12600	551	866	0	0	788	882	0	0.5	252	53	305	173	0	180	2500	0.8	1.2	hit0305	45	90	180	8	7	8	1
71	Spine/CharacterSpine,Enemy07	Enemy07	Enemy07	monster/Monster_1.png	300031	350031	1	0	3	1	19	500101	1	475	760	95	1140	11400	499	784	0	0	713	798	0	0.5	228	48	276	157	0	180	2500	0.8	1.2	hit0301	45	90	180	8	7	8	1
72	Spine/CharacterSpine,Enemy07	Enemy07	Enemy07	monster/Monster_2.png	300032	350032	2	0	4	2	20	500101	1	300	1200	200	900	9000	350	1250	0	0	540	810	0	0.5	180	100	360	240	0	180	2500	0.8	1.2	hit0303	45	90	180	6	9	6	1
73	Spine/CharacterSpine,Enemy07	Enemy07	Enemy07	monster/Monster_3.png	300033	350033	3	0	4	3	18	500101	1	270	1080	180	810	8100	315	1125	0	0	486	729	0	0.5	162	90	324	216	0	180	2500	0.8	1.2	hit0302	45	90	180	6	9	6	1
74	Spine/CharacterSpine,Enemy07	Enemy07	Enemy07	monster/Monster_4.png	300034	350034	4	0	3	4	21	500101	1	525	840	105	1260	12600	551	866	0	0	788	882	0	0.5	252	53	305	173	0	180	2500	0.8	1.2	hit0304	45	90	180	8	7	8	1
75	Spine/CharacterSpine,Enemy07	Enemy07	Enemy07	monster/Monster_5.png	300035	350035	5	0	4	5	19	500101	1	285	1140	190	855	8550	333	1188	0	0	513	770	0	0.5	171	95	342	228	0	180	2500	0.8	1.2	hit0305	45	90	180	6	9	6	1
76	Spine/CharacterSpine,Enemy08	Enemy08	Enemy08	monster/Monster_1.png	300036	350036	1	0	4	1	20	500101	1	300	1200	200	900	9000	350	1250	0	0	540	810	0	0.5	180	100	360	240	0	180	2500	1.2	1.8	hit0501	45	90	180	6	9	6	1
77	Spine/CharacterSpine,Enemy08	Enemy08	Enemy08	monster/Monster_2.png	300037	350037	2	0	4	2	21	500101	1	315	1260	210	945	9450	368	1313	0	0	567	851	0	0.5	189	105	378	252	0	180	2500	1.2	1.8	hit0503	45	90	180	6	9	6	1
78	Spine/CharacterSpine,Enemy08	Enemy08	Enemy08	monster/Monster_3.png	300038	350038	3	0	3	3	20	500101	1	500	800	100	1200	12000	525	825	0	0	750	840	0	0.5	240	50	290	165	0	180	2500	1.2	1.8	hit0502	45	90	180	8	7	8	1
79	Spine/CharacterSpine,Enemy08	Enemy08	Enemy08	monster/Monster_4.png	300039	350039	4	0	4	4	21	500101	1	315	1260	210	945	9450	368	1313	0	0	567	851	0	0.5	189	105	378	252	0	180	2500	1.2	1.8	hit0504	45	90	180	6	9	6	1
80	Spine/CharacterSpine,Enemy08	Enemy08	Enemy08	monster/Monster_5.png	300040	350040	5	0	3	5	18	500101	1	540	864	108	1296	12960	567	891	0	0	810	907	0	0.5	259	54	313	178	0	180	2500	1.2	1.8	hit0505	45	90	180	8	7	8	1
81	Spine/CharacterSpine,Enemy01	Enemy01	Enemy01	monster/Monster_1.png	300001	350001	1	0	1	1	20	500101	0	720	480	240	1800	18000	780	540	0	0	1116	1044	0	0.5	360	120	312	162	0	10	2500	1.6	2.4	hit0101	45	90	180	8	7	8	1
82	Spine/CharacterSpine,Enemy11			monster/Monster_11_2.png	300002	350002	2	0	1	2	19	500101	0	684	456	228	1710	17100	741	513	0	0	1060	992	0	0.5	342	114	296	154	0	0	2500	1.6	2.4	hit0105	45	90	180	8	7	8	1
83	Spine/CharacterSpine,Enemy01	Enemy01	Enemy01	monster/Monster_3.png	300003	350003	3	0	2	3	17	500101	0	1224	612	204	1224	12240	1275	663	0	0	979	796	0	0.5	245	102	428	275	0	10	2500	1.6	2.4	hit0102	45	90	180	10	5	10	1
84	Spine/CharacterSpine,Enemy01	Enemy01	Enemy01	monster/Monster_4.png	300004	350004	4	0	2	4	20	500101	0	1440	720	240	1440	14400	1500	780	0	0	1152	936	0	0.5	288	120	504	324	0	10	2500	1.6	2.4	hit0104	45	90	180	10	5	10	1
85	Spine/CharacterSpine,Enemy01	Enemy01	Enemy01	monster/Monster_5.png	300005	350005	5	0	1	5	19	500101	0	684	456	228	1710	17100	741	513	0	0	1060	992	0	0.5	342	114	296	154	0	0	2500	1.6	2.4	hit0105	45	90	180	8	7	8	1
86	Spine/CharacterSpine,Enemy02	Enemy02	Enemy02	monster/Monster_1.png	300006	350006	1	0	2	1	20	500101	0	1440	720	240	1440	14400	1500	780	0	0	1152	936	0	0.5	288	120	504	324	0	30	2500	2	3	hit0201	45	90	180	10	5	10	1
87	Spine/CharacterSpine,Enemy02	Enemy02	Enemy02	monster/Monster_2.png	300007	350007	2	0	2	2	20	500101	0	1440	720	240	1440	14400	1500	780	0	0	1152	936	0	0.5	288	120	504	324	0	30	2500	2	3	hit0203	45	90	180	10	5	10	1
88	Spine/CharacterSpine,Enemy02	Enemy02	Enemy02	monster/Monster_3.png	300008	350008	3	0	1	3	17	500101	0	612	408	204	1530	15300	663	459	0	0	949	887	0	0.5	306	102	265	138	0	30	2500	2	3	hit0202	45	90	180	8	7	8	1
89	Spine/CharacterSpine,Enemy02	Enemy02	Enemy02	monster/Monster_4.png	300009	350009	4	0	2	4	19	500101	0	1368	684	228	1368	13680	1425	741	0	0	1094	889	0	0.5	274	114	479	308	0	30	2500	2	3	hit0204	45	90	180	10	5	10	1
90	Spine/CharacterSpine,Enemy02	Enemy02	Enemy02	monster/Monster_5.png	300010	350010	5	0	2	5	19	500101	0	1368	684	228	1368	13680	1425	741	0	0	1094	889	0	0.5	274	114	479	308	0	0	2500	2	3	hit0205	45	90	180	10	5	10	1
91	Spine/CharacterSpine,Enemy03	Enemy03	Enemy03	monster/Monster_1.png	300011	350011	1	0	2	1	18	500101	0	1296	648	216	1296	12960	1350	702	0	0	1037	842	0	0.5	259	108	454	292	0	30	2500	2	3	hit0201	45	90	180	10	5	10	1
92	Spine/CharacterSpine,Enemy03	Enemy03	Enemy03	monster/Monster_2.png	300012	350012	2	0	1	2	18	500101	0	648	432	216	1620	16200	702	486	0	0	1004	940	0	0.5	324	108	281	146	0	30	2500	2	3	hit0203	45	90	180	8	7	8	1
93	Spine/CharacterSpine,Enemy03	Enemy03	Enemy03	monster/Monster_3.png	300013	350013	3	0	1	3	17	500101	0	612	408	204	1530	15300	663	459	0	0	949	887	0	0.5	306	102	265	138	0	30	2500	2	3	hit0202	45	90	180	8	7	8	1
94	Spine/CharacterSpine,Enemy03	Enemy03	Enemy03	monster/Monster_4.png	300014	350014	4	0	2	4	19	500101	0	1368	684	228	1368	13680	1425	741	0	0	1094	889	0	0.5	274	114	479	308	0	30	2500	2	3	hit0204	45	90	180	10	5	10	1
95	Spine/CharacterSpine,Enemy03	Enemy03	Enemy03	monster/Monster_5.png	300015	350015	5	0	1	5	20	500101	0	720	480	240	1800	18000	780	540	0	0	1116	1044	0	0.5	360	120	312	162	0	0	2500	2	3	hit0205	45	90	180	8	7	8	1
96	Spine/CharacterSpine,Enemy04	Enemy04	Enemy04	monster/Monster_1.png	300016	350016	1	0	1	1	19	500101	0	684	456	228	1710	17100	741	513	0	0	1060	992	0	0.5	342	114	296	154	0	0	2500	1.6	2.4	hit0401	45	90	180	8	7	8	1
97	Spine/CharacterSpine,Enemy04	Enemy04	Enemy04	monster/Monster_2.png	300017	350017	2	0	2	2	20	500101	0	1440	720	240	1440	14400	1500	780	0	0	1152	936	0	0.5	288	120	504	324	0	0	2500	1.6	2.4	hit0403	45	90	180	10	5	10	1
98	Spine/CharacterSpine,Enemy04	Enemy04	Enemy04	monster/Monster_3.png	300018	350018	3	0	2	3	17	500101	0	1224	612	204	1224	12240	1275	663	0	0	979	796	0	0.5	245	102	428	275	0	0	2500	1.6	2.4	hit0402	45	90	180	10	5	10	1
99	Spine/CharacterSpine,Enemy04	Enemy04	Enemy04	monster/Monster_4.png	300019	350019	4	0	1	4	19	500101	0	684	456	228	1710	17100	741	513	0	0	1060	992	0	0.5	342	114	296	154	0	0	2500	1.6	2.4	hit0404	45	90	180	8	7	8	1
100	Spine/CharacterSpine,Enemy04	Enemy04	Enemy04	monster/Monster_5.png	300020	350020	5	0	2	5	18	500101	0	1296	648	216	1296	12960	1350	702	0	0	1037	842	0	0.5	259	108	454	292	0	0	2500	1.6	2.4	hit0405	45	90	180	10	5	10	1
