id	等级	消耗	属性
260	59	30000_5004_149	106_26900,107_26900
261	60	30000_5004_152	106_27596,107_27596
262	61	30000_5004_155	106_28300,107_28300
263	62	30000_5004_158	106_29012,107_29012
264	63	30000_5004_161	106_29732,107_29732
265	64	30000_5004_164	106_30460,107_30460
266	65	30000_5004_167	106_31196,107_31196
267	66	30000_5004_170	106_31940,107_31940
268	67	30000_5004_173	106_32692,107_32692
269	68	30000_5004_176	106_33452,107_33452
270	69	30000_5004_179	106_34220,107_34220
271	70	30000_5004_182	106_34996,107_34996
272	71	30000_5004_185	106_35780,107_35780
273	72	30000_5004_188	106_36572,107_36572
274	73	30000_5004_191	106_37372,107_37372
275	74	30000_5004_194	106_38180,107_38180
276	75	30000_5004_197	106_38996,107_38996
277	76	30000_5004_200	106_39820,107_39820
278	77	30000_5004_203	106_40652,107_40652
279	78	30000_5004_206	106_41492,107_41492
280	79	30000_5004_209	106_42340,107_42340
281	80	30000_5004_212	106_43196,107_43196
282	81	30000_5004_215	106_44060,107_44060
283	82	30000_5004_218	106_44932,107_44932
284	83	30000_5004_221	106_45812,107_45812
285	84	30000_5004_224	106_46700,107_46700
286	85	30000_5004_227	106_47596,107_47596
287	86	30000_5004_230	106_48500,107_48500
288	87	30000_5004_233	106_49412,107_49412
289	88	30000_5004_236	106_50332,107_50332
290	89	30000_5004_239	106_51260,107_51260
291	90	30000_5004_242	106_52196,107_52196
292	91	30000_5004_245	106_53140,107_53140
293	92	30000_5004_248	106_54092,107_54092
294	93	30000_5004_251	106_55052,107_55052
295	94	30000_5004_254	106_56020,107_56020
296	95	30000_5004_257	106_56996,107_56996
297	96	30000_5004_260	106_57980,107_57980
298	97	30000_5004_263	106_58972,107_58972
299	98	30000_5004_266	106_59972,107_59972
300	99	30000_5004_269	106_60980,107_60980
301	100	30000_5004_272	106_61996,107_61996
302	101	30000_5004_273	106_63013,107_63013
303	102	30000_5004_274	106_64031,107_64031
304	103	30000_5004_275	106_65050,107_65050
305	104	30000_5004_276	106_66070,107_66070
306	105	30000_5004_277	106_67091,107_67091
307	106	30000_5004_278	106_68113,107_68113
308	107	30000_5004_279	106_69136,107_69136
309	108	30000_5004_280	106_70160,107_70160
310	109	30000_5004_281	106_71185,107_71185
311	110	30000_5004_282	106_72211,107_72211
312	111	30000_5004_283	106_73238,107_73238
313	112	30000_5004_284	106_74266,107_74266
314	113	30000_5004_285	106_75295,107_75295
315	114	30000_5004_286	106_76325,107_76325
316	115	30000_5004_287	106_77356,107_77356
317	116	30000_5004_288	106_78388,107_78388
318	117	30000_5004_289	106_79421,107_79421
319	118	30000_5004_290	106_80455,107_80455
320	119	30000_5004_291	106_81490,107_81490
321	120	30000_5004_292	106_82526,107_82526
322	121	30000_5004_293	106_83563,107_83563
323	122	30000_5004_294	106_84601,107_84601
324	123	30000_5004_295	106_85640,107_85640
325	124	30000_5004_296	106_86680,107_86680
326	125	30000_5004_297	106_87721,107_87721
327	126	30000_5004_298	106_88763,107_88763
328	127	30000_5004_299	106_89806,107_89806
329	128	30000_5004_300	106_90850,107_90850
330	129	30000_5004_301	106_91895,107_91895
331	130	30000_5004_302	106_92941,107_92941
332	131	30000_5004_303	106_93988,107_93988
333	132	30000_5004_304	106_95036,107_95036
334	133	30000_5004_305	106_96085,107_96085
335	134	30000_5004_306	106_97135,107_97135
336	135	30000_5004_307	106_98186,107_98186
337	136	30000_5004_308	106_99238,107_99238
338	137	30000_5004_309	106_100291,107_100291
339	138	30000_5004_310	106_101345,107_101345
340	139	30000_5004_311	106_102400,107_102400
341	140	30000_5004_312	106_103456,107_103456
342	141	30000_5004_313	106_104513,107_104513
343	142	30000_5004_314	106_105571,107_105571
344	143	30000_5004_315	106_106630,107_106630
345	144	30000_5004_316	106_107690,107_107690
346	145	30000_5004_317	106_108751,107_108751
347	146	30000_5004_318	106_109813,107_109813
348	147	30000_5004_319	106_110876,107_110876
349	148	30000_5004_320	106_111940,107_111940
350	149	30000_5004_321	106_113005,107_113005
351	150	30000_5004_322	106_114071,107_114071
352	151	30000_5004_323	106_115138,107_115138
353	152	30000_5004_324	106_116206,107_116206
354	153	30000_5004_325	106_117275,107_117275
355	154	30000_5004_326	106_118345,107_118345
356	155	30000_5004_327	106_119416,107_119416
357	156	30000_5004_328	106_120488,107_120488
358	157	30000_5004_329	106_121561,107_121561
359	158	30000_5004_330	106_122635,107_122635
360	159	30000_5004_331	106_123710,107_123710
361	160	30000_5004_332	106_124786,107_124786
362	161	30000_5004_333	106_125863,107_125863
363	162	30000_5004_334	106_126941,107_126941
364	163	30000_5004_335	106_128020,107_128020
365	164	30000_5004_336	106_129100,107_129100
366	165	30000_5004_337	106_130181,107_130181
367	166	30000_5004_338	106_131263,107_131263
368	167	30000_5004_339	106_132346,107_132346
369	168	30000_5004_340	106_133430,107_133430
370	169	30000_5004_341	106_134515,107_134515
371	170	30000_5004_342	106_135601,107_135601
372	171	30000_5004_343	106_136688,107_136688
373	172	30000_5004_344	106_137776,107_137776
374	173	30000_5004_345	106_138865,107_138865
375	174	30000_5004_346	106_139955,107_139955
376	175	30000_5004_347	106_141046,107_141046
377	176	30000_5004_348	106_142138,107_142138
378	177	30000_5004_349	106_143231,107_143231
379	178	30000_5004_350	106_144325,107_144325
380	179	30000_5004_351	106_145420,107_145420
381	180	30000_5004_352	106_146516,107_146516
382	181	30000_5004_353	106_147613,107_147613
383	182	30000_5004_354	106_148711,107_148711
384	183	30000_5004_355	106_149810,107_149810
385	184	30000_5004_356	106_150910,107_150910
386	185	30000_5004_357	106_152011,107_152011
387	186	30000_5004_358	106_153113,107_153113
388	187	30000_5004_359	106_154216,107_154216
389	188	30000_5004_360	106_155320,107_155320
390	189	30000_5004_361	106_156425,107_156425
391	190	30000_5004_362	106_157531,107_157531
392	191	30000_5004_363	106_158638,107_158638
393	192	30000_5004_364	106_159746,107_159746
394	193	30000_5004_365	106_160855,107_160855
395	194	30000_5004_366	106_161965,107_161965
396	195	30000_5004_367	106_163076,107_163076
397	196	30000_5004_368	106_164188,107_164188
398	197	30000_5004_369	106_165301,107_165301
399	198	30000_5004_370	106_166415,107_166415
400	199	30000_5004_371	106_167530,107_167530
401	200	30000_5004_372	106_168646,107_168646
402	0	0	0
403	1	30000_5005_1	101_1400,110_150
404	2	30000_5005_2	101_2868,110_309
405	3	30000_5005_4	101_4384,110_475
406	4	30000_5005_6	101_5948,110_648
407	5	30000_5005_8	101_7560,110_828
408	6	30000_5005_10	101_9220,110_1015
409	7	30000_5005_12	101_10928,110_1209
410	8	30000_5005_14	101_12684,110_1410
411	9	30000_5005_16	101_14488,110_1618
412	10	30000_5005_18	101_16340,110_1833
413	11	30000_5005_20	101_18240,110_2055
414	12	30000_5005_22	101_20188,110_2284
415	13	30000_5005_24	101_22184,110_2520
416	14	30000_5005_26	101_24228,110_2763
417	15	30000_5005_28	101_26320,110_3013
418	16	30000_5005_30	101_28460,110_3270
419	17	30000_5005_32	101_30648,110_3534
420	18	30000_5005_34	101_32884,110_3805
421	19	30000_5005_36	101_35168,110_4083
422	20	30000_5005_38	101_37500,110_4368
423	21	30000_5005_40	101_39880,110_4660
424	22	30000_5005_42	101_42308,110_4959
425	23	30000_5005_44	101_44784,110_5265
426	24	30000_5005_46	101_47308,110_5578
427	25	30000_5005_48	101_49880,110_5898
428	26	30000_5005_50	101_52500,110_6225
429	27	30000_5005_52	101_55168,110_6559
430	28	30000_5005_55	101_57884,110_6900
431	29	30000_5005_59	101_60648,110_7248
432	30	30000_5005_62	101_63460,110_7603
433	31	30000_5005_65	101_66320,110_7965
434	32	30000_5005_68	101_69228,110_8334
435	33	30000_5005_71	101_72184,110_8710
436	34	30000_5005_74	101_75188,110_9093
437	35	30000_5005_77	101_78240,110_9483
438	36	30000_5005_80	101_81340,110_9880
439	37	30000_5005_83	101_84488,110_10284
440	38	30000_5005_86	101_87684,110_10695
441	39	30000_5005_89	101_90928,110_11113
442	40	30000_5005_92	101_94220,110_11538
443	41	30000_5005_95	101_97560,110_11970
444	42	30000_5005_98	101_100948,110_12409
445	43	30000_5005_101	101_104384,110_12855
446	44	30000_5005_104	101_107868,110_13308
447	45	30000_5005_107	101_111400,110_13768
448	46	30000_5005_110	101_114980,110_14235
449	47	30000_5005_113	101_118608,110_14709
450	48	30000_5005_116	101_122284,110_15190
451	49	30000_5005_119	101_126008,110_15678
452	50	30000_5005_122	101_129780,110_16173
453	51	30000_5005_125	101_133600,110_16675
454	52	30000_5005_128	101_137468,110_17184
455	53	30000_5005_131	101_141384,110_17700
456	54	30000_5005_134	101_145348,110_18223
457	55	30000_5005_137	101_149360,110_18753
458	56	30000_5005_140	101_153420,110_19290
459	57	30000_5005_143	101_157528,110_19834
460	58	30000_5005_146	101_161684,110_20385
461	59	30000_5005_149	101_165888,110_20943
462	60	30000_5005_152	101_170140,110_21508
463	61	30000_5005_155	101_174440,110_22080
464	62	30000_5005_158	101_178788,110_22659
465	63	30000_5005_161	101_183184,110_23245
466	64	30000_5005_164	101_187628,110_23838
467	65	30000_5005_167	101_192120,110_24438
468	66	30000_5005_170	101_196660,110_25045
469	67	30000_5005_173	101_201248,110_25659
470	68	30000_5005_176	101_205884,110_26280
471	69	30000_5005_179	101_210568,110_26908
472	70	30000_5005_182	101_215300,110_27543
473	71	30000_5005_185	101_220080,110_28185
474	72	30000_5005_188	101_224908,110_28834
475	73	30000_5005_191	101_229784,110_29490
476	74	30000_5005_194	101_234708,110_30153
477	75	30000_5005_197	101_239680,110_30823
478	76	30000_5005_200	101_244700,110_31500
479	77	30000_5005_203	101_249768,110_32184
480	78	30000_5005_206	101_254884,110_32875
481	79	30000_5005_209	101_260048,110_33573
482	80	30000_5005_212	101_265260,110_34278
483	81	30000_5005_215	101_270520,110_34990
484	82	30000_5005_218	101_275828,110_35709
485	83	30000_5005_221	101_281184,110_36435
486	84	30000_5005_224	101_286588,110_37168
487	85	30000_5005_227	101_292040,110_37908
488	86	30000_5005_230	101_297540,110_38655
489	87	30000_5005_233	101_303088,110_39409
490	88	30000_5005_236	101_308684,110_40170
491	89	30000_5005_239	101_314328,110_40938
492	90	30000_5005_242	101_320020,110_41713
493	91	30000_5005_245	101_325760,110_42495
494	92	30000_5005_248	101_331548,110_43284
495	93	30000_5005_251	101_337384,110_44080
496	94	30000_5005_254	101_343268,110_44883
497	95	30000_5005_257	101_349200,110_45693
498	96	30000_5005_260	101_355180,110_46510
499	97	30000_5005_263	101_361208,110_47334
500	98	30000_5005_266	101_367284,110_48165
501	99	30000_5005_269	101_373408,110_49003
502	100	30000_5005_272	101_379580,110_49848
503	101	30000_5005_273	101_385762,110_50696
504	102	30000_5005_274	101_391954,110_51546
505	103	30000_5005_275	101_398156,110_52398
506	104	30000_5005_276	101_404368,110_53252
507	105	30000_5005_277	101_410590,110_54108
508	106	30000_5005_278	101_416822,110_54966
509	107	30000_5005_279	101_423064,110_55826
510	108	30000_5005_280	101_429316,110_56688
511	109	30000_5005_281	101_435578,110_57552
512	110	30000_5005_282	101_441850,110_58418
513	111	30000_5005_283	101_448132,110_59286
514	112	30000_5005_284	101_454424,110_60156
515	113	30000_5005_285	101_460726,110_61028
516	114	30000_5005_286	101_467038,110_61902
517	115	30000_5005_287	101_473360,110_62778
518	116	30000_5005_288	101_479692,110_63656
519	117	30000_5005_289	101_486034,110_64536
520	118	30000_5005_290	101_492386,110_65418
521	119	30000_5005_291	101_498748,110_66302
522	120	30000_5005_292	101_505120,110_67188
523	121	30000_5005_293	101_511502,110_68076
524	122	30000_5005_294	101_517894,110_68966
525	123	30000_5005_295	101_524296,110_69858
526	124	30000_5005_296	101_530708,110_70752
527	125	30000_5005_297	101_537130,110_71648
528	126	30000_5005_298	101_543562,110_72546
529	127	30000_5005_299	101_550004,110_73446
530	128	30000_5005_300	101_556456,110_74348
531	129	30000_5005_301	101_562918,110_75252
532	130	30000_5005_302	101_569390,110_76158
533	131	30000_5005_303	101_575872,110_77066
534	132	30000_5005_304	101_582364,110_77976
535	133	30000_5005_305	101_588866,110_78888
536	134	30000_5005_306	101_595378,110_79802
537	135	30000_5005_307	101_601900,110_80718
538	136	30000_5005_308	101_608432,110_81636
539	137	30000_5005_309	101_614974,110_82556
540	138	30000_5005_310	101_621526,110_83478
541	139	30000_5005_311	101_628088,110_84402
542	140	30000_5005_312	101_634660,110_85328
543	141	30000_5005_313	101_641242,110_86256
544	142	30000_5005_314	101_647834,110_87186
545	143	30000_5005_315	101_654436,110_88118
546	144	30000_5005_316	101_661048,110_89052
547	145	30000_5005_317	101_667670,110_89988
548	146	30000_5005_318	101_674302,110_90926
549	147	30000_5005_319	101_680944,110_91866
550	148	30000_5005_320	101_687596,110_92808
551	149	30000_5005_321	101_694258,110_93752
552	150	30000_5005_322	101_700930,110_94698
553	151	30000_5005_323	101_707612,110_95646
554	152	30000_5005_324	101_714304,110_96596
555	153	30000_5005_325	101_721006,110_97548
556	154	30000_5005_326	101_727718,110_98502
557	155	30000_5005_327	101_734440,110_99458
558	156	30000_5005_328	101_741172,110_100416
559	157	30000_5005_329	101_747914,110_101376
560	158	30000_5005_330	101_754666,110_102338
561	159	30000_5005_331	101_761428,110_103302
562	160	30000_5005_332	101_768200,110_104268
563	161	30000_5005_333	101_774982,110_105236
564	162	30000_5005_334	101_781774,110_106206
565	163	30000_5005_335	101_788576,110_107178
566	164	30000_5005_336	101_795388,110_108152
567	165	30000_5005_337	101_802210,110_109128
568	166	30000_5005_338	101_809042,110_110106
569	167	30000_5005_339	101_815884,110_111086
570	168	30000_5005_340	101_822736,110_112068
571	169	30000_5005_341	101_829598,110_113052
572	170	30000_5005_342	101_836470,110_114038
573	171	30000_5005_343	101_843352,110_115026
574	172	30000_5005_344	101_850244,110_116016
575	173	30000_5005_345	101_857146,110_117008
576	174	30000_5005_346	101_864058,110_118002
577	175	30000_5005_347	101_870980,110_118998
578	176	30000_5005_348	101_877912,110_119996
579	177	30000_5005_349	101_884854,110_120996
580	178	30000_5005_350	101_891806,110_121998
581	179	30000_5005_351	101_898768,110_123002
582	180	30000_5005_352	101_905740,110_124008
583	181	30000_5005_353	101_912722,110_125016
584	182	30000_5005_354	101_919714,110_126026
585	183	30000_5005_355	101_926716,110_127038
586	184	30000_5005_356	101_933728,110_128052
587	185	30000_5005_357	101_940750,110_129068
588	186	30000_5005_358	101_947782,110_130086
589	187	30000_5005_359	101_954824,110_131106
590	188	30000_5005_360	101_961876,110_132128
591	189	30000_5005_361	101_968938,110_133152
592	190	30000_5005_362	101_976010,110_134178
593	191	30000_5005_363	101_983092,110_135206
594	192	30000_5005_364	101_990184,110_136236
595	193	30000_5005_365	101_997286,110_137268
596	194	30000_5005_366	101_1004398,110_138302
597	195	30000_5005_367	101_1011520,110_139338
598	196	30000_5005_368	101_1018652,110_140376
599	197	30000_5005_369	101_1025794,110_141416
600	198	30000_5005_370	101_1032946,110_142458
601	199	30000_5005_371	101_1040108,110_143502
602	200	30000_5005_372	101_1047280,110_144548
603	0	0	0
604	1	30000_5006_1	108_220,1010_100,3003_100
605	2	30000_5006_2	108_446,1010_150,3003_150
606	3	30000_5006_4	108_678,1010_200,3003_200
607	4	30000_5006_6	108_916,1010_250,3003_250
608	5	30000_5006_8	108_1160,1010_300,3003_300
609	6	30000_5006_10	108_1410,1010_350,3003_350
610	7	30000_5006_12	108_1666,1010_400,3003_400
611	8	30000_5006_14	108_1928,1010_450,3003_450
612	9	30000_5006_16	108_2196,1010_500,3003_500
613	10	30000_5006_18	108_2470,1010_550,3003_550
614	11	30000_5006_20	108_2750,1010_600,3003_600
615	12	30000_5006_22	108_3036,1010_650,3003_650
616	13	30000_5006_24	108_3328,1010_700,3003_700
617	14	30000_5006_26	108_3626,1010_750,3003_750
618	15	30000_5006_28	108_3930,1010_800,3003_800
619	16	30000_5006_30	108_4240,1010_850,3003_850
620	17	30000_5006_32	108_4556,1010_900,3003_900
621	18	30000_5006_34	108_4878,1010_950,3003_950
622	19	30000_5006_36	108_5206,1010_1000,3003_1000
623	20	30000_5006_38	108_5540,1010_1050,3003_1050
624	21	30000_5006_40	108_5880,1010_1100,3003_1100
625	22	30000_5006_42	108_6226,1010_1150,3003_1150
626	23	30000_5006_44	108_6578,1010_1200,3003_1200
627	24	30000_5006_46	108_6936,1010_1250,3003_1250
628	25	30000_5006_48	108_7300,1010_1300,3003_1300
629	26	30000_5006_50	108_7670,1010_1350,3003_1350
630	27	30000_5006_52	108_8046,1010_1400,3003_1400
