Id	roleId	starLevel	plus	exp
261	51	1	0	0
262	51	2	0	100
263	51	3	0	300
264	51	4	0	500
265	51	5	0	1000
266	51	6	0	1500
267	51	7	0	2000
268	51	8	0	2500
269	51	9	0	3000
270	51	10	0	4000
271	51	11	0	5000
272	51	12	0	6000
273	51	13	0	7000
274	51	14	0	8000
275	51	15	0	9500
276	51	16	0	11000
277	51	17	0	12500
278	51	18	0	14000
279	51	19	0	15500
280	51	20	0	17500
281	51	21	0	20000
282	51	22	0	22000
283	51	23	0	24000
284	51	24	0	26000
285	51	25	0	28000
286	51	26	0	30000
287	51	27	0	32000
288	51	28	0	34000
289	51	29	0	36000
290	51	30	0	38000
291	51	31	1	40000
292	51	32	1	42000
293	51	33	2	44000
294	51	34	2	46000
295	51	35	3	48000
296	51	36	3	50000
297	51	37	4	50000
298	51	38	4	50000
299	51	39	5	50000
300	51	40	5	50000
301	99	1	0	0
302	99	2	0	100
303	99	3	0	300
304	99	4	0	500
305	99	5	0	1000
306	99	6	0	1500
307	99	7	0	2000
308	99	8	0	2500
309	99	9	0	3000
310	99	10	0	4000
311	99	11	0	5000
312	99	12	0	6000
313	99	13	0	7000
314	99	14	0	8000
315	99	15	0	9500
316	99	16	0	11000
317	99	17	0	12500
318	99	18	0	14000
319	99	19	0	15500
320	99	20	0	17500
321	99	21	0	20000
322	99	22	0	22000
323	99	23	0	24000
324	99	24	0	26000
325	99	25	0	28000
326	99	26	0	30000
327	99	27	0	32000
328	99	28	0	34000
329	99	29	0	36000
330	99	30	0	38000
331	99	31	0	40000
332	99	32	0	42000
333	99	33	0	44000
334	99	34	0	46000
335	99	35	0	48000
336	99	36	0	50000
337	99	37	0	50000
338	99	38	0	50000
339	99	39	0	50000
340	99	40	0	50000
341	99	41	0	50000
342	99	42	0	50000
343	99	43	0	50000
344	99	44	0	50000
345	99	45	0	50000
346	99	46	0	50000
347	99	47	0	50000
348	99	48	0	50000
349	99	49	0	50000
350	99	50	0	50000
351	99	51	0	50000
352	99	52	0	50000
353	99	53	0	50000
354	99	54	0	50000
355	99	55	0	50000
356	99	56	0	50000
357	99	57	0	50000
358	99	58	0	50000
359	99	59	0	50000
360	99	60	0	50000
361	99	61	0	50000
362	99	62	0	50000
363	99	63	0	50000
364	99	64	0	50000
365	99	65	0	50000
366	99	66	0	50000
367	99	67	0	50000
368	99	68	0	50000
369	99	69	0	50000
370	99	70	0	50000
371	99	71	1	50000
372	99	72	1	50000
373	99	73	2	50000
374	99	74	2	50000
375	99	75	3	50000
376	99	76	3	50000
377	99	77	4	50000
378	99	78	4	50000
379	99	79	5	50000
380	99	80	5	50000
