id	type	quality	profession	level	exp	name	skills	costType	maxRank	picture	icon	proIcon	smallIcon	bgImg	condition	jumpValue	modelId	namePic	avatarName	spine	gatherMeg	banshenxian	spineScale	offset	trainRatio	avataBgPic	chatIcon	hcgImg
104	2	4	3	0	0	@Role_104	2041,2042	1	3	UI/Program/MercenaryMaster_2.png	UI/Role/Mercenary_Portrait_liuxie.png	UI/Common/Image_Mercenary_CareerIcon_3.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_03.png	NULL	99	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_LiuXie.png	0	Spine/liuxie,liuxie	@GatherRole104	HalfBody/role/Knight_02.png	0.95	20,135	1.15	0	0	BG/HCG/hcg_bg_02.png
105	2	5	2	0	0	@Role_105	2051,2052	1	4	UI/Program/MercenaryHunter_2.png	UI/Role/Mercenary_Portrait_gongsunzan.png	UI/Common/Image_Mercenary_CareerIcon_2.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_02.png	NULL	24	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_GongSunZan.png	0	Spine/gongsunzan,gongsunzan	@GatherRole105	HalfBody/role/Mage_01.png	1	0,0	1.2	0	0	BG/HCG/hcg_bg_04.png
106	2	6	1	0	0	@Role_106	2711,2712	1	5	UI/Program/MercenaryWarrior_2.png	UI/Role/Mercenary_Portrait_xiahoudun.png	UI/Common/Image_Mercenary_CareerIcon_1.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_ur01.png	NULL	27	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_XiaHouDun.png	0	Spine/xiahoudun,xiahoudun	@GatherRole106	HalfBody/role/Mage_02.png	0.9	0,-30	1.83	0	0	BG/Role/role_bg_ur01.png
107	2	6	2	0	0	@Role_107	2281,2282	1	5	UI/Program/MercenaryHunter_2.png	UI/Role/Mercenary_Portrait_huangzhong.png	UI/Common/Image_Mercenary_CareerIcon_2.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_ur02.png	NULL	99	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_HuangZhong.png	0	Spine/huangzhong,huangzhong	@GatherRole107	HalfBody/role/Priest_01.png	0.9	0,0	1.83	0	0	BG/Role/role_bg_ur02.png
108	2	5	3	0	0	@Role_108	2251,2252	1	4	UI/Program/MercenaryMaster_2.png	UI/Role/Mercenary_Portrait_zhenji.png	UI/Common/Image_Mercenary_CareerIcon_3.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_underur01.png	NULL	99	230	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_ZhenJi.png	0	Spine/zhenji,zhenji	@GatherRole108	HalfBody/role/Priest_02.png	1	0,0	1.4	UI/RoleSkinSeries/bg_ssr_01.png,UI/RoleSkinSeries/SSRzhenji.png	0	BG/HCG/hcg_bg_02.png
109	2	6	3	0	0	@Role_109	2833,2834	1	5	UI/Program/MercenaryMaster_2.png	UI/Role/Mercenary_Portrait_zhugeliang.png	UI/Common/Image_Mercenary_CareerIcon_3.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_ur01.png	NULL	99	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_ZhuGeLiang.png	0	Spine/zhugeliang,zhugeliang	@GatherRole109	HalfBody/role/Thief_01.png	1	0,0	1.83	0	0	BG/HCG/hcg_bg_02.png
111	2	5	3	0	0	@Role_111	2351,2352	1	4	UI/Program/MercenaryMaster_2.png	UI/Role/Mercenary_Portrait_xiaoqiao.png	UI/Common/Image_Mercenary_CareerIcon_3.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_03.png	NULL	99	229	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_XiaoQiao.png	0	Spine/xiaoqiao,xiaoqiao	@GatherRole111	HalfBody/role/Thief_02.png	1	0,0	1.4	UI/RoleSkinSeries/bg_ssr_01.png,UI/RoleSkinSeries/SSRxiaoqiao.png	0	BG/HCG/hcg_bg_04.png
112	2	5	2	0	0	@Role_112	2551,2552	1	4	UI/Program/MercenaryHunter_2.png	UI/Role/Mercenary_Portrait_wenpin.png	UI/Common/Image_Mercenary_CareerIcon_2.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_underur01.png	NULL	99	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_WenPin.png	0	Spine/wenpin,wenpin	@GatherRole112	HalfBody/roleArcher_01.png	1	0,0	1.45	UI/RoleSkinSeries/bg_ssr_01.png,UI/RoleSkinSeries/SSRwenpin.png	0	BG/HCG/hcg_bg_04.png
113	2	5	3	0	0	@Role_113	2531,2532	1	4	UI/Program/MercenaryMaster_2.png	UI/Role/Mercenary_Portrait_caiwenji.png	UI/Common/Image_Mercenary_CareerIcon_3.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_underur01.png	NULL	99	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_CaiWenJi.png	0	Spine/caiwenji,caiwenji	@GatherRole113	HalfBody/role/Archer_02.png	1	0,0	1.45	0	0	BG/HCG/hcg_bg_04.png
114	2	4	1	0	0	@Role_114	2141,2142	1	3	UI/Program/MercenaryWarrior_2.png	UI/Role/Mercenary_Portrait_zhangxingcai.png	UI/Common/Image_Mercenary_CareerIcon_1.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_01.png	NULL	99	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_ZhangXingCai.png	0	Spine/zhangxingcai,zhangxingcai	@GatherRole114	HalfBody/role/Knight_01.png	0.85	0,50	1.18	0	0	BG/Role/role_bg_01.png
115	2	5	3	0	0	@Role_115	2271,2272	1	4	UI/Program/MercenaryMaster_2.png	UI/Role/Mercenary_Portrait_fanshi.png	UI/Common/Image_Mercenary_CareerIcon_3.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_03.png	NULL	99	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_FanShi.png	0	Spine/fanshi,fanshi	@GatherRole115	HalfBody/role/Knight_02.png	1.8	0,65	1.4	0	0	BG/HCG/hcg_bg_02.png
116	2	6	3	0	0	@Role_116	2391,2392	1	5	UI/Program/MercenaryMaster_2.png	UI/Role/Mercenary_Portrait_lusu.png	UI/Common/Image_Mercenary_CareerIcon_3.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_ur02.png	NULL	99	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_LuSu.png	0	Spine/lusu,lusu	@GatherRole116	HalfBody/role/Mage_01.png	1	0,0	1.82	0	0	BG/HCG/hcg_bg_03.png
117	2	4	2	0	0	@Role_117	2341,2342	1	3	UI/Program/MercenaryHunter_2.png	UI/Role/Mercenary_Portrait_gaoshun.png	UI/Common/Image_Mercenary_CareerIcon_2.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_02.png	NULL	99	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_GaoShun.png	0	Spine/gaoshun,gaoshun	@GatherRole117	HalfBody/role/Mage_02.png	1.3	0,-20	1.2	0	0	BG/Role/role_bg_02.png
118	2	5	1	0	0	@Role_118	2121,2122	1	4	UI/Program/MercenaryWarrior_2.png	UI/Role/Mercenary_Portrait_lvlingqi.png	UI/Common/Image_Mercenary_CareerIcon_1.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_underur01.png	NULL	99	231	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_LvLingQi.png	0	Spine/lvlingqi,lvlingqi	@GatherRole118	HalfBody/role/Priest_01.png	1	0,0	1.35	UI/RoleSkinSeries/bg_ssr_01.png,UI/RoleSkinSeries/SSRlvlingqi.png	0	BG/HCG/hcg_bg_02.png
119	2	5	1	0	0	@Role_119	2061,2062	1	4	UI/Program/MercenaryWarrior_2.png	UI/Role/Mercenary_Portrait_mayunlu.png	UI/Common/Image_Mercenary_CareerIcon_1.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_01.png	NULL	99	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_MaYunLu.png	0	Spine/mayunlu,mayunlu	@GatherRole119	HalfBody/role/Priest_02.png	0.8	0,-85	1.26	0	0	
120	2	5	2	0	0	@Role_120	2201,2202	1	4	UI/Program/MercenaryHunter_2.png	UI/Role/Mercenary_Portrait_handang.png	UI/Common/Image_Mercenary_CareerIcon_2.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_underur01.png	NULL	99	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_HanDang.png	0	Spine/handang,handang	@GatherRole120	HalfBody/role/Thief_01.png	1	0,0	1.37	UI/RoleSkinSeries/bg_ssr_01.png,UI/RoleSkinSeries/SSRhandang.png	0	BG/HCG/hcg_bg_04.png
121	2	5	3	0	0	@Role_121	2759,2760	1	4	UI/Program/MercenaryMaster_2.png	UI/Role/Mercenary_Portrait_simahui.png	UI/Common/Image_Mercenary_CareerIcon_3.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_underur01.png	NULL	99	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_SiMaHui.png	0	Spine/simahui,simahui	@GatherRole121	HalfBody/role/Thief_02.png	1.8	30,-20	1.45	UI/RoleSkinSeries/bg_ssr_01.png,UI/RoleSkinSeries/SSRsimahui.png	0	BG/Role/role_bg_underur01.png
122	2	5	3	0	0	@Role_122	2581,2582	1	4	UI/Program/MercenaryMaster_2.png	UI/Role/Mercenary_Portrait_guanyinping.png	UI/Common/Image_Mercenary_CareerIcon_3.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_03.png	NULL	99	213	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_GuanYinPing.png	0	Spine/guanyinping,guanyinping	@GatherRole122	HalfBody/roleArcher_01.png	1	0,0	1.45	UI/RoleSkinSeries/bg_ssr_01.png,UI/RoleSkinSeries/SSRguanyinping.png	0	BG/HCG/hcg_bg_03.png
123	2	6	1	0	0	@Role_123	2231,2232	1	5	UI/Program/MercenaryWarrior_2.png	UI/Role/Mercenary_Portrait_zhaoyun.png	UI/Common/Image_Mercenary_CareerIcon_1.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_01.png	NULL	99	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_ZhaoYun.png	0	Spine/zhaoyun,zhaoyun	@GatherRole123	HalfBody/role/Archer_02.png	1	0,0	1.83	0	0	BG/Role/role_bg_ur01.png
124	2	5	1	0	0	@Role_124	2241,2242	1	4	UI/Program/MercenaryWarrior_2.png	UI/Role/Mercenary_Portrait_huanggai.png	UI/Common/Image_Mercenary_CareerIcon_1.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_underur01.png	NULL	99	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_HuangGai.png	0	Spine/huanggai,huanggai	@GatherRole124	HalfBody/role/Knight_01.png	1	0,0	1.39	UI/RoleSkinSeries/bg_ssr_01.png,UI/RoleSkinSeries/SSRhuanggai.png	0	BG/HCG/hcg_bg_02.png
125	2	6	3	0	0	@Role_125	2803,2804	1	5	UI/Program/MercenaryMaster_2.png	UI/Role/Mercenary_Portrait_simayi.png	UI/Common/Image_Mercenary_CareerIcon_3.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_ur02.png	NULL	99	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_SiMaYi.png	0	Spine/simayi,simayi	@GatherRole125	HalfBody/role/Knight_02.png	1.3	0,20	1.83	0	0	BG/Role/role_bg_ur02.png
126	2	5	2	0	0	@Role_126	2301,2302	1	4	UI/Program/MercenaryHunter_2.png	UI/Role/Mercenary_Portrait_pangde.png	UI/Common/Image_Mercenary_CareerIcon_2.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_02.png	NULL	99	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_PangDe.png	0	Spine/pangde,pangde	@GatherRole126	HalfBody/role/Mage_01.png	1.1	30,0	1.4	0	0	BG/Role/role_bg_02.png
127	2	5	3	0	0	@Role_127	2211,2212	1	4	UI/Program/MercenaryMaster_2.png	UI/Role/Mercenary_Portrait_bulianshi.png	UI/Common/Image_Mercenary_CareerIcon_3.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_underur01.png	NULL	99	239	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_BuLianShi.png	0	Spine/bulianshi,bulianshi	@GatherRole127	HalfBody/role/Mage_02.png	0.95	20,0	1.37	UI/RoleSkinSeries/bg_ssr_01.png,UI/RoleSkinSeries/SSRbulianshi.png	0	BG/Role/role_bg_underur01.png
128	2	6	2	0	0	@Role_128	2731,2732	1	5	UI/Program/MercenaryHunter_2.png	UI/Role/Mercenary_Portrait_yuanshao.png	UI/Common/Image_Mercenary_CareerIcon_2.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_ur01.png	NULL	99	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_YuanShao.png	0	Spine/yuanshao,yuanshao	@GatherRole128	HalfBody/role/Priest_01.png	0.9	30,75	1.83	0	0	BG/Role/role_bg_ur01.png
129	2	6	3	0	0	@Role_129	2671,2672	1	5	UI/Program/MercenaryMaster_2.png	UI/Role/Mercenary_Portrait_jiaxu.png	UI/Common/Image_Mercenary_CareerIcon_3.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_ur03.png	NULL	99	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_JiaXu.png	0	Spine/jiaxu,jiaxu	@GatherRole129	HalfBody/role/Priest_02.png	0.35	0,-20	1.83	0	0	BG/Role/role_bg_ur03.png
130	2	6	2	0	0	@Role_130	2769,2770	1	5	UI/Program/MercenaryHunter_2.png	UI/Role/Mercenary_Portrait_xiahouyuan.png	UI/Common/Image_Mercenary_CareerIcon_2.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_ur01.png	NULL	99	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_XiaHouYuan.png	0	Spine/xiahouyuan,xiahouyuan	@GatherRole130	HalfBody/role/Thief_01.png	1	50,-50	1.83	0	0	BG/Role/role_bg_ur01.png
131	2	4	1	0	0	@Role_131	2221,2222	1	3	UI/Program/MercenaryWarrior_2.png	UI/Role/Mercenary_Portrait_huaxiong.png	UI/Common/Image_Mercenary_CareerIcon_1.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_01.png	NULL	99	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_HuaXiong.png	0	Spine/huaxiong,huaxiong	@GatherRole131	HalfBody/role/Thief_02.png	1	0,0	1.18	0	0	BG/HCG/hcg_bg_01.png
132	2	5	1	0	0	@Role_132	2191,2192	1	4	UI/Program/MercenaryWarrior_2.png	UI/Role/Mercenary_Portrait_menghuo.png	UI/Common/Image_Mercenary_CareerIcon_1.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_underur01.png	NULL	99	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_MengHuo.png	0	Spine/menghuo,menghuo	@GatherRole132	HalfBody/roleArcher_01.png	0.9	0,0	1.37	UI/RoleSkinSeries/bg_ssr_01.png,UI/RoleSkinSeries/SSRmenghuo.png	0	BG/Role/role_bg_underur01.png
133	2	6	1	0	0	@Role_133	2331,2332	1	5	UI/Program/MercenaryWarrior_2.png	UI/Role/Mercenary_Portrait_guanyu.png	UI/Common/Image_Mercenary_CareerIcon_1.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_ur02.png	NULL	99	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_GuanYu.png	0	Spine/guanyu,guanyu	@GatherRole133	HalfBody/role/Archer_02.png	0.9	70,20	1.82	0	0	BG/Role/role_bg_ur02.png
134	2	4	2	0	0	@Role_134	2171,2172	1	3	UI/Program/MercenaryHunter_2.png	UI/Role/Mercenary_Portrait_yuanshu.png	UI/Common/Image_Mercenary_CareerIcon_2.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_underur01.png	NULL	99	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_YuanShu.png	0	Spine/yuanshu,yuanshu	@GatherRole134	HalfBody/role/Knight_01.png	1	0,0	1.18	0	0	BG/HCG/hcg_bg_03.png
135	2	6	3	0	0	@Role_135	2601,2602	1	5	UI/Program/MercenaryMaster_2.png	UI/Role/Mercenary_Portrait_luxun.png	UI/Common/Image_Mercenary_CareerIcon_3.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_ur01.png	NULL	99	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_LuXun.png	0	Spine/luxun,luxun	@GatherRole135	HalfBody/role/Knight_02.png	1	0,0	1.83	0	0	BG/HCG/hcg_bg_04.png
136	2	5	1	0	0	@Role_136	2181,2182	1	4	UI/Program/MercenaryWarrior_2.png	UI/Role/Mercenary_Portrait_jiling.png	UI/Common/Image_Mercenary_CareerIcon_1.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_01.png	NULL	99	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_JiLing.png	0	Spine/jiling,jiling	@GatherRole136	HalfBody/role/Mage_01.png	1	0,0	1.35	0	0	BG/Role/role_bg_oz.png
137	2	5	1	0	0	@Role_137	2381,2382	1	4	UI/Program/MercenaryWarrior_2.png	UI/Role/Mercenary_Portrait_lingtong.png	UI/Common/Image_Mercenary_CareerIcon_1.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_underur01.png	NULL	99	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_LingTong.png	0	Spine/lingtong,lingtong	@GatherRole137	HalfBody/role/Mage_02.png	1	0,0	1.4	UI/RoleSkinSeries/bg_ssr_01.png,UI/RoleSkinSeries/SSRlingtong.png	0	BG/HCG/hcg_bg_03.png
138	2	6	3	0	0	@Role_138	2763,2764	1	5	UI/Program/MercenaryMaster_2.png	UI/Role/Mercenary_Portrait_lvmeng.png	UI/Common/Image_Mercenary_CareerIcon_3.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_ur02.png	NULL	99	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_LvMeng.png	0	Spine/lvmeng,lvmeng	@GatherRole138	HalfBody/role/Priest_01.png	1	0,0	1.83	0	0	BG/HCG/hcg_bg_04.png
139	2	6	2	0	0	@Role_139	2831,2832	1	5	UI/Program/MercenaryHunter_2.png	UI/Role/Mercenary_Portrait_jiangwei.png	UI/Common/Image_Mercenary_CareerIcon_2.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_ur01.png	NULL	99	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_JiangWei.png	0	Spine/jiangwei,jiangwei	@GatherRole139	HalfBody/role/Priest_02.png	0.9	70,0	1.83	0	0	BG/Role/role_bg_ur01.png
140	2	6	3	0	0	@Role_140	2661,2662	1	5	UI/Program/MercenaryMaster_2.png	UI/Role/Mercenary_Portrait_guojia.png	UI/Common/Image_Mercenary_CareerIcon_3.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_05.png	NULL	99	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_GuoJia.png	0	Spine/guojia,guojia	@GatherRole140	HalfBody/role/Thief_01.png	1	0,0	1.83	0	0	BG/Role/role_bg_ur02.png
141	2	5	2	0	0	@Role_141	2701,2702	1	4	UI/Program/MercenaryHunter_2.png	UI/Role/Mercenary_Portrait_caopi.png	UI/Common/Image_Mercenary_CareerIcon_2.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_02.png	NULL	99	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_CaoPi.png	0	Spine/caopi,caopi	@GatherRole141	HalfBody/role/Thief_02.png	0.9	0,0	1.45	UI/RoleSkinSeries/bg_ssr_01.png,UI/RoleSkinSeries/SSRcaopi.png	0	BG/Role/role_bg_02.png
142	2	5	3	0	0	@Role_142	2441,2442	1	4	UI/Program/MercenaryMaster_2.png	UI/Role/Mercenary_Portrait_jushou.png	UI/Common/Image_Mercenary_CareerIcon_3.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_03.png	NULL	99	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_JuShou.png	0	Spine/jushou,jushou	@GatherRole142	HalfBody/roleArcher_01.png	0.95	30,40	1.45	0	0	BG/Role/role_bg_03.png
143	2	6	3	0	0	@Role_143	2805,2806	1	5	UI/Program/MercenaryMaster_2.png	UI/Role/Mercenary_Portrait_huatuo.png	UI/Common/Image_Mercenary_CareerIcon_3.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_ur01.png	NULL	99	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_HuaTuo.png	0	Spine/huatuo,huatuo	@GatherRole143	HalfBody/role/Archer_02.png	1	0,0	1.83	0	0	BG/HCG/hcg_bg_04.png
144	2	5	3	0	0	@Role_144	2111,2112	1	4	UI/Program/MercenaryMaster_2.png	UI/Role/Mercenary_Portrait_masu.png	UI/Common/Image_Mercenary_CareerIcon_3.png	UI/Common/Image/Image_Mercenary_Career.png	BG/Role/role_bg_underur01.png	NULL	99	0	UI/Common/Activity/Act_TL_LuckyMercenary/Role_Name_Font_MaSu.png	0	Spine/masu,masu	@GatherRole144	HalfBody/role/Knight_01.png	1	0,0	1.33	0	0	BG/Role/role_bg_underur01.png
