Role	HP	ATK	Speed	Type	SkillID	SkillIcon	BuffIcon	Spine
149	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
150	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
151	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
152	1000	500	5	1	26	skill/S_1.png	skill/B_0.png	
153	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
154	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
155	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
156	1000	500	5	3	27	skill/S_1.png	skill/B_0.png	
157	1000	500	5	2	28	skill/S_1.png	skill/B_0.png	
158	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
159	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
160	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
161	1000	500	5	1	29	skill/S_1.png	skill/B_0.png	
162	1000	500	5	1	30	skill/S_1.png	skill/B_0.png	
163	1000	500	5	2	31	skill/S_1.png	skill/B_0.png	
165	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
166	1000	500	5	3	32	skill/S_1.png	skill/B_0.png	
167	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
168	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
169	1000	500	5	3	33	skill/S_1.png	skill/B_0.png	
170	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
171	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
172	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
173	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
174	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
175	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
176	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
177	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
178	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
179	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
180	1000	500	5	1	34	skill/S_1.png	skill/B_0.png	
181	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
182	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
183	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
184	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
185	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
186	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
187	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
188	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
189	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
190	1000	500	5	1	35	skill/S_1.png	skill/B_0.png	
191	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
192	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
193	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
194	1000	500	5	2	36	skill/S_1.png	skill/B_0.png	
195	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
196	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
197	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
198	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
199	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
200	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
201	1000	500	5	1	37	skill/S_1.png	skill/B_0.png	
202	1000	500	5	1	38	skill/S_1.png	skill/B_0.png	
203	1000	500	5	1	4	skill/S_1.png	skill/B_0.png	
204	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
205	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
206	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
207	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
208	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
209	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
210	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
211	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
212	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
213	1000	500	5	2	39	skill/S_1.png	skill/B_0.png	
214	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
215	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
216	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
217	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
218	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
219	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
220	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
221	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
222	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
223	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
224	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
225	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
226	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
227	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
228	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
229	1000	500	5	3	40	skill/S_1.png	skill/B_0.png	
230	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
231	1000	500	5	1	41	skill/S_1.png	skill/B_0.png	
232	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
233	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
234	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
235	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
236	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
237	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
238	1000	500	5	1	0	skill/S_1.png	skill/B_0.png	
239	1000	500	5	4	42	skill/S_2.png	skill/B_0.png	Spine/zhangxingcai,zhangxingcai
501	30000	100	20	0	41	skill/S_2.png	skill/B_0.png	Spine/fanshi,fanshi
502	50000	100	10	0	41			
