id	group	spriteratio	heroratio	level	cost	attr
45	3	0.2	0.02	45	30000_5002_98	1_1200,2_1200,3_375,101_53000
46	3	0.2	0.02	46	30000_5002_100	1_1240,2_1240,3_390,101_54500
47	3	0.2	0.02	47	30000_5002_102	1_1280,2_1280,3_405,101_56000
48	3	0.2	0.02	48	30000_5002_104	1_1320,2_1320,3_420,101_57500
49	3	0.2	0.02	49	30000_5002_106	1_1360,2_1360,3_435,101_59000
50	3	0.2	0.02	50	30000_5002_108	1_1400,2_1400,3_450,101_60500
51	3	0.2	0.02	51	30000_5002_110	1_1440,2_1440,3_465,101_62000
52	3	0.2	0.02	52	30000_5002_112	1_1480,2_1480,3_480,101_63500
53	3	0.2	0.02	53	30000_5002_114	1_1520,2_1520,3_495,101_65000
54	3	0.2	0.02	54	30000_5002_116	1_1560,2_1560,3_510,101_66500
55	3	0.2	0.02	55	30000_5002_118	1_1600,2_1600,3_525,101_68000
56	3	0.2	0.02	56	30000_5002_120	1_1640,2_1640,3_540,101_69500
57	3	0.2	0.02	57	30000_5002_122	1_1680,2_1680,3_555,101_71000
58	3	0.2	0.02	58	30000_5002_124	1_1720,2_1720,3_570,101_72500
59	3	0.2	0.02	59	30000_5002_126	1_1760,2_1760,3_585,101_74000
60	3	0.2	0.02	60	30000_5002_128	1_1800,2_1800,3_600,101_75750
61	4	0.25	0.03	61	30000_5002_130	1_1860,2_1860,3_620,101_77500
62	4	0.25	0.03	62	30000_5002_132	1_1920,2_1920,3_640,101_79250
63	4	0.25	0.03	63	30000_5002_134	1_1980,2_1980,3_660,101_81000
64	4	0.25	0.03	64	30000_5002_136	1_2040,2_2040,3_680,101_82750
65	4	0.25	0.03	65	30000_5002_138	1_2100,2_2100,3_700,101_84500
66	4	0.25	0.03	66	30000_5002_140	1_2160,2_2160,3_720,101_86250
67	4	0.25	0.03	67	30000_5002_142	1_2220,2_2220,3_740,101_88000
68	4	0.25	0.03	68	30000_5002_144	1_2280,2_2280,3_760,101_89750
69	4	0.25	0.03	69	30000_5002_146	1_2340,2_2340,3_780,101_91500
70	4	0.25	0.03	70	30000_5002_148	1_2400,2_2400,3_800,101_93250
71	4	0.25	0.03	71	30000_5002_150	1_2460,2_2460,3_820,101_95000
72	4	0.25	0.03	72	30000_5002_152	1_2520,2_2520,3_840,101_96750
73	4	0.25	0.03	73	30000_5002_154	1_2580,2_2580,3_860,101_98500
74	4	0.25	0.03	74	30000_5002_156	1_2640,2_2640,3_880,101_100250
75	4	0.25	0.03	75	30000_5002_158	1_2700,2_2700,3_900,101_102000
76	4	0.25	0.03	76	30000_5002_160	1_2760,2_2760,3_920,101_103750
77	4	0.25	0.03	77	30000_5002_162	1_2820,2_2820,3_940,101_105500
78	4	0.25	0.03	78	30000_5002_164	1_2880,2_2880,3_960,101_107250
79	4	0.25	0.03	79	30000_5002_166	1_2940,2_2940,3_980,101_109000
80	4	0.25	0.03	80	30000_5002_168	1_3000,2_3000,3_1000,101_111000
81	5	0.25	0.03	81	30000_5002_170	1_3060,2_3060,3_1025,101_113000
82	5	0.25	0.03	82	30000_5002_172	1_3130,2_3130,3_1050,101_115000
83	5	0.25	0.03	83	30000_5002_174	1_3200,2_3200,3_1075,101_117000
84	5	0.25	0.03	84	30000_5002_176	1_3270,2_3270,3_1100,101_119000
85	5	0.25	0.03	85	30000_5002_178	1_3340,2_3340,3_1125,101_121000
86	5	0.25	0.03	86	30000_5002_180	1_3410,2_3410,3_1150,101_123000
87	5	0.25	0.03	87	30000_5002_182	1_3480,2_3480,3_1175,101_125000
88	5	0.25	0.03	88	30000_5002_184	1_3550,2_3550,3_1200,101_127000
89	5	0.25	0.03	89	30000_5002_186	1_3620,2_3620,3_1225,101_129000
90	5	0.25	0.03	90	30000_5002_188	1_3690,2_3690,3_1250,101_131000
91	5	0.25	0.04	91	30000_5002_190	1_3760,2_3760,3_1275,101_133000
92	5	0.25	0.04	92	30000_5002_192	1_3830,2_3830,3_1300,101_135000
93	5	0.25	0.04	93	30000_5002_194	1_3900,2_3900,3_1325,101_137000
94	5	0.25	0.04	94	30000_5002_196	1_3970,2_3970,3_1350,101_139000
95	5	0.25	0.04	95	30000_5002_198	1_4040,2_4040,3_1375,101_141000
96	5	0.25	0.04	96	30000_5002_200	1_4110,2_4110,3_1400,101_143000
97	5	0.25	0.04	97	30000_5002_202	1_4180,2_4180,3_1425,101_145000
98	5	0.25	0.04	98	30000_5002_204	1_4250,2_4250,3_1450,101_147000
99	5	0.25	0.04	99	30000_5002_206	1_4320,2_4320,3_1475,101_149000
100	5	0.25	0.04	100	30000_5002_208	1_4390,2_4390,3_1500,101_151250
101	6	0.25	0.04	101	30000_5002_210	1_4460,2_4460,3_1530,101_153500
102	6	0.25	0.04	102	30000_5002_212	1_4540,2_4540,3_1560,101_155750
103	6	0.25	0.04	103	30000_5002_214	1_4620,2_4620,3_1590,101_158000
104	6	0.25	0.04	104	30000_5002_216	1_4700,2_4700,3_1620,101_160250
105	6	0.25	0.04	105	30000_5002_218	1_4780,2_4780,3_1650,101_162500
106	6	0.25	0.04	106	30000_5002_220	1_4860,2_4860,3_1680,101_164750
107	6	0.25	0.04	107	30000_5002_222	1_4940,2_4940,3_1710,101_167000
108	6	0.25	0.04	108	30000_5002_224	1_5020,2_5020,3_1740,101_169250
109	6	0.25	0.04	109	30000_5002_226	1_5100,2_5100,3_1770,101_171500
110	6	0.25	0.04	110	30000_5002_228	1_5180,2_5180,3_1800,101_173750
111	6	0.25	0.04	111	30000_5002_230	1_5260,2_5260,3_1830,101_176000
112	6	0.25	0.04	112	30000_5002_232	1_5340,2_5340,3_1860,101_178250
113	6	0.25	0.04	113	30000_5002_234	1_5420,2_5420,3_1890,101_180500
114	6	0.25	0.04	114	30000_5002_236	1_5500,2_5500,3_1920,101_182750
115	6	0.25	0.04	115	30000_5002_238	1_5580,2_5580,3_1950,101_185000
116	6	0.25	0.04	116	30000_5002_240	1_5660,2_5660,3_1980,101_187250
117	6	0.25	0.04	117	30000_5002_242	1_5740,2_5740,3_2010,101_189500
118	6	0.25	0.04	118	30000_5002_244	1_5820,2_5820,3_2040,101_191750
119	6	0.25	0.04	119	30000_5002_246	1_5900,2_5900,3_2070,101_194000
120	6	0.25	0.04	120	30000_5002_248	1_5980,2_5980,3_2100,101_196500
121	7	0.3	0.05	121	30000_5002_250	1_6080,2_6080,3_2135,101_199000
122	7	0.3	0.05	122	30000_5002_252	1_6180,2_6180,3_2170,101_201500
123	7	0.3	0.05	123	30000_5002_254	1_6280,2_6280,3_2205,101_204000
124	7	0.3	0.05	124	30000_5002_256	1_6380,2_6380,3_2240,101_206500
125	7	0.3	0.05	125	30000_5002_258	1_6480,2_6480,3_2275,101_209000
126	7	0.3	0.05	126	30000_5002_260	1_6580,2_6580,3_2310,101_211500
127	7	0.3	0.05	127	30000_5002_262	1_6680,2_6680,3_2345,101_214000
128	7	0.3	0.05	128	30000_5002_264	1_6780,2_6780,3_2380,101_216500
129	7	0.3	0.05	129	30000_5002_266	1_6880,2_6880,3_2415,101_219000
130	7	0.3	0.05	130	30000_5002_268	1_6980,2_6980,3_2450,101_221500
131	7	0.3	0.05	131	30000_5002_270	1_7080,2_7080,3_2485,101_224000
132	7	0.3	0.05	132	30000_5002_272	1_7180,2_7180,3_2520,101_226500
133	7	0.3	0.05	133	30000_5002_274	1_7280,2_7280,3_2555,101_229000
134	7	0.3	0.05	134	30000_5002_276	1_7380,2_7380,3_2590,101_231500
135	7	0.3	0.05	135	30000_5002_278	1_7480,2_7480,3_2625,101_234000
136	7	0.3	0.05	136	30000_5002_280	1_7580,2_7580,3_2660,101_236500
137	7	0.3	0.05	137	30000_5002_282	1_7680,2_7680,3_2695,101_239000
138	7	0.3	0.05	138	30000_5002_284	1_7780,2_7780,3_2730,101_241500
139	7	0.3	0.05	139	30000_5002_286	1_7880,2_7880,3_2765,101_244000
140	7	0.3	0.05	140	30000_5002_288	1_7980,2_7980,3_2800,101_246750
141	8	0.3	0.05	141	30000_5002_290	1_8090,2_8090,3_2840,101_249500
142	8	0.3	0.05	142	30000_5002_292	1_8200,2_8200,3_2880,101_252250
143	8	0.3	0.05	143	30000_5002_294	1_8310,2_8310,3_2920,101_255000
144	8	0.3	0.05	144	30000_5002_296	1_8420,2_8420,3_2960,101_257750
145	8	0.3	0.05	145	30000_5002_298	1_8530,2_8530,3_3000,101_260500
146	8	0.3	0.05	146	30000_5002_300	1_8640,2_8640,3_3040,101_263250
147	8	0.3	0.05	147	30000_5002_302	1_8750,2_8750,3_3080,101_266000
148	8	0.3	0.05	148	30000_5002_304	1_8860,2_8860,3_3120,101_268750
149	8	0.3	0.05	149	30000_5002_306	1_8970,2_8970,3_3160,101_271500
150	8	0.3	0.05	150	30000_5002_308	1_9080,2_9080,3_3200,101_274250
151	8	0.3	0.06	151	30000_5002_310	1_9190,2_9190,3_3240,101_277000
152	8	0.3	0.06	152	30000_5002_312	1_9300,2_9300,3_3280,101_279750
153	8	0.3	0.06	153	30000_5002_314	1_9410,2_9410,3_3320,101_282500
154	8	0.3	0.06	154	30000_5002_316	1_9520,2_9520,3_3360,101_285250
155	8	0.3	0.06	155	30000_5002_318	1_9630,2_9630,3_3400,101_288000
156	8	0.3	0.06	156	30000_5002_320	1_9740,2_9740,3_3440,101_290750
157	8	0.3	0.06	157	30000_5002_322	1_9850,2_9850,3_3480,101_293500
158	8	0.3	0.06	158	30000_5002_324	1_9960,2_9960,3_3520,101_296250
159	8	0.3	0.06	159	30000_5002_326	1_10070,2_10070,3_3560,101_299000
160	8	0.3	0.06	160	30000_5002_328	1_10180,2_10180,3_3600,101_302000
161	9	0.3	0.06	161	30000_5002_330	1_10300,2_10300,3_3645,101_305000
162	9	0.3	0.06	162	30000_5002_332	1_10420,2_10420,3_3690,101_308000
163	9	0.3	0.06	163	30000_5002_334	1_10540,2_10540,3_3735,101_311000
164	9	0.3	0.06	164	30000_5002_336	1_10660,2_10660,3_3780,101_314000
165	9	0.3	0.06	165	30000_5002_338	1_10780,2_10780,3_3825,101_317000
166	9	0.3	0.06	166	30000_5002_340	1_10900,2_10900,3_3870,101_320000
167	9	0.3	0.06	167	30000_5002_342	1_11020,2_11020,3_3915,101_323000
168	9	0.3	0.06	168	30000_5002_344	1_11140,2_11140,3_3960,101_326000
169	9	0.3	0.06	169	30000_5002_346	1_11260,2_11260,3_4005,101_329000
170	9	0.3	0.06	170	30000_5002_348	1_11380,2_11380,3_4050,101_332000
171	9	0.3	0.06	171	30000_5002_350	1_11500,2_11500,3_4095,101_335000
172	9	0.3	0.06	172	30000_5002_352	1_11620,2_11620,3_4140,101_338000
173	9	0.3	0.06	173	30000_5002_354	1_11740,2_11740,3_4185,101_341000
174	9	0.3	0.06	174	30000_5002_356	1_11860,2_11860,3_4230,101_344000
175	9	0.3	0.06	175	30000_5002_358	1_11980,2_11980,3_4275,101_347000
176	9	0.3	0.06	176	30000_5002_360	1_12100,2_12100,3_4320,101_350000
177	9	0.3	0.06	177	30000_5002_362	1_12220,2_12220,3_4365,101_353000
178	9	0.3	0.06	178	30000_5002_364	1_12340,2_12340,3_4410,101_356000
179	9	0.3	0.06	179	30000_5002_366	1_12460,2_12460,3_4455,101_359000
180	9	0.3	0.06	180	30000_5002_368	1_12580,2_12580,3_4500,101_362250
181	10	0.35	0.07	181	30000_5002_370	1_12720,2_12720,3_4550,101_365500
182	10	0.35	0.07	182	30000_5002_372	1_12860,2_12860,3_4600,101_368750
183	10	0.35	0.07	183	30000_5002_374	1_13000,2_13000,3_4650,101_372000
184	10	0.35	0.07	184	30000_5002_376	1_13140,2_13140,3_4700,101_375250
185	10	0.35	0.07	185	30000_5002_378	1_13280,2_13280,3_4750,101_378500
186	10	0.35	0.07	186	30000_5002_380	1_13420,2_13420,3_4800,101_381750
187	10	0.35	0.07	187	30000_5002_382	1_13560,2_13560,3_4850,101_385000
188	10	0.35	0.07	188	30000_5002_384	1_13700,2_13700,3_4900,101_388250
189	10	0.35	0.07	189	30000_5002_386	1_13840,2_13840,3_4950,101_391500
190	10	0.35	0.07	190	30000_5002_388	1_13980,2_13980,3_5000,101_394750
191	10	0.35	0.07	191	30000_5002_390	1_14120,2_14120,3_5050,101_398000
192	10	0.35	0.07	192	30000_5002_392	1_14260,2_14260,3_5100,101_401250
193	10	0.35	0.07	193	30000_5002_394	1_14400,2_14400,3_5150,101_404500
194	10	0.35	0.07	194	30000_5002_396	1_14540,2_14540,3_5200,101_407750
195	10	0.35	0.07	195	30000_5002_398	1_14680,2_14680,3_5250,101_411000
196	10	0.35	0.07	196	30000_5002_400	1_14820,2_14820,3_5300,101_414250
197	10	0.35	0.07	197	30000_5002_402	1_14960,2_14960,3_5350,101_417500
198	10	0.35	0.07	198	30000_5002_404	1_15100,2_15100,3_5400,101_420750
199	10	0.35	0.07	199	30000_5002_406	1_15240,2_15240,3_5450,101_424000
200	10	0.35	0.07	200	30000_5002_408	1_15380,2_15380,3_5500,101_427500
201	11	0.35	0.07	201	30000_5002_410	1_15530,2_15530,3_5555,101_431000
202	11	0.35	0.07	202	30000_5002_412	1_15680,2_15680,3_5610,101_434500
203	11	0.35	0.07	203	30000_5002_414	1_15830,2_15830,3_5665,101_438000
204	11	0.35	0.07	204	30000_5002_416	1_15980,2_15980,3_5720,101_441500
205	11	0.35	0.07	205	30000_5002_418	1_16130,2_16130,3_5775,101_445000
206	11	0.35	0.07	206	30000_5002_420	1_16280,2_16280,3_5830,101_448500
207	11	0.35	0.07	207	30000_5002_422	1_16430,2_16430,3_5885,101_452000
208	11	0.35	0.07	208	30000_5002_424	1_16580,2_16580,3_5940,101_455500
209	11	0.35	0.07	209	30000_5002_426	1_16730,2_16730,3_5995,101_459000
210	11	0.35	0.07	210	30000_5002_428	1_16880,2_16880,3_6050,101_462500
211	11	0.35	0.08	211	30000_5002_430	1_17030,2_17030,3_6105,101_466000
212	11	0.35	0.08	212	30000_5002_432	1_17180,2_17180,3_6160,101_469500
213	11	0.35	0.08	213	30000_5002_434	1_17330,2_17330,3_6215,101_473000
214	11	0.35	0.08	214	30000_5002_436	1_17480,2_17480,3_6270,101_476500
215	11	0.35	0.08	215	30000_5002_438	1_17630,2_17630,3_6325,101_480000
216	11	0.35	0.08	216	30000_5002_440	1_17780,2_17780,3_6380,101_483500
217	11	0.35	0.08	217	30000_5002_442	1_17930,2_17930,3_6435,101_487000
218	11	0.35	0.08	218	30000_5002_444	1_18080,2_18080,3_6490,101_490500
219	11	0.35	0.08	219	30000_5002_446	1_18230,2_18230,3_6545,101_494000
220	11	0.35	0.08	220	30000_5002_448	1_18380,2_18380,3_6600,101_497750
221	12	0.35	0.08	221	30000_5002_450	1_18540,2_18540,3_6660,101_501500
222	12	0.35	0.08	222	30000_5002_452	1_18700,2_18700,3_6720,101_505250
223	12	0.35	0.08	223	30000_5002_454	1_18860,2_18860,3_6780,101_509000
224	12	0.35	0.08	224	30000_5002_456	1_19020,2_19020,3_6840,101_512750
225	12	0.35	0.08	225	30000_5002_458	1_19180,2_19180,3_6900,101_516500
226	12	0.35	0.08	226	30000_5002_460	1_19340,2_19340,3_6960,101_520250
227	12	0.35	0.08	227	30000_5002_462	1_19500,2_19500,3_7020,101_524000
228	12	0.35	0.08	228	30000_5002_464	1_19660,2_19660,3_7080,101_527750
229	12	0.35	0.08	229	30000_5002_466	1_19820,2_19820,3_7140,101_531500
230	12	0.35	0.08	230	30000_5002_468	1_19980,2_19980,3_7200,101_535250
231	12	0.35	0.08	231	30000_5002_470	1_20140,2_20140,3_7260,101_539000
232	12	0.35	0.08	232	30000_5002_472	1_20300,2_20300,3_7320,101_542750
233	12	0.35	0.08	233	30000_5002_474	1_20460,2_20460,3_7380,101_546500
234	12	0.35	0.08	234	30000_5002_476	1_20620,2_20620,3_7440,101_550250
235	12	0.35	0.08	235	30000_5002_478	1_20780,2_20780,3_7500,101_554000
236	12	0.35	0.08	236	30000_5002_480	1_20940,2_20940,3_7560,101_557750
237	12	0.35	0.08	237	30000_5002_482	1_21100,2_21100,3_7620,101_561500
238	12	0.35	0.08	238	30000_5002_484	1_21260,2_21260,3_7680,101_565250
239	12	0.35	0.08	239	30000_5002_486	1_21420,2_21420,3_7740,101_569000
240	12	0.35	0.08	240	30000_5002_488	1_21580,2_21580,3_7800,101_573000
241	13	0.4	0.09	241	30000_5002_490	1_21760,2_21760,3_7865,101_577000
242	13	0.4	0.09	242	30000_5002_492	1_21940,2_21940,3_7930,101_581000
243	13	0.4	0.09	243	30000_5002_494	1_22120,2_22120,3_7995,101_585000
244	13	0.4	0.09	244	30000_5002_496	1_22300,2_22300,3_8060,101_589000
245	13	0.4	0.09	245	30000_5002_498	1_22480,2_22480,3_8125,101_593000
246	13	0.4	0.09	246	30000_5002_500	1_22660,2_22660,3_8190,101_597000
247	13	0.4	0.09	247	30000_5002_502	1_22840,2_22840,3_8255,101_601000
248	13	0.4	0.09	248	30000_5002_504	1_23020,2_23020,3_8320,101_605000
249	13	0.4	0.09	249	30000_5002_506	1_23200,2_23200,3_8385,101_609000
250	13	0.4	0.09	250	30000_5002_508	1_23380,2_23380,3_8450,101_613000
251	13	0.4	0.09	251	30000_5002_510	1_23560,2_23560,3_8515,101_617000
252	13	0.4	0.09	252	30000_5002_512	1_23740,2_23740,3_8580,101_621000
253	13	0.4	0.09	253	30000_5002_514	1_23920,2_23920,3_8645,101_625000
254	13	0.4	0.09	254	30000_5002_516	1_24100,2_24100,3_8710,101_629000
255	13	0.4	0.09	255	30000_5002_518	1_24280,2_24280,3_8775,101_633000
256	13	0.4	0.09	256	30000_5002_520	1_24460,2_24460,3_8840,101_637000
257	13	0.4	0.09	257	30000_5002_522	1_24640,2_24640,3_8905,101_641000
258	13	0.4	0.09	258	30000_5002_524	1_24820,2_24820,3_8970,101_645000
259	13	0.4	0.09	259	30000_5002_526	1_25000,2_25000,3_9035,101_649000
260	13	0.4	0.09	260	30000_5002_528	1_25180,2_25180,3_9100,101_653250
261	14	0.4	0.09	261	30000_5002_530	1_25370,2_25370,3_9170,101_657500
262	14	0.4	0.09	262	30000_5002_532	1_25560,2_25560,3_9240,101_661750
263	14	0.4	0.09	263	30000_5002_534	1_25750,2_25750,3_9310,101_666000
264	14	0.4	0.09	264	30000_5002_536	1_25940,2_25940,3_9380,101_670250
265	14	0.4	0.09	265	30000_5002_538	1_26130,2_26130,3_9450,101_674500
266	14	0.4	0.09	266	30000_5002_540	1_26320,2_26320,3_9520,101_678750
267	14	0.4	0.09	267	30000_5002_542	1_26510,2_26510,3_9590,101_683000
268	14	0.4	0.09	268	30000_5002_544	1_26700,2_26700,3_9660,101_687250
269	14	0.4	0.09	269	30000_5002_546	1_26890,2_26890,3_9730,101_691500
270	14	0.4	0.09	270	30000_5002_548	1_27080,2_27080,3_9800,101_695750
271	14	0.4	0.1	271	30000_5002_550	1_27270,2_27270,3_9870,101_700000
272	14	0.4	0.1	272	30000_5002_552	1_27460,2_27460,3_9940,101_704250
273	14	0.4	0.1	273	30000_5002_554	1_27650,2_27650,3_10010,101_708500
274	14	0.4	0.1	274	30000_5002_556	1_27840,2_27840,3_10080,101_712750
275	14	0.4	0.1	275	30000_5002_558	1_28030,2_28030,3_10150,101_717000
276	14	0.4	0.1	276	30000_5002_560	1_28220,2_28220,3_10220,101_721250
277	14	0.4	0.1	277	30000_5002_562	1_28410,2_28410,3_10290,101_725500
278	14	0.4	0.1	278	30000_5002_564	1_28600,2_28600,3_10360,101_729750
279	14	0.4	0.1	279	30000_5002_566	1_28790,2_28790,3_10430,101_734000
280	14	0.4	0.1	280	30000_5002_568	1_28980,2_28980,3_10500,101_738500
281	15	0.4	0.1	281	30000_5002_570	1_29180,2_29180,3_10575,101_743000
282	15	0.4	0.1	282	30000_5002_572	1_29380,2_29380,3_10650,101_747500
283	15	0.4	0.1	283	30000_5002_574	1_29580,2_29580,3_10725,101_752000
284	15	0.4	0.1	284	30000_5002_576	1_29780,2_29780,3_10800,101_756500
285	15	0.4	0.1	285	30000_5002_578	1_29980,2_29980,3_10875,101_761000
286	15	0.4	0.1	286	30000_5002_580	1_30180,2_30180,3_10950,101_765500
287	15	0.4	0.1	287	30000_5002_582	1_30380,2_30380,3_11025,101_770000
288	15	0.4	0.1	288	30000_5002_584	1_30580,2_30580,3_11100,101_774500
289	15	0.4	0.1	289	30000_5002_586	1_30780,2_30780,3_11175,101_779000
290	15	0.4	0.1	290	30000_5002_588	1_30980,2_30980,3_11250,101_783500
291	15	0.4	0.1	291	30000_5002_590	1_31180,2_31180,3_11325,101_788000
292	15	0.4	0.1	292	30000_5002_592	1_31380,2_31380,3_11400,101_792500
293	15	0.4	0.1	293	30000_5002_594	1_31580,2_31580,3_11475,101_797000
294	15	0.4	0.1	294	30000_5002_596	1_31780,2_31780,3_11550,101_801500
295	15	0.4	0.1	295	30000_5002_598	1_31980,2_31980,3_11625,101_806000
296	15	0.4	0.1	296	30000_5002_600	1_32180,2_32180,3_11700,101_810500
297	15	0.4	0.1	297	30000_5002_602	1_32380,2_32380,3_11775,101_815000
298	15	0.4	0.1	298	30000_5002_604	1_32580,2_32580,3_11850,101_819500
299	15	0.4	0.1	299	30000_5002_606	1_32780,2_32780,3_11925,101_824000
300	15	0.4	0.1	300	30000_5002_608	1_32980,2_32980,3_12000,101_828500
