id	职业(profession)	等级(level）	名字(name)	技能(skills)	怪物头像路径	怪物半身像路径	怪物类型	spineId	is镜像
9012	2001	45	@Monster_90129	5	monster/M_1_07.png	HalfBody/monster/Body_gjb1hong.png	0	1	0
9013	2002	45	@Monster_90139	14	monster/M_1_08.png	HalfBody/monster/Body_gjb2hong.png	0	1	0
9014	2002	45	@Monster_90149	110	monster/M_1_06.png	HalfBody/monster/Body_zjb3hong.png	0	1	0
9015	2003	45	@Monster_90159	26	monster/M_1_05.png	HalfBody/monster/Body_zjb2hong.png	0	1	0
9016	2003	45	@Monster_90169	29	monster/M_1_03.png	HalfBody/monster/Body_cjb3hong.png	0	1	0
9021	2002	45	@Monster_90219	110,14	UI/Role/Mercenary_Portrait_yuanshao.png	HalfBody/role/body_yuanshao.png	1	1	0
9022	2001	32	@Monster_90229	5	monster/M_2_07.png	HalfBody/monster/Body_gjb1lan.png	0	1	0
9023	2002	32	@Monster_90239	14	monster/M_2_08.png	HalfBody/monster/Body_gjb2lan.png	0	1	0
9024	2002	32	@Monster_90249	110	monster/M_2_06.png	HalfBody/monster/Body_zjb3lan.png	0	1	0
9025	2003	32	@Monster_90259	26	monster/M_2_09.png	HalfBody/monster/Body_gjb3lan.png	0	1	0
9026	2003	32	@Monster_90269	29	monster/M_5_03.png	HalfBody/monster/Body_cjb3huang.png	0	1	0
9031	2002	45	@Monster_90319	112,19	UI/Role/Mercenary_Portrait_dongzhuo.png	HalfBody/role/body_dongzhuo.png	1	1	1
9032	2001	32	@Monster_90329	5	monster/M_1_07.png	HalfBody/monster/Body_gjb1hong.png	0	1	0
9033	2002	32	@Monster_90339	14	monster/M_1_09.png	HalfBody/monster/Body_gjb3hong.png	0	1	0
9034	2002	32	@Monster_90349	110	monster/M_1_06.png	HalfBody/monster/Body_zjb3hong.png	0	1	0
9035	2003	32	@Monster_90359	26	monster/M_1_09.png	HalfBody/monster/Body_gjb3hong.png	0	1	0
9036	2003	32	@Monster_90369	29	monster/M_3_03.png	HalfBody/monster/Body_cjb3hei.png	0	1	0
9041	2003	45	@Monster_90419	6,8	UI/Role/Mercenary_Portrait_caocao.png	HalfBody/role/body_caocao.png	1	1	0
9042	2001	32	@Monster_90429	5	monster/M_2_07.png	HalfBody/monster/Body_gjb1lan.png	0	1	0
9043	2002	32	@Monster_90439	14	monster/M_2_09.png	HalfBody/monster/Body_gjb3lan.png	0	1	0
9044	2002	32	@Monster_90449	110	monster/M_2_06.png	HalfBody/monster/Body_zjb3lan.png	0	1	0
9045	2003	32	@Monster_90459	26	monster/M_2_09.png	HalfBody/monster/Body_gjb3lan.png	0	1	0
9046	2003	32	@Monster_90469	29	monster/M_2_03.png	HalfBody/monster/Body_cjb3lan.png	0	1	0
9051	2003	45	@Monster_90519	26,23	UI/Role/Mercenary_Portrait_yuejin.png	HalfBody/role/body_yuejin.png	1	1	0
9052	2001	32	@Monster_90529	5	monster/M_3_07.png	HalfBody/monster/Body_gjb1hei.png	0	1	0
9053	2002	32	@Monster_90539	14	monster/M_3_09.png	HalfBody/monster/Body_gjb3hei.png	0	1	0
9054	2002	32	@Monster_90549	110	monster/M_3_06.png	HalfBody/monster/Body_zjb3hei.png	0	1	0
9055	2003	32	@Monster_90559	26	monster/M_3_09.png	HalfBody/monster/Body_gjb3hei.png	0	1	0
9056	2003	32	@Monster_90569	29	monster/M_3_03.png	HalfBody/monster/Body_cjb3hei.png	0	1	0
9061	2001	40	@Monster_90619	2,8	UI/Role/Mercenary_Portrait_caohong.png	HalfBody/role/body_caohong.png	1	1	0
9062	2001	28	@Monster_90629	5	monster/M_4_07.png	HalfBody/monster/Body_gjb1lv.png	0	1	0
9063	2002	28	@Monster_90639	14	monster/M_5_09.png	HalfBody/monster/Body_gjb3huang.png	0	1	0
9064	2002	28	@Monster_90649	110	monster/M_4_06.png	HalfBody/monster/Body_zjb3lv.png	0	1	0
9065	2003	28	@Monster_90659	26	monster/M_3_05.png	HalfBody/monster/Body_zjb2hei.png	0	1	0
9066	2003	28	@Monster_90669	29	monster/M_4_03.png	HalfBody/monster/Body_cjb3lv.png	0	1	0
9071	2001	40	@Monster_90719	3,6	UI/Role/Mercenary_Portrait_lukang.png	HalfBody/role/body_lukang.png	1	1	1
9072	2001	28	@Monster_90729	5	monster/M_1_07.png	HalfBody/monster/Body_gjb1hong.png	0	1	0
9073	2002	28	@Monster_90739	14	monster/M_1_08.png	HalfBody/monster/Body_gjb2hong.png	0	1	0
9074	2002	28	@Monster_90749	110	monster/M_1_06.png	HalfBody/monster/Body_zjb3hong.png	0	1	0
9075	2003	28	@Monster_90759	26	monster/M_1_05.png	HalfBody/monster/Body_zjb2hong.png	0	1	0
9076	2003	28	@Monster_90769	29	monster/M_1_03.png	HalfBody/monster/Body_cjb3hong.png	0	1	0
9081	2002	40	@Monster_90819	12,14	UI/Role/Mercenary_Portrait_gongsunzan.png	HalfBody/role/body_gongsunzan.png	1	1	0
9082	2001	28	@Monster_90829	5	monster/M_2_07.png	HalfBody/monster/Body_gjb1lan.png	0	1	0
9083	2002	28	@Monster_90839	14	monster/M_2_08.png	HalfBody/monster/Body_gjb2lan.png	0	1	0
9084	2002	28	@Monster_90849	110	monster/M_2_06.png	HalfBody/monster/Body_zjb3lan.png	0	1	0
9085	2003	28	@Monster_90859	26	monster/M_2_09.png	HalfBody/monster/Body_gjb3lan.png	0	1	0
9086	2003	28	@Monster_90869	29	monster/M_5_03.png	HalfBody/monster/Body_cjb3huang.png	0	1	0
9091	2002	40	@Monster_90919	19111	UI/Role/Mercenary_Portrait_zhoucang.png	HalfBody/role/body_zhoucang.png	1	1	1
9092	2001	28	@Monster_90929	5	monster/M_1_07.png	HalfBody/monster/Body_gjb1hong.png	0	1	0
9093	2002	28	@Monster_90939	14	monster/M_1_09.png	HalfBody/monster/Body_gjb3hong.png	0	1	0
9094	2002	28	@Monster_90949	110	monster/M_1_06.png	HalfBody/monster/Body_zjb3hong.png	0	1	0
9095	2003	28	@Monster_90959	26	monster/M_1_09.png	HalfBody/monster/Body_gjb3hong.png	0	1	0
9096	2003	28	@Monster_90969	29	monster/M_3_03.png	HalfBody/monster/Body_cjb3hei.png	0	1	0
9101	2001	40	@Monster_91019	21212122	UI/Role/Mercenary_Portrait_machao.png	HalfBody/role/body_machao.png	1	1	1
9102	2001	28	@Monster_91029	5	monster/M_2_07.png	HalfBody/monster/Body_gjb1lan.png	0	1	0
9103	2002	28	@Monster_91039	14	monster/M_2_09.png	HalfBody/monster/Body_gjb3lan.png	0	1	0
9104	2002	28	@Monster_91049	110	monster/M_2_06.png	HalfBody/monster/Body_zjb3lan.png	0	1	0
9105	2003	28	@Monster_91059	26	monster/M_2_09.png	HalfBody/monster/Body_gjb3lan.png	0	1	0
9106	2003	28	@Monster_91069	29	monster/M_2_03.png	HalfBody/monster/Body_cjb3lan.png	0	1	0
9111	2002	40	@Monster_91119	19111	UI/Role/Mercenary_Portrait_bianfuren.png	HalfBody/role/body_bianfuren.png	1	1	1
9112	2001	28	@Monster_91129	5	monster/M_3_07.png	HalfBody/monster/Body_gjb1hei.png	0	1	0
9113	2002	28	@Monster_91139	14	monster/M_3_09.png	HalfBody/monster/Body_gjb3hei.png	0	1	0
9114	2002	28	@Monster_91149	110	monster/M_3_06.png	HalfBody/monster/Body_zjb3hei.png	0	1	0
9115	2003	28	@Monster_91159	26	monster/M_3_09.png	HalfBody/monster/Body_gjb3hei.png	0	1	0
9116	2003	28	@Monster_91169	29	monster/M_3_03.png	HalfBody/monster/Body_cjb3hei.png	0	1	0
9121	2001	40	@Monster_91219	5102	UI/Role/Mercenary_Portrait_liubei.png	HalfBody/role/body_liubei.png	1	1	0
9122	2001	28	@Monster_91229	5	monster/M_4_07.png	HalfBody/monster/Body_gjb1lv.png	0	1	0
9123	2002	28	@Monster_91239	14	monster/M_5_09.png	HalfBody/monster/Body_gjb3huang.png	0	1	0
9124	2002	28	@Monster_91249	110	monster/M_4_06.png	HalfBody/monster/Body_zjb3lv.png	0	1	0
9125	2003	28	@Monster_91259	26	monster/M_3_05.png	HalfBody/monster/Body_zjb2hei.png	0	1	0
9126	2003	28	@Monster_91269	29	monster/M_4_03.png	HalfBody/monster/Body_cjb3lv.png	0	1	0
9131	2003	40	@Monster_91319	21,29	UI/Role/Mercenary_Portrait_wuban.png	HalfBody/role/body_wuban.png	1	1	1
9132	2001	28	@Monster_91329	5	monster/M_1_07.png	HalfBody/monster/Body_gjb1hong.png	0	1	0
9133	2002	28	@Monster_91339	14	monster/M_5_09.png	HalfBody/monster/Body_gjb3huang.png	0	1	0
9134	2002	28	@Monster_91349	110	monster/M_1_06.png	HalfBody/monster/Body_zjb3hong.png	0	1	0
9135	2003	28	@Monster_91359	26	monster/M_3_05.png	HalfBody/monster/Body_zjb2hei.png	0	1	0
9136	2003	28	@Monster_91369	29	monster/M_5_03.png	HalfBody/monster/Body_cjb3huang.png	0	1	0
9141	2003	40	@Monster_91419	21,29	UI/Role/Mercenary_Portrait_zhonghui.png	HalfBody/role/body_zhonghui.png	1	1	1
9142	2001	28	@Monster_91429	5	monster/M_2_07.png	HalfBody/monster/Body_gjb1lan.png	0	1	0
9143	2002	28	@Monster_91439	14	monster/M_1_08.png	HalfBody/monster/Body_gjb2hong.png	0	1	0
9144	2002	28	@Monster_91449	110	monster/M_2_06.png	HalfBody/monster/Body_zjb3lan.png	0	1	0
9145	2003	28	@Monster_91459	26	monster/M_1_05.png	HalfBody/monster/Body_zjb2hong.png	0	1	0
9146	2003	28	@Monster_91469	29	monster/M_3_03.png	HalfBody/monster/Body_cjb3hei.png	0	1	0
9151	2003	40	@Monster_91519	21,29	UI/Role/Mercenary_Portrait_xushu.png	HalfBody/role/body_xushu.png	1	1	0
9152	2001	28	@Monster_91529	5	monster/M_3_07.png	HalfBody/monster/Body_gjb1hei.png	0	1	0
9153	2002	28	@Monster_91539	14	monster/M_2_08.png	HalfBody/monster/Body_gjb2lan.png	0	1	0
9154	2002	28	@Monster_91549	110	monster/M_1_06.png	HalfBody/monster/Body_zjb3hong.png	0	1	0
9155	2003	28	@Monster_91559	26	monster/M_2_09.png	HalfBody/monster/Body_gjb3lan.png	0	1	0
9156	2003	28	@Monster_91569	29	monster/M_2_03.png	HalfBody/monster/Body_cjb3lan.png	0	1	0
9161	2002	40	@Monster_91619	17110	UI/Role/Mercenary_Portrait_zhanghe.png	HalfBody/role/body_zhanghe.png	1	1	1
9162	2001	28	@Monster_91629	5	monster/M_4_07.png	HalfBody/monster/Body_gjb1lv.png	0	1	0
9163	2002	28	@Monster_91639	14	monster/M_1_09.png	HalfBody/monster/Body_gjb3hong.png	0	1	0
9164	2002	28	@Monster_91649	110	monster/M_2_06.png	HalfBody/monster/Body_zjb3lan.png	0	1	0
9165	2003	28	@Monster_91659	26	monster/M_1_09.png	HalfBody/monster/Body_gjb3hong.png	0	1	0
9166	2003	28	@Monster_91669	29	monster/M_3_03.png	HalfBody/monster/Body_cjb3hei.png	0	1	0
9171	2002	40	@Monster_91719	17110	UI/Role/Mercenary_Portrait_yanyan.png	HalfBody/role/body_yanyan.png	1	1	1
9172	2001	28	@Monster_91729	5	monster/M_4_07.png	HalfBody/monster/Body_gjb1lv.png	0	1	0
9173	2002	28	@Monster_91739	14	monster/M_1_08.png	HalfBody/monster/Body_gjb2hong.png	0	1	0
9174	2002	28	@Monster_91749	110	monster/M_1_06.png	HalfBody/monster/Body_zjb3hong.png	0	1	0
9175	2003	28	@Monster_91759	26	monster/M_2_09.png	HalfBody/monster/Body_gjb3lan.png	0	1	0
9176	2003	28	@Monster_91769	29	monster/M_3_03.png	HalfBody/monster/Body_cjb3hei.png	0	1	0
9181	2003	40	@Monster_91819	21,29	UI/Role/Mercenary_Portrait_zuoci.png	HalfBody/role/body_zuoci.png	1	1	1
9182	2001	28	@Monster_91829	5	monster/M_1_07.png	HalfBody/monster/Body_gjb1hong.png	0	1	0
9183	2002	28	@Monster_91839	14	monster/M_2_08.png	HalfBody/monster/Body_gjb2lan.png	0	1	0
9184	2002	28	@Monster_91849	110	monster/M_2_06.png	HalfBody/monster/Body_zjb3lan.png	0	1	0
9185	2003	28	@Monster_91859	26	monster/M_3_09.png	HalfBody/monster/Body_gjb3hei.png	0	1	0
9186	2003	28	@Monster_91869	29	monster/M_4_03.png	HalfBody/monster/Body_cjb3lv.png	0	1	0
9191	2001	40	@Monster_91919	5,8	UI/Role/Mercenary_Portrait_guanping.png	HalfBody/role/body_guanping.png	1	1	1
9192	2001	28	@Monster_91929	5	monster/M_2_07.png	HalfBody/monster/Body_gjb1lan.png	0	1	0
9193	2002	28	@Monster_91939	14	monster/M_1_09.png	HalfBody/monster/Body_gjb3hong.png	0	1	0
9194	2002	28	@Monster_91949	110	monster/M_1_06.png	HalfBody/monster/Body_zjb3hong.png	0	1	0
9195	2003	28	@Monster_91959	26	monster/M_3_05.png	HalfBody/monster/Body_zjb2hei.png	0	1	0
9196	2003	28	@Monster_91969	29	monster/M_1_03.png	HalfBody/monster/Body_cjb3hong.png	0	1	0
9201	2002	40	@Monster_92019	17110	UI/Role/Mercenary_Portrait_sunquan.png	HalfBody/role/body_sunquan.png	1	1	1
9202	2001	28	@Monster_92029	5	monster/M_1_07.png	HalfBody/monster/Body_gjb1hong.png	0	1	0
9203	2002	28	@Monster_92039	14	monster/M_2_09.png	HalfBody/monster/Body_gjb3lan.png	0	1	0
9204	2002	28	@Monster_92049	110	monster/M_2_06.png	HalfBody/monster/Body_zjb3lan.png	0	1	0
9205	2003	28	@Monster_92059	26	monster/M_1_05.png	HalfBody/monster/Body_zjb2hong.png	0	1	0
9206	2003	28	@Monster_92069	29	monster/M_5_03.png	HalfBody/monster/Body_cjb3huang.png	0	1	0
9211	2002	40	@Monster_92119	17110	UI/Role/Mercenary_Portrait_pangtong.png	HalfBody/role/body_pangtong.png	1	1	1
9212	2001	28	@Monster_92129	5	monster/M_2_07.png	HalfBody/monster/Body_gjb1lan.png	0	1	0
9213	2002	28	@Monster_92139	14	monster/M_3_09.png	HalfBody/monster/Body_gjb3hei.png	0	1	0
9214	2002	28	@Monster_92149	110	monster/M_3_06.png	HalfBody/monster/Body_zjb3hei.png	0	1	0
9215	2003	28	@Monster_92159	26	monster/M_2_09.png	HalfBody/monster/Body_gjb3lan.png	0	1	0
9216	2003	28	@Monster_92169	29	monster/M_3_03.png	HalfBody/monster/Body_cjb3hei.png	0	1	0
