id	Spine	Skills	Element	Job	Star	IsMagic	StrenghtRate	IntellectRate	AgilityRate	StaminaRate	Strenght	Intellect	Agility	Stamina	HP	Attack	Magic	PhyPenetrate	MagPenetrate	PhyDef	MagDef	RecoverHP	CriDamage	CriResist	Critical	Hit	Dodge	Immunity	ATKRange	ATKSpeed	WSpeed	RSpeed	ATKMP	DEFMP	SKMP	ClassCorrection	Skin	Hurt_EFF_X	Hurt_EFF_Y	Hurt_EFF_Head	Reflect
18	Spine/CharacterSpine,NG_18	11801,11811,11821,11831	3	1	6	0	24	19	3	40	120	95	15	200	2000	124	99	0	0	136	129	0	0.5	40	8	48	35	0	10	2500	1.6	2.4	15	4	9	1	0	45	90	180	0
19	Spine/CharacterSpine,NG_19	11901,11911,11921,11931	4	1	6	0	22	10	16	38	110	50	80	190	1900	130	70	0	0	128	110	0	0.5	38	40	56	46	0	10	2500	1.6	2.4	12	3	7	1	0	45	90	180	0
20	Spine/CharacterSpine,NG_20	12001,12011,12021,12031	4	2	6	0	45	14	7	20	225	70	35	100	1000	234	79	0	0	118	71	0	0.5	20	18	70	54	0	50	2000	2	3	25	2	8	1	0	45	90	180	0
21	Spine/CharacterSpine,NG_21	12101,12111,12121,12131	4	3	6	1	26	31	5	24	130	155	25	120	1200	136	161	0	0	99	107	0	0.5	24	13	65	49	0	150	2300	0.8	1.2	12	3	7	1	0	45	90	180	0
22	Spine/CharacterSpine,NG_22	12201,12211,12221,12231	5	2	6	0	44	17	5	20	220	85	25	100	1000	226	91	0	0	116	76	0	0.5	20	13	69	52	0	50	2000	2	3	12	3	7	1	0	45	90	180	0
23	Spine/CharacterSpine,NG_23	12301,12311,12321,12331	5	2	6	0	46	11	8	21	230	55	40	105	1050	240	65	0	0	122	69	0	0.5	21	20	69	54	0	50	2000	2	3	19	2	7	1	0	45	90	180	0
24	Spine/CharacterSpine,NG_24	12401,12411,12421,12431	5	4	6	1	16	43	8	19	80	215	40	95	950	90	225	0	0	72	112	0	0.5	19	20	71	55	0	300	2200	1.2	1.8	9	6	7	1	0	45	90	180	0
501	Spine/CharacterSpine,NG_501	50101	0	3	1	0	0	0	0	0	300	250	30	100	1000	308	258	0	0	140	125	0	0.5	20	15	119	91	0	450	2750	0.8	1.2	8	7	8	1.1	0	45	90	180	1
502	Spine/CharacterSpine,NG_502	50201	0	3	1	1	0	0	0	0	250	300	30	100	1000	258	308	0	0	125	140	0	0.5	20	15	119	91	0	450	2750	0.8	1.2	8	7	8	1.1	0	45	90	180	0
503	Spine/CharacterSpine,NG_503	50301	0	3	1	0	0	0	0	0	300	250	30	100	1000	308	258	0	0	140	125	0	0.5	20	15	119	91	0	450	2750	0.8	1.2	8	7	8	1.1	0	45	90	180	0
504	Spine/CharacterSpine,NG_504	50401	0	3	1	1	0	0	0	0	250	300	30	100	1000	258	308	0	0	125	140	0	0.5	20	15	119	91	0	450	2750	0.8	1.2	8	7	8	1.1	0	45	90	180	0
505	Spine/CharacterSpine,NG_505	50501	0	2	1	0	0	0	0	0	250	200	15	75	750	254	204	0	0	113	98	0	0.5	15	8	95	71	0	30	2000	2	3	10	5	10	1	0	45	90	180	0
506	Spine/CharacterSpine,NG_506	50601	0	2	1	0	0	0	0	0	250	200	15	75	750	254	204	0	0	113	98	0	0.5	15	8	95	71	0	30	2000	2	3	10	5	10	1	0	45	90	180	0
507	Spine/CharacterSpine,NG_507	50701	0	2	1	1	0	0	0	0	200	250	15	75	750	204	254	0	0	98	113	0	0.5	15	8	95	71	0	30	2000	2	3	10	5	10	1	0	45	90	180	1
508	Spine/CharacterSpine,NG_508	50801	0	2	1	1	0	0	0	0	200	250	15	75	750	204	254	0	0	98	113	0	0.5	15	8	95	71	0	30	2000	2	3	10	5	10	1	0	45	90	180	1
509	Spine/CharacterSpine,NG_509	50901	0	1	1	0	0	0	0	0	200	150	5	50	500	201	151	0	0	85	70	0	0.5	10	3	72	54	0	10	2500	1.6	2.4	6	9	8	0.9	0	45	90	180	1
510	Spine/CharacterSpine,NG_510	51001	0	1	1	1	0	0	0	0	150	200	5	50	500	151	201	0	0	70	85	0	0.5	10	3	72	54	0	10	2500	1.6	2.4	6	9	8	0.9	0	45	90	180	0
511	Spine/CharacterSpine,NG_511	51101	0	1	1	0	0	0	0	0	200	150	5	50	500	201	151	0	0	85	70	0	0.5	10	3	72	54	0	10	2500	1.6	2.4	6	9	8	0.9	0	45	90	180	1
512	Spine/CharacterSpine,NG_512	51201	0	1	1	1	0	0	0	0	150	200	5	50	500	151	201	0	0	70	85	0	0.5	10	3	72	54	0	10	2500	1.6	2.4	6	9	8	0.9	0	45	90	180	0
96	Spine/CharacterSpine,NG_21	12101	4	3	6	1	45	70	10	205	24113	37455	5340	42710	427100	25448	38790	0	0	28589	32592	0	0.5	8542	2670	13916	8702	0	450	2750	0.8	1.2	8	7	6	1.1	0	45	90	180	0
97	Spine/CharacterSpine,NG_13	11301	3	1	6	0	35	30	10	190	18808	16130	5340	40565	405650	20143	17465	0	0	25925	25122	0	0.5	8113	2670	8590	4814	0	10	2500	1.6	2.4	6	9	5	0.9	13	45	90	180	0
98	Spine/CharacterSpine,NG_02	10201	1	4	6	1	25	60	10	165	13458	32145	5340	34156	341560	14793	33480	0	0	21115	26722	0	0.5	6831	2670	10723	6735	0	600	2250	1.2	1.8	9	6	8	1	0	45	90	180	0
99	Spine/CharacterSpine,NG_01	10101	1	2	6	0	50	35	10	170	26805	18788	5340	36288	362880	28140	20123	0	0	26186	23780	0	0.5	7258	2670	10721	6627	0	30	2000	2	3	10	5	6	1	1	45	90	180	0
