id	type	param	des	first_drop	normal_drop	monster	star	fightvalue
18	1		@PveTongTianTatcontent4	10000_1004_8800,30000_202011_1	30000_101001_1,10000_1002_4100	801803,801802,801801	20,10	0
19	1		@PveTongTianTatcontent4	10000_1004_8800,30000_202001_1	30000_104211_1,10000_1002_4100	801903,801902,801901	20,10	0
20	3	5,1	@PveTongTianTatcontent4	10000_1001_200,10000_1004_8800,30000_202013_1,30000_202003_1	30000_104212_1,10000_1002_4100	802009,802008,802007,802002	20,10	10000
21	1		@PveTongTianTatcontent4	10000_1004_10500,30000_202011_1	30000_104211_1,10000_1002_4100	802104,802103,802102,802101	20,10	0
22	1		@PveTongTianTatcontent4	10000_1004_10500,30000_202001_1	30000_101001_1,10000_1002_4100	802204,802203,802202,802201	20,10	0
23	1		@PveTongTianTatcontent4	10000_1004_10500,30000_202011_1	30000_104211_1,10000_1002_4100	802304,802303,802302,802301	20,10	0
24	1		@PveTongTianTatcontent4	10000_1004_10500,30000_202001_1	30000_101001_1,10000_1002_4100	802404,802403,802402,802401	20,10	0
25	2	5	@PveTongTianTatcontent4	10000_1001_50,10000_1004_10500,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_4100	802507,802504,802503,802502,802501	20,10	10000
26	1		@PveTongTianTatcontent4	10000_1004_13100,30000_202011_1	30000_101001_1,10000_1002_4100	802604,802603,802602,802601	20,10	0
27	1		@PveTongTianTatcontent4	10000_1004_13100,30000_202001_1	30000_104211_1,10000_1002_4100	802704,802703,802702,802701	20,10	0
28	1		@PveTongTianTatcontent4	10000_1004_13100,30000_202011_1	30000_101001_1,10000_1002_4200	802804,802803,802802,802801	20,10	0
29	1		@PveTongTianTatcontent4	10000_1004_13100,30000_202001_1	30000_104211_1,10000_1002_4200	802904,802903,802902,802901	20,10	0
30	2	5	@PveTongTianTatcontent4	10000_1001_50,10000_1004_13100,30000_202012_1,30000_202002_1	30000_104001_1,10000_1002_4200	803007,803004,803003,803002,803001	20,10	10000
31	1		@PveTongTianTatcontent4	10000_1004_15200,30000_202011_1	30000_104211_1,10000_1002_4200	803104,803103,803102,803101	20,10	0
32	1		@PveTongTianTatcontent4	10000_1004_15200,30000_202001_1	30000_101001_1,10000_1002_4200	803204,803203,803202,803201	20,10	0
33	1		@PveTongTianTatcontent4	10000_1004_15200,30000_202011_1	30000_104211_1,10000_1002_4200	803304,803303,803302,803301	20,10	0
34	1		@PveTongTianTatcontent4	10000_1004_15200,30000_202001_1	30000_101001_1,10000_1002_4200	803404,803403,803402,803401	20,10	0
35	2	5	@PveTongTianTatcontent4	10000_1001_50,10000_1004_15200,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_4200	803507,803504,803503,803502,803501	20,10	10000
36	1		@PveTongTianTatcontent4	10000_1004_18400,30000_202011_1	30000_101001_1,10000_1002_4300	803604,803603,803602,803601	20,10	0
37	1		@PveTongTianTatcontent4	10000_1004_18400,30000_202001_1	30000_104211_1,10000_1002_4300	803704,803703,803702,803701	20,10	0
38	1		@PveTongTianTatcontent4	10000_1004_18400,30000_202011_1	30000_101001_1,10000_1002_4300	803804,803803,803802,803801	20,10	0
39	1		@PveTongTianTatcontent4	10000_1004_18400,30000_202001_1	30000_104211_1,10000_1002_4300	803904,803903,803902,803901	20,10	0
40	2	5	@PveTongTianTatcontent4	10000_1001_200,10000_1004_18400,30000_202013_1,30000_202003_1	30000_106001_1,10000_1002_4300	804009,804008,804007,804005,804003,804001	20,10	10000
41	1		@PveTongTianTatcontent4	10000_1004_20700,30000_202011_1	30000_104211_1,10000_1002_4300	804104,804103,804102,804101	20,10	0
42	1		@PveTongTianTatcontent4	10000_1004_20700,30000_202001_1	30000_101001_1,10000_1002_4300	804204,804203,804202,804201	20,10	0
43	1		@PveTongTianTatcontent4	10000_1004_20700,30000_202011_1	30000_104211_1,10000_1002_4400	804304,804303,804302,804301	20,10	0
44	1		@PveTongTianTatcontent4	10000_1004_20700,30000_202001_1	30000_101001_1,10000_1002_4400	804405,804404,804403,804402,804401	20,10	0
45	3	5,1	@PveTongTianTatcontent4	10000_1001_50,10000_1004_20700,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_4400	804507,804505,804504,804503,804502,804501	20,10	10000
46	1		@PveTongTianTatcontent4	10000_1004_24500,30000_202011_1	30000_101001_1,10000_1002_4400	804605,804604,804603,804602,804601	20,10	0
47	1		@PveTongTianTatcontent4	10000_1004_24500,30000_202001_1	30000_104211_1,10000_1002_4400	804705,804704,804703,804702,804701	20,10	0
48	1		@PveTongTianTatcontent4	10000_1004_24500,30000_202011_1	30000_101001_1,10000_1002_4400	804805,804804,804803,804802,804801	20,10	0
49	1		@PveTongTianTatcontent4	10000_1004_24500,30000_202001_1	30000_104211_1,10000_1002_4500	804905,804904,804903,804902,804901	20,10	0
50	3	5,1	@PveTongTianTatcontent4	10000_1001_50,10000_1004_24500,30000_202012_1,30000_202002_1	30000_104212_1,10000_1002_4500	805007,805005,805004,805003,805002,805001	20,10	10000
51	1		@PveTongTianTatcontent4	10000_1004_27000,30000_202011_1	30000_104211_1,10000_1002_4500	805105,805104,805103,805102,805101	20,10	0
52	1		@PveTongTianTatcontent4	10000_1004_27000,30000_202001_1	30000_101001_1,10000_1002_4500	805205,805204,805203,805202,805201	20,10	0
53	1		@PveTongTianTatcontent4	10000_1004_27000,30000_202011_1	30000_104211_1,10000_1002_4500	805305,805304,805303,805302,805301	20,10	0
54	1		@PveTongTianTatcontent4	10000_1004_27000,30000_202001_1	30000_101001_1,10000_1002_4500	805405,805404,805403,805402,805401	20,10	0
55	3	5,1	@PveTongTianTatcontent4	10000_1001_50,10000_1004_27000,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_4600	805507,805505,805504,805503,805502,805501	20,10	10000
56	1		@PveTongTianTatcontent4	10000_1004_29300,30000_202011_1	30000_101001_1,10000_1002_4600	805605,805604,805603,805602,805601	20,10	0
57	1		@PveTongTianTatcontent4	10000_1004_29300,30000_202001_1	30000_104211_1,10000_1002_4600	805705,805704,805703,805702,805701	20,10	0
58	1		@PveTongTianTatcontent4	10000_1004_29300,30000_202011_1	30000_101001_1,10000_1002_4600	805805,805804,805803,805802,805801	20,10	0
59	1		@PveTongTianTatcontent4	10000_1004_29300,30000_202001_1	30000_104211_1,10000_1002_4600	805905,805904,805903,805902,805901	20,10	0
60	3	5,1	@PveTongTianTatcontent4	10000_1001_200,10000_1004_29300,30000_202013_1,30000_202003_1	30000_104001_1,10000_1002_4600	806009,806008,806007,806005,806003,806001	20,10	10000
61	1		@PveTongTianTatcontent4	10000_1004_31400,30000_202011_1	30000_104211_1,10000_1002_4700	806105,806104,806103,806102,806101	20,10	0
62	1		@PveTongTianTatcontent4	10000_1004_31400,30000_202001_1	30000_101001_1,10000_1002_4700	806205,806204,806203,806202,806201	20,10	0
63	1		@PveTongTianTatcontent4	10000_1004_31400,30000_202011_1	30000_104211_1,10000_1002_4700	806305,806304,806303,806302,806301	20,10	0
64	1		@PveTongTianTatcontent4	10000_1004_31400,30000_202001_1	30000_101001_1,10000_1002_4700	806405,806404,806403,806402,806401	20,10	0
65	3	5,1	@PveTongTianTatcontent4	10000_1001_50,10000_1004_31400,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_4700	806507,806505,806504,806503,806502,806501	20,10	10000
66	1		@PveTongTianTatcontent4	10000_1004_33300,30000_202011_1	30000_101001_1,10000_1002_4800	806605,806604,806603,806602,806601	20,10	0
67	1		@PveTongTianTatcontent4	10000_1004_33300,30000_202001_1	30000_104211_1,10000_1002_4800	806705,806704,806703,806702,806701	20,10	0
68	1		@PveTongTianTatcontent4	10000_1004_33300,30000_202011_1	30000_101001_1,10000_1002_4800	806805,806804,806803,806802,806801	20,10	0
69	1		@PveTongTianTatcontent4	10000_1004_33300,30000_202001_1	30000_104211_1,10000_1002_4800	806905,806904,806903,806902,806901	20,10	0
70	2	5	@PveTongTianTatcontent4	10000_1001_50,10000_1004_33300,30000_202012_1,30000_202002_1	30000_106001_1,10000_1002_4800	807007,807005,807004,807003,807002,807001	20,10	10000
71	1		@PveTongTianTatcontent4	10000_1004_34800,30000_202011_1	30000_104211_1,10000_1002_4900	807105,807104,807103,807102,807101	20,10	0
72	1		@PveTongTianTatcontent4	10000_1004_34800,30000_202001_1	30000_101001_1,10000_1002_4900	807205,807204,807203,807202,807201	20,10	0
73	1		@PveTongTianTatcontent4	10000_1004_34800,30000_202011_1	30000_104211_1,10000_1002_4900	807305,807304,807303,807302,807301	20,10	0
74	1		@PveTongTianTatcontent4	10000_1004_34800,30000_202001_1	30000_101001_1,10000_1002_4900	807405,807404,807403,807402,807401	20,10	0
75	3	5,1	@PveTongTianTatcontent4	10000_1001_50,10000_1004_34800,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_5000	807507,807505,807504,807503,807502,807501	20,10	10000
76	1		@PveTongTianTatcontent4	10000_1004_35900,30000_202011_1	30000_101001_1,10000_1002_5000	807605,807604,807603,807602,807601	20,10	0
77	1		@PveTongTianTatcontent4	10000_1004_35900,30000_202001_1	30000_104211_1,10000_1002_5000	807705,807704,807703,807702,807701	20,10	0
78	1		@PveTongTianTatcontent4	10000_1004_35900,30000_202011_1	30000_101001_1,10000_1002_5000	807805,807804,807803,807802,807801	20,10	0
79	1		@PveTongTianTatcontent4	10000_1004_35900,30000_202001_1	30000_104211_1,10000_1002_5000	807905,807904,807903,807902,807901	20,10	0
80	3	5,1	@PveTongTianTatcontent4	10000_1001_200,10000_1004_35900,30000_202013_1,30000_202003_1	30000_104212_1,10000_1002_5100	808009,808008,808007,808005,808003,808001	20,10	10000
81	1		@PveTongTianTatcontent4	10000_1004_36500,30000_202011_1	30000_104211_1,10000_1002_5100	808105,808104,808103,808102,808101	20,10	0
82	1		@PveTongTianTatcontent4	10000_1004_36500,30000_202001_1	30000_101001_1,10000_1002_5100	808205,808204,808203,808202,808201	20,10	0
83	1		@PveTongTianTatcontent4	10000_1004_36500,30000_202011_1	30000_104211_1,10000_1002_5100	808305,808304,808303,808302,808301	20,10	0
84	1		@PveTongTianTatcontent4	10000_1004_36500,30000_202001_1	30000_101001_1,10000_1002_5100	808405,808404,808403,808402,808401	20,10	0
85	2	5	@PveTongTianTatcontent4	10000_1001_50,10000_1004_36500,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_5200	808507,808505,808504,808503,808502,808501	20,10	10000
86	1		@PveTongTianTatcontent4	10000_1004_38200,30000_202011_1	30000_101001_1,10000_1002_5200	808605,808604,808603,808602,808601	20,10	0
87	1		@PveTongTianTatcontent4	10000_1004_38200,30000_202001_1	30000_104211_1,10000_1002_5200	808705,808704,808703,808702,808701	20,10	0
88	1		@PveTongTianTatcontent4	10000_1004_38200,30000_202011_1	30000_101001_1,10000_1002_5200	808805,808804,808803,808802,808801	20,10	0
89	1		@PveTongTianTatcontent4	10000_1004_38200,30000_202001_1	30000_104211_1,10000_1002_5300	808905,808904,808903,808902,808901	20,10	0
90	3	5,1	@PveTongTianTatcontent4	10000_1001_50,10000_1004_38200,30000_202012_1,30000_202002_1	30000_104001_1,10000_1002_5300	809008,809007,809005,809004,809002,809001	20,10	10000
91	1		@PveTongTianTatcontent4	10000_1004_40700,30000_202011_1	30000_104211_1,10000_1002_5300	809105,809104,809103,809102,809101	20,10	0
92	1		@PveTongTianTatcontent4	10000_1004_40700,30000_202001_1	30000_101001_1,10000_1002_5300	809205,809204,809203,809202,809201	20,10	0
93	1		@PveTongTianTatcontent4	10000_1004_40700,30000_202011_1	30000_104211_1,10000_1002_5400	809305,809304,809303,809302,809301	20,10	0
94	1		@PveTongTianTatcontent4	10000_1004_40700,30000_202001_1	30000_101001_1,10000_1002_5400	809405,809404,809403,809402,809401	20,10	0
95	3	5,1	@PveTongTianTatcontent4	10000_1001_50,10000_1004_40700,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_5400	809508,809507,809505,809504,809502,809501	20,10	10000
96	1		@PveTongTianTatcontent4	10000_1004_44200,30000_202011_1	30000_101001_1,10000_1002_5400	809606,809605,809604,809603,809602,809601	20,10	0
97	1		@PveTongTianTatcontent4	10000_1004_44200,30000_202001_1	30000_104211_1,10000_1002_5500	809706,809705,809704,809703,809702,809701	20,10	0
98	1		@PveTongTianTatcontent4	10000_1004_44200,30000_202011_1	30000_101001_1,10000_1002_5500	809806,809805,809804,809803,809802,809801	20,10	0
99	1		@PveTongTianTatcontent4	10000_1004_44200,30000_202001_1	30000_104211_1,10000_1002_5500	809906,809905,809904,809903,809902,809901	20,10	0
100	2	5	@PveTongTianTatcontent4	10000_1001_200,10000_1004_44200,30000_202013_1,30000_202003_1	30000_104101_1,10000_1002_5500	810010,810009,810008,810007,810003	20,10	10000
101	1		@PveTongTianTatcontent4	10000_1004_47800,30000_202011_1	30000_104211_1,10000_1002_5600	810106,810105,810104,810103,810102,810101	20,10	0
102	1		@PveTongTianTatcontent4	10000_1004_47800,30000_202001_1	30000_101001_1,10000_1002_5600	810206,810205,810204,810203,810202,810201	20,10	0
103	1		@PveTongTianTatcontent4	10000_1004_47800,30000_202011_1	30000_104211_1,10000_1002_5600	810306,810305,810304,810303,810302,810301	20,10	0
104	1		@PveTongTianTatcontent4	10000_1004_47800,30000_202001_1	30000_101001_1,10000_1002_5600	810406,810405,810404,810403,810402,810401	20,10	0
105	3	5,1	@PveTongTianTatcontent4	10000_1001_50,10000_1004_47800,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_5700	810507,810505,810504,810503,810502,810501	20,10	10000
106	1		@PveTongTianTatcontent4	10000_1004_51500,30000_202011_1	30000_101001_1,10000_1002_5700	810606,810605,810604,810603,810602,810601	20,10	0
107	1		@PveTongTianTatcontent4	10000_1004_51500,30000_202001_1	30000_104211_1,10000_1002_5700	810706,810705,810704,810703,810702,810701	20,10	0
108	1		@PveTongTianTatcontent4	10000_1004_51500,30000_202011_1	30000_101001_1,10000_1002_5700	810806,810805,810804,810803,810802,810801	20,10	0
109	1		@PveTongTianTatcontent4	10000_1004_51500,30000_202001_1	30000_104211_1,10000_1002_5800	810906,810905,810904,810903,810902,810901	20,10	0
110	3	5,1	@PveTongTianTatcontent4	10000_1001_50,10000_1004_51500,30000_202012_1,30000_202002_1	30000_106001_1,10000_1002_5800	811007,811005,811004,811003,811002,811001	20,10	10000
111	1		@PveTongTianTatcontent4	10000_1004_55200,30000_202011_1	30000_104211_1,10000_1002_5800	811106,811105,811104,811103,811102,811101	20,10	0
112	1		@PveTongTianTatcontent4	10000_1004_55200,30000_202001_1	30000_101001_1,10000_1002_5800	811206,811205,811204,811203,811202,811201	20,10	0
113	1		@PveTongTianTatcontent4	10000_1004_55200,30000_202011_1	30000_104211_1,10000_1002_5900	811306,811305,811304,811303,811302,811301	20,10	0
114	1		@PveTongTianTatcontent4	10000_1004_55200,30000_202001_1	30000_101001_1,10000_1002_5900	811406,811405,811404,811403,811402,811401	20,10	0
115	2	5	@PveTongTianTatcontent4	10000_1001_50,10000_1004_55200,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_5900	811507,811505,811504,811503,811502,811501	20,10	10000
116	1		@PveTongTianTatcontent4	10000_1004_59000,30000_202011_1	30000_101001_1,10000_1002_6000	811606,811605,811604,811603,811602,811601	20,10	0
117	1		@PveTongTianTatcontent4	10000_1004_59000,30000_202001_1	30000_104211_1,10000_1002_6000	811706,811705,811704,811703,811702,811701	20,10	0
118	1		@PveTongTianTatcontent4	10000_1004_59000,30000_202011_1	30000_101001_1,10000_1002_6000	811806,811805,811804,811803,811802,811801	20,10	0
119	1		@PveTongTianTatcontent4	10000_1004_59000,30000_202001_1	30000_104211_1,10000_1002_6000	811906,811905,811904,811903,811902,811901	20,10	0
120	3	5,1	@PveTongTianTatcontent4	10000_1001_200,10000_1004_59000,30000_202013_1,30000_202003_1	30000_104212_1,10000_1002_6100	812009,812008,812007,812005,812003,812001	20,10	10000
121	1		@PveTongTianTatcontent4	10000_1004_62800,30000_202011_1	30000_104211_1,10000_1002_6100	812106,812105,812104,812103,812102,812101	20,10	0
122	1		@PveTongTianTatcontent4	10000_1004_62800,30000_202001_1	30000_101001_1,10000_1002_6100	812206,812205,812204,812203,812202,812201	20,10	0
123	1		@PveTongTianTatcontent4	10000_1004_62800,30000_202011_1	30000_104211_1,10000_1002_6200	812306,812305,812304,812303,812302,812301	20,10	0
124	1		@PveTongTianTatcontent4	10000_1004_62800,30000_202001_1	30000_101001_1,10000_1002_6200	812406,812405,812404,812403,812402,812401	20,10	0
125	3	5,1	@PveTongTianTatcontent4	10000_1001_50,10000_1004_62800,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_6200	812507,812505,812504,812503,812502,812501	20,10	10000
126	1		@PveTongTianTatcontent4	10000_1004_66700,30000_202011_1	30000_101001_1,10000_1002_6200	812606,812605,812604,812603,812602,812601	20,10	0
127	1		@PveTongTianTatcontent4	10000_1004_66700,30000_202001_1	30000_104211_1,10000_1002_6300	812706,812705,812704,812703,812702,812701	20,10	0
128	1		@PveTongTianTatcontent4	10000_1004_66700,30000_202011_1	30000_101001_1,10000_1002_6300	812806,812805,812804,812803,812802,812801	20,10	0
129	1		@PveTongTianTatcontent4	10000_1004_66700,30000_202001_1	30000_104211_1,10000_1002_6300	812906,812905,812904,812903,812902,812901	20,10	0
130	2	5	@PveTongTianTatcontent4	10000_1001_50,10000_1004_66700,30000_202012_1,30000_202002_1	30000_104001_1,10000_1002_6400	813007,813005,813004,813003,813002,813001	20,10	10000
131	1		@PveTongTianTatcontent4	10000_1004_70500,30000_202011_1	30000_104211_1,10000_1002_6400	813106,813105,813104,813103,813102,813101	20,10	0
132	1		@PveTongTianTatcontent4	10000_1004_70500,30000_202001_1	30000_101001_1,10000_1002_6400	813206,813205,813204,813203,813202,813201	20,10	0
133	1		@PveTongTianTatcontent4	10000_1004_70500,30000_202011_1	30000_104211_1,10000_1002_6500	813306,813305,813304,813303,813302,813301	20,10	0
134	1		@PveTongTianTatcontent4	10000_1004_70500,30000_202001_1	30000_101001_1,10000_1002_6500	813406,813405,813404,813403,813402,813401	20,10	0
135	3	5,1	@PveTongTianTatcontent4	10000_1001_50,10000_1004_70500,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_6500	813507,813505,813504,813503,813502,813501	20,10	10000
136	1		@PveTongTianTatcontent4	10000_1004_74200,30000_202011_1	30000_101001_1,10000_1002_6500	813606,813605,813604,813603,813602,813601	20,10	0
137	1		@PveTongTianTatcontent4	10000_1004_74200,30000_202001_1	30000_104211_1,10000_1002_6600	813706,813705,813704,813703,813702,813701	20,10	0
138	1		@PveTongTianTatcontent4	10000_1004_74200,30000_202011_1	30000_101001_1,10000_1002_6600	813806,813805,813804,813803,813802,813801	20,10	0
139	1		@PveTongTianTatcontent4	10000_1004_74200,30000_202001_1	30000_104211_1,10000_1002_6600	813906,813905,813904,813903,813902,813901	20,10	0
140	3	5,1	@PveTongTianTatcontent4	10000_1001_200,10000_1004_74200,30000_202013_1,30000_202003_1	30000_106001_1,10000_1002_6700	814009,814008,814007,814005,814003,814001	20,10	10000
141	1		@PveTongTianTatcontent4	10000_1004_77900,30000_202011_1	30000_104211_1,10000_1002_6700	814106,814105,814104,814103,814102,814101	20,10	0
142	1		@PveTongTianTatcontent4	10000_1004_77900,30000_202001_1	30000_101001_1,10000_1002_6700	814206,814205,814204,814203,814202,814201	20,10	0
143	1		@PveTongTianTatcontent4	10000_1004_77900,30000_202011_1	30000_104211_1,10000_1002_6800	814306,814305,814304,814303,814302,814301	20,10	0
144	1		@PveTongTianTatcontent4	10000_1004_77900,30000_202001_1	30000_101001_1,10000_1002_6800	814406,814405,814404,814403,814402,814401	20,10	0
145	3	5,1	@PveTongTianTatcontent4	10000_1001_50,10000_1004_77900,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_6800	814507,814505,814504,814503,814502,814501	20,10	10000
146	1		@PveTongTianTatcontent4	10000_1004_81600,30000_202011_1	30000_101001_1,10000_1002_6900	814606,814605,814604,814603,814602,814601	20,10	0
147	1		@PveTongTianTatcontent4	10000_1004_81600,30000_202001_1	30000_104211_1,10000_1002_6900	814706,814705,814704,814703,814702,814701	20,10	0
148	1		@PveTongTianTatcontent4	10000_1004_81600,30000_202011_1	30000_101001_1,10000_1002_6900	814806,814805,814804,814803,814802,814801	20,10	0
149	1		@PveTongTianTatcontent4	10000_1004_81600,30000_202001_1	30000_104211_1,10000_1002_6900	814906,814905,814904,814903,814902,814901	20,10	0
150	2	5	@PveTongTianTatcontent4	10000_1001_50,10000_1004_81600,30000_202012_1,30000_202002_1	30000_104212_1,10000_1002_7000	815007,815005,815004,815003,815002,815001	20,10	10000
151	1		@PveTongTianTatcontent4	10000_1004_85100,30000_202011_1	30000_104211_1,10000_1002_7000	815106,815105,815104,815103,815102,815101	20,10	0
152	1		@PveTongTianTatcontent4	10000_1004_85100,30000_202001_1	30000_101001_1,10000_1002_7000	815206,815205,815204,815203,815202,815201	20,10	0
153	1		@PveTongTianTatcontent4	10000_1004_85100,30000_202011_1	30000_104211_1,10000_1002_7100	815306,815305,815304,815303,815302,815301	20,10	0
154	1		@PveTongTianTatcontent4	10000_1004_85100,30000_202001_1	30000_101001_1,10000_1002_7100	815406,815405,815404,815403,815402,815401	20,10	0
155	3	5,1	@PveTongTianTatcontent4	10000_1001_50,10000_1004_85100,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_7100	815507,815505,815504,815503,815502,815501	20,10	10000
156	1		@PveTongTianTatcontent4	10000_1004_88500,30000_202011_1	30000_101001_1,10000_1002_7200	815606,815605,815604,815603,815602,815601	20,10	0
157	1		@PveTongTianTatcontent4	10000_1004_88500,30000_202001_1	30000_104211_1,10000_1002_7200	815706,815705,815704,815703,815702,815701	20,10	0
158	1		@PveTongTianTatcontent4	10000_1004_88500,30000_202011_1	30000_101001_1,10000_1002_7200	815806,815805,815804,815803,815802,815801	20,10	0
159	1		@PveTongTianTatcontent4	10000_1004_88500,30000_202001_1	30000_104211_1,10000_1002_7300	815906,815905,815904,815903,815902,815901	20,10	0
160	2	5	@PveTongTianTatcontent4	10000_1001_200,10000_1004_88500,30000_202013_1,30000_202003_1	30000_104001_1,10000_1002_7300	816009,816008,816007,816005,816003,816001	20,10	10000
161	1		@PveTongTianTatcontent4	10000_1004_91700,30000_202011_1	30000_104211_1,10000_1002_7300	816106,816105,816104,816103,816102,816101	20,10	0
162	1		@PveTongTianTatcontent4	10000_1004_91700,30000_202001_1	30000_101001_1,10000_1002_7400	816206,816205,816204,816203,816202,816201	20,10	0
163	1		@PveTongTianTatcontent4	10000_1004_91700,30000_202011_1	30000_104211_1,10000_1002_7400	816306,816305,816304,816303,816302,816301	20,10	0
164	1		@PveTongTianTatcontent4	10000_1004_91700,30000_202001_1	30000_101001_1,10000_1002_7400	816406,816405,816404,816403,816402,816401	20,10	0
165	3	5,1	@PveTongTianTatcontent4	10000_1001_50,10000_1004_91700,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_7500	816507,816505,816504,816503,816502,816501	20,10	10000
166	1		@PveTongTianTatcontent4	10000_1004_94700,30000_202011_1	30000_101001_1,10000_1002_7500	816606,816605,816604,816603,816602,816601	20,10	0
167	1		@PveTongTianTatcontent4	10000_1004_94700,30000_202001_1	30000_104211_1,10000_1002_7600	816706,816705,816704,816703,816702,816701	20,10	0
168	1		@PveTongTianTatcontent4	10000_1004_94700,30000_202011_1	30000_101001_1,10000_1002_7600	816806,816805,816804,816803,816802,816801	20,10	0
169	1		@PveTongTianTatcontent4	10000_1004_94700,30000_202001_1	30000_104211_1,10000_1002_7600	816906,816905,816904,816903,816902,816901	20,10	0
170	3	5,1	@PveTongTianTatcontent4	10000_1001_50,10000_1004_94700,30000_202012_1,30000_202002_1	30000_106001_1,10000_1002_7700	817007,817005,817004,817003,817002,817001	20,10	10000
171	1		@PveTongTianTatcontent4	10000_1004_97500,30000_202011_1	30000_104211_1,10000_1002_7700	817106,817105,817104,817103,817102,817101	20,10	0
172	1		@PveTongTianTatcontent4	10000_1004_97500,30000_202001_1	30000_101001_1,10000_1002_7700	817206,817205,817204,817203,817202,817201	20,10	0
173	1		@PveTongTianTatcontent4	10000_1004_97500,30000_202011_1	30000_104211_1,10000_1002_7800	817306,817305,817304,817303,817302,817301	20,10	0
174	1		@PveTongTianTatcontent4	10000_1004_97500,30000_202001_1	30000_101001_1,10000_1002_7800	817406,817405,817404,817403,817402,817401	20,10	0
175	2	5	@PveTongTianTatcontent4	10000_1001_50,10000_1004_97500,30000_202012_1,30000_202002_1	30000_104211_1,10000_1002_7800	817507,817505,817504,817503,817502,817501	20,10	10000
176	1		@PveTongTianTatcontent4	10000_1004_100100,30000_202011_1	30000_101001_1,10000_1002_7900	817606,817605,817604,817603,817602,817601	20,10	0
177	1		@PveTongTianTatcontent4	10000_1004_100100,30000_202001_1	30000_104211_1,10000_1002_7900	817706,817705,817704,817703,817702,817701	20,10	0
178	1		@PveTongTianTatcontent4	10000_1004_100100,30000_202011_1	30000_101001_1,10000_1002_7900	817806,817805,817804,817803,817802,817801	20,10	0
179	1		@PveTongTianTatcontent4	10000_1004_100100,30000_202001_1	30000_104211_1,10000_1002_8000	817906,817905,817904,817903,817902,817901	20,10	0
