id	报错内容
81903	@ERRORCODE_81903
81904	@ERRORCODE_81904
82001	@ERRORCODE_82001
82002	@ERRORCODE_82002
82003	@ERRORCODE_82003
82101	@ERRORCODE_82101
82201	@ERRORCODE_82201
82301	@ERRORCODE_82301
82302	@ERRORCODE_82302
82401	@ERRORCODE_82401
82402	@ERRORCODE_82402
82403	@ERRORCODE_82403
82404	@ERRORCODE_82404
82405	@ERRORCODE_82405
82501	@ERRORCODE_82501
82601	@ERRORCODE_82601
82602	@ERRORCODE_82602
80112	@ErrorCode_AHCoin
80113	@ErrorCode_AHPrice
80114	@ErrorCode_AHrefreshTimeout
80115	@ErrorCode_AHneedMorecoin
80201	@ERRORCODE_80201
80202	@ERRORCODE_80202
80203	@ERRORCODE_80203
80204	@ERRORCODE_80204
80205	@ERRORCODE_80205
80501	@ERRORCODE_80501
80502	@ERRORCODE_80502
80601	@ERRORCODE_80601
80702	@ERRORCODE_80702
80703	@ERRORCODE_80703
81704	@ERRORCODE_81704
81705	@ERRORCODE_81705
81706	@ERRORCODE_81706
81707	@ERRORCODE_81707
81708	@ERRORCODE_81708
81709	@ERRORCODE_81709
81710	@ERRORCODE_81710
86001	@ERRORCODE_86001
88001	@ERRORCODE_88001
88002	@ERRORCODE_88002
88003	@ERRORCODE_88003
88004	@ERRORCODE_88004
88005	@ERRORCODE_88005
88006	@ERRORCODE_88006
89001	@ERRORCODE_89001
89002	@ERRORCODE_89002
89003	@ERRORCODE_89003
89004	@ERRORCODE_89004
89005	@ERRORCODE_89005
89006	@ERRORCODE_89006
89007	@ERRORCODE_89007
89008	@ERRORCODE_89008
89009	@ERRORCODE_89009
99001	@ERRORCODE_99001
107007	@ERRORCODE_107007
107010	@ERRORCODE_107010
999999	@ERRORCODE_999999
