id	mercenaryId	include	awardAttr
96	149	130	1007_300
97	150	119	1004_1200
98	150	153	2009_1000
99	151	227	2009_1200
100	151	157	1004_2000
101	152	135	2009_1200
102	152	201	108_5280
103	153	127	1004_1500
104	153	150	2001_300,2002_300
105	154	174	2009_1000
106	154	121	1007_250
107	155	111	1004_1500
108	155	194	1008_1000
109	156	163	2009_1200
110	156	116	2001_400,2002_400
111	157	201	2009_1200
112	157	116	2001_1000,2002_1000
113	158	155	2009_1000
114	158	108	2001_300,2002_300
115	159	143	2009_1200
116	159	195	2001_400,2002_400
117	160	220	2009_1200
118	160	175	2001_400,2002_400
119	161	111	1004_1800
120	161	194	1007_300
121	162	112	1004_1500
122	162	157	2009_1200
123	163	156	2009_1000
124	163	116	1004_1600
125	165	116	2009_1200
126	165	138	108_5280
127	166	138	2009_1200
128	166	152	2001_400,2002_400
129	167	166	1004_1500
130	167	104	2001_300,2002_300
131	168	161	2009_1400
132	168	171	1007_400
133	169	201	1004_1800
134	169	147	1007_300
135	170	181	2009_1000
136	170	140	1008_1000
137	171	128	2009_1200
138	171	215	108_5280
139	172	177	2009_1200
140	172	109	2001_400,2002_400
141	173	160	2009_1200
142	173	175	2001_400,2002_400
143	174	119	2009_1000
144	174	195	1007_250
145	175	163	2009_1200
146	175	160	2001_400,2002_400
147	176	232	1004_1800
148	176	106	108_5280
149	177	115	1004_1500
150	177	132	2009_1200
151	178	217	1004_1800
152	178	125	2009_1400
153	179	145	1004_1800
154	179	201	108_5280
155	180	108	2009_1200
156	180	136	1008_1200
157	181	136	1004_1800
158	181	191	2009_1400
159	182	137	2009_1000
160	182	113	1004_1600
161	183	172	1004_1800
162	183	139	108_5280
163	184	115	2009_1000
164	184	111	1007_250
165	185	144	2009_1200
166	185	133	1004_2000
167	186	153	2009_1200
168	186	182	1007_300
169	187	173	2009_1000
170	187	175	1004_1600
171	188	207	1004_1800
172	188	172	2009_1400
173	189	143	2009_1200
174	189	157	1004_2000
175	190	202	1004_1800
176	190	157	2001_400,2002_400
177	191	144	2009_1200
178	191	188	1007_300
179	192	144	2009_1200
180	192	191	2001_400,2002_400
181	193	186	2009_1000
182	193	137	1004_1600
183	194	161	2009_1200
184	194	201	2001_400,2002_400
185	195	202	2009_1200
186	195	200	1007_300
187	196	140	2009_1000
188	196	169	1007_300
189	197	195	1004_1500
190	197	174	2009_1200
191	198	119	2009_1200
192	198	165	108_5280
193	199	178	1004_1800
194	199	139	108_5280
195	200	225	2009_1200
196	200	195	1004_2000
197	201	194	2009_1200
198	201	138	2001_1000,2002_1000
199	202	190	2009_1500
200	202	136	108_7680
201	203	131	1004_1200
202	203	108	2009_1000
203	204	205	2009_1200
204	204	206	108_5000
205	205	204	2009_1400
206	205	206	1007_350
207	206	204	1004_2000
208	206	208	2009_1500
209	207	208	2009_1400
210	207	205	1008_1300
211	208	204	2009_1400
212	208	207	108_5400
213	209	210	1004_2000
214	209	211	1007_350
215	210	209	1004_2000
216	210	212	108_5400
217	211	198	2009_1400
218	211	209	1007_350
219	212	209	2009_1400
220	212	210	1007_350
221	213	229	2009_1400
222	213	148	2001_500,2002_500
223	214	213	2009_1400
224	214	215	1007_350
225	215	198	2009_1400
226	215	213	1007_350
227	216	213	1004_2000
228	216	214	108_5400
229	217	152	1004_1500
230	217	124	2009_1200
231	218	219	1004_2000
232	218	221	1007_350
233	219	218	2009_1400
234	219	220	108_5400
235	220	221	2009_1400
236	220	218	1004_2200
237	221	218	2009_1400
238	221	219	1004_2200
239	222	223	1004_1500
240	222	229	2009_1200
241	223	222	2009_1000
242	223	228	1007_250
243	224	232	2009_1000
244	224	230	1004_1600
245	225	227	2009_1000
246	225	231	1007_250
247	226	225	2009_1000
248	226	229	1004_1600
249	227	226	2009_1000
250	227	228	1004_1600
251	228	131	1004_2000
252	228	105	1007_350
253	229	122	2009_1400
254	229	161	1004_2200
255	230	105	2009_1400
256	230	102	1004_2200
257	231	101	2009_1400
258	231	116	108_5400
259	232	225	1004_1500
260	232	230	2009_1200
261	233	109	2009_1400
262	233	231	1007_350
263	234	185	2009_1400
264	234	181	1007_350
265	239	118	2009_1400
266	239	157	1007_350
267	240	161	2009_1200
268	240	201	2001_400,2002_400
