id	繁中
28	<font color="#fed449" face = "Barlow-SemiBold" size ="100">MP:</font><font color="#02fd20" face = "Barlow-SemiBold" size ="100"> #v1#</font ><br/>
29	<font color="#fed449" face = "Barlow-SemiBold" size ="100">Power:</font><font color="#02fd20" face = "Barlow-SemiBold" size ="100"> #v1#</font ><font color="#9f67bf" face = "Barlow-SemiBold" size ="100">[Physical Defense</font><font color="#02fd20" face = "Barlow-SemiBold" size ="100"> +#v2# </font><font color="#9f67bf" face = "Barlow-SemiBold" size ="100">Hit value:</font><font color="#02fd20" face = "Barlow-SemiBold" size ="100"> + #v3#</font>#v4# <font color="#9f67bf" face = "Barlow-SemiBold" size ="100">]</font><br/>
30	<font color="#fed449" face = "Barlow-SemiBold" size ="100">Agility:</font><font color="#02fd20" face = "Barlow-SemiBold" size ="100"> #v1#</font ><font color="#9f67bf" face = "Barlow-SemiBold" size ="100">[ crit value</font><font color="#02fd20" face = "Barlow-SemiBold" size ="100"> +#v2 #</font><font color="#9f67bf" face = "Barlow-SemiBold" size ="100">Avoidance value</font><font color="#02fd20" face = "Barlow-SemiBold" size ="100"> + #v3#</font>#v4# <font color="#9f67bf" face = "Barlow-SemiBold" size ="100">]</font><br/>
31	<font color="#fed449" face = "Barlow-SemiBold" size ="100">Intelligence:</font><font color="#02fd20" face = "Barlow-SemiBold" size ="100"> #v1#</font ><font color="#9f67bf" face = "Barlow-SemiBold" size ="100">[Spell Defense</font><font color="#02fd20" face = "Barlow-SemiBold" size ="100"> +#v2# </font><font color="#9f67bf" face = "Barlow-SemiBold" size ="100">Recover every turn</font><font color="#02fd20" face = "Barlow-SemiBold" size ="100"> + #v3#</font><font color="#9f67bf" face = "Barlow-SemiBold" size ="100">MP</font>#v4# <font color="#9f67bf" face = "Barlow-SemiBold" size =" 100">]</font><br/>
32	<font color="#fed449" face = "Barlow-SemiBold" size ="100">Physical Strength:</font><font color="#02fd20" face = "Barlow-SemiBold" size ="100"> #v1#</font ><font color="#9f67bf" face = "Barlow-SemiBold" size ="100">[ HP</font><font color="#02fd20" face = "Barlow-SemiBold" size ="100"> +#v2#< /font><font color="#9f67bf" face = "Barlow-SemiBold" size ="100">Stamina</font><font color="#02fd20" face = "Barlow-SemiBold" size ="100"> +#v3 #</font><font color="#9f67bf" face = "Barlow-SemiBold" size ="100">]</font><br/>
33	<font color="#fed449" face = "Barlow-SemiBold" size ="100">Minimum Attack:</font><font color="#02fd20" face = "Barlow-SemiBold" size ="100"> #v1#</font> font><br/>
34	<font color="#fed449" face = "Barlow-SemiBold" size ="100">Max Attack:</font><font color="#02fd20" face = "Barlow-SemiBold" size ="100"> #v1#</font> font><br/>
35	<font color="#fed449" face = "Barlow-SemiBold" size ="100">Defense:</font><font color="#02fd20" face = "Barlow-SemiBold" size ="100"> #v1#</font> font><font color="#9f67bf" face = "Barlow-SemiBold" size ="100">[Reduce damage taken</font><font color="#02fd20" face = "Barlow-SemiBold" size ="100"> # v2#%</font><font color="#9f67bf" face = "Barlow-SemiBold" size ="100"> ]</font><br/>
36	<font color="#fed449" face = "Barlow-SemiBold" size ="100">Physical Defense:</font><font color="#02fd20" face = "Barlow-SemiBold" size ="100"> #v1#</font> font><font color="#9f67bf" face = "Barlow-SemiBold" size ="100">[ , physical damage taken reduced</font><font color="#02fd20" face = "Barlow-SemiBold" size ="100" > #v2#%</font><font color="#9f67bf" face = "Barlow-SemiBold" size ="100"> ]</font><br/>
37	<font color="#fed449" face = "Barlow-SemiBold" size ="100">Magic Defense:</font><font color="#02fd20" face = "Barlow-SemiBold" size ="100"> #v1#</font> font><font color="#9f67bf" face = "Barlow-SemiBold" size ="100">[Spell damage reduced</font><font color="#02fd20" face = "Barlow-SemiBold" size ="100"> #v2#%</font><font color="#9f67bf" face = "Barlow-SemiBold" size ="100"> ]</font><br/>
38	<font color="#fed449" face = "Barlow-SemiBold" size ="100">Crit:</font><font color="#02fd20" face = "Barlow-SemiBold" size ="100"> #v1#< /font><font color="#9f67bf" face = "Barlow-SemiBold" size ="100">[ Normal Attack</font><font color="#02fd20" face = "Barlow-SemiBold" size ="100"> #v2 #%</font><font color="#9f67bf" face = "Barlow-SemiBold" size ="100">Probability to hit </font><font color="#02fd20" face = "Barlow-SemiBold" size ="100" > #v3#%</font><font color="#9f67bf" face = "Barlow-SemiBold" size ="100">damage]</font><br/>
39	<font color="#fed449" face = "Barlow-SemiBold" size ="100">Hit value:</font><font color="#02fd20" face = "Barlow-SemiBold" size ="100"> #v1#</font> font><font color="#9f67bf" face = "Barlow-SemiBold" size ="100">[Attack hit rate]</font><br/>
40	<font color="#fed449" face = "Barlow-SemiBold" size ="100">Avoidance value:</font><font color="#02fd20" face = "Barlow-SemiBold" size ="100"> #v1#</font> font><font color="#9f67bf" face = "Barlow-SemiBold" size ="100">[Basic attack evasion rate]</font><br/>
41	<font color="#fed449" face = "Barlow-SemiBold" size ="100">Stamina:</font><font color="#02fd20" face = "Barlow-SemiBold" size ="100"> #v1#</font> font><font color="#9f67bf" face = "Barlow-SemiBold" size ="100">[Reduce opponent's critical strike chance]</font><br/>
42	<font color="#9f67bf" face = "Barlow-SemiBold" size ="100">Minimum Attack</font><font color="#02fd20" face = "Barlow-SemiBold" size ="100"> +#v1#</font> font> <font color="#9f67bf" face = "Barlow-SemiBold" size ="100">Max Attack</font><font color="#02fd20" face = "Barlow-SemiBold" size ="100"> +#v2# </font>
43	<font color="#351100" face = "Barlow-SemiBold" >#v1#</font>
44	<font color="#136811" face = "Barlow-SemiBold" >#v1#</font>
45	<font color="#204eda" face = "Barlow-SemiBold" >#v1#</font>
46	<font color="#cc20dc" face = "Barlow-SemiBold" >#v1#</font>
47	<p style="text-align:center" ><font color="#ffeec8" face = "Barlow-Bold" >#v1#</font></p>
48	<font color="#351100" face = "Barlow-SemiBold" >#v1# 特殊武器</font>
49	<font color="#b2630e" face = "Barlow-SemiBold" >装备战力 #v1#</font>
50	<font color="#351100" face = "Barlow-SemiBold" >#v1#</font>
51	<font color="#dc1f1f" face = "Barlow-SemiBold" >#v1#</font>
52	<font color="#136811" face = "Barlow-SemiBold" >#v1# +#v3#[condition:full body strengthening+#v2#]</font>
53	<font color="#6f2f00" face = "Barlow-SemiBold" >#v1# +#v3#[condition:full body strengthening+#v2#]</font>
54	<font color="#136811" face = "Barlow-SemiBold" >#v1#</font>
55	<p style="margin:8"><font color="#6f2f00" face = "Barlow-SemiBold" >#v1#</font><br/><font color="#dc1f1f" face = "Barlow-SemiBold" >#v2#</font></p>
56	<font color="#6f2f00" face = "Barlow-SemiBold" >#v1#</font>
57	<font color="#351100" face = "Barlow-SemiBold" >#v1#</font>
58	<font color="#136811" face = "Barlow-SemiBold" >#v1#</font>
59	<font color="#204eda" face = "Barlow-SemiBold" >#v1#</font>
60	<font color="#cc20dc" face = "Barlow-SemiBold" >#v1#</font>
61	<font color="#e36000" face = "Barlow-SemiBold" >#v1#</font>
62	<font color="#6f2f00" face = "Barlow-SemiBold" >Reward:</font><font color="#204eda" face = "Barlow-SemiBold" >#v1#</font><font color="#f9b522" face = "Barlow-SemiBold" >x#v2#</font><font color="#204eda" face = "Barlow-SemiBold" > #v3#</font><font color="#f9b522" face = "Barlow-SemiBold" >x# v4#</font><font color="#204eda" face = "Barlow-SemiBold" > #v5#</font><font color="#f9b522" face = "Barlow-SemiBold" >x#v6#</font>
63	<font color="#2c84fb" face = "Barlow-SemiBold" >#v1# #v2#[#v3#]</font>
64	<p style="margin:#v1#px">#v2#</p>
65	<font color="#ff0018" face = "Barlow-SemiBold" >#v1#</font><br/>
66	<font color="#351100" face = "Barlow-SemiBold" >#v1# Special Equipment</font>
67	<font color="#b2630e" face = "Barlow-SemiBold" >装备战力 #v1#</font>
68	<font color="#6f2f00" face = "Barlow-SemiBold" >#v1#</font>
69	<font color="#dc1f1f" face = "Barlow-SemiBold" >#v1#</font>
70	<font color="#6f2f00" face = "Barlow-SemiBold" >#v1#</font>
71	<font color="#24b23e" face = "Barlow-SemiBold" >#v1#</font>
72	<font color="#204eda" face = "Barlow-SemiBold" >#v1#</font>
73	<font color="#cc20dc" face = "Barlow-SemiBold" >#v1#</font>
74	<font color="#d78b20" face = "Barlow-SemiBold" >#v1#</font>
75	<font color="#6f2f00" face = "Barlow-SemiBold" >#v1# +#v3#[Condition:Next Star・Full Body Enhancement+#v2#]</font>
76	<font color="#ff0018" face = "Barlow-SemiBold" >#v1#</font><font color="#9f67bf" face = "Barlow-SemiBold" size ="100">(ignore</font><font color= "#02fd20" face = "Barlow-SemiBold" size ="100"> #v2#%</font><font color="#9f67bf" face = "Barlow-SemiBold" size ="100">#v3#)</font> <br/>
78	<ccb src = "ccbi/EquipAni04.ccbi" play = "auto" />
79	<font color="#b2630e" face = "Barlow-SemiBold" >#v1#(#v2#/#v3#)</font>
80	<font color="#000000" face = "Barlow-SemiBold" >[#v1#件]#v2#</font>
81	<font color="#6f2f00" face = "Barlow-SemiBold" >[#v1#件]#v2#</font>
82	<font color="#b2630e" face = "Barlow-SemiBold" >Set Attributes:</font>
83	<font color="#6f2f00" face = "Barlow-SemiBold" ></font><font color="#f9b522" face = "Barlow-SemiBold" >#v1#diamond</font><font color="#6f2f00" face = "Barlow-SemiBold" >buy</font><font color="#f9b522" face = "Barlow-SemiBold" >VIP#v2#</font>
84	<font color="#f63345" face = "Barlow-SemiBold" >ttagj</font><font color="#6f2f00" face = "Barlow-SemiBold" >input</font><font color="#f63345" face = "Barlow-SemiBold " >100</font><font color="#6f2f00" face = "Barlow-SemiBold" >Diamonds and</font><font color="#f63345" face = "Barlow-SemiBold" >Most</font><font color= "#6f2f00" face = "Barlow-SemiBold" >1 text gain</font><br/><font color="#f63345" face = "Barlow-SemiBold" > qmgj</font><font color="#6f2f00" face = "Barlow-SemiBold" >Enter</font><font color="#6f2f00" face = "Barlow-SemiBold" >で</font><font color="#f63345" face = "Barlow-SemiBold" >300</font><font color ="#6f2f00" face = "Barlow-SemiBold" >Diamonds possible</font>
85	<p style="margin:3px; text-align:center;" ><font color="#ffeec8" face = "Barlow-SemiBold20" >#v1#</font></p>
86	<font color="#f9b522" face = "Barlow-SemiBold" >购买后</font><font color="#dc1f1f" face = "Barlow-SemiBold" > #v1#</font><font color="#f9b522" face = "Barlow-SemiBold" >的状态随机变化</font>
87	<font color="#faf84a" face = "Barlow-SemiBold" >#v1# Special Gear</font>
88	<p style="margin:10px" ><font color="#faf84a" size ="100" face = "Barlow-SemiBold" >When fused</font><font color="#f64d4d" size ="100" face = "Barlow-SemiBold" >Unnecessary equipment can be replaced</font><font color="#faf84a" size="100" face = "Barlow-SemiBold" >with</font><font color="#f64d4d" size = "100" face = "Barlow-SemiBold" >High level gear</font><font color="#faf84a" size="100" face = "Barlow-SemiBold" >or</font><font color="#f64d4d" size ="100" face = "Barlow-SemiBold" >Change to Fusion XP</font><font color="#faf84a" size ="100" face = "Barlow-SemiBold" >Fusion XP can be used for</font><font color="#f64d4d" size ="100" face = "Barlow-SemiBold" >Made</font><font color="#faf84a" size ="100" face = "Barlow-SemiBold" >High-level gear.</font> </p>
89	<p style="margin:10px" ><font color="#faf84a" face = "Barlow-SemiBold" >After the game starts</font><font color="#f64d4d" face = "Barlow-SemiBold" >Auto battle</font ><font color="#faf84a" face = "Barlow-SemiBold" >Start,</font><font color="#f64d4d" face = "Barlow-SemiBold" >Game Over</font><font color="#faf84a" face = "Barlow-SemiBold" >Even if</font><font color="#f64d4d" face = "Barlow-SemiBold" >Turn off mobile</font><font color="#faf84a" face = "Barlow-SemiBold" ></font>< font color="#f64d4d" face = "Barlow-SemiBold" >The battle will also continue automatically.</font><font color="#faf84a" face = "Barlow-SemiBold" >(Data communication will not take place) Start the game and display the automatic battle experience points and equipment obtained in the .</font></p>
90	<p style="margin:10px" ><font color="#f64d4d" face = "Barlow-SemiBold" >Gear Crafting, Fusion, Store Update</font><font color="#faf84a" face = "Barlow-SemiBold" > Wait, you'll get powerful gear. And </font><font color="#f64d4d" face = "Barlow-SemiBold" >for quick combat</font><font color="#faf84a" face = "Barlow-SemiBold" >can only Play once, and it's over.</font></p>
91	<p style="margin:10px" ><font color="#faf84a" face = "Barlow-SemiBold" >on the interface</font><font color="#f64d4d" face = "Barlow-SemiBold" >skill exchange</font ><font color="#faf84a" face = "Barlow-SemiBold" >, set the learned skills, and the battle will advance in a favorable direction.</font></p>
92	<p style="margin:10px" ><font color="#faf84a" face = "Barlow-SemiBold" >Battle completes automatically</font><font color="#f64d4d" face = "Barlow-SemiBold" >Attack, skill cast, Gold & EXP & Equipment </font><font color="#faf84a" face = "Barlow-SemiBold" >Go ahead.</font><font color="#f64d4d" face = "Barlow-SemiBold" >Defeat BOSS</font> font><font color="#faf84a" face = "Barlow-SemiBold" >, automatically open </font><font color="#f64d4d" face = "Barlow-SemiBold" >new level, </font><font color= "#faf84a" face = "Barlow-SemiBold" >Experience or gold gained will increase.</font></p>
93	<p style="text-align:center" ><font color="#ffeec8" face = "Barlow-Bold" >#v1#</font></p>
94	<p style="text-align:center" ><font color="#ffeec8" face = "Barlow-Bold" >#v1#</font></p>
95	<p style="text-align:center" ><font color="#ffeec8" face = "Barlow-Bold" >#v1#</font></p>
96	<p style="text-align:center" ><font color="#ffeec8" face = "Barlow-Bold" >#v1#</font></p>
97	<p style="text-align:center" ><font color="#ffeec8" face = "Barlow-Bold" >#v1#</font></p>
98	<font color="#f66f11" face = "Barlow-SemiBold" ><br/>When merging, select equipment with higher rarity to create rare equipment.</font>
99	<font color="#dc1f1f" face = "Barlow-SemiBold" size ="100">#v1#</font><font color="#10a408" face = "Barlow-SemiBold" size ="100">[Beauty Ambassador]- -</font><font color="#cb02fd" face = "Barlow-SemiBold" size ="100">#v2#</font>
100	<font color="#6f2f00" face = "Barlow-SemiBold" >Remaining</font><font color="#f9b522" face = "Barlow-SemiBold" >#v1#</font><font color="#6f2f00" face = "Barlow-SemiBold" >days</font>
101	<font color="#6f2f00" face = "Barlow-SemiBold" >Pass this stage with personal contribution value</font><font color="#f9b522" face = "Barlow-SemiBold" >#v1#</font><font color ="#6f2f00" face = "Barlow-SemiBold" >, you will get.</font>
102	<font color="#f9b522" face = "Barlow-SemiBold" >The higher the rarity, the stronger the status.</font>
103	<font color="#625141" face = "Barlow-SemiBold" >#v1#</font><font color="#136811" face = "Barlow-SemiBold" >  +#v2#</font>
104	<font color="#625141" face = "Barlow-SemiBold" >#v1#</font>
105	<font color="#6f2f00" face = "Barlow-SemiBold" size ="100">Purchase</font><font color="#00ff00" face = "Barlow-SemiBold" > #v1#</font><font  color="#6f2f00"face = "Barlow-SemiBold" size ="100">diamonds today.</font><font  color="#00ff00" face = "Barlow-SemiBold" size ="100"> #v2#</font><font  color="#6f2f00"face = "Barlow-SemiBold" size ="100">use diamonds to change skycoins</font>
106	<font color="#6f2f00" face = "Barlow-SemiBold" >#v1#</font><font color="#24b23e" face = "Barlow-SemiBold" > → +#v2#</font>
107	<font color="#6f2f00" face = "Barlow-SemiBold" >The number of challenges available today is </font><font color="#dc1f1f" face = "Barlow-SemiBold" > 0 </font><font color="#6f2f00" face = "Barlow-SemiBold" >.</font><font color="#f9b522" face = "Barlow-SemiBold" >Want to use</font><font color="#6f2f00" face = "Barlow-SemiBold" >BOSS Challenge Ticket< /font><br/><br/><font color="#6f2f00" face = "Barlow-SemiBold" > (quantity in warehouse:</font><font color="#00fe18" face = "Barlow-SemiBold" > # v1#</font><font color="#6f2f00" face = "Barlow-SemiBold" >)</font>
108	<font color="#6f2f00" face = "Barlow-SemiBold" >+#v1#</font>
109	<font color="#6f2f00" face = "Barlow-SemiBold" >(</font><font color="#24b23e" face = "Barlow-SemiBold" >+#v1#</font><font color="#6f2f00" face = "Barlow-SemiBold" >)</font>
110	<font color="#6f2f00" face = "Barlow-SemiBold" >Congratulations!</font><font color="#6f2f00" face = "Barlow-SemiBold" > </font><font color="#f9b522" face = "Barlow-SemiBold " >You are VIP15 now!</font>.
111	<font color="#6f2f00" face = "Barlow-SemiBold" > </font><font color="#6f2f00" face = "Barlow-SemiBold" >#v1#</font><font color="#6f2f00" face = " Barlow-SemiBold" >Back</font><font color="#6f2f00" face = "Barlow-SemiBold" >Lv#v2#</font><font color="#6f2f00" face = "Barlow-SemiBold" >The above enemy soldiers defeated </font>
112	<font color="#6f2f00" face = "Barlow-SemiBold" >#v1#:</font><font color="#6f2f00" face = "Barlow-SemiBold" >#v2#</font>
113	<font color="#6f2f00" face = "Barlow-SemiBold" >Today</font><font color="#6f2f00" face = "Barlow-SemiBold" >#v1#</font><font color="#6f2f00" face = "Barlow-SemiBold" >Back quests can be completed</font><br/><font color="#6f2f00" face = "Barlow-SemiBold" >After the level of the Hero Order increases, more #v2#</font> will be able to get.
114	<font color="#6f2f00" face = "Barlow-SemiBold" >crusade:</font><font color="#6f2f00" face = "Barlow-SemiBold" >Lv#v1#</font><font color="#6f2f00" face = "Barlow-SemiBold" >Monster above</font>
115	<font color="#6f2f00" face = "Barlow-SemiBold" >Progress:</font><font color="#6f2f00" face = "Barlow-SemiBold" >#v1#/#v2#</font>
116	<font color="#6f2f00" face = "Barlow-SemiBold" >Thursday</font><font color="#00ff00" face = "Barlow-SemiBold" >18:00</font><font color="#6f2f00" face = "Barlow-SemiBold" >Click to post the top 32 battle table</font>
117	<font color="#6f2f00" face = "Barlow-SemiBold" >requires #v1#:#v2#(all:</font><font color="#dc1f1f" face = "Barlow-SemiBold" >#v3#</font> <font color="#6f2f00" face = "Barlow-SemiBold" >)</font>
118	<font color="#6f2f00" face = "Barlow-SemiBold" >requires #v1#:#v2#(all:</font><font color="#00ff00" face = "Barlow-SemiBold" >#v3#</font> <font color="#6f2f00" face = "Barlow-SemiBold" >)</font>
119	<p style="text-align:center" ><font color="#ffeec8" face = "Barlow-Bold" >#v1#</font></p>
120	<font color="#dc1f1f" face = "Barlow-SemiBold" >#v1#</font>
121	<font color="#dc1f1f" face = "Barlow-SemiBold" >#v1#</font>
122	<font color="#b2630e" face = "Barlow-SemiBold" >#v1#</font>
123	<font color="#6f2f00" face = "Barlow-SemiBold" >The number of challenges available today is </font><font color="#dc1f1f" face = "Barlow-SemiBold" > 0 </font><font color="#6f2f00" face = "Barlow-SemiBold" >.</font><font color="#f9b522" face = "Barlow-SemiBold" >Want to use</font><font color="#6f2f00" face = "Barlow-SemiBold" >School Trip Coupon </font><br/><br/><font color="#6f2f00" face = "Barlow-SemiBold" >(quantity in warehouse:</font><font color="#00fe18" face = "Barlow-SemiBold" > #v1#</font><font color="#6f2f00" face = "Barlow-SemiBold" >)</font>
124	<font color="#EE7700" face = "Barlow-SemiBold" >#v1#</font><font color="#136811" face = "Barlow-SemiBold" >#v2#</font>
150	<font color="#6f2f00" face = "Barlow-SemiBold" >#v1#(#v2#/#v3#)</font>
151	<font color="#6f2f00" face = "Barlow-SemiBold" >#v1# Special Gear</font>
152	<font color="#6f2f00" face = "Barlow-SemiBold" >装备战力 #v1#</font>
153	<font color="#6f2f00" face = "Barlow-SemiBold" >#v1#</font>
154	<font color="#6f2f00" face = "Barlow-SemiBold" >Set Attributes:</font>
155	<font color="#136811" face = "Barlow-SemiBold" >[#v1#件]#v2#</font>
156	<font color="#6f2f00" face = "Barlow-SemiBold" >[#v1#件]#v2#</font>
157	<font color="#dc1f1f" face = "Barlow-SemiBold" >#v1#</font>
158	<font color="#136811" face = "Barlow-SemiBold" >#v1# +#v3#[condition:full body strengthening+#v2#]</font>
159	<font color="#6f2f00" face = "Barlow-SemiBold" >#v1# +#v3#[condition:full body strengthening+#v2#]</font>
160	<font color="#6f2f00" face = "Barlow-SemiBold" >#v1# +#v3#[Condition:Next Star・Full Body Enhancement+#v2#]</font>
161	<font color="#6f2f00" face = "Barlow-SemiBold" >#v1#</font>
162	<font color="#6f2f00" face = "Barlow-SemiBold" >#v1#</font>
163	<font color="#24b23e" face = "Barlow-SemiBold" >#v1#</font>
164	<font color="#204eda" face = "Barlow-SemiBold" >#v1#</font>
165	<font color="#cc20dc" face = "Barlow-SemiBold" >#v1#</font>
166	<font color="#d78b20" face = "Barlow-SemiBold" >#v1#</font>
167	<font color="#dc1f1f" face = "Barlow-SemiBold" >#v1#</font>
168	<font color="#ff0000" face = "Barlow-SemiBold">#v1#</font><font color="#6f2f00" face = "Barlow-SemiBold" >/#v2#</font>
169	<font color="#6f2f00" face = "Barlow-SemiBold" >#v1#/#v2#</font>
170	<font color="#351100" face = "Barlow-SemiBold" >#v1#</font>
171	<font color="#351100" face = "Barlow-SemiBold" >#v1#(</font><font color="#136811" face = "Barlow-SemiBold" >#v2#</font><font color="#351100 " face = "Barlow-SemiBold" >)</font>
172	<font color="#136811" face = "Barlow-SemiBold" >(after #v1# enhancements)</font>
173	<font color="#ff0000" face = "Barlow-SemiBold">#v1#</font>
174	<font color="#ff0000" face = "Barlow-SemiBold#v1#">#v2#</font>
175	<font color="#6f2f00" face = "Barlow-SemiBold" >#v1# +#v3#[conditions:</font><font color="#136811" face = "Barlow-SemiBold" >next star</font> <font color="#6f2f00" face = "Barlow-SemiBold" >・Full body strengthening+#v2#]</font>
176	<font color="#6f2f00" face = "Barlow-SemiBold" >#v1# +#v3#[Condition:Next Star・</font><font color="#136811" face = "Barlow-SemiBold" >Full Body Enhancement+ #v2#</font><font color="#6f2f00" face = "Barlow-SemiBold" >]</font>
177	<font color="#136811" face = "Barlow-SemiBold" >#v1#</font>
178	<font color="#6f2f00" face = "Barlow-SemiBold" >#v1#</font>
179	<font color="#24b23e" face = "Barlow-SemiBold" >#v1#</font>
180	<font color="#6f2f00" face = "Barlow-SemiBold" >#v1#</font>
181	<p style="text-align:center" ><font color="#296ee1" face = "Barlow-SemiBold" >#v1#</font></p>
182	<font color="#ff0000" face = "Barlow-SemiBold" >#v1#</font><font color="#01BF71" face = "Barlow-SemiBold">/#v2#</font>
183	<font color="#01BF71" face = "Barlow-SemiBold" >#v1#/#v2#</font>
199	<p style="margin:12px" ><font color="#6f2f00" face = "Barlow-SemiBold" >累积充值</font><font color="#f9b522" face = "Barlow-SemiBold" > JG Coin #v1# < /font><font color="#6f2f00" face = "Barlow-SemiBold" >启动特权</font></p>
200	<p style="margin:12px" ><font color="#6f2f00" face = "Barlow-SemiBold" >累积充值</font><font color="#f9b522" face = "Barlow-SemiBold" > HoneyP #v1# </ font><font color="#6f2f00" face = "Barlow-SemiBold" >启动特权</font></p>
201	<p style="margin:12px" ><font color="#6f2f00" face = "Barlow-SemiBold" >累积充值</font><font color="#f9b522" face = "Barlow-SemiBold" > vip声望 #v1# </ font><font color="#6f2f00" face = "Barlow-SemiBold" >启动特权</font></p>
202	<p style="margin:12px" ><font color="#6f2f00" face = "Barlow-SemiBold" >最大挂机时间</font><font color="#f9b522" face = "Barlow-SemiBold" > #v1#小时</font></p>
203	<p style="margin:12px" ><font color="#6f2f00" face = "Barlow-SemiBold" >挂机经验和金币获得量增加</font><font color="#f9b522" face = "Barlow-SemiBold" > #v1#%</font></p>
204	<p style="margin:12px" ><font color="#6f2f00" face = "Barlow-SemiBold" >每日可兑换金币</font><font color="#f9b522" face = "Barlow-SemiBold" > #v1#次</font></p>
205	<p style="margin:12px" ><font color="#6f2f00" face = "Barlow-SemiBold" >每日可快速战斗</font><font color="#f9b522" face = "Barlow-SemiBold" > #v1#次</font></p>
206	<p style="margin:12px" ><font color="#6f2f00" face = "Barlow-SemiBold" >每日可购买挑战地下城</font><font color="#f9b522" face = "Barlow-SemiBold" > #v1#次</font></p>
207	<p style="margin:12px" ><font color="#6f2f00" face = "Barlow-SemiBold" >每日可任务派遣</font><font color="#f9b522" face = "Barlow-SemiBold" > #v1#次</font></p>
208	<p style="margin:12px" ><font color="#6f2f00" face = "Barlow-SemiBold" >秘密信条最大体力</font><font color="#f9b522" face = "Barlow-SemiBold" > #v1#</font></p>
209	<p style="margin:12px" ><font color="#6f2f00" face = "Barlow-SemiBold" >秘密信条每15分钟回復体力</font><font color="#f9b522" face = "Barlow-SemiBold" > #v1#/點</font></p>
210	<p style="margin:12px" ><font color="#6f2f00" face = "Barlow-SemiBold" >开放种族召唤保底</font></p>
217	<p style="margin:12px" ><font color="#6f2f00" face = "Barlow-SemiBold" >The younger generation can automatically develop at high speed</font></p>
218	<p style="margin:12px" ><font color="#6f2f00" face = "Barlow-SemiBold" > </font></p>
221	<p style="margin:12px" ><font color="#6f2f00" face = "Barlow-SemiBold" >You can apply for hang up battle in the battle of Riptide Valley</font></p>
222	<p style="margin:12px" ><font color="#6f2f00" face = "Barlow-SemiBold" >Found when defeating the boss</font><font color="#f9b522" face = "Barlow-SemiBold" >#v1# < /font><font color="#6f2f00" face = "Barlow-SemiBold" >Found!</font></p>
223	<p style="margin:12px" ><font color="#6f2f00" face = "Barlow-SemiBold" >Daily evolution book usage</font><font color="#f9b522" face = "Barlow-SemiBold" ># v1#</font></p>
241	<p style="margin:12px" ><font color="#009953" face = "Barlow-SemiBold" >Can use BOSS sweep</font></p>
242	<p style="margin:12px" ><font color="#009953" face = "Barlow-SemiBold" >Can automatically participate in guild boss battles</font></p>
243	<p style="margin:12px" ><font color="#009953" face = "Barlow-SemiBold" >The UR junior "Lilith" can be purchased</font></p>
244	<p style="margin:12px" ><font color="#009953" face = "Barlow-SemiBold" >Arena, BOSS battles can be skipped</font></p>
