id	type	month	days	awards
354	1	12	20	10000_1001_500
355	1	12	21	10000_1001_500
356	1	12	22	30000_7001_25000
357	1	12	23	10000_1001_500
358	1	12	24	30000_7009_1
359	1	12	25	10000_1001_500
360	1	12	26	10000_1001_500
361	1	12	27	30000_7001_25000
362	1	12	28	10000_1001_500
363	1	12	29	10000_1026_840
364	1	12	30	10000_1001_500
365	1	12	31	10000_1001_500
366	2	1	1	30000_6003_5
367	2	1	2	10000_1001_1000
368	2	1	3	30000_7012_2
369	2	1	4	10000_1001_1000
370	2	1	5	30000_7157_1
371	2	1	6	10000_1001_1000
372	2	1	7	30000_6003_5
373	2	1	8	10000_1001_1000
374	2	1	9	10000_1026_2100
375	2	1	10	30000_7026_2
376	2	1	11	10000_1001_1000
377	2	1	12	10000_1001_1000
378	2	1	13	30000_7012_2
379	2	1	14	10000_1001_1000
380	2	1	15	30000_7117_1
381	2	1	16	30000_7157_1
382	2	1	17	10000_1001_1000
383	2	1	18	30000_7012_2
384	2	1	19	10000_1001_1000
385	2	1	20	10000_1001_1000
386	2	1	21	10000_1001_1000
387	2	1	22	30000_7012_2
388	2	1	23	10000_1001_1000
389	2	1	24	30000_7026_2
390	2	1	25	10000_1001_1000
391	2	1	26	10000_1001_1000
392	2	1	27	30000_7012_2
393	2	1	28	10000_1001_1000
394	2	1	29	10000_1026_2100
395	2	1	30	10000_1001_1000
396	2	1	31	10000_1001_1000
397	2	2	1	30000_6003_5
398	2	2	2	10000_1001_1000
399	2	2	3	30000_7012_2
400	2	2	4	10000_1001_1000
401	2	2	5	30000_7157_1
402	2	2	6	10000_1001_1000
403	2	2	7	30000_6003_5
404	2	2	8	10000_1001_1000
405	2	2	9	10000_1026_2100
406	2	2	10	30000_7026_2
407	2	2	11	10000_1001_1000
408	2	2	12	10000_1001_1000
409	2	2	13	30000_7012_2
410	2	2	14	10000_1001_1000
411	2	2	15	30000_7117_1
412	2	2	16	30000_7157_1
413	2	2	17	10000_1001_1000
414	2	2	18	30000_7012_2
415	2	2	19	10000_1001_1000
416	2	2	20	10000_1001_1000
417	2	2	21	10000_1001_1000
418	2	2	22	30000_7012_2
419	2	2	23	10000_1001_1000
420	2	2	24	30000_7026_2
421	2	2	25	10000_1001_1000
422	2	2	26	10000_1001_1000
423	2	2	27	30000_7012_2
424	2	2	28	10000_1026_2100
425	2	3	1	30000_6003_5
426	2	3	2	10000_1001_1000
427	2	3	3	30000_7012_2
428	2	3	4	10000_1001_1000
429	2	3	5	30000_7157_1
430	2	3	6	10000_1001_1000
431	2	3	7	30000_6003_5
432	2	3	8	10000_1001_1000
433	2	3	9	10000_1026_2100
434	2	3	10	30000_7026_2
435	2	3	11	10000_1001_1000
436	2	3	12	10000_1001_1000
437	2	3	13	30000_7012_2
438	2	3	14	10000_1001_1000
439	2	3	15	30000_7117_1
440	2	3	16	30000_7157_1
441	2	3	17	10000_1001_1000
442	2	3	18	30000_7012_2
443	2	3	19	10000_1001_1000
444	2	3	20	10000_1001_1000
445	2	3	21	10000_1001_1000
446	2	3	22	30000_7012_2
447	2	3	23	10000_1001_1000
448	2	3	24	30000_7026_2
449	2	3	25	10000_1001_1000
450	2	3	26	10000_1001_1000
451	2	3	27	30000_7012_2
452	2	3	28	10000_1001_1000
453	2	3	29	10000_1026_2100
454	2	3	30	10000_1001_1000
455	2	3	31	10000_1001_1000
456	2	4	1	30000_6003_5
457	2	4	2	10000_1001_1000
458	2	4	3	30000_7012_2
459	2	4	4	10000_1001_1000
460	2	4	5	30000_7157_1
461	2	4	6	10000_1001_1000
462	2	4	7	30000_6003_5
463	2	4	8	10000_1001_1000
464	2	4	9	10000_1026_2100
465	2	4	10	30000_7026_2
466	2	4	11	10000_1001_1000
467	2	4	12	10000_1001_1000
468	2	4	13	30000_7012_2
469	2	4	14	10000_1001_1000
470	2	4	15	30000_7117_1
471	2	4	16	30000_7157_1
472	2	4	17	10000_1001_1000
473	2	4	18	30000_7012_2
474	2	4	19	10000_1001_1000
475	2	4	20	10000_1001_1000
476	2	4	21	10000_1001_1000
477	2	4	22	30000_7012_2
478	2	4	23	10000_1001_1000
479	2	4	24	30000_7026_2
480	2	4	25	10000_1001_1000
481	2	4	26	10000_1001_1000
482	2	4	27	30000_7012_2
483	2	4	28	10000_1001_1000
484	2	4	29	10000_1026_2100
485	2	4	30	10000_1001_1000
486	2	5	1	30000_6003_5
487	2	5	2	10000_1001_1000
488	2	5	3	30000_7012_2
489	2	5	4	10000_1001_1000
490	2	5	5	30000_7157_1
491	2	5	6	10000_1001_1000
492	2	5	7	30000_6003_5
493	2	5	8	10000_1001_1000
494	2	5	9	10000_1026_2100
495	2	5	10	30000_7026_2
496	2	5	11	10000_1001_1000
497	2	5	12	10000_1001_1000
498	2	5	13	30000_7012_2
499	2	5	14	10000_1001_1000
500	2	5	15	30000_7117_1
501	2	5	16	30000_7157_1
502	2	5	17	10000_1001_1000
503	2	5	18	30000_7012_2
504	2	5	19	10000_1001_1000
505	2	5	20	10000_1001_1000
506	2	5	21	10000_1001_1000
507	2	5	22	30000_7012_2
508	2	5	23	10000_1001_1000
509	2	5	24	30000_7026_2
510	2	5	25	10000_1001_1000
511	2	5	26	10000_1001_1000
512	2	5	27	30000_7012_2
513	2	5	28	10000_1001_1000
514	2	5	29	10000_1026_2100
515	2	5	30	10000_1001_1000
516	2	5	31	10000_1001_1000
517	2	6	1	30000_6003_5
518	2	6	2	10000_1001_1000
519	2	6	3	30000_7012_2
520	2	6	4	10000_1001_1000
521	2	6	5	30000_7157_1
522	2	6	6	10000_1001_1000
523	2	6	7	30000_6003_5
524	2	6	8	10000_1001_1000
525	2	6	9	10000_1026_2100
526	2	6	10	30000_7026_2
527	2	6	11	10000_1001_1000
528	2	6	12	10000_1001_1000
529	2	6	13	30000_7012_2
530	2	6	14	10000_1001_1000
531	2	6	15	30000_7117_1
532	2	6	16	30000_7157_1
533	2	6	17	10000_1001_1000
534	2	6	18	30000_7012_2
535	2	6	19	10000_1001_1000
536	2	6	20	10000_1001_1000
537	2	6	21	10000_1001_1000
538	2	6	22	30000_7012_2
539	2	6	23	10000_1001_1000
540	2	6	24	30000_7026_2
541	2	6	25	10000_1001_1000
542	2	6	26	10000_1001_1000
543	2	6	27	30000_7012_2
544	2	6	28	10000_1001_1000
545	2	6	29	10000_1026_2100
546	2	6	30	10000_1001_1000
547	2	7	1	30000_6003_5
548	2	7	2	10000_1001_1000
549	2	7	3	30000_7012_2
550	2	7	4	10000_1001_1000
551	2	7	5	30000_7157_1
552	2	7	6	10000_1001_1000
553	2	7	7	30000_6003_5
554	2	7	8	10000_1001_1000
555	2	7	9	10000_1026_2100
556	2	7	10	30000_7026_2
557	2	7	11	10000_1001_1000
558	2	7	12	10000_1001_1000
559	2	7	13	30000_7012_2
560	2	7	14	10000_1001_1000
561	2	7	15	30000_7117_1
562	2	7	16	30000_7157_1
563	2	7	17	10000_1001_1000
564	2	7	18	30000_7012_2
565	2	7	19	10000_1001_1000
566	2	7	20	10000_1001_1000
567	2	7	21	10000_1001_1000
568	2	7	22	30000_7012_2
569	2	7	23	10000_1001_1000
570	2	7	24	30000_7026_2
571	2	7	25	10000_1001_1000
572	2	7	26	10000_1001_1000
573	2	7	27	30000_7012_2
574	2	7	28	10000_1001_1000
575	2	7	29	10000_1026_2100
576	2	7	30	10000_1001_1000
577	2	7	31	10000_1001_1000
578	2	8	1	30000_6003_5
579	2	8	2	10000_1001_1000
580	2	8	3	30000_7012_2
581	2	8	4	10000_1001_1000
582	2	8	5	30000_7157_1
583	2	8	6	10000_1001_1000
584	2	8	7	30000_6003_5
585	2	8	8	10000_1001_1000
586	2	8	9	10000_1026_2100
587	2	8	10	30000_7026_2
588	2	8	11	10000_1001_1000
589	2	8	12	10000_1001_1000
590	2	8	13	30000_7012_2
591	2	8	14	10000_1001_1000
592	2	8	15	30000_7117_1
593	2	8	16	30000_7157_1
594	2	8	17	10000_1001_1000
595	2	8	18	30000_7012_2
596	2	8	19	10000_1001_1000
597	2	8	20	10000_1001_1000
598	2	8	21	10000_1001_1000
599	2	8	22	30000_7012_2
600	2	8	23	10000_1001_1000
601	2	8	24	30000_7026_2
602	2	8	25	10000_1001_1000
603	2	8	26	10000_1001_1000
604	2	8	27	30000_7012_2
605	2	8	28	10000_1001_1000
606	2	8	29	10000_1026_2100
607	2	8	30	10000_1001_1000
608	2	8	31	10000_1001_1000
609	2	9	1	30000_6003_5
610	2	9	2	10000_1001_1000
611	2	9	3	30000_7012_2
612	2	9	4	10000_1001_1000
613	2	9	5	30000_7157_1
614	2	9	6	10000_1001_1000
615	2	9	7	30000_6003_5
616	2	9	8	10000_1001_1000
617	2	9	9	10000_1026_2100
618	2	9	10	30000_7026_2
619	2	9	11	10000_1001_1000
620	2	9	12	10000_1001_1000
621	2	9	13	30000_7012_2
622	2	9	14	10000_1001_1000
623	2	9	15	30000_7117_1
624	2	9	16	30000_7157_1
625	2	9	17	10000_1001_1000
626	2	9	18	30000_7012_2
627	2	9	19	10000_1001_1000
628	2	9	20	10000_1001_1000
629	2	9	21	10000_1001_1000
630	2	9	22	30000_7012_2
631	2	9	23	10000_1001_1000
632	2	9	24	30000_7026_2
633	2	9	25	10000_1001_1000
634	2	9	26	10000_1001_1000
635	2	9	27	30000_7012_2
636	2	9	28	10000_1001_1000
637	2	9	29	10000_1026_2100
638	2	9	30	10000_1001_1000
639	2	10	1	30000_6003_5
640	2	10	2	10000_1001_1000
641	2	10	3	30000_7012_2
642	2	10	4	10000_1001_1000
643	2	10	5	30000_7157_1
644	2	10	6	10000_1001_1000
645	2	10	7	30000_6003_5
646	2	10	8	10000_1001_1000
647	2	10	9	10000_1026_2100
648	2	10	10	30000_7026_2
649	2	10	11	10000_1001_1000
650	2	10	12	10000_1001_1000
651	2	10	13	30000_7012_2
652	2	10	14	10000_1001_1000
653	2	10	15	30000_7117_1
654	2	10	16	30000_7157_1
655	2	10	17	10000_1001_1000
656	2	10	18	30000_7012_2
657	2	10	19	10000_1001_1000
658	2	10	20	10000_1001_1000
659	2	10	21	10000_1001_1000
660	2	10	22	30000_7012_2
661	2	10	23	10000_1001_1000
662	2	10	24	30000_7026_2
663	2	10	25	10000_1001_1000
664	2	10	26	10000_1001_1000
665	2	10	27	30000_7012_2
666	2	10	28	10000_1001_1000
667	2	10	29	10000_1026_2100
668	2	10	30	10000_1001_1000
669	2	10	31	10000_1001_1000
670	2	11	1	30000_6003_5
671	2	11	2	10000_1001_1000
672	2	11	3	30000_7012_2
673	2	11	4	10000_1001_1000
674	2	11	5	30000_7157_1
675	2	11	6	10000_1001_1000
676	2	11	7	30000_6003_5
677	2	11	8	10000_1001_1000
678	2	11	9	10000_1026_2100
679	2	11	10	30000_7026_2
680	2	11	11	10000_1001_1000
681	2	11	12	10000_1001_1000
682	2	11	13	30000_7012_2
683	2	11	14	10000_1001_1000
684	2	11	15	30000_7117_1
685	2	11	16	30000_7157_1
686	2	11	17	10000_1001_1000
687	2	11	18	30000_7012_2
688	2	11	19	10000_1001_1000
689	2	11	20	10000_1001_1000
690	2	11	21	10000_1001_1000
691	2	11	22	30000_7012_2
692	2	11	23	10000_1001_1000
693	2	11	24	30000_7026_2
694	2	11	25	10000_1001_1000
695	2	11	26	10000_1001_1000
696	2	11	27	30000_7012_2
697	2	11	28	10000_1001_1000
698	2	11	29	10000_1026_2100
699	2	11	30	10000_1001_1000
700	2	12	1	30000_6003_5
701	2	12	2	10000_1001_1000
702	2	12	3	30000_7012_2
703	2	12	4	10000_1001_1000
704	2	12	5	30000_7157_1
705	2	12	6	10000_1001_1000
706	2	12	7	30000_6003_5
707	2	12	8	10000_1001_1000
708	2	12	9	10000_1026_2100
709	2	12	10	30000_7026_2
710	2	12	11	10000_1001_1000
711	2	12	12	10000_1001_1000
712	2	12	13	30000_7012_2
713	2	12	14	10000_1001_1000
714	2	12	15	30000_7117_1
715	2	12	16	30000_7157_1
716	2	12	17	10000_1001_1000
717	2	12	18	30000_7012_2
718	2	12	19	10000_1001_1000
719	2	12	20	10000_1001_1000
720	2	12	21	10000_1001_1000
721	2	12	22	30000_7012_2
722	2	12	23	10000_1001_1000
723	2	12	24	30000_7026_2
724	2	12	25	10000_1001_1000
725	2	12	26	10000_1001_1000
726	2	12	27	30000_7012_2
727	2	12	28	10000_1001_1000
728	2	12	29	10000_1026_2100
729	2	12	30	10000_1001_1000
730	2	12	31	10000_1001_1000
