id	month	days	awards
166	6	15	30000_5006_20
167	6	16	10000_1001_100
168	6	17	30000_5007_20
169	6	18	30000_5008_20
170	6	19	30000_5010_20
171	6	20	30000_5011_20
172	6	21	30000_6004_5
173	6	22	30000_5013_20
174	6	23	30000_5012_20
175	6	24	30000_3001_1
176	6	25	30000_3501_1
177	6	26	30000_3801_1
178	6	27	30000_7185_1
179	6	28	10000_1001_100
180	6	29	30000_3001_1
181	6	30	30000_3501_1
182	7	1	30000_5012_20
183	7	2	30000_3001_1
184	7	3	30000_3501_1
185	7	4	30000_3801_1
186	7	5	30000_7185_1
187	7	6	10000_1001_100
188	7	7	30000_3001_1
189	7	8	30000_3501_1
190	7	9	30000_3801_1
191	7	10	30000_7185_1
192	7	11	30000_6004_5
193	7	12	30000_5001_100
194	7	13	30000_5003_20
195	7	14	30000_5005_20
196	7	15	30000_5006_20
197	7	16	10000_1001_100
198	7	17	30000_5007_20
199	7	18	30000_5008_20
200	7	19	30000_5010_20
201	7	20	30000_5011_20
202	7	21	30000_6004_5
203	7	22	30000_5013_20
204	7	23	30000_5012_20
205	7	24	30000_3001_1
206	7	25	30000_3501_1
207	7	26	30000_3801_1
208	7	27	30000_7185_1
209	7	28	10000_1001_100
210	7	29	30000_3001_1
211	7	30	30000_3501_1
212	7	31	10000_1001_100
213	8	1	30000_5012_20
214	8	2	30000_3001_1
215	8	3	30000_3501_1
216	8	4	30000_3801_1
217	8	5	30000_7185_1
218	8	6	10000_1001_100
219	8	7	30000_3001_1
220	8	8	30000_3501_1
221	8	9	30000_3801_1
222	8	10	30000_7185_1
223	8	11	30000_6004_5
224	8	12	30000_5001_100
225	8	13	30000_5003_20
226	8	14	30000_5005_20
227	8	15	30000_5006_20
228	8	16	10000_1001_100
229	8	17	30000_5007_20
230	8	18	30000_5008_20
231	8	19	30000_5010_20
232	8	20	30000_5011_20
233	8	21	30000_6004_5
234	8	22	30000_5013_20
235	8	23	30000_5012_20
236	8	24	30000_3001_1
237	8	25	30000_3501_1
238	8	26	30000_3801_1
239	8	27	30000_7185_1
240	8	28	10000_1001_100
241	8	29	30000_3001_1
242	8	30	30000_3501_1
243	8	31	10000_1001_100
244	9	1	30000_5012_20
245	9	2	30000_3001_1
246	9	3	30000_3501_1
247	9	4	30000_3801_1
248	9	5	30000_7185_1
249	9	6	10000_1001_100
250	9	7	30000_3001_1
251	9	8	30000_3501_1
252	9	9	30000_3801_1
253	9	10	30000_7185_1
254	9	11	30000_6004_5
255	9	12	30000_5001_100
256	9	13	30000_5003_20
257	9	14	30000_5005_20
258	9	15	30000_5006_20
259	9	16	10000_1001_100
260	9	17	30000_5007_20
261	9	18	30000_5008_20
262	9	19	30000_5010_20
263	9	20	30000_5011_20
264	9	21	30000_6004_5
265	9	22	30000_5013_20
266	9	23	30000_5012_20
267	9	24	30000_3001_1
268	9	25	30000_3501_1
269	9	26	30000_3801_1
270	9	27	30000_7185_1
271	9	28	10000_1001_100
272	9	29	30000_3001_1
273	9	30	30000_3501_1
274	10	1	30000_5012_20
275	10	2	30000_3001_1
276	10	3	30000_3501_1
277	10	4	30000_3801_1
278	10	5	30000_7185_1
279	10	6	10000_1001_100
280	10	7	30000_3001_1
281	10	8	30000_3501_1
282	10	9	30000_3801_1
283	10	10	30000_7185_1
284	10	11	30000_6004_5
285	10	12	30000_5001_100
286	10	13	30000_5003_20
287	10	14	30000_5005_20
288	10	15	30000_5006_20
289	10	16	10000_1001_100
290	10	17	30000_5007_20
291	10	18	30000_5008_20
292	10	19	30000_5010_20
293	10	20	30000_5011_20
294	10	21	30000_6004_5
295	10	22	30000_5013_20
296	10	23	30000_5012_20
297	10	24	30000_3001_1
298	10	25	30000_3501_1
299	10	26	30000_3801_1
300	10	27	30000_7185_1
301	10	28	10000_1001_100
302	10	29	30000_3001_1
303	10	30	30000_3501_1
304	10	31	10000_1001_100
305	11	1	30000_5012_20
306	11	2	30000_3001_1
307	11	3	30000_3501_1
308	11	4	30000_3801_1
309	11	5	30000_7185_1
310	11	6	10000_1001_100
311	11	7	30000_3001_1
312	11	8	30000_3501_1
313	11	9	30000_3801_1
314	11	10	30000_7185_1
315	11	11	30000_6004_5
316	11	12	30000_5001_100
317	11	13	30000_5003_20
318	11	14	30000_5005_20
319	11	15	30000_5006_20
320	11	16	10000_1001_100
321	11	17	30000_5007_20
322	11	18	30000_5008_20
323	11	19	30000_5010_20
324	11	20	30000_5011_20
325	11	21	30000_6004_5
326	11	22	30000_5013_20
327	11	23	30000_5012_20
328	11	24	30000_3001_1
329	11	25	30000_3501_1
330	11	26	30000_3801_1
331	11	27	30000_7185_1
332	11	28	10000_1001_100
333	11	29	30000_3001_1
334	11	30	30000_3501_1
335	12	1	30000_5012_20
336	12	2	30000_3001_1
337	12	3	30000_3501_1
338	12	4	30000_3801_1
339	12	5	30000_7185_1
340	12	6	10000_1001_100
341	12	7	30000_3001_1
342	12	8	30000_3501_1
343	12	9	30000_3801_1
344	12	10	30000_7185_1
345	12	11	30000_6004_5
346	12	12	30000_5001_100
347	12	13	30000_5003_20
348	12	14	30000_5005_20
349	12	15	30000_5006_20
350	12	16	10000_1001_100
351	12	17	30000_5007_20
352	12	18	30000_5008_20
353	12	19	30000_5010_20
354	12	20	30000_5011_20
355	12	21	30000_6004_5
356	12	22	30000_5013_20
357	12	23	30000_5012_20
358	12	24	30000_3001_1
359	12	25	30000_3501_1
360	12	26	30000_3801_1
361	12	27	30000_7185_1
362	12	28	10000_1001_100
363	12	29	30000_3001_1
364	12	30	30000_3501_1
365	12	31	10000_1001_100
1001			10000_1002_30000,30000_7001_50000
1002			10000_1002_30000,30000_7001_50000
1003			10000_1002_30000,30000_7001_50000
1004			10000_1001_100,30000_7001_50000
10001			1_3,2_7,3_14,4_28
