id	兑换物品	兑换奖励	兑换最大次数	佣兵ID	排序ID
101	30000_299993_2	30000_391971_5	999	174	
102	30000_299993_2	30000_391991_5	999	170	
103	30000_299993_2	30000_391981_5	999	154	
104	30000_299993_2	30000_391961_5	999	122	
105	30000_299993_2	30000_392001_5	999	218	
106	30000_299993_2	30000_392011_5	999	219	
107	30000_299993_2	30000_392021_5	999	220	
108	30000_299993_2	30000_392031_5	999	221	
109	30000_299993_2	30000_392001_5	999	132	
110	30000_299993_2	30000_392011_5	999	141	
111	30000_299993_2	30000_392021_5	999	158	
112	30000_299993_2	30000_392031_5	999	121	
113	30000_299993_2	30000_392041_5	999	228	
114	30000_299993_2	30000_392041_5	999	112	
115	30000_299993_2	30000_392051_5	999	229	
116	30000_299993_2	30000_392051_5	999	111	
117	30000_299993_2	30000_392061_5	999	230	
118	30000_299993_2	30000_392061_5	999	108	
119	30000_299993_2	30000_392071_5	999	231	
120	30000_299993_2	30000_392071_5	999	118	
121	30000_299993_2	30000_392081_5	999	233	
122	30000_299993_2	30000_392091_5	999	234	
123	30000_299993_2	30000_392101_5	999	235	
124	30000_299993_2	30000_392111_5	999	236	
125	30000_299993_2	30000_392121_5	999	238	
126	30000_299993_2	30000_392391_5	999	239	
127	30000_299993_2	30000_392401_5	999	240	
