id	等级	消耗	属性
161	161	30000_5005_333	113_1288,114_1288
162	162	30000_5005_334	113_1296,114_1296
163	163	30000_5005_335	113_1304,114_1304
164	164	30000_5005_336	113_1312,114_1312
165	165	30000_5005_337	113_1320,114_1320
166	166	30000_5005_338	113_1328,114_1328
167	167	30000_5005_339	113_1336,114_1336
168	168	30000_5005_340	113_1344,114_1344
169	169	30000_5005_341	113_1352,114_1352
170	170	30000_5005_342	113_1360,114_1360
171	171	30000_5005_343	113_1368,114_1368
172	172	30000_5005_344	113_1376,114_1376
173	173	30000_5005_345	113_1384,114_1384
174	174	30000_5005_346	113_1392,114_1392
175	175	30000_5005_347	113_1400,114_1400
176	176	30000_5005_348	113_1408,114_1408
177	177	30000_5005_349	113_1416,114_1416
178	178	30000_5005_350	113_1424,114_1424
179	179	30000_5005_351	113_1432,114_1432
180	180	30000_5005_352	113_1440,114_1440
181	181	30000_5005_353	113_1448,114_1448
182	182	30000_5005_354	113_1456,114_1456
183	183	30000_5005_355	113_1464,114_1464
184	184	30000_5005_356	113_1472,114_1472
185	185	30000_5005_357	113_1480,114_1480
186	186	30000_5005_358	113_1488,114_1488
187	187	30000_5005_359	113_1496,114_1496
188	188	30000_5005_360	113_1504,114_1504
189	189	30000_5005_361	113_1512,114_1512
190	190	30000_5005_362	113_1520,114_1520
191	191	30000_5005_363	113_1528,114_1528
192	192	30000_5005_364	113_1536,114_1536
193	193	30000_5005_365	113_1544,114_1544
194	194	30000_5005_366	113_1552,114_1552
195	195	30000_5005_367	113_1560,114_1560
196	196	30000_5005_368	113_1568,114_1568
197	197	30000_5005_369	113_1576,114_1576
198	198	30000_5005_370	113_1584,114_1584
199	199	30000_5005_371	113_1592,114_1592
200	200	30000_5005_372	113_1642,114_1642
201	0	0	0
202	1	30000_5003_1	113_8,114_8
203	2	30000_5003_2	113_16,114_16
204	3	30000_5003_4	113_24,114_24
205	4	30000_5003_6	113_32,114_32
206	5	30000_5003_8	113_40,114_40
207	6	30000_5003_10	113_48,114_48
208	7	30000_5003_12	113_56,114_56
209	8	30000_5003_14	113_64,114_64
210	9	30000_5003_16	113_72,114_72
211	10	30000_5003_18	113_80,114_80
212	11	30000_5003_20	113_88,114_88
213	12	30000_5003_22	113_96,114_96
214	13	30000_5003_24	113_104,114_104
215	14	30000_5003_26	113_112,114_112
216	15	30000_5003_28	113_120,114_120
217	16	30000_5003_30	113_128,114_128
218	17	30000_5003_32	113_136,114_136
219	18	30000_5003_34	113_144,114_144
220	19	30000_5003_36	113_152,114_152
221	20	30000_5003_38	113_160,114_160
222	21	30000_5003_40	113_168,114_168
223	22	30000_5003_42	113_176,114_176
224	23	30000_5003_44	113_184,114_184
225	24	30000_5003_46	113_192,114_192
226	25	30000_5003_48	113_200,114_200
227	26	30000_5003_50	113_208,114_208
228	27	30000_5003_52	113_216,114_216
229	28	30000_5003_55	113_224,114_224
230	29	30000_5003_59	113_232,114_232
231	30	30000_5003_62	113_240,114_240
232	31	30000_5003_65	113_248,114_248
233	32	30000_5003_68	113_256,114_256
234	33	30000_5003_71	113_264,114_264
235	34	30000_5003_74	113_272,114_272
236	35	30000_5003_77	113_280,114_280
237	36	30000_5003_80	113_288,114_288
238	37	30000_5003_83	113_296,114_296
239	38	30000_5003_86	113_304,114_304
240	39	30000_5003_89	113_312,114_312
241	40	30000_5003_92	113_320,114_320
242	41	30000_5003_95	113_328,114_328
243	42	30000_5003_98	113_336,114_336
244	43	30000_5003_101	113_344,114_344
245	44	30000_5003_104	113_352,114_352
246	45	30000_5003_107	113_360,114_360
247	46	30000_5003_110	113_368,114_368
248	47	30000_5003_113	113_376,114_376
249	48	30000_5003_116	113_384,114_384
250	49	30000_5003_119	113_392,114_392
251	50	30000_5003_122	113_400,114_400
252	51	30000_5003_125	113_408,114_408
253	52	30000_5003_128	113_416,114_416
254	53	30000_5003_131	113_424,114_424
255	54	30000_5003_134	113_432,114_432
256	55	30000_5003_137	113_440,114_440
257	56	30000_5003_140	113_448,114_448
258	57	30000_5003_143	113_456,114_456
259	58	30000_5003_146	113_464,114_464
260	59	30000_5003_149	113_472,114_472
261	60	30000_5003_152	113_480,114_480
262	61	30000_5003_155	113_488,114_488
263	62	30000_5003_158	113_496,114_496
264	63	30000_5003_161	113_504,114_504
265	64	30000_5003_164	113_512,114_512
266	65	30000_5003_167	113_520,114_520
267	66	30000_5003_170	113_528,114_528
268	67	30000_5003_173	113_536,114_536
269	68	30000_5003_176	113_544,114_544
270	69	30000_5003_179	113_552,114_552
271	70	30000_5003_182	113_560,114_560
272	71	30000_5003_185	113_568,114_568
273	72	30000_5003_188	113_576,114_576
274	73	30000_5003_191	113_584,114_584
275	74	30000_5003_194	113_592,114_592
276	75	30000_5003_197	113_600,114_600
277	76	30000_5003_200	113_608,114_608
278	77	30000_5003_203	113_616,114_616
279	78	30000_5003_206	113_624,114_624
280	79	30000_5003_209	113_632,114_632
281	80	30000_5003_212	113_640,114_640
282	81	30000_5003_215	113_648,114_648
283	82	30000_5003_218	113_656,114_656
284	83	30000_5003_221	113_664,114_664
285	84	30000_5003_224	113_672,114_672
286	85	30000_5003_227	113_680,114_680
287	86	30000_5003_230	113_688,114_688
288	87	30000_5003_233	113_696,114_696
289	88	30000_5003_236	113_704,114_704
290	89	30000_5003_239	113_712,114_712
291	90	30000_5003_242	113_720,114_720
292	91	30000_5003_245	113_728,114_728
293	92	30000_5003_248	113_736,114_736
294	93	30000_5003_251	113_744,114_744
295	94	30000_5003_254	113_752,114_752
296	95	30000_5003_257	113_760,114_760
297	96	30000_5003_260	113_768,114_768
298	97	30000_5003_263	113_776,114_776
299	98	30000_5003_266	113_784,114_784
300	99	30000_5003_269	113_792,114_792
301	100	30000_5003_272	113_800,114_800
302	101	30000_5003_273	113_808,114_808
303	102	30000_5003_274	113_816,114_816
304	103	30000_5003_275	113_824,114_824
305	104	30000_5003_276	113_832,114_832
306	105	30000_5003_277	113_840,114_840
307	106	30000_5003_278	113_848,114_848
308	107	30000_5003_279	113_856,114_856
309	108	30000_5003_280	113_864,114_864
310	109	30000_5003_281	113_872,114_872
311	110	30000_5003_282	113_880,114_880
312	111	30000_5003_283	113_888,114_888
313	112	30000_5003_284	113_896,114_896
314	113	30000_5003_285	113_904,114_904
315	114	30000_5003_286	113_912,114_912
316	115	30000_5003_287	113_920,114_920
317	116	30000_5003_288	113_928,114_928
318	117	30000_5003_289	113_936,114_936
319	118	30000_5003_290	113_944,114_944
320	119	30000_5003_291	113_952,114_952
321	120	30000_5003_292	113_960,114_960
322	121	30000_5003_293	113_968,114_968
323	122	30000_5003_294	113_976,114_976
324	123	30000_5003_295	113_984,114_984
325	124	30000_5003_296	113_992,114_992
326	125	30000_5003_297	113_1000,114_1000
327	126	30000_5003_298	113_1008,114_1008
328	127	30000_5003_299	113_1016,114_1016
329	128	30000_5003_300	113_1024,114_1024
330	129	30000_5003_301	113_1032,114_1032
331	130	30000_5003_302	113_1040,114_1040
332	131	30000_5003_303	113_1048,114_1048
333	132	30000_5003_304	113_1056,114_1056
334	133	30000_5003_305	113_1064,114_1064
335	134	30000_5003_306	113_1072,114_1072
336	135	30000_5003_307	113_1080,114_1080
337	136	30000_5003_308	113_1088,114_1088
338	137	30000_5003_309	113_1096,114_1096
339	138	30000_5003_310	113_1104,114_1104
340	139	30000_5003_311	113_1112,114_1112
341	140	30000_5003_312	113_1120,114_1120
342	141	30000_5003_313	113_1128,114_1128
343	142	30000_5003_314	113_1136,114_1136
344	143	30000_5003_315	113_1144,114_1144
345	144	30000_5003_316	113_1152,114_1152
346	145	30000_5003_317	113_1160,114_1160
347	146	30000_5003_318	113_1168,114_1168
348	147	30000_5003_319	113_1176,114_1176
349	148	30000_5003_320	113_1184,114_1184
350	149	30000_5003_321	113_1192,114_1192
351	150	30000_5003_322	113_1200,114_1200
352	151	30000_5003_323	113_1208,114_1208
353	152	30000_5003_324	113_1216,114_1216
354	153	30000_5003_325	113_1224,114_1224
355	154	30000_5003_326	113_1232,114_1232
356	155	30000_5003_327	113_1240,114_1240
357	156	30000_5003_328	113_1248,114_1248
358	157	30000_5003_329	113_1256,114_1256
359	158	30000_5003_330	113_1264,114_1264
360	159	30000_5003_331	113_1272,114_1272
361	160	30000_5003_332	113_1280,114_1280
362	161	30000_5003_333	113_1288,114_1288
363	162	30000_5003_334	113_1296,114_1296
364	163	30000_5003_335	113_1304,114_1304
365	164	30000_5003_336	113_1312,114_1312
366	165	30000_5003_337	113_1320,114_1320
367	166	30000_5003_338	113_1328,114_1328
368	167	30000_5003_339	113_1336,114_1336
369	168	30000_5003_340	113_1344,114_1344
370	169	30000_5003_341	113_1352,114_1352
371	170	30000_5003_342	113_1360,114_1360
372	171	30000_5003_343	113_1368,114_1368
373	172	30000_5003_344	113_1376,114_1376
374	173	30000_5003_345	113_1384,114_1384
375	174	30000_5003_346	113_1392,114_1392
376	175	30000_5003_347	113_1400,114_1400
377	176	30000_5003_348	113_1408,114_1408
378	177	30000_5003_349	113_1416,114_1416
379	178	30000_5003_350	113_1424,114_1424
380	179	30000_5003_351	113_1432,114_1432
381	180	30000_5003_352	113_1440,114_1440
382	181	30000_5003_353	113_1448,114_1448
383	182	30000_5003_354	113_1456,114_1456
384	183	30000_5003_355	113_1464,114_1464
385	184	30000_5003_356	113_1472,114_1472
386	185	30000_5003_357	113_1480,114_1480
387	186	30000_5003_358	113_1488,114_1488
388	187	30000_5003_359	113_1496,114_1496
389	188	30000_5003_360	113_1504,114_1504
390	189	30000_5003_361	113_1512,114_1512
391	190	30000_5003_362	113_1520,114_1520
392	191	30000_5003_363	113_1528,114_1528
393	192	30000_5003_364	113_1536,114_1536
394	193	30000_5003_365	113_1544,114_1544
395	194	30000_5003_366	113_1552,114_1552
396	195	30000_5003_367	113_1560,114_1560
397	196	30000_5003_368	113_1568,114_1568
398	197	30000_5003_369	113_1576,114_1576
399	198	30000_5003_370	113_1584,114_1584
400	199	30000_5003_371	113_1592,114_1592
401	200	30000_5003_372	113_1642,114_1642
402	0	0	0
403	1	30000_5007_1	113_8,114_8
404	2	30000_5007_2	113_16,114_16
405	3	30000_5007_4	113_24,114_24
406	4	30000_5007_6	113_32,114_32
407	5	30000_5007_8	113_40,114_40
408	6	30000_5007_10	113_48,114_48
409	7	30000_5007_12	113_56,114_56
410	8	30000_5007_14	113_64,114_64
411	9	30000_5007_16	113_72,114_72
412	10	30000_5007_18	113_80,114_80
413	11	30000_5007_20	113_88,114_88
414	12	30000_5007_22	113_96,114_96
415	13	30000_5007_24	113_104,114_104
416	14	30000_5007_26	113_112,114_112
417	15	30000_5007_28	113_120,114_120
418	16	30000_5007_30	113_128,114_128
419	17	30000_5007_32	113_136,114_136
420	18	30000_5007_34	113_144,114_144
421	19	30000_5007_36	113_152,114_152
422	20	30000_5007_38	113_160,114_160
423	21	30000_5007_40	113_168,114_168
424	22	30000_5007_42	113_176,114_176
425	23	30000_5007_44	113_184,114_184
426	24	30000_5007_46	113_192,114_192
427	25	30000_5007_48	113_200,114_200
428	26	30000_5007_50	113_208,114_208
429	27	30000_5007_52	113_216,114_216
430	28	30000_5007_55	113_224,114_224
431	29	30000_5007_59	113_232,114_232
432	30	30000_5007_62	113_240,114_240
433	31	30000_5007_65	113_248,114_248
434	32	30000_5007_68	113_256,114_256
435	33	30000_5007_71	113_264,114_264
436	34	30000_5007_74	113_272,114_272
437	35	30000_5007_77	113_280,114_280
438	36	30000_5007_80	113_288,114_288
439	37	30000_5007_83	113_296,114_296
440	38	30000_5007_86	113_304,114_304
441	39	30000_5007_89	113_312,114_312
442	40	30000_5007_92	113_320,114_320
443	41	30000_5007_95	113_328,114_328
444	42	30000_5007_98	113_336,114_336
445	43	30000_5007_101	113_344,114_344
446	44	30000_5007_104	113_352,114_352
447	45	30000_5007_107	113_360,114_360
448	46	30000_5007_110	113_368,114_368
449	47	30000_5007_113	113_376,114_376
450	48	30000_5007_116	113_384,114_384
451	49	30000_5007_119	113_392,114_392
452	50	30000_5007_122	113_400,114_400
453	51	30000_5007_125	113_408,114_408
454	52	30000_5007_128	113_416,114_416
455	53	30000_5007_131	113_424,114_424
456	54	30000_5007_134	113_432,114_432
457	55	30000_5007_137	113_440,114_440
458	56	30000_5007_140	113_448,114_448
459	57	30000_5007_143	113_456,114_456
460	58	30000_5007_146	113_464,114_464
461	59	30000_5007_149	113_472,114_472
462	60	30000_5007_152	113_480,114_480
463	61	30000_5007_155	113_488,114_488
464	62	30000_5007_158	113_496,114_496
465	63	30000_5007_161	113_504,114_504
466	64	30000_5007_164	113_512,114_512
467	65	30000_5007_167	113_520,114_520
468	66	30000_5007_170	113_528,114_528
469	67	30000_5007_173	113_536,114_536
470	68	30000_5007_176	113_544,114_544
471	69	30000_5007_179	113_552,114_552
472	70	30000_5007_182	113_560,114_560
473	71	30000_5007_185	113_568,114_568
474	72	30000_5007_188	113_576,114_576
475	73	30000_5007_191	113_584,114_584
476	74	30000_5007_194	113_592,114_592
477	75	30000_5007_197	113_600,114_600
478	76	30000_5007_200	113_608,114_608
479	77	30000_5007_203	113_616,114_616
480	78	30000_5007_206	113_624,114_624
481	79	30000_5007_209	113_632,114_632
482	80	30000_5007_212	113_640,114_640
483	81	30000_5007_215	113_648,114_648
484	82	30000_5007_218	113_656,114_656
485	83	30000_5007_221	113_664,114_664
486	84	30000_5007_224	113_672,114_672
487	85	30000_5007_227	113_680,114_680
488	86	30000_5007_230	113_688,114_688
489	87	30000_5007_233	113_696,114_696
490	88	30000_5007_236	113_704,114_704
491	89	30000_5007_239	113_712,114_712
492	90	30000_5007_242	113_720,114_720
493	91	30000_5007_245	113_728,114_728
494	92	30000_5007_248	113_736,114_736
495	93	30000_5007_251	113_744,114_744
496	94	30000_5007_254	113_752,114_752
497	95	30000_5007_257	113_760,114_760
498	96	30000_5007_260	113_768,114_768
499	97	30000_5007_263	113_776,114_776
500	98	30000_5007_266	113_784,114_784
501	99	30000_5007_269	113_792,114_792
502	100	30000_5007_272	113_800,114_800
503	101	30000_5007_273	113_808,114_808
504	102	30000_5007_274	113_816,114_816
505	103	30000_5007_275	113_824,114_824
506	104	30000_5007_276	113_832,114_832
507	105	30000_5007_277	113_840,114_840
508	106	30000_5007_278	113_848,114_848
509	107	30000_5007_279	113_856,114_856
510	108	30000_5007_280	113_864,114_864
511	109	30000_5007_281	113_872,114_872
512	110	30000_5007_282	113_880,114_880
513	111	30000_5007_283	113_888,114_888
514	112	30000_5007_284	113_896,114_896
515	113	30000_5007_285	113_904,114_904
516	114	30000_5007_286	113_912,114_912
517	115	30000_5007_287	113_920,114_920
518	116	30000_5007_288	113_928,114_928
519	117	30000_5007_289	113_936,114_936
520	118	30000_5007_290	113_944,114_944
521	119	30000_5007_291	113_952,114_952
522	120	30000_5007_292	113_960,114_960
523	121	30000_5007_293	113_968,114_968
524	122	30000_5007_294	113_976,114_976
525	123	30000_5007_295	113_984,114_984
526	124	30000_5007_296	113_992,114_992
527	125	30000_5007_297	113_1000,114_1000
528	126	30000_5007_298	113_1008,114_1008
529	127	30000_5007_299	113_1016,114_1016
530	128	30000_5007_300	113_1024,114_1024
531	129	30000_5007_301	113_1032,114_1032
532	130	30000_5007_302	113_1040,114_1040
533	131	30000_5007_303	113_1048,114_1048
534	132	30000_5007_304	113_1056,114_1056
535	133	30000_5007_305	113_1064,114_1064
536	134	30000_5007_306	113_1072,114_1072
537	135	30000_5007_307	113_1080,114_1080
538	136	30000_5007_308	113_1088,114_1088
539	137	30000_5007_309	113_1096,114_1096
540	138	30000_5007_310	113_1104,114_1104
541	139	30000_5007_311	113_1112,114_1112
542	140	30000_5007_312	113_1120,114_1120
543	141	30000_5007_313	113_1128,114_1128
544	142	30000_5007_314	113_1136,114_1136
545	143	30000_5007_315	113_1144,114_1144
546	144	30000_5007_316	113_1152,114_1152
547	145	30000_5007_317	113_1160,114_1160
548	146	30000_5007_318	113_1168,114_1168
549	147	30000_5007_319	113_1176,114_1176
550	148	30000_5007_320	113_1184,114_1184
551	149	30000_5007_321	113_1192,114_1192
552	150	30000_5007_322	113_1200,114_1200
553	151	30000_5007_323	113_1208,114_1208
554	152	30000_5007_324	113_1216,114_1216
555	153	30000_5007_325	113_1224,114_1224
556	154	30000_5007_326	113_1232,114_1232
557	155	30000_5007_327	113_1240,114_1240
558	156	30000_5007_328	113_1248,114_1248
559	157	30000_5007_329	113_1256,114_1256
560	158	30000_5007_330	113_1264,114_1264
561	159	30000_5007_331	113_1272,114_1272
562	160	30000_5007_332	113_1280,114_1280
563	161	30000_5007_333	113_1288,114_1288
564	162	30000_5007_334	113_1296,114_1296
565	163	30000_5007_335	113_1304,114_1304
566	164	30000_5007_336	113_1312,114_1312
567	165	30000_5007_337	113_1320,114_1320
568	166	30000_5007_338	113_1328,114_1328
569	167	30000_5007_339	113_1336,114_1336
570	168	30000_5007_340	113_1344,114_1344
571	169	30000_5007_341	113_1352,114_1352
572	170	30000_5007_342	113_1360,114_1360
573	171	30000_5007_343	113_1368,114_1368
574	172	30000_5007_344	113_1376,114_1376
575	173	30000_5007_345	113_1384,114_1384
576	174	30000_5007_346	113_1392,114_1392
577	175	30000_5007_347	113_1400,114_1400
578	176	30000_5007_348	113_1408,114_1408
579	177	30000_5007_349	113_1416,114_1416
580	178	30000_5007_350	113_1424,114_1424
581	179	30000_5007_351	113_1432,114_1432
582	180	30000_5007_352	113_1440,114_1440
583	181	30000_5007_353	113_1448,114_1448
584	182	30000_5007_354	113_1456,114_1456
585	183	30000_5007_355	113_1464,114_1464
586	184	30000_5007_356	113_1472,114_1472
587	185	30000_5007_357	113_1480,114_1480
588	186	30000_5007_358	113_1488,114_1488
589	187	30000_5007_359	113_1496,114_1496
590	188	30000_5007_360	113_1504,114_1504
591	189	30000_5007_361	113_1512,114_1512
592	190	30000_5007_362	113_1520,114_1520
593	191	30000_5007_363	113_1528,114_1528
594	192	30000_5007_364	113_1536,114_1536
595	193	30000_5007_365	113_1544,114_1544
596	194	30000_5007_366	113_1552,114_1552
597	195	30000_5007_367	113_1560,114_1560
598	196	30000_5007_368	113_1568,114_1568
599	197	30000_5007_369	113_1576,114_1576
600	198	30000_5007_370	113_1584,114_1584
601	199	30000_5007_371	113_1592,114_1592
602	200	30000_5007_372	113_1642,114_1642
603	0	0	0
604	1	30000_5006_1	113_8,114_8
605	2	30000_5006_2	113_16,114_16
606	3	30000_5006_4	113_24,114_24
607	4	30000_5006_6	113_32,114_32
608	5	30000_5006_8	113_40,114_40
609	6	30000_5006_10	113_48,114_48
610	7	30000_5006_12	113_56,114_56
611	8	30000_5006_14	113_64,114_64
612	9	30000_5006_16	113_72,114_72
613	10	30000_5006_18	113_80,114_80
614	11	30000_5006_20	113_88,114_88
615	12	30000_5006_22	113_96,114_96
616	13	30000_5006_24	113_104,114_104
617	14	30000_5006_26	113_112,114_112
618	15	30000_5006_28	113_120,114_120
619	16	30000_5006_30	113_128,114_128
620	17	30000_5006_32	113_136,114_136
621	18	30000_5006_34	113_144,114_144
622	19	30000_5006_36	113_152,114_152
623	20	30000_5006_38	113_160,114_160
624	21	30000_5006_40	113_168,114_168
625	22	30000_5006_42	113_176,114_176
626	23	30000_5006_44	113_184,114_184
627	24	30000_5006_46	113_192,114_192
628	25	30000_5006_48	113_200,114_200
629	26	30000_5006_50	113_208,114_208
630	27	30000_5006_52	113_216,114_216
631	28	30000_5006_55	113_224,114_224
632	29	30000_5006_59	113_232,114_232
633	30	30000_5006_62	113_240,114_240
634	31	30000_5006_65	113_248,114_248
635	32	30000_5006_68	113_256,114_256
636	33	30000_5006_71	113_264,114_264
637	34	30000_5006_74	113_272,114_272
638	35	30000_5006_77	113_280,114_280
639	36	30000_5006_80	113_288,114_288
640	37	30000_5006_83	113_296,114_296
641	38	30000_5006_86	113_304,114_304
642	39	30000_5006_89	113_312,114_312
643	40	30000_5006_92	113_320,114_320
644	41	30000_5006_95	113_328,114_328
645	42	30000_5006_98	113_336,114_336
646	43	30000_5006_101	113_344,114_344
647	44	30000_5006_104	113_352,114_352
648	45	30000_5006_107	113_360,114_360
649	46	30000_5006_110	113_368,114_368
650	47	30000_5006_113	113_376,114_376
651	48	30000_5006_116	113_384,114_384
652	49	30000_5006_119	113_392,114_392
653	50	30000_5006_122	113_400,114_400
654	51	30000_5006_125	113_408,114_408
655	52	30000_5006_128	113_416,114_416
656	53	30000_5006_131	113_424,114_424
657	54	30000_5006_134	113_432,114_432
658	55	30000_5006_137	113_440,114_440
659	56	30000_5006_140	113_448,114_448
660	57	30000_5006_143	113_456,114_456
661	58	30000_5006_146	113_464,114_464
662	59	30000_5006_149	113_472,114_472
663	60	30000_5006_152	113_480,114_480
664	61	30000_5006_155	113_488,114_488
665	62	30000_5006_158	113_496,114_496
666	63	30000_5006_161	113_504,114_504
667	64	30000_5006_164	113_512,114_512
668	65	30000_5006_167	113_520,114_520
669	66	30000_5006_170	113_528,114_528
670	67	30000_5006_173	113_536,114_536
671	68	30000_5006_176	113_544,114_544
672	69	30000_5006_179	113_552,114_552
673	70	30000_5006_182	113_560,114_560
674	71	30000_5006_185	113_568,114_568
675	72	30000_5006_188	113_576,114_576
676	73	30000_5006_191	113_584,114_584
677	74	30000_5006_194	113_592,114_592
