关卡ID	关卡名称	关卡类型	下一关ID	怪物列表	首次通关奖励	扫荡奖励	通关战力需求	过关条件
31	试炼之塔（2）第1关	1	32	4020101	10000_1002_5000_100,30000_60022_1_100,70000_10201_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10201_1_20	0	1_0
32	试炼之塔（2）第2关	1	33	4020201	10000_1002_5000_100,30000_60022_1_100,70000_10201_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10201_1_20	0	1_0
33	试炼之塔（2）第3关	1	34	4020301	10000_1002_5000_100,30000_60022_1_100,70000_10201_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10201_1_20	0	1_0
34	试炼之塔（2）第4关	1	35	4020401	10000_1002_5000_100,30000_60022_1_100,70000_10201_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10201_1_20	0	1_0
35	试炼之塔（2）第5关	2	36	4020501	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20201_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20201_1_20	0	2_30,4_0.3
36	试炼之塔（2）第6关	1	37	4020601	10000_1002_5000_100,30000_60022_1_100,70000_10202_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10202_1_20	0	2_20
37	试炼之塔（2）第7关	1	38	4020701	10000_1002_5000_100,30000_60022_1_100,70000_10202_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10202_1_20	0	2_20
38	试炼之塔（2）第8关	1	39	4020801	10000_1002_5000_100,30000_60022_1_100,70000_10202_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10202_1_20	0	2_20
39	试炼之塔（2）第9关	1	40	4020901	10000_1002_5000_100,30000_60022_1_100,70000_10202_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10202_1_20	0	2_20
40	试炼之塔（2）第10关	2	41	4021001,4021002	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20202_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20202_1_20	0	2_30,4_0.3
41	试炼之塔（2）第11关	1	42	4021101	10000_1002_5000_100,30000_60022_1_100,70000_10203_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10203_1_20	0	4_0.5
42	试炼之塔（2）第12关	1	43	4021201	10000_1002_5000_100,30000_60022_1_100,70000_10203_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10203_1_20	0	4_0.5
43	试炼之塔（2）第13关	1	44	4021301	10000_1002_5000_100,30000_60022_1_100,70000_10203_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10203_1_20	0	4_0.5
44	试炼之塔（2）第14关	1	45	4021401	10000_1002_5000_100,30000_60022_1_100,70000_10203_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10203_1_20	0	4_0.5
45	试炼之塔（2）第15关	2	46	4021501,4021502,4021503	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20203_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20203_1_20	0	2_30,4_0.3
46	试炼之塔（2）第16关	1	47	4021601	10000_1002_5000_100,30000_60022_1_100,70000_10204_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10204_1_20	0	2_20,4_0.5
47	试炼之塔（2）第17关	1	48	4021701	10000_1002_5000_100,30000_60022_1_100,70000_10204_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10204_1_20	0	2_20,4_0.5
48	试炼之塔（2）第18关	1	49	4021801	10000_1002_5000_100,30000_60022_1_100,70000_10204_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10204_1_20	0	2_20,4_0.5
49	试炼之塔（2）第19关	1	50	4021901	10000_1002_5000_100,30000_60022_1_100,70000_10204_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10204_1_20	0	2_20,4_0.5
50	试炼之塔（2）第20关	2	51	4022001,4022002	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20204_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20204_1_20	0	2_30
51	试炼之塔（2）第21关	1	52	4022101,4022102	10000_1002_5000_100,30000_60022_1_100,70000_10205_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10205_1_20	0	2_20,4_0.5
52	试炼之塔（2）第22关	1	53	4022201,4022202	10000_1002_5000_100,30000_60022_1_100,70000_10205_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10205_1_20	0	2_20,4_0.5
53	试炼之塔（2）第23关	1	54	4022301,4022302	10000_1002_5000_100,30000_60022_1_100,70000_10205_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10205_1_20	0	2_20,4_0.5
54	试炼之塔（2）第24关	1	55	4022401,4022402	10000_1002_5000_100,30000_60022_1_100,70000_10205_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10205_1_20	0	2_20,4_0.5
55	试炼之塔（2）第25关	2	56	4022501,4022502	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20205_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20205_1_20	0	4_0.3
56	试炼之塔（2）第26关	1	57	4022601	10000_1002_5000_100,30000_60022_1_100,70000_10206_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10206_1_20	0	2_20
57	试炼之塔（2）第27关	1	58	4022701	10000_1002_5000_100,30000_60022_1_100,70000_10206_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10206_1_20	0	2_20
58	试炼之塔（2）第28关	1	59	4022801	10000_1002_5000_100,30000_60022_1_100,70000_10206_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10206_1_20	0	2_20
59	试炼之塔（2）第29关	1	60	4022901	10000_1002_5000_100,30000_60022_1_100,70000_10206_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10206_1_20	0	2_20
60	试炼之塔（2）第30关	2	61	4023001,4023002	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20206_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20206_1_20	0	2_30,4_0.3
61	试炼之塔（3）第1关	1	62	4030101,4030102	10000_1002_5000_100,30000_60022_1_100,70000_10301_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10301_1_20	0	1_0
62	试炼之塔（3）第2关	1	63	4030201,4030202	10000_1002_5000_100,30000_60022_1_100,70000_10301_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10301_1_20	0	1_0
63	试炼之塔（3）第3关	1	64	4030301,4030302	10000_1002_5000_100,30000_60022_1_100,70000_10301_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10301_1_20	0	1_0
64	试炼之塔（3）第4关	1	65	4030401,4030402	10000_1002_5000_100,30000_60022_1_100,70000_10301_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10301_1_20	0	1_0
65	试炼之塔（3）第5关	2	66	4030501,4030502	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20301_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20301_1_20	0	2_30,4_0.3
66	试炼之塔（3）第6关	1	67	4030601	10000_1002_5000_100,30000_60022_1_100,70000_10302_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10302_1_20	0	4_0.5
67	试炼之塔（3）第7关	1	68	4030701	10000_1002_5000_100,30000_60022_1_100,70000_10302_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10302_1_20	0	4_0.5
68	试炼之塔（3）第8关	1	69	4030801	10000_1002_5000_100,30000_60022_1_100,70000_10302_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10302_1_20	0	4_0.5
69	试炼之塔（3）第9关	1	70	4030901	10000_1002_5000_100,30000_60022_1_100,70000_10302_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10302_1_20	0	4_0.5
70	试炼之塔（3）第10关	2	71	4031001,4031002,4031003	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20302_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20302_1_20	0	2_30,4_0.3
71	试炼之塔（3）第11关	1	72	4031101	10000_1002_5000_100,30000_60022_1_100,70000_10303_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10303_1_20	0	2_20,4_0.5
72	试炼之塔（3）第12关	1	73	4031201	10000_1002_5000_100,30000_60022_1_100,70000_10303_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10303_1_20	0	2_20,4_0.5
73	试炼之塔（3）第13关	1	74	4031301	10000_1002_5000_100,30000_60022_1_100,70000_10303_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10303_1_20	0	2_20,4_0.5
74	试炼之塔（3）第14关	1	75	4031401	10000_1002_5000_100,30000_60022_1_100,70000_10303_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10303_1_20	0	2_20,4_0.5
75	试炼之塔（3）第15关	2	76	4031501,4031502	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20303_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20303_1_20	0	2_30
76	试炼之塔（3）第16关	1	77	4031601,4031602	10000_1002_5000_100,30000_60022_1_100,70000_10304_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10304_1_20	0	2_20,4_0.5
77	试炼之塔（3）第17关	1	78	4031701,4031702	10000_1002_5000_100,30000_60022_1_100,70000_10304_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10304_1_20	0	2_20,4_0.5
78	试炼之塔（3）第18关	1	79	4031801,4031802	10000_1002_5000_100,30000_60022_1_100,70000_10304_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10304_1_20	0	2_20,4_0.5
79	试炼之塔（3）第19关	1	80	4031901,4031902	10000_1002_5000_100,30000_60022_1_100,70000_10304_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10304_1_20	0	2_20,4_0.5
80	试炼之塔（3）第20关	2	81	4032001,4032002	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20304_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20304_1_20	0	4_0.3
81	试炼之塔（3）第21关	1	82	4032101	10000_1002_5000_100,30000_60022_1_100,70000_10305_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10305_1_20	0	2_20
82	试炼之塔（3）第22关	1	83	4032201	10000_1002_5000_100,30000_60022_1_100,70000_10305_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10305_1_20	0	2_20
83	试炼之塔（3）第23关	1	84	4032301	10000_1002_5000_100,30000_60022_1_100,70000_10305_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10305_1_20	0	2_20
84	试炼之塔（3）第24关	1	85	4032401	10000_1002_5000_100,30000_60022_1_100,70000_10305_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10305_1_20	0	2_20
85	试炼之塔（3）第25关	2	86	4032501,4032502	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20305_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20305_1_20	0	2_30,4_0.3
86	试炼之塔（3）第26关	1	87	4032601,4032602	10000_1002_5000_100,30000_60022_1_100,70000_10306_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10306_1_20	0	4_0.5
87	试炼之塔（3）第27关	1	88	4032701,4032702	10000_1002_5000_100,30000_60022_1_100,70000_10306_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10306_1_20	0	4_0.5
88	试炼之塔（3）第28关	1	89	4032801,4032802	10000_1002_5000_100,30000_60022_1_100,70000_10306_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10306_1_20	0	4_0.5
89	试炼之塔（3）第29关	1	90	4032901,4032902	10000_1002_5000_100,30000_60022_1_100,70000_10306_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10306_1_20	0	4_0.5
90	试炼之塔（3）第30关	2	91	4033001,4033002,4033003	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20306_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20306_1_20	0	2_30,4_0.3
91	试炼之塔（4）第1关	1	92	4040101,4040102	10000_1002_5000_100,30000_60022_1_100,70000_10401_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10401_1_20	0	1_0
92	试炼之塔（4）第2关	1	93	4040201,4040202	10000_1002_5000_100,30000_60022_1_100,70000_10401_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10401_1_20	0	1_0
93	试炼之塔（4）第3关	1	94	4040301,4040302	10000_1002_5000_100,30000_60022_1_100,70000_10401_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10401_1_20	0	1_0
94	试炼之塔（4）第4关	1	95	4040401,4040402	10000_1002_5000_100,30000_60022_1_100,70000_10401_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10401_1_20	0	1_0
95	试炼之塔（4）第5关	2	96	4040501,4040502,4040503	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20401_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20401_1_20	0	2_30,4_0.3
96	试炼之塔（4）第6关	1	97	4040601,4040602	10000_1002_5000_100,30000_60022_1_100,70000_10402_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10402_1_20	0	2_20,4_0.5
97	试炼之塔（4）第7关	1	98	4040701,4040702	10000_1002_5000_100,30000_60022_1_100,70000_10402_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10402_1_20	0	2_20,4_0.5
98	试炼之塔（4）第8关	1	99	4040801,4040802	10000_1002_5000_100,30000_60022_1_100,70000_10402_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10402_1_20	0	2_20,4_0.5
99	试炼之塔（4）第9关	1	100	4040901,4040902	10000_1002_5000_100,30000_60022_1_100,70000_10402_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10402_1_20	0	2_20,4_0.5
100	试炼之塔（4）第10关	2	101	4041001,4041002,4041003	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20402_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20402_1_20	0	2_30
101	试炼之塔（4）第11关	1	102	4041101,4041102,4041103	10000_1002_5000_100,30000_60022_1_100,70000_10403_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10403_1_20	0	2_20,4_0.5
102	试炼之塔（4）第12关	1	103	4041201,4041202,4041203	10000_1002_5000_100,30000_60022_1_100,70000_10403_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10403_1_20	0	2_20,4_0.5
103	试炼之塔（4）第13关	1	104	4041301,4041302,4041303	10000_1002_5000_100,30000_60022_1_100,70000_10403_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10403_1_20	0	2_20,4_0.5
104	试炼之塔（4）第14关	1	105	4041401,4041402,4041403	10000_1002_5000_100,30000_60022_1_100,70000_10403_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10403_1_20	0	2_20,4_0.5
105	试炼之塔（4）第15关	2	106	4041501,4041502,4041503	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20403_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20403_1_20	0	4_0.3
106	试炼之塔（4）第16关	1	107	4041601,4041602	10000_1002_5000_100,30000_60022_1_100,70000_10404_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10404_1_20	0	2_20
107	试炼之塔（4）第17关	1	108	4041701,4041702	10000_1002_5000_100,30000_60022_1_100,70000_10404_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10404_1_20	0	2_20
108	试炼之塔（4）第18关	1	109	4041801,4041802	10000_1002_5000_100,30000_60022_1_100,70000_10404_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10404_1_20	0	2_20
109	试炼之塔（4）第19关	1	110	4041901,4041902	10000_1002_5000_100,30000_60022_1_100,70000_10404_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10404_1_20	0	2_20
110	试炼之塔（4）第20关	2	111	4042001,4042002	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20404_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20404_1_20	0	2_30,4_0.3
111	试炼之塔（4）第21关	1	112	4042101,4042102	10000_1002_5000_100,30000_60022_1_100,70000_10405_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10405_1_20	0	4_0.5
112	试炼之塔（4）第22关	1	113	4042201,4042202	10000_1002_5000_100,30000_60022_1_100,70000_10405_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10405_1_20	0	4_0.5
113	试炼之塔（4）第23关	1	114	4042301,4042302	10000_1002_5000_100,30000_60022_1_100,70000_10405_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10405_1_20	0	4_0.5
114	试炼之塔（4）第24关	1	115	4042401,4042402	10000_1002_5000_100,30000_60022_1_100,70000_10405_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10405_1_20	0	4_0.5
115	试炼之塔（4）第25关	2	116	4042501,4042502,4042503	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20405_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20405_1_20	0	2_30,4_0.3
116	试炼之塔（4）第26关	1	117	4042601,4042602	10000_1002_5000_100,30000_60022_1_100,70000_10406_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10406_1_20	0	2_20,4_0.5
117	试炼之塔（4）第27关	1	118	4042701,4042702	10000_1002_5000_100,30000_60022_1_100,70000_10406_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10406_1_20	0	2_20,4_0.5
118	试炼之塔（4）第28关	1	119	4042801,4042802	10000_1002_5000_100,30000_60022_1_100,70000_10406_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10406_1_20	0	2_20,4_0.5
119	试炼之塔（4）第29关	1	120	4042901,4042902	10000_1002_5000_100,30000_60022_1_100,70000_10406_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10406_1_20	0	2_20,4_0.5
120	试炼之塔（4）第30关	2	121	4043001,4043002,4043003	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20406_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20406_1_20	0	2_30,4_0.3
121	试炼之塔（5）第1关	1	122	4050101,4050102,4050103	10000_1002_5000_100,30000_60022_1_100,70000_10501_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10501_1_20	0	1_0
122	试炼之塔（5）第2关	1	123	4050201,4050202,4050203	10000_1002_5000_100,30000_60022_1_100,70000_10501_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10501_1_20	0	1_0
123	试炼之塔（5）第3关	1	124	4050301,4050302,4050303	10000_1002_5000_100,30000_60022_1_100,70000_10501_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10501_1_20	0	1_0
124	试炼之塔（5）第4关	1	125	4050401,4050402,4050403	10000_1002_5000_100,30000_60022_1_100,70000_10501_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10501_1_20	0	1_0
125	试炼之塔（5）第5关	2	126	4050501,4050502,4050503	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20501_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20501_1_20	0	2_30
126	试炼之塔（5）第6关	1	127	4050601,4050602,4050603	10000_1002_5000_100,30000_60022_1_100,70000_10502_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10502_1_20	0	2_20,4_0.5
127	试炼之塔（5）第7关	1	128	4050701,4050702,4050703	10000_1002_5000_100,30000_60022_1_100,70000_10502_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10502_1_20	0	2_20,4_0.5
128	试炼之塔（5）第8关	1	129	4050801,4050802,4050803	10000_1002_5000_100,30000_60022_1_100,70000_10502_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10502_1_20	0	2_20,4_0.5
129	试炼之塔（5）第9关	1	130	4050901,4050902,4050903	10000_1002_5000_100,30000_60022_1_100,70000_10502_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10502_1_20	0	2_20,4_0.5
130	试炼之塔（5）第10关	2	131	4051001,4051002,4051003	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20502_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20502_1_20	0	4_0.3
131	试炼之塔（5）第11关	1	132	4051101,4051102	10000_1002_5000_100,30000_60022_1_100,70000_10503_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10503_1_20	0	2_20
132	试炼之塔（5）第12关	1	133	4051201,4051202	10000_1002_5000_100,30000_60022_1_100,70000_10503_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10503_1_20	0	2_20
133	试炼之塔（5）第13关	1	134	4051301,4051302	10000_1002_5000_100,30000_60022_1_100,70000_10503_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10503_1_20	0	2_20
134	试炼之塔（5）第14关	1	135	4051401,4051402	10000_1002_5000_100,30000_60022_1_100,70000_10503_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10503_1_20	0	2_20
135	试炼之塔（5）第15关	2	136	4051501,4051502,4051503	10000_1002_5000_100,30000_60022_1_100,30000_60023_1_100,70000_20503_1_20	10000_1002_5000_100,30000_60022_1_66,30000_60023_1_66,70000_20503_1_20	0	2_30,4_0.3
136	试炼之塔（5）第16关	1	137	4051601,4051602	10000_1002_5000_100,30000_60022_1_100,70000_10504_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10504_1_20	0	4_0.5
137	试炼之塔（5）第17关	1	138	4051701,4051702	10000_1002_5000_100,30000_60022_1_100,70000_10504_1_20	10000_1002_5000_100,30000_60022_1_66,70000_10504_1_20	0	4_0.5
