id	类型	职业	装备id	等级	专属
381	3	1	61220106	100	0
382	3	1	61220007	100	0
383	3	1	61220009	100	0
384	3	1	61220008	100	0
385	3	1	61220010	100	0
386	3	2	61220001	100	0
387	3	2	61220002	100	0
388	3	2	61220003	100	0
389	3	2	61220004	100	0
390	3	2	61220205	100	0
391	3	2	61220206	100	0
392	3	2	61220007	100	0
393	3	2	61220009	100	0
394	3	2	61220008	100	0
395	3	2	61220010	100	0
396	3	3	61220001	100	0
397	3	3	61220002	100	0
398	3	3	61220003	100	0
399	3	3	61220004	100	0
400	3	3	61220305	100	0
401	3	3	61220306	100	0
402	3	3	61220007	100	0
403	3	3	61220009	100	0
404	3	3	61220008	100	0
405	3	3	61220010	100	0
406	4	1	61320001	100	0
407	4	1	61320002	100	0
408	4	1	61320003	100	0
409	4	1	61320004	100	0
410	4	1	61320105	100	0
411	4	1	61320106	100	0
412	4	1	61320007	100	0
413	4	1	61320009	100	0
414	4	1	61320008	100	0
415	4	1	61320010	100	0
416	4	2	61320001	100	0
417	4	2	61320002	100	0
418	4	2	61320003	100	0
419	4	2	61320004	100	0
420	4	2	61320205	100	0
421	4	2	61320206	100	0
422	4	2	61320007	100	0
423	4	2	61320009	100	0
424	4	2	61320008	100	0
425	4	2	61320010	100	0
426	4	3	61320001	100	0
427	4	3	61320002	100	0
428	4	3	61320003	100	0
429	4	3	61320004	100	0
430	4	3	61320305	100	0
431	4	3	61320306	100	0
432	4	3	61320007	100	0
433	4	3	61320009	100	0
434	4	3	61320008	100	0
435	4	3	61320010	100	0
438	3	1	91681001	100	1
439	3	1	91781001	100	1
440	3	1	91421001	100	1
444	3	3	91361001	100	1
450	3	1	91711001	100	1
457	3	1	91381001	100	1
458	3	1	91761001	100	1
460	3	1	91591001	100	1
464	3	2	91821001	100	1
468	3	2	91071001	100	1
469	3	2	91701001	100	1
471	3	2	91201001	100	1
472	3	2	91401001	100	1
474	3	2	91801001	100	1
478	3	3	91111001	100	1
482	3	3	91391001	100	1
483	3	3	91291001	100	1
485	3	3	91131001	100	1
486	3	3	91841001	100	1
493	3	3	91851001	100	1
495	3	3	91441001	100	1
520	3	3	91961001	100	1
524	3	1	92401001	100	1
544	3	3	92021001	100	1
556	3	3	92051001	100	1
560	3	3	92061001	100	1
564	3	1	92071001	100	1
588	3	1	92391001	100	1
