id	spine	spine_anime	關卡	type	BGM	EFF	對白數	GameTime	ReqClick	排序	是否隱藏
99002128	NGSceneA_02a_08	A28	134	0	fetterGirl02128.mp3		1	10	33	3	0
99002129	NGSceneA_02a_15	A29	134	0	fetterGirl02129.mp3		1			3	0
99002130	NGSceneA_02a_14	A30	134	0	fetterGirl02130.mp3		1			3	0
99002131	NGSceneA_02a_15	A31	134	0	fetterGirl02131.mp3		1			3	0
99002132	NGSceneA_02a_12	A32	134	0	fetterGirl02132.mp3		1			3	0
99002133	NGSceneA_02a_16	A33	134	0	fetterGirl02133.mp3		1			3	0
99002134	NGSceneA_02a_17	A34	134	0	fetterGirl02134.mp3		1			3	0
99002135	NGSceneA_02a_18	A35	134	0	fetterGirl02135.mp3		1			3	0
99002136	NGSceneA_02a_19	A36	134	0	fetterGirl02136.mp3		1			3	0
99003101	NGSceneA_03a_01	A01	215	0	fetterGirl03101.mp3		1			4	0
99003102	NGSceneA_03a_02	A02	215	0	fetterGirl03102.mp3		1			4	0
99003103	NGSceneA_03a_03	A03	215	0	fetterGirl03103.mp3		1			4	0
99003104	NGSceneA_03a_04	A04	215	0	fetterGirl03104.mp3		1			4	0
99003105	NGSceneA_03a_05	A05	215	0	fetterGirl03105.mp3		1			4	0
99003106	NGSceneA_03a_06	A06	215	0	fetterGirl03106.mp3		1			4	0
99003107	NGSceneA_03a_07	A07	215	0	fetterGirl03107.mp3		1			4	0
99003108	NGSceneA_03a_08	A08	215	0	fetterGirl03108.mp3		1			4	0
99003109	NGSceneA_03a_09	A09	215	0	fetterGirl03109.mp3		1			4	0
99003110	NGSceneA_03a_10	A10	215	0	fetterGirl03110.mp3		1			4	0
99003111	NGSceneA_03a_11	A11	215	0	fetterGirl03111.mp3		1	8	25	4	0
99003112	NGSceneA_03a_10	A12	215	0	fetterGirl03112.mp3		1			4	0
99003113	NGSceneA_03a_12	A13	215	0	fetterGirl03113.mp3		1			4	0
99004101	NGSceneA_04a_01	A01	800	0	fetterGirl04101.mp3		1			1	1
99004102	NGSceneA_04a_02	A02	800	0	fetterGirl04102.mp3		1			1	1
99004103	NGSceneA_04a_03	A03	800	0	fetterGirl04103.mp3		1			1	1
99004104	NGSceneA_04a_04	A04	800	0	fetterGirl04104.mp3		1			1	1
99004105	NGSceneA_04a_05	A05	800	0	fetterGirl04105.mp3		1			1	1
99004106	NGSceneA_04a_06	A06	800	0	fetterGirl04106.mp3		1			1	1
99004107	NGSceneA_04a_07	A07	800	0	fetterGirl04107.mp3		1			1	1
99004108	NGSceneA_04a_08	A08	800	0	fetterGirl04108.mp3		1			1	1
99004109	NGSceneA_04a_06	A09	800	0	fetterGirl04109.mp3		1			1	1
99004110	NGSceneA_04a_09	A10	800	0	fetterGirl04110.mp3		1			1	1
99004111	NGSceneA_04a_10	A11	800	0	fetterGirl04111.mp3		1			1	1
99004112	NGSceneA_04a_09	A12	800	0	fetterGirl04112.mp3		1			1	1
99004113	NGSceneA_04a_10	A13	800	0	fetterGirl04113.mp3		1			1	1
99004114	NGSceneA_04a_09	A14	800	0	fetterGirl04114.mp3		1			1	1
99004115	NGSceneA_04a_11	A15	800	0	fetterGirl04115.mp3		1			1	1
99004116	NGSceneA_04a_12	A16	800	0	fetterGirl04116.mp3		1			1	1
99004117	NGSceneA_04a_13	A17	800	0	fetterGirl04117.mp3		1			1	1
99004118	NGSceneA_04a_12	A18	800	0	fetterGirl04118.mp3		1			1	1
99004119	NGSceneA_04a_13	A19	800	0	fetterGirl04119.mp3		1			1	1
99004120	NGSceneA_04a_12	A20	800	0	fetterGirl04120.mp3		1	12	100	1	1
99004121	NGSceneA_04a_13	A21	800	0	fetterGirl04121.mp3		1			1	1
99004122	NGSceneA_04a_12	A22	800	0	fetterGirl04122.mp3		1			1	1
99004123	NGSceneA_04a_14	A23	800	0	fetterGirl04123.mp3		1			1	1
99004124	NGSceneA_04a_12	A24	800	0	fetterGirl04124.mp3		1			1	1
99004125	NGSceneA_04a_14	A25	800	0	fetterGirl04125.mp3		1			1	1
99004126	NGSceneA_04a_15	A26	800	0	fetterGirl04126.mp3		1			1	1
99004201	NGSceneA_04b_01	A01	264	0	fetterGirl04201.mp3		1			5	0
99004202	NGSceneA_04b_02	A02	264	0	fetterGirl04202.mp3		1			5	0
99004203	NGSceneA_04b_03	A03	264	0	fetterGirl04203.mp3		1			5	0
99004204	NGSceneA_04b_04	A04	264	0	fetterGirl04204.mp3		1			5	0
99004205	NGSceneA_04b_05	A05	264	0	fetterGirl04205.mp3		1			5	0
99004206	NGSceneA_04b_06	A06	264	0	fetterGirl04206.mp3		1			5	0
99004207	NGSceneA_04b_07	A07	264	0	fetterGirl04207.mp3		1			5	0
99004208	NGSceneA_04b_08	A08	264	0	fetterGirl04208.mp3		1			5	0
99004209	NGSceneA_04b_09	A09	264	0	fetterGirl04209.mp3		1			5	0
99004210	NGSceneA_04b_10	A10	264	0	fetterGirl04210.mp3		1			5	0
99004211	NGSceneA_04b_11	A11	264	0	fetterGirl04211.mp3		1			5	0
99004212	NGSceneA_04b_12	A12	264	0	fetterGirl04212.mp3		1			5	0
99004213	NGSceneA_04b_13	A13	264	0	fetterGirl04213.mp3		1			5	0
99004214	NGSceneA_04b_14	A14	264	0	fetterGirl04214.mp3		1			5	0
99004215	NGSceneA_04b_12	A15	264	0	fetterGirl04215.mp3		1	12	39	5	0
99004216	NGSceneA_04b_14	A16	264	0	fetterGirl04216.mp3		1			5	0
99004217	NGSceneA_04b_15	A17	264	0	fetterGirl04217.mp3		1			5	0
99004218	NGSceneA_04b_16	A18	264	0	fetterGirl04218.mp3		1			5	0
